"","uni","metric","metrix","stage","col","cclong2025.lad12.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.366351616259551,3.12720624732643e-57
"2","Sigma.1.0","Sigma","2","1","1",4.28394753818929,5.75057781952647e-47
"3","Connect.1.0","Connect","3","1","1",0.226989593440006,6.22251488248413e-12
"4","Tau1.1.0","Tau1","4","1","1",533.334227678759,1.72061104767158e-28
"5","Tau2.1.0","Tau2","5","1","1",1631586.2697956,1.43198044480827e-17
"6","NPQ.1.0","NPQ","6","1","1",0.616169821142999,1.79047658356186e-85
"7","qP.1.0","qP","7","1","1",0.854740982580575,6.25441249465285e-57
"8","ABQ.1.0","ABQ","8","1","1",0,5.75057781952647e-47
"9","qm.1.0","qm","9","1","1",0,3.12720624732643e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.72061104767158e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.43198044480827e-17
"12","nCon.1.0","nCon","12","1","1",1,6.22251488248413e-12
"13","Fm.1.0","Fm","13","1","1",2106.97864145822,1.79047658356186e-85
"14","Fo.1.0","Fo","14","1","1",1335.08361073565,6.25441249465285e-57
"15","Quant.3.0","Quant","1","3","1",0.08980178426893,7.97757550294729e-69
"16","Sigma.3.0","Sigma","2","3","1",3.43652886813869,2.60540631703855e-20
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",537.559918477492,1.92299814927438e-12
"19","Tau2.3.0","Tau2","5","3","1",4551438.94815098,5.87773578339469e-14
"20","NPQ.3.0","NPQ","6","3","1",0.0363516675009536,6.3359346906962e-83
"21","qP.3.0","qP","7","3","1",0.171147860020886,1.59551510058945e-68
"22","ABQ.3.0","ABQ","8","3","1",0.197812569480901,2.60540631703855e-20
"23","qm.3.0","qm","9","3","1",0.75487542491062,7.97757550294729e-69
"24","nTau1.3.0","nTau1","10","3","1",1.0079231569613,1.92299814927438e-12
"25","nTau2.3.0","nTau2","11","3","1",2.78957909392139,5.87773578339469e-14
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3285.79130125683,6.3359346906962e-83
"28","Fo.3.0","Fo","14","3","1",2990.72137966864,1.59551510058945e-68
"29","Quant.4.0","Quant","1","4","1",0.0723685246084355,9.66425355806921e-71
"30","Sigma.4.0","Sigma","2","4","1",3.54381965652158,2.14456820425762e-15
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",544.955163120855,1.0023258168924e-07
"33","Tau2.4.0","Tau2","5","4","1",4114660.94233191,2.01932952986143e-17
"34","NPQ.4.0","NPQ","6","4","1",0.00430088203012789,2.86159685749356e-84
"35","qP.4.0","qP","7","4","1",0.107334106103619,1.93285071161381e-70
"36","ABQ.4.0","ABQ","8","4","1",0.172767727678696,2.14456820425762e-15
"37","qm.4.0","qm","9","4","1",0.802461565893122,9.66425355806921e-71
"38","nTau1.4.0","nTau1","10","4","1",1.02178921741564,1.0023258168924e-07
"39","nTau2.4.0","nTau2","11","4","1",2.52187764662141,2.01932952986143e-17
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3390.6524977198,2.86159685749356e-84
"42","Fo.4.0","Fo","14","4","1",3145.27597899991,1.93285071161381e-70
"43","Quant.5.0","Quant","1","5","1",0.0867684651592,2.44742394268156e-69
"44","Sigma.5.0","Sigma","2","5","1",3.71903250705607,1.37767782312086e-18
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",622.66397648679,3.04634422082595e-10
"47","Tau2.5.0","Tau2","5","5","1",3128428.67255381,2.54719207973257e-20
"48","NPQ.5.0","NPQ","6","5","1",0.0841181206733591,6.30924998034639e-85
"49","qP.5.0","qP","7","5","1",0.221620971934281,4.89484788536312e-69
"50","ABQ.5.0","ABQ","8","5","1",0.131867868618205,1.37767782312086e-18
