"","uni","metric","metrix","stage","col","cclong2025.lad9.004","pval"
"524","NPQ.13.1","NPQ","6","13","2",0.51288434589011,1.50081925804424e-92
"525","qP.13.1","qP","7","13","2",0.783149667574239,1.75002460481499e-67
"526","ABQ.13.1","ABQ","8","13","2",0.125298184189249,4.89634000899431e-47
"527","qm.13.1","qm","9","13","2",0.2237735842453,8.75012302407497e-68
"528","nTau1.13.1","nTau1","10","13","2",1.70222191329632,1.24155979412226e-18
"529","nTau2.13.1","nTau2","11","13","2",0.945897814001653,7.94353364604798e-11
"530","nCon.13.1","nCon","12","13","2",0.848197194878776,1.93845481989259e-11
"531","Fm.13.1","Fm","13","13","2",2264.16358683616,1.50081925804424e-92
"532","Fo.13.1","Fo","14","13","2",1692.19755041452,1.75002460481499e-67
"533","Quant.14.1","Quant","1","14","2",0.256832026953101,1.22662031322472e-67
"534","Sigma.14.1","Sigma","2","14","2",4.03417523395221,1.81966538157689e-47
"535","Connect.14.1","Connect","3","14","2",0.207803469259101,1.07256708419356e-11
"536","Tau1.14.1","Tau1","4","14","2",1073.77684219653,9.57939193626746e-19
"537","Tau2.14.1","Tau2","5","14","2",1272689.11825756,4.04838881747547e-11
"538","NPQ.14.1","NPQ","6","14","2",0.517617081857192,1.72700025702884e-92
"539","qP.14.1","qP","7","14","2",0.789832974175501,2.45324062644944e-67
"540","ABQ.14.1","ABQ","8","14","2",0.123346634536931,1.81966538157689e-47
"541","qm.14.1","qm","9","14","2",0.210821658022529,1.22662031322472e-67
"542","nTau1.14.1","nTau1","10","14","2",1.67887173881723,9.57939193626746e-19
"543","nTau2.14.1","nTau2","11","14","2",0.912380880025818,4.04838881747547e-11
"544","nCon.14.1","nCon","12","14","2",0.851666390641263,1.07256708419356e-11
"545","Fm.14.1","Fm","13","14","2",2257.10272242518,1.72700025702884e-92
"546","Fo.14.1","Fo","14","14","2",1677.40645518336,2.45324062644944e-67
"547","Quant.15.1","Quant","1","15","2",0.259552043643442,4.21868512640965e-68
"548","Sigma.15.1","Sigma","2","15","2",3.92608637926475,4.65341057416337e-48
"549","Connect.15.1","Connect","3","15","2",0.224856525857402,2.5010820202018e-13
"550","Tau1.15.1","Tau1","4","15","2",1017.28883208241,8.1049829447716e-19
"551","Tau2.15.1","Tau2","5","15","2",1222406.426175,2.20361345850158e-11
"552","NPQ.15.1","NPQ","6","15","2",0.518151697428204,1.35516503579129e-92
"553","qP.15.1","qP","7","15","2",0.792872949569317,8.4373702528193e-68
"554","ABQ.15.1","ABQ","8","15","2",0.146835068413904,4.65341057416337e-48
"555","qm.15.1","qm","9","15","2",0.202463750765788,4.21868512640965e-68
"556","nTau1.15.1","nTau1","10","15","2",1.59055159627381,8.1049829447716e-19
"557","nTau2.15.1","nTau2","11","15","2",0.876333611141205,2.20361345850158e-11
"558","nCon.15.1","nCon","12","15","2",0.921557019581473,2.5010820202018e-13
"559","Fm.15.1","Fm","13","15","2",2256.3078860048,1.35516503579129e-92
"560","Fo.15.1","Fo","14","15","2",1670.67856310344,8.4373702528193e-68
"561","Quant.16.1","Quant","1","16","2",0.108726105908724,1.57861238440227e-73
"562","Sigma.16.1","Sigma","2","16","2",3.5697029478653,3.73827901994181e-31
"563","Connect.16.1","Connect","3","16","2",0.0824309346126783,0.205430969818134
"564","Tau1.16.1","Tau1","4","16","2",1037.39825620418,5.53397797494685e-16
"565","Tau2.16.1","Tau2","5","16","2",3149768.93815046,4.43439120725703e-14
"566","NPQ.16.1","NPQ","6","16","2",0.26950377320211,8.73388086748613e-92
"567","qP.16.1","qP","7","16","2",0.461133231371438,3.15722476880454e-73
"568","ABQ.16.1","ABQ","8","16","2",0.224279580963133,3.73827901994181e-31
"569","qm.16.1","qm","9","16","2",0.665912818550539,1.57861238440227e-73
"570","nTau1.16.1","nTau1","10","16","2",1.62199308626987,5.53397797494685e-16
"571","nTau2.16.1","nTau2","11","16","2",2.25804472941688,4.43439120725703e-14
"572","nCon.16.1","nCon","12","16","2",0.337836787850889,0.205430969818134
"573","Fm.16.1","Fm","13","16","2",2698.23352979785,8.73388086748613e-92
"574","Fo.16.1","Fo","14","16","2",2404.86510527058,3.15722476880454e-73
"575","Quant.17.1","Quant","1","17","2",0.106616955843496,4.78632360214531e-72
"576","Sigma.17.1","Sigma","2","17","2",3.42640927355098,2.21333328016618e-28
"577","Connect.17.1","Connect","3","17","2",0.0525076814007609,0.499577107022297
"578","Tau1.17.1","Tau1","4","17","2",974.772444607526,2.21529077535527e-14
"579","Tau2.17.1","Tau2","5","17","2",2843257.12040018,4.81390859179717e-16
"580","NPQ.17.1","NPQ","6","17","2",0.328906410078061,3.68191626161515e-89
"581","qP.17.1","qP","7","17","2",0.507249521901556,9.57264720429062e-72
"582","ABQ.17.1","ABQ","8","17","2",0.255418258524781,2.21333328016618e-28
"583","qm.17.1","qm","9","17","2",0.672393690781329,4.78632360214531e-72
"584","nTau1.17.1","nTau1","10","17","2",1.52407636737786,2.21529077535527e-14
"585","nTau2.17.1","nTau2","11","17","2",2.03830880333292,4.81390859179717e-16
"586","nCon.17.1","nCon","12","17","2",0.215198656976074,0.499577107022297
"587","Fm.17.1","Fm","13","17","2",2577.62143449787,3.68191626161515e-89
"588","Fo.17.1","Fo","14","17","2",2302.80328383476,9.57264720429062e-72
"589","Quant.18.1","Quant","1","18","2",0.106521769551725,1.30752639054868e-71
"590","Sigma.18.1","Sigma","2","18","2",3.51491405004703,2.00327662867881e-28
"591","Connect.18.1","Connect","3","18","2",0.077203986484665,0.313625914146006
"592","Tau1.18.1","Tau1","4","18","2",1214.41377235265,6.68245237085505e-15
"593","Tau2.18.1","Tau2","5","18","2",3221296.60862066,3.14653591583338e-12
"594","NPQ.18.1","NPQ","6","18","2",0.400013594068884,2.70568913337433e-89
"595","qP.18.1","qP","7","18","2",0.559992358659665,2.61505278109736e-71
"596","ABQ.18.1","ABQ","8","18","2",0.236185576334422,2.00327662867881e-28
"597","qm.18.1","qm","9","18","2",0.672686173618497,1.30752639054868e-71
"598","nTau1.18.1","nTau1","10","18","2",1.8987604141868,6.68245237085505e-15
"599","nTau2.18.1","nTau2","11","18","2",2.30932235723156,3.14653591583338e-12
"600","nCon.18.1","nCon","12","18","2",0.316414546623994,0.313625914146006
"601","Fm.18.1","Fm","13","18","2",2446.70313314849,2.70568913337433e-89
"602","Fo.18.1","Fo","14","18","2",2186.07598583777,2.61505278109736e-71
"603","Quant.19.1","Quant","1","19","2",0.108586746271599,1.82211389851916e-73
"604","Sigma.19.1","Sigma","2","19","2",3.33896707415748,2.61460607447143e-31
"605","Connect.19.1","Connect","3","19","2",0.158035804365106,0.0135833327611922
"606","Tau1.19.1","Tau1","4","19","2",1064.00897052983,1.48558683288823e-15
