"","uni","metric","metrix","stage","col","barefoot2025.bad22.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.346376005613107,3.94210994147034e-55
"2","Sigma.1.0","Sigma","2","1","1",5.21432643190441,1.91315945705508e-44
"3","Connect.1.0","Connect","3","1","1",0.199014499365617,3.5468242150624e-08
"4","Tau1.1.0","Tau1","4","1","1",565.564312962942,8.94521034212583e-26
"5","Tau2.1.0","Tau2","5","1","1",1335029.53444857,6.0481233418481e-22
"6","NPQ.1.0","NPQ","6","1","1",0.728163440847723,3.60843892292522e-85
"7","qP.1.0","qP","7","1","1",0.902456228131241,7.88421988294069e-55
"8","ABQ.1.0","ABQ","8","1","1",0,1.91315945705508e-44
"9","qm.1.0","qm","9","1","1",0,3.94210994147034e-55
"10","nTau1.1.0","nTau1","10","1","1",1,8.94521034212583e-26
"11","nTau2.1.0","nTau2","11","1","1",1,6.0481233418481e-22
"12","nCon.1.0","nCon","12","1","1",1,3.5468242150624e-08
"13","Fm.1.0","Fm","13","1","1",1823.31843295856,3.60843892292522e-85
"14","Fo.1.0","Fo","14","1","1",1191.76467718962,7.88421988294069e-55
"15","Quant.3.0","Quant","1","3","1",0.0784056842687627,6.11708316998662e-68
"16","Sigma.3.0","Sigma","2","3","1",3.97382497982011,9.70153699859785e-16
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",607.958698712164,1.19112310458473e-08
"19","Tau2.3.0","Tau2","5","3","1",5132075.48526023,2.44218356692613e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0654851626045738,9.31469298594648e-83
"21","qP.3.0","qP","7","3","1",0.196008253563239,1.22341663399732e-67
"22","ABQ.3.0","ABQ","8","3","1",0.237902530323793,9.70153699859785e-16
"23","qm.3.0","qm","9","3","1",0.773639966400156,6.11708316998662e-68
"24","nTau1.3.0","nTau1","10","3","1",1.07495944276809,1.19112310458473e-08
"25","nTau2.3.0","nTau2","11","3","1",3.84416625462898,2.44218356692613e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",2957.33095819012,9.31469298594648e-83
"28","Fo.3.0","Fo","14","3","1",2725.45940080403,1.22341663399732e-67
"29","Quant.4.0","Quant","1","4","1",0.0712433791682551,4.61050237869511e-71
"30","Sigma.4.0","Sigma","2","4","1",3.99105253343713,3.16908129666286e-15
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",730.057797039284,4.18177562306624e-07
"33","Tau2.4.0","Tau2","5","4","1",3505626.21370235,6.21404724877228e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0527603134931268,3.88102690929862e-86
"35","qP.4.0","qP","7","4","1",0.17095968546159,9.22100475739022e-71
"36","ABQ.4.0","ABQ","8","4","1",0.234598641731087,3.16908129666286e-15
"37","qm.4.0","qm","9","4","1",0.794317799115011,4.61050237869511e-71
"38","nTau1.4.0","nTau1","10","4","1",1.29084841512467,4.18177562306624e-07
"39","nTau2.4.0","nTau2","11","4","1",2.62587914592492,6.21404724877228e-18
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",2993.07659728125,3.88102690929862e-86
"42","Fo.4.0","Fo","14","4","1",2779.83970638151,9.22100475739022e-71
"43","Quant.5.0","Quant","1","5","1",0.0866626112957888,1.64286789759713e-69
"44","Sigma.5.0","Sigma","2","5","1",3.97663400948091,1.86752058220919e-18
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",505.133567912479,4.01992793301219e-09
"47","Tau2.5.0","Tau2","5","5","1",2580342.40154722,1.84376616689016e-20
"48","NPQ.5.0","NPQ","6","5","1",0.130231078573715,9.38455571690457e-86
"49","qP.5.0","qP","7","5","1",0.27852762043022,3.28573579519426e-69
"50","ABQ.5.0","ABQ","8","5","1",0.237363816513393,1.86752058220919e-18
"51","qm.5.0","qm","9","5","1",0.749801920769914,1.64286789759713e-69
"52","nTau1.5.0","nTau1","10","5","1",0.893149649535221,4.01992793301219e-09
"53","nTau2.5.0","nTau2","11","5","1",1.93279799058006,1.84376616689016e-20
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",2787.9186093866,9.38455571690457e-86
"56","Fo.5.0","Fo","14","5","1",2546.31030261703,3.28573579519426e-69
"57","Quant.6.0","Quant","1","6","1",0.0929790148525432,3.47647935632501e-69
"58","Sigma.6.0","Sigma","2","6","1",3.96126376839627,5.07473019448001e-21
