"","uni","metric","metrix","stage","col","barefoot2025.bad1.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.340237114096715,8.22353420055912e-59
"2","Sigma.1.0","Sigma","2","1","1",4.69613751380866,4.5696752651078e-47
"3","Connect.1.0","Connect","3","1","1",0.2281783293537,1.01813603625545e-11
"4","Tau1.1.0","Tau1","4","1","1",498.542257353267,1.0042424567543e-27
"5","Tau2.1.0","Tau2","5","1","1",1381042.1743791,1.17106921112899e-21
"6","NPQ.1.0","NPQ","6","1","1",0.508899847815093,3.52522778001014e-87
"7","qP.1.0","qP","7","1","1",0.863641172009393,1.64470684011182e-58
"8","ABQ.1.0","ABQ","8","1","1",0,4.5696752651078e-47
"9","qm.1.0","qm","9","1","1",0,8.22353420055912e-59
"10","nTau1.1.0","nTau1","10","1","1",1,1.0042424567543e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.17106921112899e-21
"12","nCon.1.0","nCon","12","1","1",1,1.01813603625545e-11
"13","Fm.1.0","Fm","13","1","1",2291.80227236909,3.52522778001014e-87
"14","Fo.1.0","Fo","14","1","1",1512.04608113794,1.64470684011182e-58
"15","Quant.3.0","Quant","1","3","1",0.104120887973446,6.53442600588663e-68
"16","Sigma.3.0","Sigma","2","3","1",3.67627685549899,4.67687180799646e-24
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",896.151746737255,1.24793834385075e-12
"19","Tau2.3.0","Tau2","5","3","1",2893154.68045313,1.49640693398237e-15
"20","NPQ.3.0","NPQ","6","3","1",0.0190599231928935,5.18453009963871e-85
"21","qP.3.0","qP","7","3","1",0.185506590987908,1.30688520117733e-67
"22","ABQ.3.0","ABQ","8","3","1",0.217170101026821,4.67687180799646e-24
"23","qm.3.0","qm","9","3","1",0.69397551395922,6.53442600588663e-68
"24","nTau1.3.0","nTau1","10","3","1",1.79754420717488,1.24793834385075e-12
"25","nTau2.3.0","nTau2","11","3","1",2.09490682770341,1.49640693398237e-15
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3393.42174223196,5.18453009963871e-85
"28","Fo.3.0","Fo","14","3","1",3040.09565716238,1.30688520117733e-67
"29","Quant.4.0","Quant","1","4","1",0.11046033012219,1.8021248717233e-70
"30","Sigma.4.0","Sigma","2","4","1",3.69406577884065,2.87313336157007e-27
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",769.251918344719,5.49360924773336e-14
"33","Tau2.4.0","Tau2","5","4","1",2440436.90809401,1.80077303319126e-18
"34","NPQ.4.0","NPQ","6","4","1",0.0295504310970913,4.02877190105815e-89
"35","qP.4.0","qP","7","4","1",0.208703532156539,3.6042497434466e-70
"36","ABQ.4.0","ABQ","8","4","1",0.213382110728549,2.87313336157007e-27
"37","qm.4.0","qm","9","4","1",0.675343090022827,1.8021248717233e-70
"38","nTau1.4.0","nTau1","10","4","1",1.54300243760406,5.49360924773336e-14
"39","nTau2.4.0","nTau2","11","4","1",1.76709803173912,1.80077303319126e-18
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3358.84478851127,4.02877190105815e-89
"42","Fo.4.0","Fo","14","4","1",2987.82568434312,3.6042497434466e-70
"43","Quant.5.0","Quant","1","5","1",0.13593535025258,2.04461979594951e-67
"44","Sigma.5.0","Sigma","2","5","1",3.74423078566703,1.52547878036292e-29
"45","Connect.5.0","Connect","3","5","1",0.0332889632430189,0.644120638183265
"46","Tau1.5.0","Tau1","4","5","1",761.853005681776,1.61543827870443e-14
"47","Tau2.5.0","Tau2","5","5","1",2186745.43752302,9.73087048315428e-15
"48","NPQ.5.0","NPQ","6","5","1",0.140766964311814,2.04866531026224e-87
"49","qP.5.0","qP","7","5","1",0.372247563061254,4.08923959189901e-67
"50","ABQ.5.0","ABQ","8","5","1",0.202699926342151,1.52547878036292e-29
"51","qm.5.0","qm","9","5","1",0.600468777154218,2.04461979594951e-67
"52","nTau1.5.0","nTau1","10","5","1",1.52816134328595,1.61543827870443e-14
"53","nTau2.5.0","nTau2","11","5","1",1.58340235953052,9.73087048315428e-15
"54","nCon.5.0","nCon","12","5","1",0.145890117336329,0.644120638183265
"55","Fm.5.0","Fm","13","5","1",3031.38170036871,2.04866531026224e-87
"56","Fo.5.0","Fo","14","5","1",2619.30976717983,4.08923959189901e-67
"57","Quant.6.0","Quant","1","6","1",0.157045033522513,1.19151311195588e-64
"58","Sigma.6.0","Sigma","2","6","1",3.77992362187217,2.10045384576702e-29
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",799.624859177929,1.36646285223361e-17
"61","Tau2.6.0","Tau2","5","6","1",2498448.51364929,8.95739737012045e-13
"62","NPQ.6.0","NPQ","6","6","1",0.236320726139577,3.21049733314777e-85
"63","qP.6.0","qP","7","6","1",0.488294026611341,2.38302622391176e-64
"64","ABQ.6.0","ABQ","8","6","1",0.195099459767186,2.10045384576702e-29
"65","qm.6.0","qm","9","6","1",0.538424742581518,1.19151311195588e-64
"66","nTau1.6.0","nTau1","10","6","1",1.60392594084821,1.36646285223361e-17
"67","nTau2.6.0","nTau2","11","6","1",1.80910370443435,8.95739737012045e-13
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",2797.0898059745,3.21049733314777e-85
"70","Fo.6.0","Fo","14","6","1",2357.82074362975,2.38302622391176e-64
"71","Quant.7.0","Quant","1","7","1",0.161834431051366,7.87475092663342e-67
"72","Sigma.7.0","Sigma","2","7","1",3.77006846630799,3.67797534569303e-33
"73","Connect.7.0","Connect","3","7","1",0.0642780104619456,0.263958643318789
"74","Tau1.7.0","Tau1","4","7","1",735.618330544919,9.6094190586229e-18
"75","Tau2.7.0","Tau2","5","7","1",2334913.18147152,1.06139716648501e-12
"76","NPQ.7.0","NPQ","6","7","1",0.299777186702443,1.08983514431694e-87
"77","qP.7.0","qP","7","7","1",0.545034291943141,1.57495018532668e-66
"78","ABQ.7.0","ABQ","8","7","1",0.197198025990004,3.67797534569303e-33
"79","qm.7.0","qm","9","7","1",0.524348096235724,7.87475092663342e-67
"80","nTau1.7.0","nTau1","10","7","1",1.47553857209673,9.6094190586229e-18
"81","nTau2.7.0","nTau2","11","7","1",1.69068926698149,1.06139716648501e-12
"82","nCon.7.0","nCon","12","7","1",0.281700767307784,0.263958643318789
"83","Fm.7.0","Fm","13","7","1",2660.5330016395,1.08983514431694e-87
"84","Fo.7.0","Fo","14","7","1",2229.96715702579,1.57495018532668e-66
"85","Quant.8.0","Quant","1","8","1",0.163286488072268,3.00931146231526e-67
"86","Sigma.8.0","Sigma","2","8","1",3.54495769319003,1.65742300639039e-33
"87","Connect.8.0","Connect","3","8","1",0.0647735705567459,0.254019562708309
"88","Tau1.8.0","Tau1","4","8","1",706.519340491706,2.7590644665339e-20
"89","Tau2.8.0","Tau2","5","8","1",2559395.20852608,1.33775772238464e-12
"90","NPQ.8.0","NPQ","6","8","1",0.358045580446691,4.32728611128977e-87
"91","qP.8.0","qP","7","8","1",0.589136731599378,6.01862292463052e-67
"92","ABQ.8.0","ABQ","8","8","1",0.245133328662899,1.65742300639039e-33
"93","qm.8.0","qm","9","8","1",0.520080316617508,3.00931146231526e-67
"94","nTau1.8.0","nTau1","10","8","1",1.41717042050272,2.7590644665339e-20
"95","nTau2.8.0","nTau2","11","8","1",1.85323464844712,1.33775772238464e-12
"96","nCon.8.0","nCon","12","8","1",0.283872577821972,0.254019562708309
"97","Fm.8.0","Fm","13","8","1",2546.37999621674,4.32728611128977e-87
"98","Fo.8.0","Fo","14","8","1",2130.59054933703,6.01862292463052e-67
"99","Quant.9.0","Quant","1","9","1",0.166177279791668,1.40833641117754e-66
"100","Sigma.9.0","Sigma","2","9","1",3.64141464858914,2.3183262158936e-33
"101","Connect.9.0","Connect","3","9","1",0.0927376662376492,0.101626313902951
"102","Tau1.9.0","Tau1","4","9","1",723.654799636756,6.15412517849694e-18
"103","Tau2.9.0","Tau2","5","9","1",2565592.11907647,6.90004232668772e-11
"104","NPQ.9.0","NPQ","6","9","1",0.422313613278126,9.00661977203542e-87
"105","qP.9.0","qP","7","9","1",0.634980497736107,2.81667282235507e-66
"106","ABQ.9.0","ABQ","8","9","1",0.224593692607633,2.3183262158936e-33
"107","qm.9.0","qm","9","9","1",0.511583913375097,1.40833641117754e-66
"108","nTau1.9.0","nTau1","10","9","1",1.45154154730754,6.15412517849694e-18
"109","nTau2.9.0","nTau2","11","9","1",1.85772177466625,6.90004232668772e-11
"110","nCon.9.0","nCon","12","9","1",0.406426265370258,0.101626313902951
"111","Fm.9.0","Fm","13","9","1",2431.32039777769,9.00661977203542e-87
"112","Fo.9.0","Fo","14","9","1",2027.290187773,2.81667282235507e-66
"113","Quant.10.0","Quant","1","10","1",0.241967853756563,2.15730039186598e-64
"114","Sigma.10.0","Sigma","2","10","1",3.73067825704158,1.9268497076941e-41
"115","Connect.10.0","Connect","3","10","1",0.107017726619434,0.00265929615671205
"116","Tau1.10.0","Tau1","4","10","1",843.746621055255,1.16943725634291e-18
"117","Tau2.10.0","Tau2","5","10","1",1553422.32270662,5.1479879645241e-10
"118","NPQ.10.0","NPQ","6","10","1",0.577353557828207,5.72008737146159e-88
"119","qP.10.0","qP","7","10","1",0.797152223991202,4.31460078373196e-64
"120","ABQ.10.0","ABQ","8","10","1",0.205585814710114,1.9268497076941e-41
"121","qm.10.0","qm","9","10","1",0.288825810790935,2.15730039186598e-64
"122","nTau1.10.0","nTau1","10","10","1",1.6924274895666,1.16943725634291e-18
"123","nTau2.10.0","nTau2","11","10","1",1.12481888788446,5.1479879645241e-10
"124","nCon.10.0","nCon","12","10","1",0.469009160171143,0.00265929615671205
"125","Fm.10.0","Fm","13","10","1",2192.34304372529,5.72008737146159e-88
"126","Fo.10.0","Fo","14","10","1",1661.86650273695,4.31460078373196e-64
"127","Quant.11.0","Quant","1","11","1",0.253636720363844,1.20575114326345e-65
"128","Sigma.11.0","Sigma","2","11","1",3.8336722322018,3.48000966003844e-44
"129","Connect.11.0","Connect","3","11","1",0.128992769282197,4.20605919876494e-05
"130","Tau1.11.0","Tau1","4","11","1",849.090876895466,2.84431809468545e-18
"131","Tau2.11.0","Tau2","5","11","1",1443759.29655202,7.96197639227526e-10
"132","NPQ.11.0","NPQ","6","11","1",0.543183274183132,5.82490675279165e-90
"133","qP.11.0","qP","7","11","1",0.792426011614373,2.41150228652689e-65
"134","ABQ.11.0","ABQ","8","11","1",0.183654179433808,3.48000966003844e-44
"135","qm.11.0","qm","9","11","1",0.254529532919368,1.20575114326345e-65
"136","nTau1.11.0","nTau1","10","11","1",1.70314725456422,2.84431809468545e-18
"137","nTau2.11.0","nTau2","11","11","1",1.04541289421601,7.96197639227526e-10
"138","nCon.11.0","nCon","12","11","1",0.565315600511056,4.20605919876494e-05
"139","Fm.11.0","Fm","13","11","1",2240.88749395661,5.82490675279165e-90
"140","Fo.11.0","Fo","14","11","1",1672.5161392851,2.41150228652689e-65
"141","Quant.12.0","Quant","1","12","1",0.261320391927817,1.6958656953594e-64
"142","Sigma.12.0","Sigma","2","12","1",3.77161571856702,1.06835358256082e-43
"143","Connect.12.0","Connect","3","12","1",0.140509499700739,1.55708902003999e-05
"144","Tau1.12.0","Tau1","4","12","1",854.873276508624,9.14563660024327e-18
"145","Tau2.12.0","Tau2","5","12","1",1327676.28907128,5.8466966263859e-10
"146","NPQ.12.0","NPQ","6","12","1",0.517817890470647,1.00414893502554e-88
"147","qP.12.0","qP","7","12","1",0.787790761172704,3.3917313907188e-64
"148","ABQ.12.0","ABQ","8","12","1",0.196868552618647,1.06835358256082e-43
"149","qm.12.0","qm","9","12","1",0.231946248363914,1.6958656953594e-64
"150","nTau1.12.0","nTau1","10","12","1",1.71474586938146,9.14563660024327e-18
"151","nTau2.12.0","nTau2","11","12","1",0.961358250821119,5.8466966263859e-10
"152","nCon.12.0","nCon","12","12","1",0.615788099153513,1.55708902003999e-05
"153","Fm.12.0","Fm","13","12","1",2278.33663162826,1.00414893502554e-88
"154","Fo.12.0","Fo","14","12","1",1682.96081010766,3.3917313907188e-64
"155","Quant.13.0","Quant","1","13","1",0.26664912911471,1.21310753904326e-63
"156","Sigma.13.0","Sigma","2","13","1",3.81516477352863,3.16745060086521e-43
"157","Connect.13.0","Connect","3","13","1",0.10865802252626,0.000867582304608724
"158","Tau1.13.0","Tau1","4","13","1",850.363485202098,9.74227392667437e-18
"159","Tau2.13.0","Tau2","5","13","1",1283508.9731312,8.22541365365376e-10
"160","NPQ.13.0","NPQ","6","13","1",0.499965854801715,3.28962939229866e-88
"161","qP.13.0","qP","7","13","1",0.784353678845931,2.42621507808653e-63
"162","ABQ.13.0","ABQ","8","13","1",0.187595175330703,3.16745060086521e-43
"163","qm.13.0","qm","9","13","1",0.216284414407203,1.21310753904326e-63
"164","nTau1.13.0","nTau1","10","13","1",1.70569991341683,9.74227392667437e-18
"165","nTau2.13.0","nTau2","11","13","1",0.929377101541633,8.22541365365376e-10
"166","nCon.13.0","nCon","12","13","1",0.476197817882297,0.000867582304608724
"167","Fm.13.0","Fm","13","13","1",2305.45254675623,3.28962939229866e-88
"168","Fo.13.0","Fo","14","13","1",1690.70563294839,2.42621507808653e-63
"169","Quant.14.0","Quant","1","14","1",0.272193093793622,7.41434880885415e-64
"170","Sigma.14.0","Sigma","2","14","1",3.78937375818179,6.16240806851265e-44
