"","uni","metric","metrix","stage","col","barefoot2025.bad30.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.359102284847286,2.75307897429862e-59
"2","Sigma.1.0","Sigma","2","1","1",6.37747666911431,1.84448554986824e-49
"3","Connect.1.0","Connect","3","1","1",0.259966888352037,6.23803116390061e-15
"4","Tau1.1.0","Tau1","4","1","1",496.011431719323,1.66755617916402e-25
"5","Tau2.1.0","Tau2","5","1","1",1259856.2914582,2.87961609861837e-20
"6","NPQ.1.0","NPQ","6","1","1",0.735140758695626,1.16124009729947e-87
"7","qP.1.0","qP","7","1","1",0.89314798509336,5.50615794859725e-59
"8","ABQ.1.0","ABQ","8","1","1",0,1.84448554986824e-49
"9","qm.1.0","qm","9","1","1",0,2.75307897429862e-59
"10","nTau1.1.0","nTau1","10","1","1",1,1.66755617916402e-25
"11","nTau2.1.0","nTau2","11","1","1",1,2.87961609861837e-20
"12","nCon.1.0","nCon","12","1","1",1,6.23803116390061e-15
"13","Fm.1.0","Fm","13","1","1",1905.64700281733,1.16124009729947e-87
"14","Fo.1.0","Fo","14","1","1",1221.32480999324,5.50615794859725e-59
"15","Quant.3.0","Quant","1","3","1",0.062567278811417,2.09405932679553e-74
"16","Sigma.3.0","Sigma","2","3","1",4.80748878264013,1.470792394004e-18
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",418.318698148636,3.96848207503276e-06
"19","Tau2.3.0","Tau2","5","3","1",3939459.63174813,3.72351766589582e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0180854308074577,2.95664362019236e-88
"21","qP.3.0","qP","7","3","1",0.112196440795838,4.18811865359104e-74
"22","ABQ.3.0","ABQ","8","3","1",0.246176970599912,1.470792394004e-18
"23","qm.3.0","qm","9","3","1",0.825767527939777,2.09405932679553e-74
"24","nTau1.3.0","nTau1","10","3","1",0.843365034347332,3.96848207503276e-06
"25","nTau2.3.0","nTau2","11","3","1",3.12691190134747,3.72351766589582e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3247.82742804995,2.95664362019236e-88
"28","Fo.3.0","Fo","14","3","1",3044.61970382778,4.18811865359104e-74
"29","Quant.4.0","Quant","1","4","1",0.0753165560788632,1.48438611320623e-75
"30","Sigma.4.0","Sigma","2","4","1",5.15828390916354,9.20074927028999e-24
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",229.500603231103,1.09554133419344e-08
"33","Tau2.4.0","Tau2","5","4","1",2506279.45742782,3.87850957516279e-19
"34","NPQ.4.0","NPQ","6","4","1",0.0514042794000891,3.62690220850236e-93
"35","qP.4.0","qP","7","4","1",0.17069571821076,2.96877222641246e-75
"36","ABQ.4.0","ABQ","8","4","1",0.191171653493494,9.20074927028999e-24
"37","qm.4.0","qm","9","4","1",0.790264336215815,1.48438611320623e-75
"38","nTau1.4.0","nTau1","10","4","1",0.462692165048668,1.09554133419344e-08
"39","nTau2.4.0","nTau2","11","4","1",1.9893375731981,3.87850957516279e-19
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3144.9042495444,3.62690220850236e-93
"42","Fo.4.0","Fo","14","4","1",2908.04089227094,2.96877222641246e-75
"43","Quant.5.0","Quant","1","5","1",0.0907899342534903,9.4463982614438e-73
"44","Sigma.5.0","Sigma","2","5","1",5.1707179605752,1.44942399965268e-24
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",485.156745222175,1.44441977021409e-08
