"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo5.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.384732925969751,8.46644004456167e-55
"2","Sigma.1.0","Sigma","2","1","1",4.4771187523489,5.11114314669644e-47
"3","Connect.1.0","Connect","3","1","1",0.333522574384091,4.7935369166788e-18
"4","Tau1.1.0","Tau1","4","1","1",653.556430532974,1.28563336952068e-26
"5","Tau2.1.0","Tau2","5","1","1",722090.49289253,5.37866358823866e-25
"6","NPQ.1.0","NPQ","6","1","1",0.819772449125289,5.94109895890528e-82
"7","qP.1.0","qP","7","1","1",1.57130261073647,1.69328800891233e-54
"8","ABQ.1.0","ABQ","8","1","1",0,5.11114314669644e-47
"9","qm.1.0","qm","9","1","1",0,8.46644004456167e-55
"10","nTau1.1.0","nTau1","10","1","1",1,1.28563336952068e-26
"11","nTau2.1.0","nTau2","11","1","1",1,5.37866358823866e-25
"12","nCon.1.0","nCon","12","1","1",1,4.7935369166788e-18
"13","Fm.1.0","Fm","13","1","1",1957.86577480662,5.94109895890528e-82
"14","Fo.1.0","Fo","14","1","1",1204.61034660924,1.69328800891233e-54
"15","Quant.3.0","Quant","1","3","1",0.071624770030538,1.00975920167524e-78
"16","Sigma.3.0","Sigma","2","3","1",3.11698357721744,7.42447243067286e-34
"17","Connect.3.0","Connect","3","3","1",0.353710541223196,1.1139773971219e-10
"18","Tau1.3.0","Tau1","4","3","1",2029.88360502455,5.8563206989804e-10
"19","Tau2.3.0","Tau2","5","3","1",3899906.70354603,9.56713206691059e-12
"20","NPQ.3.0","NPQ","6","3","1",0.168028910508357,6.34884772135469e-93
"21","qP.3.0","qP","7","3","1",0.487078192960082,2.01951840335048e-78
"22","ABQ.3.0","ABQ","8","3","1",0.303796984258655,7.42447243067286e-34
"23","qm.3.0","qm","9","3","1",0.813832492111243,1.00975920167524e-78
"24","nTau1.3.0","nTau1","10","3","1",3.10590411201246,5.8563206989804e-10
"25","nTau2.3.0","nTau2","11","3","1",5.40085590647219,9.56713206691059e-12
"26","nCon.3.0","nCon","12","3","1",1.06052953649805,1.1139773971219e-10
"27","Fm.3.0","Fm","13","3","1",3050.32706299006,6.34884772135469e-93
"28","Fo.3.0","Fo","14","3","1",2831.84808858547,2.01951840335048e-78
"29","Quant.4.0","Quant","1","4","1",0.0502357330740504,9.34248151751418e-87
"30","Sigma.4.0","Sigma","2","4","1",2.81027271488637,5.36445747467837e-35
"31","Connect.4.0","Connect","3","4","1",0.412098943392114,4.09918071588455e-14
"32","Tau1.4.0","Tau1","4","4","1",3710.7026971716,2.33455113555186e-08
"33","Tau2.4.0","Tau2","5","4","1",4497284.61507117,1.92671397126655e-09
"34","NPQ.4.0","NPQ","6","4","1",0.133665996807613,5.29110659338727e-100
"35","qP.4.0","qP","7","4","1",0.385095877288077,1.86849630350278e-86
"36","ABQ.4.0","ABQ","8","4","1",0.372303289160696,5.36445747467837e-35
"37","qm.4.0","qm","9","4","1",0.869426998098935,9.34248151751418e-87
"38","nTau1.4.0","nTau1","10","4","1",5.67770818832818,2.33455113555186e-08
"39","nTau2.4.0","nTau2","11","4","1",6.22814544622528,1.92671397126655e-09
"40","nCon.4.0","nCon","12","4","1",1.23559535408699,4.09918071588455e-14
"41","Fm.4.0","Fm","13","4","1",3142.78650511828,5.29110659338727e-100
"42","Fo.4.0","Fo","14","4","1",2984.90632113843,1.86849630350278e-86
"43","Quant.5.0","Quant","1","5","1",0.0482028060647529,1.24232136643718e-83
"44","Sigma.5.0","Sigma","2","5","1",2.83221292753858,7.18413534416375e-32
"45","Connect.5.0","Connect","3","5","1",0.408691798364025,5.01436454669126e-12
"46","Tau1.5.0","Tau1","4","5","1",1709.84247863138,5.1154968106147e-10
"47","Tau2.5.0","Tau2","5","5","1",5836926.96958442,6.40023377418579e-09
"48","NPQ.5.0","NPQ","6","5","1",0.12983987320203,1.04212984384337e-97
"49","qP.5.0","qP","7","5","1",0.374089397137919,2.48464273287436e-83
"50","ABQ.5.0","ABQ","8","5","1",0.367402768565682,7.18413534416375e-32
"51","qm.5.0","qm","9","5","1",0.874710993494374,1.24232136643718e-83
"52","nTau1.5.0","nTau1","10","5","1",2.61621246268973,5.1154968106147e-10
"53","nTau2.5.0","nTau2","11","5","1",8.08337324343245,6.40023377418579e-09
"54","nCon.5.0","nCon","12","5","1",1.22537971865547,5.01436454669126e-12
"55","Fm.5.0","Fm","13","5","1",3153.42933152205,1.04212984384337e-97
"56","Fo.5.0","Fo","14","5","1",3001.42518901579,2.48464273287436e-83
"57","Quant.6.0","Quant","1","6","1",0.0479857011222198,1.21555856044447e-84
"58","Sigma.6.0","Sigma","2","6","1",3.33357618868029,7.34586252347169e-32
"59","Connect.6.0","Connect","3","6","1",0.31357229100039,6.4213931431248e-08
"60","Tau1.6.0","Tau1","4","6","1",1753.15341985093,1.09289078586627e-11
"61","Tau2.6.0","Tau2","5","6","1",11619105.0247266,0.000451939246005602
"62","NPQ.6.0","NPQ","6","6","1",0.139958788824916,5.24894185165551e-101
"63","qP.6.0","qP","7","6","1",0.391389005689741,2.43111712088894e-84
"64","ABQ.6.0","ABQ","8","6","1",0.255419305790952,7.34586252347169e-32
"65","qm.6.0","qm","9","6","1",0.875275293890514,1.21555856044447e-84
"66","nTau1.6.0","nTau1","10","6","1",2.68248209021712,1.09289078586627e-11
"67","nTau2.6.0","nTau2","11","6","1",16.0909264684861,0.000451939246005602
"68","nCon.6.0","nCon","12","6","1",0.940183109282656,6.4213931431248e-08
"69","Fm.6.0","Fm","13","6","1",3125.43771845567,5.24894185165551e-101
"70","Fo.6.0","Fo","14","6","1",2975.46139822174,2.43111712088894e-84
"71","Quant.7.0","Quant","1","7","1",0.0561019159189086,3.02365903965363e-79
"72","Sigma.7.0","Sigma","2","7","1",4.32573269708607,1.25654213846347e-28
"73","Connect.7.0","Connect","3","7","1",0.101329356003655,0.145958252419946
"74","Tau1.7.0","Tau1","4","7","1",1622.72536978004,3.88875444383813e-20
"75","Tau2.7.0","Tau2","5","7","1",9535817.79196789,6.95145816193122e-07
"76","NPQ.7.0","NPQ","6","7","1",0.156134197698005,4.71728728617582e-100
"77","qP.7.0","qP","7","7","1",0.435791958635808,6.04731807930726e-79
"78","ABQ.7.0","ABQ","8","7","1",0.0338132767158354,1.25654213846347e-28
