"","uni","metric","metrix","stage","col","ASnormalized.t7_ahya1.002r","pval"
"79","qm.7.0","qm","9","7","1",0.874750602019593,7.60446073766155e-78
"80","nTau1.7.0","nTau1","10","7","1",2.42181535907869,2.34388404534192e-10
"81","nTau2.7.0","nTau2","11","7","1",17.2164055856819,0.00724829663684648
"82","nCon.7.0","nCon","12","7","1",1.00711343524957,5.84609545278339e-06
"83","Fm.7.0","Fm","13","7","1",3041.85967911593,7.95444172307731e-97
"84","Fo.7.0","Fo","14","7","1",2891.37959057832,1.52089214753231e-77
"85","Quant.8.0","Quant","1","8","1",0.0583868262217399,1.15955104521722e-82
"86","Sigma.8.0","Sigma","2","8","1",3.86146471638595,2.69271879070367e-32
"87","Connect.8.0","Connect","3","8","1",0.339077680454611,1.04598764974066e-08
"88","Tau1.8.0","Tau1","4","8","1",1806.84454024399,3.42212644290662e-13
"89","Tau2.8.0","Tau2","5","8","1",12984605.2840234,0.00868122501251533
"90","NPQ.8.0","NPQ","6","8","1",0.24252477432724,7.94687632062964e-100
"91","qP.8.0","qP","7","8","1",0.503904343885621,2.31910209043444e-82
"92","ABQ.8.0","ABQ","8","8","1",0.149692302261254,2.69271879070367e-32
"93","qm.8.0","qm","9","8","1",0.852174058459681,1.15955104521722e-82
"94","nTau1.8.0","nTau1","10","8","1",2.8651719919037,3.42212644290662e-13
"95","nTau2.8.0","nTau2","11","8","1",19.5426220688722,0.00868122501251533
"96","nCon.8.0","nCon","12","8","1",1.07978236685027,1.04598764974066e-08
"97","Fm.8.0","Fm","13","8","1",2924.15079279914,7.94687632062964e-100
"98","Fo.8.0","Fo","14","8","1",2753.41890861381,2.31910209043444e-82
"99","Quant.9.0","Quant","1","9","1",0.0635051996226081,6.42578045346962e-82
"100","Sigma.9.0","Sigma","2","9","1",4.098215601479,6.80953658764286e-34
"101","Connect.9.0","Connect","3","9","1",0.161943511489686,0.00156090868411556
"102","Tau1.9.0","Tau1","4","9","1",1597.12378285737,1.05763656899769e-12
"103","Tau2.9.0","Tau2","5","9","1",12028668.3587105,0.00961506760099347
"104","NPQ.9.0","NPQ","6","9","1",0.27670468633213,9.18822176674086e-102
"105","qP.9.0","qP","7","9","1",0.554460618496759,1.28515609069392e-81
"106","ABQ.9.0","ABQ","8","9","1",0.0975589500680213,6.80953658764286e-34
"107","qm.9.0","qm","9","9","1",0.839215170023704,6.42578045346962e-82
"108","nTau1.9.0","nTau1","10","9","1",2.53261098468842,1.05763656899769e-12
"109","nTau2.9.0","nTau2","11","9","1",18.1038787536591,0.00961506760099347
"110","nCon.9.0","nCon","12","9","1",0.515704094406723,0.00156090868411556
"111","Fm.9.0","Fm","13","9","1",2845.86548699828,9.18822176674086e-102
"112","Fo.9.0","Fo","14","9","1",2665.13823114736,1.28515609069392e-81
"113","Quant.10.0","Quant","1","10","1",0.101035259715212,1.2223573473363e-78
"114","Sigma.10.0","Sigma","2","10","1",4.46547157306883,1.09393695589622e-39
"115","Connect.10.0","Connect","3","10","1",0.222854940129621,3.90657813395342e-08
"116","Tau1.10.0","Tau1","4","10","1",1347.69875601861,2.59749930189358e-18
"117","Tau2.10.0","Tau2","5","10","1",3943191.0467809,7.9310258406671e-09
"118","NPQ.10.0","NPQ","6","10","1",0.326187086243614,4.79088002868144e-100
"119","qP.10.0","qP","7","10","1",0.670291009134107,2.4447146946726e-78
"120","ABQ.10.0","ABQ","8","10","1",0.0166879328195129,1.09393695589622e-39
"121","qm.10.0","qm","9","10","1",0.744195165884685,1.2223573473363e-78
"122","nTau1.10.0","nTau1","10","10","1",2.13708962960729,2.59749930189358e-18
"123","nTau2.10.0","nTau2","11","10","1",5.93474277322982,7.9310258406671e-09
"124","nCon.10.0","nCon","12","10","1",0.709674651527673,3.90657813395342e-08
"125","Fm.10.0","Fm","13","10","1",2739.68118194611,4.79088002868144e-100
"126","Fo.10.0","Fo","14","10","1",2462.8767821913,2.4447146946726e-78
"127","Quant.11.0","Quant","1","11","1",0.116582486336977,3.9265808127677e-76
"128","Sigma.11.0","Sigma","2","11","1",4.6767683877437,1.7416666827851e-39
"129","Connect.11.0","Connect","3","11","1",0.166750842483147,2.68734675831267e-05
"130","Tau1.11.0","Tau1","4","11","1",1498.01283447649,1.52323451315845e-20
"131","Tau2.11.0","Tau2","5","11","1",4429091.20389788,3.81033343168041e-07
"132","NPQ.11.0","NPQ","6","11","1",0.307595895604532,1.9617320512656e-98
"133","qP.11.0","qP","7","11","1",0.674977367198,7.85316162553539e-76
"134","ABQ.11.0","ABQ","8","11","1",-0.0298403462719181,1.7416666827851e-39
"135","qm.11.0","qm","9","11","1",0.704832118388752,3.9265808127677e-76
"136","nTau1.11.0","nTau1","10","11","1",2.37544753920819,1.52323451315845e-20
"137","nTau2.11.0","nTau2","11","11","1",6.66605211425589,3.81033343168041e-07
"138","nCon.11.0","nCon","12","11","1",0.531012890996909,2.68734675831267e-05
"139","Fm.11.0","Fm","13","11","1",2778.63353359778,1.9617320512656e-98
"140","Fo.11.0","Fo","14","11","1",2454.69352763165,7.85316162553539e-76
"141","Quant.12.0","Quant","1","12","1",0.126416681200497,8.62225379190323e-77
"142","Sigma.12.0","Sigma","2","12","1",4.7459304587247,2.53126945564707e-42
"143","Connect.12.0","Connect","3","12","1",0.236824103054108,3.30797180706973e-10
"144","Tau1.12.0","Tau1","4","12","1",1469.88401409277,3.65628411015675e-19
"145","Tau2.12.0","Tau2","5","12","1",3712000.17910508,1.48862657686644e-07
"146","NPQ.12.0","NPQ","6","12","1",0.300938074033495,3.7401275266581e-99
"147","qP.12.0","qP","7","12","1",0.683512001905713,1.72445075838065e-76
"148","ABQ.12.0","ABQ","8","12","1",-0.0450700701373574,2.53126945564707e-42
"149","qm.12.0","qm","9","12","1",0.679933537509054,8.62225379190323e-77
"150","nTau1.12.0","nTau1","10","12","1",2.33084275637621,3.65628411015675e-19
"151","nTau2.12.0","nTau2","11","12","1",5.58678643155169,1.48862657686644e-07
"152","nCon.12.0","nCon","12","12","1",0.754159018016484,3.30797180706973e-10
"153","Fm.12.0","Fm","13","12","1",2792.85376947775,3.7401275266581e-99
"154","Fo.12.0","Fo","14","12","1",2439.79046486207,1.72445075838065e-76
"155","Quant.13.0","Quant","1","13","1",0.132574435169913,3.32015753479255e-73
"156","Sigma.13.0","Sigma","2","13","1",5.07216962169456,7.72667481885679e-40
"157","Connect.13.0","Connect","3","13","1",0.236229686753791,1.18195259269806e-08
"158","Tau1.13.0","Tau1","4","13","1",1486.49527107503,8.25542173417971e-19
"159","Tau2.13.0","Tau2","5","13","1",3662010.79676441,6.47276672503207e-07
"160","NPQ.13.0","NPQ","6","13","1",0.285731768087668,1.24378974925651e-96
"161","qP.13.0","qP","7","13","1",0.676952440970144,6.64031506958511e-73
"162","ABQ.13.0","ABQ","8","13","1",-0.116909046264725,7.72667481885679e-40
"163","qm.13.0","qm","9","13","1",0.664343106632653,3.32015753479255e-73
"164","nTau1.13.0","nTau1","10","13","1",2.35718376535392,8.25542173417971e-19
"165","nTau2.13.0","nTau2","11","13","1",5.51154936541292,6.47276672503207e-07
"166","nCon.13.0","nCon","12","13","1",0.752266117726529,1.18195259269806e-08
"167","Fm.13.0","Fm","13","13","1",2825.88475613821,1.24378974925651e-96
"168","Fo.13.0","Fo","14","13","1",2451.24468073792,6.64031506958511e-73
"169","Quant.14.0","Quant","1","14","1",0.143195276829003,2.4118824771326e-72
"170","Sigma.14.0","Sigma","2","14","1",5.11387282075465,1.46450944917975e-40
"171","Connect.14.0","Connect","3","14","1",0.249077051844715,1.34296686215134e-09
"172","Tau1.14.0","Tau1","4","14","1",1615.76426726191,4.72867964650566e-18
"173","Tau2.14.0","Tau2","5","14","1",3647904.94718671,5.12618047685765e-06
"174","NPQ.14.0","NPQ","6","14","1",0.270841950858009,6.8770437148435e-96
"175","qP.14.0","qP","7","14","1",0.677894448960821,4.82376495426521e-72
"176","ABQ.14.0","ABQ","8","14","1",-0.126092232901299,1.46450944917975e-40
"177","qm.14.0","qm","9","14","1",0.6374528640933,2.4118824771326e-72
"178","nTau1.14.0","nTau1","10","14","1",2.56216980540699,4.72867964650566e-18
"179","nTau2.14.0","nTau2","11","14","1",5.49031920236772,5.12618047685765e-06
"180","nCon.14.0","nCon","12","14","1",0.793178153774046,1.34296686215134e-09
"181","Fm.14.0","Fm","13","14","1",2858.99422935206,6.8770437148435e-96
"182","Fo.14.0","Fo","14","14","1",2449.59975922747,4.82376495426521e-72
"183","Quant.15.0","Quant","1","15","1",0.143037386045647,1.76518605054013e-73
"184","Sigma.15.0","Sigma","2","15","1",5.04119535309704,5.99501388004837e-42
"185","Connect.15.0","Connect","3","15","1",0.253413981924075,1.77053345619404e-10
"186","Tau1.15.0","Tau1","4","15","1",1414.97204442841,4.48414862210495e-18
"187","Tau2.15.0","Tau2","5","15","1",3018197.45858142,1.78244670810065e-07
"188","NPQ.15.0","NPQ","6","15","1",0.255200591438895,1.46645908854945e-96
"189","qP.15.0","qP","7","15","1",0.660151731413845,3.53037210108026e-73
"190","ABQ.15.0","ABQ","8","15","1",-0.110088406700535,5.99501388004837e-42
"191","qm.15.0","qm","9","15","1",0.63785261786004,1.76518605054013e-73
"192","nTau1.15.0","nTau1","10","15","1",2.24376706502683,4.48414862210495e-18
"193","nTau2.15.0","nTau2","11","15","1",4.54257106566513,1.78244670810065e-07
