"","uni","metric","metrix","stage","col","ASnormalized.t5_icra13.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.296621991289391,1.16055350852601e-62
"2","Sigma.1.0","Sigma","2","1","1",4.4162267605418,8.9541644827055e-47
"3","Connect.1.0","Connect","3","1","1",0.253193650128145,1.85741643659092e-13
"4","Tau1.1.0","Tau1","4","1","1",732.735549466113,2.20767309280676e-28
"5","Tau2.1.0","Tau2","5","1","1",1905162.28398166,1.36315185084555e-18
"6","NPQ.1.0","NPQ","6","1","1",0.445072714751713,4.36776638314647e-87
"7","qP.1.0","qP","7","1","1",1.33293887002002,2.32110701705203e-62
"8","ABQ.1.0","ABQ","8","1","1",0,8.9541644827055e-47
"9","qm.1.0","qm","9","1","1",0,1.16055350852601e-62
"10","nTau1.1.0","nTau1","10","1","1",1,2.20767309280676e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.36315185084555e-18
"12","nCon.1.0","nCon","12","1","1",1,1.85741643659092e-13
"13","Fm.1.0","Fm","13","1","1",1791.70833211273,4.36776638314647e-87
"14","Fo.1.0","Fo","14","1","1",1260.24823883166,2.32110701705203e-62
"15","Quant.3.0","Quant","1","3","1",0.0403384010187164,7.48999747387655e-83
"16","Sigma.3.0","Sigma","2","3","1",2.8542225328426,2.37908198196835e-28
"17","Connect.3.0","Connect","3","3","1",0.59071338992255,1.5739494221276e-16
"18","Tau1.3.0","Tau1","4","3","1",3296.66329134327,3.08856903222992e-05
"19","Tau2.3.0","Tau2","5","3","1",7445000.61217663,1.72376835395496e-05
"20","NPQ.3.0","NPQ","6","3","1",-0.00931319864612011,6.15858778578605e-94
"21","qP.3.0","qP","7","3","1",0.0813304172568099,1.49799949476915e-82
"22","ABQ.3.0","ABQ","8","3","1",0.353696563241595,2.37908198196835e-28
"23","qm.3.0","qm","9","3","1",0.864007382448723,7.48999747387655e-83
"24","nTau1.3.0","nTau1","10","3","1",4.49911744250063,3.08856903222992e-05
"25","nTau2.3.0","nTau2","11","3","1",3.90780390456664,1.72376835395496e-05
"26","nCon.3.0","nCon","12","3","1",2.33304978076497,1.5739494221276e-16
"27","Fm.3.0","Fm","13","3","1",2613.4887635437,6.15858778578605e-94
"28","Fo.3.0","Fo","14","3","1",2508.06480574196,1.49799949476915e-82
"29","Quant.4.0","Quant","1","4","1",0.0429358230996302,1.17083974959951e-79
"30","Sigma.4.0","Sigma","2","4","1",2.63874357314517,8.08043695576386e-27
"31","Connect.4.0","Connect","3","4","1",0.552307577934235,9.48803253981063e-15
"32","Tau1.4.0","Tau1","4","4","1",1412.97536088557,3.06071363259242e-08
"33","Tau2.4.0","Tau2","5","4","1",5859558.92517002,1.06740382664826e-08
"34","NPQ.4.0","NPQ","6","4","1",0.0271724024713101,2.54980727423253e-92
"35","qP.4.0","qP","7","4","1",0.177255772491811,2.34167949919876e-79
"36","ABQ.4.0","ABQ","8","4","1",0.402489112035218,8.08043695576386e-27
"37","qm.4.0","qm","9","4","1",0.855250708442109,1.17083974959951e-79
"38","nTau1.4.0","nTau1","10","4","1",1.9283565017626,3.06071363259242e-08
"39","nTau2.4.0","nTau2","11","4","1",3.07562194277956,1.06740382664826e-08
"40","nCon.4.0","nCon","12","4","1",2.18136425480933,9.48803253981063e-15
"41","Fm.4.0","Fm","13","4","1",2520.65652980949,2.54980727423253e-92
"42","Fo.4.0","Fo","14","4","1",2412.43006695066,2.34167949919876e-79
"43","Quant.5.0","Quant","1","5","1",0.0554139269023879,1.19834573525522e-80
"44","Sigma.5.0","Sigma","2","5","1",3.38454776680808,7.63942801639876e-29
"45","Connect.5.0","Connect","3","5","1",0.453437204549818,2.70079503120666e-10
"46","Tau1.5.0","Tau1","4","5","1",1598.51869696506,2.16449281126857e-14
"47","Tau2.5.0","Tau2","5","5","1",9364034.53955488,1.5876859223164e-07
"48","NPQ.5.0","NPQ","6","5","1",0.0753074053726732,2.0378488835174e-94
"49","qP.5.0","qP","7","5","1",0.315710178053773,2.39669147051042e-80
"50","ABQ.5.0","ABQ","8","5","1",0.233610964670472,7.63942801639876e-29
"51","qm.5.0","qm","9","5","1",0.813183349415503,1.19834573525522e-80
"52","nTau1.5.0","nTau1","10","5","1",2.18157655668512,2.16449281126857e-14
"53","nTau2.5.0","nTau2","11","5","1",4.91508498687297,1.5876859223164e-07
"54","nCon.5.0","nCon","12","5","1",1.79087115462938,2.70079503120666e-10
"55","Fm.5.0","Fm","13","5","1",2407.82199638259,2.0378488835174e-94
"56","Fo.5.0","Fo","14","5","1",2274.39512428108,2.39669147051042e-80
"57","Quant.6.0","Quant","1","6","1",0.0563271096681599,9.05748849154216e-79
"58","Sigma.6.0","Sigma","2","6","1",3.77146295679765,3.6553660426879e-29
"59","Connect.6.0","Connect","3","6","1",0.180313728849227,0.00559769368396215
"60","Tau1.6.0","Tau1","4","6","1",1063.03298037896,3.14628602540762e-14
"61","Tau2.6.0","Tau2","5","6","1",7565925.5529402,1.16949273738171e-07
"62","NPQ.6.0","NPQ","6","6","1",0.117635874348534,1.29845172239781e-97
"63","qP.6.0","qP","7","6","1",0.404232539072781,1.81149769830843e-78
"64","ABQ.6.0","ABQ","8","6","1",0.145998799134365,3.6553660426879e-29
"65","qm.6.0","qm","9","6","1",0.810104741650103,9.05748849154216e-79
"66","nTau1.6.0","nTau1","10","6","1",1.45077303967783,3.14628602540762e-14
"67","nTau2.6.0","nTau2","11","6","1",3.97127615665786,1.16949273738171e-07
"68","nCon.6.0","nCon","12","6","1",0.712157389247195,0.00559769368396215
"69","Fm.6.0","Fm","13","6","1",2316.63002499684,1.29845172239781e-97
"70","Fo.6.0","Fo","14","6","1",2186.14095151829,1.81149769830843e-78
"71","Quant.7.0","Quant","1","7","1",0.0608228516571389,2.95773252781939e-78
