"","uni","metric","metrix","stage","col","ASnormalized.icra2.002r","pval"
"145","Tau2.12.0","Tau2","5","12","1",3856849.72035681,4.50326364834557e-08
"146","NPQ.12.0","NPQ","6","12","1",0.178037922404579,3.58710852235622e-101
"147","qP.12.0","qP","7","12","1",0.639650873144419,7.33092060639565e-78
"148","ABQ.12.0","ABQ","8","12","1",0.0334016369025618,4.4863258492761e-41
"149","qm.12.0","qm","9","12","1",0.604577075242732,3.66546030319783e-78
"150","nTau1.12.0","nTau1","10","12","1",1.50001958785985,2.05239039464481e-18
"151","nTau2.12.0","nTau2","11","12","1",1.80450691746917,4.50326364834557e-08
"152","nCon.12.0","nCon","12","12","1",0.660467752742907,9.98569221164035e-06
"153","Fm.12.0","Fm","13","12","1",2166.66715891578,3.58710852235622e-101
"154","Fo.12.0","Fo","14","12","1",1929.12014112894,7.33092060639565e-78
"155","Quant.13.0","Quant","1","13","1",0.115919993655108,8.39371245839463e-72
"156","Sigma.13.0","Sigma","2","13","1",5.10416151907438,6.18129758871311e-36
"157","Connect.13.0","Connect","3","13","1",0.217818134074546,6.34263548729315e-06
"158","Tau1.13.0","Tau1","4","13","1",1398.25745107441,6.91401072133609e-18
"159","Tau2.13.0","Tau2","5","13","1",4034047.27517896,1.14969926599778e-06
"160","NPQ.13.0","NPQ","6","13","1",0.154585791813198,3.36389087994823e-95
"161","qP.13.0","qP","7","13","1",0.613692084700552,1.67874249167893e-71
"162","ABQ.13.0","ABQ","8","13","1",0.0246930319859685,6.18129758871311e-36
"163","qm.13.0","qm","9","13","1",0.581916709227639,8.39371245839463e-72
"164","nTau1.13.0","nTau1","10","13","1",1.73961206369435,6.91401072133609e-18
"165","nTau2.13.0","nTau2","11","13","1",1.88741245868005,1.14969926599778e-06
"166","nCon.13.0","nCon","12","13","1",0.864915629150166,6.34263548729315e-06
"167","Fm.13.0","Fm","13","13","1",2210.67684751514,3.36389087994823e-95
"168","Fo.13.0","Fo","14","13","1",1954.41520137769,1.67874249167893e-71
"169","Quant.14.0","Quant","1","14","1",0.125419123031207,1.37131782950553e-69
"170","Sigma.14.0","Sigma","2","14","1",4.95766324433516,2.84022111162174e-35
"171","Connect.14.0","Connect","3","14","1",0.207577607792158,3.38013437521435e-05
"172","Tau1.14.0","Tau1","4","14","1",1396.41483956353,1.45918067060766e-18
"173","Tau2.14.0","Tau2","5","14","1",3577313.83006522,1.31816055461545e-07
"174","NPQ.14.0","NPQ","6","14","1",0.14179813091766,9.91445107822993e-93
"175","qP.14.0","qP","7","14","1",0.613020984941163,2.74263565901106e-69
"176","ABQ.14.0","ABQ","8","14","1",0.0526860309577365,2.84022111162174e-35
"177","qm.14.0","qm","9","14","1",0.547656637743785,1.37131782950553e-69
