"","uni","metric","metrix","stage","col","ASnormalized.t11_ahya1.002r","pval"
"79","qm.7.0","qm","9","7","1",0.888607107017958,5.64721463635267e-83
"80","nTau1.7.0","nTau1","10","7","1",2.79208555932214,2.88257892998236e-10
"81","nTau2.7.0","nTau2","11","7","1",8.257295819446,6.32210294756771e-06
"82","nCon.7.0","nCon","12","7","1",0.982917241687104,2.52856193204277e-06
"83","Fm.7.0","Fm","13","7","1",3329.31572037821,8.08840292970802e-102
"84","Fo.7.0","Fo","14","7","1",3185.97919033191,1.12944292727053e-82
"85","Quant.8.0","Quant","1","8","1",0.0456920373265111,2.14615335336413e-82
"86","Sigma.8.0","Sigma","2","8","1",3.4447869333445,1.43119946820374e-29
"87","Connect.8.0","Connect","3","8","1",0.3793281048308,2.32769432548989e-09
"88","Tau1.8.0","Tau1","4","8","1",2044.67486636667,8.39542995269605e-14
"89","Tau2.8.0","Tau2","5","8","1",11808197.3359746,5.33561480517323e-07
"90","NPQ.8.0","NPQ","6","8","1",0.118217377737009,3.78242928188058e-99
"91","qP.8.0","qP","7","8","1",0.320085362251427,4.29230670672827e-82
"92","ABQ.8.0","ABQ","8","8","1",0.262012222510632,1.43119946820374e-29
"93","qm.8.0","qm","9","8","1",0.881778599245319,2.14615335336413e-82
"94","nTau1.8.0","nTau1","10","8","1",2.97759146618429,8.39542995269605e-14
"95","nTau2.8.0","nTau2","11","8","1",13.8436817360375,5.33561480517323e-07
"96","nCon.8.0","nCon","12","8","1",1.25691962829079,2.32769432548989e-09
"97","Fm.8.0","Fm","13","8","1",3268.02325282439,3.78242928188058e-99
"98","Fo.8.0","Fo","14","8","1",3118.70061237243,4.29230670672827e-82
"99","Quant.9.0","Quant","1","9","1",0.0504243744075826,2.07874318328981e-83
"100","Sigma.9.0","Sigma","2","9","1",3.42743971224882,1.06128077018621e-31
"101","Connect.9.0","Connect","3","9","1",0.486586585905716,7.16070110752172e-15
"102","Tau1.9.0","Tau1","4","9","1",2567.33945215558,1.61157246306862e-12
"103","Tau2.9.0","Tau2","5","9","1",14687056.3377361,0.0157168079932954
"104","NPQ.9.0","NPQ","6","9","1",0.134950907740979,7.04784573582634e-99
"105","qP.9.0","qP","7","9","1",0.356666975651784,4.15748636657963e-83
"106","ABQ.9.0","ABQ","8","9","1",0.265728573446042,1.06128077018621e-31
"107","qm.9.0","qm","9","9","1",0.869534375715304,2.07874318328981e-83
"108","nTau1.9.0","nTau1","10","9","1",3.73873038167713,1.61157246306862e-12
"109","nTau2.9.0","nTau2","11","9","1",17.2187953667942,0.0157168079932954
"110","nCon.9.0","nCon","12","9","1",1.61232511617008,7.16070110752172e-15
"111","Fm.9.0","Fm","13","9","1",3219.84005407824,7.04784573582634e-99
"112","Fo.9.0","Fo","14","9","1",3057.48163365887,4.15748636657963e-83
"113","Quant.10.0","Quant","1","10","1",0.0897081568676457,5.61663283228839e-77
"114","Sigma.10.0","Sigma","2","10","1",4.96150331584321,3.82443435688908e-36
"115","Connect.10.0","Connect","3","10","1",0.214970145736827,5.04482116438307e-06
"116","Tau1.10.0","Tau1","4","10","1",1981.37049365201,9.18656562928817e-18
"117","Tau2.10.0","Tau2","5","10","1",4411542.35853767,5.48456431227755e-08
"118","NPQ.10.0","NPQ","6","10","1",0.196337799908855,1.10952622594001e-99
"119","qP.10.0","qP","7","10","1",0.522119771250602,1.12332656645768e-76
"120","ABQ.10.0","ABQ","8","10","1",-0.0629188033729333,3.82443435688908e-36
"121","qm.10.0","qm","9","10","1",0.767893388333106,5.61663283228839e-77
"122","nTau1.10.0","nTau1","10","10","1",2.88540343029265,9.18656562928817e-18
"123","nTau2.10.0","nTau2","11","10","1",5.17199930175483,5.48456431227755e-08
"124","nCon.10.0","nCon","12","10","1",0.712312618633076,5.04482116438307e-06
"125","Fm.10.0","Fm","13","10","1",3054.62252587461,1.10952622594001e-99
"126","Fo.10.0","Fo","14","10","1",2780.59796915201,1.12332656645768e-76
"127","Quant.11.0","Quant","1","11","1",0.0991089285877147,4.24653000797847e-79
"128","Sigma.11.0","Sigma","2","11","1",4.78343199981114,5.93636353316543e-40
"129","Connect.11.0","Connect","3","11","1",0.231344021407368,1.11713117942436e-08
"130","Tau1.11.0","Tau1","4","11","1",2107.34043244992,2.95363868708669e-18
"131","Tau2.11.0","Tau2","5","11","1",5693946.25749094,4.31711076694159e-05
"132","NPQ.11.0","NPQ","6","11","1",0.17841171432243,2.46833450500693e-101
"133","qP.11.0","qP","7","11","1",0.514264318602097,8.49306001595694e-79
"134","ABQ.11.0","ABQ","8","11","1",-0.0247700129554305,5.93636353316543e-40
"135","qm.11.0","qm","9","11","1",0.743570279407588,4.24653000797847e-79
"136","nTau1.11.0","nTau1","10","11","1",3.0688492293927,2.95363868708669e-18
"137","nTau2.11.0","nTau2","11","11","1",6.67546261025461,4.31711076694159e-05
"138","nCon.11.0","nCon","12","11","1",0.766568144283292,1.11713117942436e-08
"139","Fm.11.0","Fm","13","11","1",3101.08966818789,2.46833450500693e-101
"140","Fo.11.0","Fo","14","11","1",2793.74399371935,8.49306001595694e-79
"141","Quant.12.0","Quant","1","12","1",0.101147192758643,5.32202546752466e-76
"142","Sigma.12.0","Sigma","2","12","1",5.17450564347475,3.34975152849703e-38
"143","Connect.12.0","Connect","3","12","1",0.250969109504441,2.26192731127048e-08
"144","Tau1.12.0","Tau1","4","12","1",2007.94092785953,1.68099679171111e-16
"145","Tau2.12.0","Tau2","5","12","1",4204513.76410356,1.90393618911269e-07
"146","NPQ.12.0","NPQ","6","12","1",0.181437589291998,4.16322598923085e-99
"147","qP.12.0","qP","7","12","1",0.522307348871994,1.06440509350493e-75
"148","ABQ.12.0","ABQ","8","12","1",-0.108550976685971,3.34975152849703e-38
"149","qm.12.0","qm","9","12","1",0.738296571788178,5.32202546752466e-76
"150","nTau1.12.0","nTau1","10","12","1",2.92409706293349,1.68099679171111e-16
"151","nTau2.12.0","nTau2","11","12","1",4.92928334011745,1.90393618911269e-07
"152","nCon.12.0","nCon","12","12","1",0.831596699041054,2.26192731127048e-08
"153","Fm.12.0","Fm","13","12","1",3093.14721765948,4.16322598923085e-99
"154","Fo.12.0","Fo","14","12","1",2780.28405980401,1.06440509350493e-75
"155","Quant.13.0","Quant","1","13","1",0.107356223871656,6.94064500613079e-74
"156","Sigma.13.0","Sigma","2","13","1",5.04429561198056,1.56916034797447e-36
"157","Connect.13.0","Connect","3","13","1",0.218553541978939,2.6512002764647e-06
"158","Tau1.13.0","Tau1","4","13","1",2083.50254401184,1.68684163091027e-19
"159","Tau2.13.0","Tau2","5","13","1",4156557.70766647,9.72412145218268e-08
"160","NPQ.13.0","NPQ","6","13","1",0.170556740985139,4.55251735265139e-97
"161","qP.13.0","qP","7","13","1",0.51844714567877,1.38812900122616e-73
"162","ABQ.13.0","ABQ","8","13","1",-0.0806556630980488,1.56916034797447e-36
"163","qm.13.0","qm","9","13","1",0.722231620464944,6.94064500613079e-74
"164","nTau1.13.0","nTau1","10","13","1",3.03413491155537,1.68684163091027e-19
"165","nTau2.13.0","nTau2","11","13","1",4.87306067007382,9.72412145218268e-08
"166","nCon.13.0","nCon","12","13","1",0.724186352783786,2.6512002764647e-06
"167","Fm.13.0","Fm","13","13","1",3121.89940410864,4.55251735265139e-97
"168","Fo.13.0","Fo","14","13","1",2786.74407277637,1.38812900122616e-73
"169","Quant.14.0","Quant","1","14","1",0.113580586447802,7.84905191023478e-72
"170","Sigma.14.0","Sigma","2","14","1",5.08584403316966,5.95653792239804e-36
"171","Connect.14.0","Connect","3","14","1",0.291005689930124,5.4593058169167e-09
"172","Tau1.14.0","Tau1","4","14","1",2124.90491114041,2.05512461832727e-16
"173","Tau2.14.0","Tau2","5","14","1",3770330.79859097,1.84265166857791e-06
"174","NPQ.14.0","NPQ","6","14","1",0.165265838661714,6.10198481202016e-95
"175","qP.14.0","qP","7","14","1",0.522550439162491,1.56981038204696e-71
"176","ABQ.14.0","ABQ","8","14","1",-0.0895567149206571,5.95653792239804e-36
"177","qm.14.0","qm","9","14","1",0.706127001244341,7.84905191023478e-72
"178","nTau1.14.0","nTau1","10","14","1",3.09442779091223,2.05512461832727e-16
"179","nTau2.14.0","nTau2","11","14","1",4.42025638039234,1.84265166857791e-06
"180","nCon.14.0","nCon","12","14","1",0.964259592050604,5.4593058169167e-09
"181","Fm.14.0","Fm","13","14","1",3136.07442260028,6.10198481202016e-95
"182","Fo.14.0","Fo","14","14","1",2779.87725053739,1.56981038204696e-71
"183","Quant.15.0","Quant","1","15","1",0.11470037130895,2.12169640067222e-75
"184","Sigma.15.0","Sigma","2","15","1",5.2053805226703,1.37628540709838e-39
