"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1095","Connect.1.3","Connect","3","1","4",0.402667509422329,4.04176581869412e-32
"1096","Tau1.1.3","Tau1","4","1","4",661.150707792243,9.01865668936279e-26
"1097","Tau2.1.3","Tau2","5","1","4",968049.764108317,1.52759580188485e-19
"1098","NPQ.1.3","NPQ","6","1","4",0.997157364168591,7.98010247634386e-100
"1099","qP.1.3","qP","7","1","4",1.42823012976551,2.99712679129221e-71
"1100","ABQ.1.3","ABQ","8","1","4",0,5.1342154925651e-60
"1101","qm.1.3","qm","9","1","4",0,1.49856339564611e-71
"1102","nTau1.1.3","nTau1","10","1","4",1,9.01865668936279e-26
"1103","nTau2.1.3","nTau2","11","1","4",1,1.52759580188485e-19
"1104","nCon.1.3","nCon","12","1","4",1,4.04176581869412e-32
"1105","Fm.1.3","Fm","13","1","4",1405.41175258917,7.98010247634386e-100
"1106","Fo.1.3","Fo","14","1","4",885.778542888377,2.99712679129221e-71
"1107","Quant.3.3","Quant","1","3","4",0.0462908297911607,6.90286131655016e-94
"1108","Sigma.3.3","Sigma","2","3","4",2.4220223483387,2.83571456133949e-33
"1109","Connect.3.3","Connect","3","3","4",0.527362402526492,6.32099140480388e-16
"1110","Tau1.3.3","Tau1","4","3","4",2864.50531325401,1.99972674641971e-08
"1111","Tau2.3.3","Tau2","5","3","4",6546934.98800184,6.89560581229265e-12
"1112","NPQ.3.3","NPQ","6","3","4",0.147895440192275,2.83916239325168e-105
"1113","qP.3.3","qP","7","3","4",0.353013735067123,1.38057226330719e-93
"1114","ABQ.3.3","ABQ","8","3","4",0.297901856305942,2.83571456133949e-33
"1115","qm.3.3","qm","9","3","4",0.874800772908524,6.90286131655016e-94
"1116","nTau1.3.3","nTau1","10","3","4",4.33260568202271,1.99972674641971e-08
"1117","nTau2.3.3","nTau2","11","3","4",6.76301490970591,6.89560581229265e-12
"1118","nCon.3.3","nCon","12","3","4",1.30967209965128,6.32099140480388e-16
"1119","Fm.3.3","Fm","13","3","4",2445.19520950654,2.83916239325168e-105
"1120","Fo.3.3","Fo","14","3","4",2332.00509425711,1.38057226330719e-93
"1121","Quant.4.3","Quant","1","4","4",0.0517390390929479,1.00828324699345e-94
"1122","Sigma.4.3","Sigma","2","4","4",2.77337149632372,4.98509946157441e-34
"1123","Connect.4.3","Connect","3","4","4",0.510520312134342,3.23215202488254e-15
"1124","Tau1.4.3","Tau1","4","4","4",1809.7561197664,2.75810165874387e-07
"1125","Tau2.4.3","Tau2","5","4","4",3394173.85670813,2.71651554240982e-13
"1126","NPQ.4.3","NPQ","6","4","4",0.181400157735083,4.77158896250659e-109
"1127","qP.4.3","qP","7","4","4",0.411806963182791,2.0165664939869e-94
"1128","ABQ.4.3","ABQ","8","4","4",0.196052430862788,4.98509946157441e-34
"1129","qm.4.3","qm","9","4","4",0.860065422587658,1.00828324699345e-94
"1130","nTau1.4.3","nTau1","10","4","4",2.73728228441237,2.75810165874387e-07
"1131","nTau2.4.3","nTau2","11","4","4",3.5061977003161,2.71651554240982e-13
"1132","nCon.4.3","nCon","12","4","4",1.26784580376683,3.23215202488254e-15
"1133","Fm.4.3","Fm","13","4","4",2375.84904064483,4.77158896250659e-109
"1134","Fo.4.3","Fo","14","4","4",2252.92489425197,2.0165664939869e-94
"1135","Quant.5.3","Quant","1","5","4",0.0521368926723263,1.10518628987726e-88
