"","uni","metric","metrix","stage","col","ASnormalized.aglo6.005r","pval"
"1147","Fm.5.3","Fm","13","5","4",2768.37267637024,9.24698480830117e-109
"1148","Fo.5.3","Fo","14","5","4",2634.5048386613,9.9981299016858e-88
"1149","Quant.6.3","Quant","1","6","4",0.0456999439684687,1.1646928089721e-87
"1150","Sigma.6.3","Sigma","2","6","4",3.37071867613349,3.27730429355662e-28
"1151","Connect.6.3","Connect","3","6","4",0.34561636832414,1.08805613584455e-06
"1152","Tau1.6.3","Tau1","4","6","4",1320.94032849936,1.74678752374585e-10
"1153","Tau2.6.3","Tau2","5","6","4",8025458.90154496,3.82606393388169e-06
"1154","NPQ.6.3","NPQ","6","6","4",0.17575119483265,7.02282008972248e-110
"1155","qP.6.3","qP","7","6","4",0.405141326206701,2.32938561794421e-87
"1156","ABQ.6.3","ABQ","8","6","4",0.137044835269399,3.27730429355662e-28
"1157","qm.6.3","qm","9","6","4",0.875052096669299,1.1646928089721e-87
"1158","nTau1.6.3","nTau1","10","6","4",1.86531915253813,1.74678752374585e-10
"1159","nTau2.6.3","nTau2","11","6","4",7.62314608539308,3.82606393388169e-06
"1160","nCon.6.3","nCon","12","6","4",0.881612603944242,1.08805613584455e-06
"1161","Fm.6.3","Fm","13","6","4",2722.13070710772,7.02282008972248e-110
"1162","Fo.6.3","Fo","14","6","4",2597.72948631805,2.32938561794421e-87
"1163","Quant.7.3","Quant","1","7","4",0.0509565162770968,2.43336113920218e-83
"1164","Sigma.7.3","Sigma","2","7","4",3.07656601147031,2.01175233665381e-27
"1165","Connect.7.3","Connect","3","7","4",0.538997640979914,1.48290780207955e-14
"1166","Tau1.7.3","Tau1","4","7","4",812.793221280507,2.33646272676318e-08
"1167","Tau2.7.3","Tau2","5","7","4",6217610.39130559,1.55450585799736e-05
"1168","NPQ.7.3","NPQ","6","7","4",0.199471821661417,1.3918236413182e-104
"1169","qP.7.3","qP","7","7","4",0.449094232335568,4.86672227840437e-83
"1170","ABQ.7.3","ABQ","8","7","4",0.212352384068321,2.01175233665381e-27
"1171","qm.7.3","qm","9","7","4",0.86068013837713,2.43336113920218e-83
"1172","nTau1.7.3","nTau1","10","7","4",1.14775719235559,2.33646272676318e-08
"1173","nTau2.7.3","nTau2","11","7","4",5.90592424638249,1.55450585799736e-05
"1174","nCon.7.3","nCon","12","7","4",1.37489759552836,1.48290780207955e-14
"1175","Fm.7.3","Fm","13","7","4",2668.29814054272,1.3918236413182e-104
"1176","Fo.7.3","Fo","14","7","4",2532.33096291201,4.86672227840437e-83
"1177","Quant.8.3","Quant","1","8","4",0.0560237526953539,6.19270738312707e-81
"1178","Sigma.8.3","Sigma","2","8","4",3.36895963586497,2.53855765326304e-26
"1179","Connect.8.3","Connect","3","8","4",0.460303748257429,8.5727863514678e-10
"1180","Tau1.8.3","Tau1","4","8","4",1594.36768963028,5.78432688679194e-09
"1181","Tau2.8.3","Tau2","5","8","4",13105139.3538044,0.0158151180272978
"1182","NPQ.8.3","NPQ","6","8","4",0.224436441818085,4.10895240235519e-103
"1183","qP.8.3","qP","7","8","4",0.492696004577699,1.23854147662541e-80
"1184","ABQ.8.3","ABQ","8","8","4",0.13749517628879,2.53855765326304e-26
"1185","qm.8.3","qm","9","8","4",0.846825842044096,6.19270738312707e-81
"1186","nTau1.8.3","nTau1","10","8","4",2.25142992722004,5.78432688679194e-09
"1187","nTau2.8.3","nTau2","11","8","4",12.4481843330171,0.0158151180272978
"1188","nCon.8.3","nCon","12","8","4",1.17416194167614,8.5727863514678e-10
"1189","Fm.8.3","Fm","13","8","4",2613.89511293887,4.10895240235519e-103
"1190","Fo.8.3","Fo","14","8","4",2467.45489955999,1.23854147662541e-80
"1191","Quant.9.3","Quant","1","9","4",0.0632404117992319,1.16737069451859e-87
"1192","Sigma.9.3","Sigma","2","9","4",3.54157888527058,3.89783660709659e-31
"1193","Connect.9.3","Connect","3","9","4",0.120260180355707,0.0901118839644541
"1194","Tau1.9.3","Tau1","4","9","4",1179.18471934673,9.10248063177184e-13
"1195","Tau2.9.3","Tau2","5","9","4",9746863.41420268,0.00239423706362307
"1196","NPQ.9.3","NPQ","6","9","4",0.232618245981158,1.19791058012217e-109
"1197","qP.9.3","qP","7","9","4",0.516297172591271,2.33474138903717e-87
"1198","ABQ.9.3","ABQ","8","9","4",0.093302027254659,3.89783660709659e-31
"1199","qm.9.3","qm","9","9","4",0.827094823890024,1.16737069451859e-87
"1200","nTau1.9.3","nTau1","10","9","4",1.66514398411664,9.10248063177184e-13
"1201","nTau2.9.3","nTau2","11","9","4",9.25825732738307,0.00239423706362307
"1202","nCon.9.3","nCon","12","9","4",0.306764668780862,0.0901118839644541
"1203","Fm.9.3","Fm","13","9","4",2596.54474676783,1.19791058012217e-109
"1204","Fo.9.3","Fo","14","9","4",2432.3381877271,2.33474138903717e-87
"1205","Quant.10.3","Quant","1","10","4",0.102389919104549,9.44017493542822e-79
"1206","Sigma.10.3","Sigma","2","10","4",4.41224875385229,1.55911567234879e-35
"1207","Connect.10.3","Connect","3","10","4",0.313800380281039,2.09152861347008e-08
"1208","Tau1.10.3","Tau1","4","10","4",1523.26304998084,1.86801133810208e-15
"1209","Tau2.10.3","Tau2","5","10","4",3708527.10853781,8.36065924278539e-07
"1210","NPQ.10.3","NPQ","6","10","4",0.274211439772223,2.84013333986904e-105
"1211","qP.10.3","qP","7","10","4",0.635747175115728,1.88803498708564e-78
"1212","ABQ.10.3","ABQ","8","10","4",-0.129602680037544,1.55911567234879e-35
"1213","qm.10.3","qm","9","10","4",0.720056424508083,9.44017493542822e-79
"1214","nTau1.10.3","nTau1","10","10","4",2.15102202588578,1.86801133810208e-15
"1215","nTau2.10.3","nTau2","11","10","4",3.52262023353978,8.36065924278539e-07
"1216","nCon.10.3","nCon","12","10","4",0.800455058652779,2.09152861347008e-08
"1217","Fm.10.3","Fm","13","10","4",2511.78755069463,2.84013333986904e-105
"1218","Fo.10.3","Fo","14","10","4",2254.60582657119,1.88803498708564e-78
"1219","Quant.11.3","Quant","1","11","4",0.1190041612625,1.5936264583373e-83
"1220","Sigma.11.3","Sigma","2","11","4",4.40051979840025,1.44045857416293e-42
"1221","Connect.11.3","Connect","3","11","4",0.250297093050949,4.50625627788964e-09
"1222","Tau1.11.3","Tau1","4","11","4",1375.92978546814,1.26880656091117e-16
"1223","Tau2.11.3","Tau2","5","11","4",3319005.41582381,1.31217934745271e-07
"1224","NPQ.11.3","NPQ","6","11","4",0.247911068874783,3.81901324249537e-110
"1225","qP.11.3","qP","7","11","4",0.632449943907721,3.1872529166746e-83
"1226","ABQ.11.3","ABQ","8","11","4",-0.126599889340147,1.44045857416293e-42
"1227","qm.11.3","qm","9","11","4",0.674631538987502,1.5936264583373e-83
"1228","nTau1.11.3","nTau1","10","11","4",1.94297056877436,1.26880656091117e-16
"1229","nTau2.11.3","nTau2","11","11","4",3.15262509638733,1.31217934745271e-07
"1230","nCon.11.3","nCon","12","11","4",0.63846823295524,4.50625627788964e-09
"1231","Fm.11.3","Fm","13","11","4",2564.72477182082,3.81901324249537e-110
"1232","Fo.11.3","Fo","14","11","4",2259.51185148112,3.1872529166746e-83
"1233","Quant.12.3","Quant","1","12","4",0.123956693423659,5.18257421168383e-82
"1234","Sigma.12.3","Sigma","2","12","4",4.62784868441652,1.59100948066119e-42
"1235","Connect.12.3","Connect","3","12","4",0.309024831311796,3.57136672246865e-12
"1236","Tau1.12.3","Tau1","4","12","4",1313.32955199785,1.53687548597187e-17
"1237","Tau2.12.3","Tau2","5","12","4",3055915.87762513,3.64262207849968e-08
"1238","NPQ.12.3","NPQ","6","12","4",0.243781838572299,2.52186421389228e-109
"1239","qP.12.3","qP","7","12","4",0.635973446584695,1.03651484233677e-81
"1240","ABQ.12.3","ABQ","8","12","4",-0.184799536100709,1.59100948066119e-42
"1241","qm.12.3","qm","9","12","4",0.661090854777,5.18257421168383e-82
"1242","nTau1.12.3","nTau1","10","12","4",1.85457186375629,1.53687548597187e-17
"1243","nTau2.12.3","nTau2","11","12","4",2.90272412401539,3.64262207849968e-08
"1244","nCon.12.3","nCon","12","12","4",0.788273389762349,3.57136672246865e-12
"1245","Fm.12.3","Fm","13","12","4",2573.23939948051,2.52186421389228e-109
"1246","Fo.12.3","Fo","14","12","4",2254.26915213342,1.03651484233677e-81
"1247","Quant.13.3","Quant","1","13","4",0.130312318217329,2.64102635652181e-78
"1248","Sigma.13.3","Sigma","2","13","4",4.44941519013965,2.60640782959121e-40
"1249","Connect.13.3","Connect","3","13","4",0.34506747482861,1.16961661472885e-12
"1250","Tau1.13.3","Tau1","4","13","4",1478.70632196732,9.52069537549063e-18
"1251","Tau2.13.3","Tau2","5","13","4",3595822.60999983,3.89693236604133e-06
"1252","NPQ.13.3","NPQ","6","13","4",0.238552399075716,3.17600946641954e-105
"1253","qP.13.3","qP","7","13","4",0.640614533691304,5.28205271304362e-78
"1254","ABQ.13.3","ABQ","8","13","4",-0.139117852091474,2.60640782959121e-40
"1255","qm.13.3","qm","9","13","4",0.643713984624303,2.64102635652181e-78
"1256","nTau1.13.3","nTau1","10","13","4",2.08810281875363,9.52069537549063e-18
"1257","nTau2.13.3","nTau2","11","13","4",3.41556556322421,3.89693236604133e-06
"1258","nCon.13.3","nCon","12","13","4",0.88021246359143,1.16961661472885e-12
"1259","Fm.13.3","Fm","13","13","4",2584.10417981588,3.17600946641954e-105
"1260","Fo.13.3","Fo","14","13","4",2247.36357362899,5.28205271304362e-78
"1261","Quant.14.3","Quant","1","14","4",0.132826795173392,2.74030414633544e-84
"1262","Sigma.14.3","Sigma","2","14","4",4.72683237036745,3.65403150600287e-46
"1263","Connect.14.3","Connect","3","14","4",0.288967869382691,2.4617676594401e-13
"1264","Tau1.14.3","Tau1","4","14","4",1734.08976170178,1.01119111786634e-17
"1265","Tau2.14.3","Tau2","5","14","4",4279271.63203871,0.000204759587799677
"1266","NPQ.14.3","NPQ","6","14","4",0.244522674690505,6.21427327136978e-112
"1267","qP.14.3","qP","7","14","4",0.652206295702356,5.48060829267088e-84
"1268","ABQ.14.3","ABQ","8","14","4",-0.210140862750196,3.65403150600287e-46
"1269","qm.14.3","qm","9","14","4",0.636839170426496,2.74030414633544e-84
"1270","nTau1.14.3","nTau1","10","14","4",2.44873350819508,1.01119111786634e-17
"1271","nTau2.14.3","nTau2","11","14","4",4.06475357861838,0.000204759587799677
"1272","nCon.14.3","nCon","12","14","4",0.737111257253204,2.4617676594401e-13
"1273","Fm.14.3","Fm","13","14","4",2571.70760843588,6.21427327136978e-112
"1274","Fo.14.3","Fo","14","14","4",2230.11592868432,5.48060829267088e-84
"1275","Quant.15.3","Quant","1","15","4",0.138116231922648,2.06652964722451e-84
"1276","Sigma.15.3","Sigma","2","15","4",4.63638191363018,3.46236804150356e-47
"1277","Connect.15.3","Connect","3","15","4",0.271023899010542,9.07062823959868e-13
"1278","Tau1.15.3","Tau1","4","15","4",1459.08238763285,1.48432125381744e-17
"1279","Tau2.15.3","Tau2","5","15","4",3095325.60831407,8.24224111078382e-07
"1280","NPQ.15.3","NPQ","6","15","4",0.243690265600353,8.85993405952272e-112
"1281","qP.15.3","qP","7","15","4",0.660351450252376,4.13305929444902e-84
"1282","ABQ.15.3","ABQ","8","15","4",-0.186984172354661,3.46236804150356e-47
"1283","qm.15.3","qm","9","15","4",0.622377357692635,2.06652964722451e-84
"1284","nTau1.15.3","nTau1","10","15","4",2.06039157414061,1.48432125381744e-17
"1285","nTau2.15.3","nTau2","11","15","4",2.94015826179035,8.24224111078382e-07
"1286","nCon.15.3","nCon","12","15","4",0.691339031471203,9.07062823959868e-13
"1287","Fm.15.3","Fm","13","15","4",2573.42886721686,8.85993405952272e-112
"1288","Fo.15.3","Fo","14","15","4",2217.9965689559,4.13305929444902e-84
"1289","Quant.16.3","Quant","1","16","4",0.0507951405074796,1.54745583998696e-87
"1290","Sigma.16.3","Sigma","2","16","4",3.05614549024771,2.06698435145879e-30
"1291","Connect.16.3","Connect","3","16","4",0.477888042444837,2.09129410548682e-13
"1292","Tau1.16.3","Tau1","4","16","4",1149.82811060865,1.44752499373888e-09
"1293","Tau2.16.3","Tau2","5","16","4",6075858.10390196,3.7815711157247e-07
"1294","NPQ.16.3","NPQ","6","16","4",0.205267487812242,5.63031563303155e-108
"1295","qP.16.3","qP","7","16","4",0.456990122837238,3.09491167997391e-87
"1296","ABQ.16.3","ABQ","8","16","4",0.217580347582544,2.06698435145879e-30
"1297","qm.16.3","qm","9","16","4",0.861121354761902,1.54745583998696e-87
