"","uni","metric","metrix","stage","col","ASnormalized.t5_icra15.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.289359365373375,1.42454313263334e-63
"2","Sigma.1.0","Sigma","2","1","1",4.97005094168196,8.4331144481224e-48
"3","Connect.1.0","Connect","3","1","1",0.276930223704873,4.27347441226912e-15
"4","Tau1.1.0","Tau1","4","1","1",759.083195776317,2.46410445989471e-29
"5","Tau2.1.0","Tau2","5","1","1",1991984.52512301,5.82037997787505e-19
"6","NPQ.1.0","NPQ","6","1","1",0.449607412825447,9.78678767339818e-89
"7","qP.1.0","qP","7","1","1",0.977442681041312,2.84908626526667e-63
"8","ABQ.1.0","ABQ","8","1","1",0,8.4331144481224e-48
"9","qm.1.0","qm","9","1","1",0,1.42454313263334e-63
"10","nTau1.1.0","nTau1","10","1","1",1,2.46410445989471e-29
"11","nTau2.1.0","nTau2","11","1","1",1,5.82037997787505e-19
"12","nCon.1.0","nCon","12","1","1",1,4.27347441226912e-15
"13","Fm.1.0","Fm","13","1","1",2093.75823007458,9.78678767339818e-89
"14","Fo.1.0","Fo","14","1","1",1487.90967737491,2.84908626526667e-63
"15","Quant.3.0","Quant","1","3","1",0.0421834690945077,2.07650978323978e-81
"16","Sigma.3.0","Sigma","2","3","1",3.0117788035581,1.79813599413729e-27
"17","Connect.3.0","Connect","3","3","1",0.635771720980079,1.49586970554589e-17
"18","Tau1.3.0","Tau1","4","3","1",3018.97116074829,2.55264575968579e-07
"19","Tau2.3.0","Tau2","5","3","1",7523527.13230025,1.36164476812593e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0063820464265699,6.95358294550407e-93
"21","qP.3.0","qP","7","3","1",0.0925298607575168,4.15301956647261e-81
"22","ABQ.3.0","ABQ","8","3","1",0.394014500274145,1.79813599413729e-27
"23","qm.3.0","qm","9","3","1",0.854217716298637,2.07650978323978e-81
"24","nTau1.3.0","nTau1","10","3","1",3.97712816927897,2.55264575968579e-07
"25","nTau2.3.0","nTau2","11","3","1",3.77690039124961,1.36164476812593e-06
"26","nCon.3.0","nCon","12","3","1",2.29578307659776,1.49586970554589e-17
"27","Fm.3.0","Fm","13","3","1",3015.87996502663,6.95358294550407e-93
"28","Fo.3.0","Fo","14","3","1",2888.65968572918,4.15301956647261e-81
"29","Quant.4.0","Quant","1","4","1",0.0394580133014834,7.44056221660196e-86
"30","Sigma.4.0","Sigma","2","4","1",2.58460683667847,9.74663099906887e-31
"31","Connect.4.0","Connect","3","4","1",0.557867605028352,8.50206151691297e-18
"32","Tau1.4.0","Tau1","4","4","1",2073.96104880813,1.31516366946846e-07
"33","Tau2.4.0","Tau2","5","4","1",9344986.80949945,5.57303167927956e-06
"34","NPQ.4.0","NPQ","6","4","1",0.109550842546928,3.02164513457717e-97
"35","qP.4.0","qP","7","4","1",0.257502623726249,1.48811244331737e-85
"36","ABQ.4.0","ABQ","8","4","1",0.479963713248422,9.74663099906887e-31
"37","qm.4.0","qm","9","4","1",0.863636646940497,7.44056221660196e-86
"38","nTau1.4.0","nTau1","10","4","1",2.73219201840858,1.31516366946846e-07
"39","nTau2.4.0","nTau2","11","4","1",4.6912948828869,5.57303167927956e-06
"40","nCon.4.0","nCon","12","4","1",2.01446991796344,8.50206151691297e-18
"41","Fm.4.0","Fm","13","4","1",2735.45594721318,3.02164513457717e-97
