"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"79","qm.7.0","qm","9","7","1",0.866476165787284,1.2272262864193e-85
"80","nTau1.7.0","nTau1","10","7","1",2.17321955989489,3.14136938824642e-11
"81","nTau2.7.0","nTau2","11","7","1",7.40843198013111,4.86706459851055e-06
"82","nCon.7.0","nCon","12","7","1",1.34256443579716,8.52096348090303e-15
"83","Fm.7.0","Fm","13","7","1",2731.28969258823,1.28777343225638e-100
"84","Fo.7.0","Fo","14","7","1",2593.08713646403,2.45445257283859e-85
"85","Quant.8.0","Quant","1","8","1",0.054700504047395,4.19822206839419e-85
"86","Sigma.8.0","Sigma","2","8","1",3.26197504994393,9.26140619918625e-34
"87","Connect.8.0","Connect","3","8","1",0.387738825204131,1.16732051862079e-11
"88","Tau1.8.0","Tau1","4","8","1",1517.0256189857,9.32659763633043e-13
"89","Tau2.8.0","Tau2","5","8","1",8265867.04806073,2.35236152501658e-05
"90","NPQ.8.0","NPQ","6","8","1",0.314262101077893,1.55852395677261e-99
"91","qP.8.0","qP","7","8","1",0.556975893442423,8.39644413678837e-85
"92","ABQ.8.0","ABQ","8","8","1",0.211518706041865,9.26140619918625e-34
"93","qm.8.0","qm","9","8","1",0.855654977262982,4.19822206839419e-85
"94","nTau1.8.0","nTau1","10","8","1",2.53044737433281,9.32659763633043e-13
"95","nTau2.8.0","nTau2","11","8","1",8.2151036447842,2.35236152501658e-05
"96","nCon.8.0","nCon","12","8","1",1.19536642392485,1.16732051862079e-11
"97","Fm.8.0","Fm","13","8","1",2642.22566866647,1.55852395677261e-99
"98","Fo.8.0","Fo","14","8","1",2497.69459278344,8.39644413678837e-85
"99","Quant.9.0","Quant","1","9","1",0.0593942128523832,6.44415768338815e-83
"100","Sigma.9.0","Sigma","2","9","1",3.54664369111802,3.35307780512796e-32
"101","Connect.9.0","Connect","3","9","1",0.319549533803016,1.12781547070165e-07
"102","Tau1.9.0","Tau1","4","9","1",1449.47563212249,2.83251601573405e-13
"103","Tau2.9.0","Tau2","5","9","1",10038586.7710115,0.000441732915430256
"104","NPQ.9.0","NPQ","6","9","1",0.339432855450137,1.97111465557819e-98
"105","qP.9.0","qP","7","9","1",0.590744530936599,1.28883153667763e-82
"106","ABQ.9.0","ABQ","8","9","1",0.142708891403304,3.35307780512796e-32
"107","qm.9.0","qm","9","9","1",0.843269104116549,6.44415768338815e-83
"108","nTau1.9.0","nTau1","10","9","1",2.41777183032418,2.83251601573405e-13
"109","nTau2.9.0","nTau2","11","9","1",9.97693651392163,0.000441732915430256
"110","nCon.9.0","nCon","12","9","1",0.985144531987133,1.12781547070165e-07
"111","Fm.9.0","Fm","13","9","1",2592.57270321066,1.97111465557819e-98
"112","Fo.9.0","Fo","14","9","1",2438.58888824088,1.28883153667763e-82
"113","Quant.10.0","Quant","1","10","1",0.0975877265563372,1.45494243754298e-75
"114","Sigma.10.0","Sigma","2","10","1",4.1003976093022,2.63121890907629e-35
"115","Connect.10.0","Connect","3","10","1",0.212366456206996,1.54719782890965e-05
"116","Tau1.10.0","Tau1","4","10","1",1249.35164328773,1.62996123694224e-18
"117","Tau2.10.0","Tau2","5","10","1",4231610.07631664,4.81353288661775e-09
"118","NPQ.10.0","NPQ","6","10","1",0.401593811400385,1.64692793247107e-95
