"","uni","metric","metrix","stage","col","ASnormalized.t10_icra3.002r","pval"
"69","Fm.6.0","Fm","13","6","1",2583.52727799476,7.35068004246496e-100
"70","Fo.6.0","Fo","14","6","1",2465.88147464119,2.52878269587216e-81
"71","Quant.7.0","Quant","1","7","1",0.0554491706079399,2.39241097457265e-80
"72","Sigma.7.0","Sigma","2","7","1",3.66771341527083,1.31525572731842e-30
"73","Connect.7.0","Connect","3","7","1",0.348048974612306,1.28736477850533e-08
"74","Tau1.7.0","Tau1","4","7","1",1397.8956512532,9.94285011340366e-14
"75","Tau2.7.0","Tau2","5","7","1",12740001.2168867,0.00114041429589542
"76","NPQ.7.0","NPQ","6","7","1",0.253843223444079,5.40829020910755e-98
"77","qP.7.0","qP","7","7","1",0.52587326004144,4.7848219491453e-80
"78","ABQ.7.0","ABQ","8","7","1",0.202424632643723,1.31525572731842e-30
"79","qm.7.0","qm","9","7","1",0.843873354973153,2.39241097457265e-80
"80","nTau1.7.0","nTau1","10","7","1",2.1436015349629,9.94285011340366e-14
"81","nTau2.7.0","nTau2","11","7","1",12.2881466041763,0.00114041429589542
"82","nCon.7.0","nCon","12","7","1",1.15549097843336,1.28736477850533e-08
"83","Fm.7.0","Fm","13","7","1",2502.66958057025,5.40829020910755e-98
"84","Fo.7.0","Fo","14","7","1",2363.89862802191,4.7848219491453e-80
"85","Quant.8.0","Quant","1","8","1",0.0606988624426662,2.70234284610881e-82
"86","Sigma.8.0","Sigma","2","8","1",3.72781909256248,2.89947385875838e-33
"87","Connect.8.0","Connect","3","8","1",0.272649456047193,5.57226890490757e-07
"88","Tau1.8.0","Tau1","4","8","1",1499.32422621246,1.05397051344494e-14
"89","Tau2.8.0","Tau2","5","8","1",10887479.2866127,0.00179680056941566
"90","NPQ.8.0","NPQ","6","8","1",0.285437029024454,5.31330939224694e-100
"91","qP.8.0","qP","7","8","1",0.574051575349509,5.40468569221763e-82
"92","ABQ.8.0","ABQ","8","8","1",0.18935414369917,2.89947385875838e-33
"93","qm.8.0","qm","9","8","1",0.829091947702414,2.70234284610881e-82
"94","nTau1.8.0","nTau1","10","8","1",2.29913707066391,1.05397051344494e-14
"95","nTau2.8.0","nTau2","11","8","1",10.5013287947333,0.00179680056941566
"96","nCon.8.0","nCon","12","8","1",0.905171426200071,5.57226890490757e-07
"97","Fm.8.0","Fm","13","8","1",2441.15831679371,5.31330939224694e-100
"98","Fo.8.0","Fo","14","8","1",2292.98278392188,5.40468569221763e-82
"99","Quant.9.0","Quant","1","9","1",0.0665367401797274,1.70675482459563e-84
"100","Sigma.9.0","Sigma","2","9","1",3.82375507919313,2.5215625341654e-36
"101","Connect.9.0","Connect","3","9","1",0.235400300537688,8.32476902142375e-07
"102","Tau1.9.0","Tau1","4","9","1",1200.27426885875,2.21611328665173e-14
"103","Tau2.9.0","Tau2","5","9","1",10311197.0217309,0.00216532794793994
"104","NPQ.9.0","NPQ","6","9","1",0.310449724822508,2.83518633792662e-102
"105","qP.9.0","qP","7","9","1",0.613282368195466,3.41350964919126e-84
"106","ABQ.9.0","ABQ","8","9","1",0.168492050313945,2.5215625341654e-36
"107","qm.9.0","qm","9","9","1",0.812654402195939,1.70675482459563e-84
"108","nTau1.9.0","nTau1","10","9","1",1.84055924545977,2.21611328665173e-14
"109","nTau2.9.0","nTau2","11","9","1",9.94548575863784,0.00216532794793994
"110","nCon.9.0","nCon","12","9","1",0.781507613676451,8.32476902142375e-07
"111","Fm.9.0","Fm","13","9","1",2394.56366366338,2.83518633792662e-102
"112","Fo.9.0","Fo","14","9","1",2235.23720333039,3.41350964919126e-84
"113","Quant.10.0","Quant","1","10","1",0.102245671595242,1.125116274642e-75
"114","Sigma.10.0","Sigma","2","10","1",4.73745824849678,8.82618158643968e-38
"115","Connect.10.0","Connect","3","10","1",0.340516163661285,9.70272221821329e-13
"116","Tau1.10.0","Tau1","4","10","1",1103.13443800097,2.76788741455816e-16
"117","Tau2.10.0","Tau2","5","10","1",3234039.02627573,5.10309457900843e-10
"118","NPQ.10.0","NPQ","6","10","1",0.342390867032525,1.27554735109518e-97
"119","qP.10.0","qP","7","10","1",0.706124442370899,2.25023254928399e-75
"120","ABQ.10.0","ABQ","8","10","1",-0.0302004478179305,8.82618158643968e-38
"121","qm.10.0","qm","9","10","1",0.712109784516847,1.125116274642e-75
"122","nTau1.10.0","nTau1","10","10","1",1.69160027964134,2.76788741455816e-16
"123","nTau2.10.0","nTau2","11","10","1",3.1193360975373,5.10309457900843e-10
"124","nCon.10.0","nCon","12","10","1",1.13048273036757,9.70272221821329e-13
"125","Fm.10.0","Fm","13","10","1",2337.58689155445,1.27554735109518e-97
"126","Fo.10.0","Fo","14","10","1",2098.57874991523,2.25023254928399e-75
"127","Quant.11.0","Quant","1","11","1",0.115101415685291,9.00841636020715e-78
"128","Sigma.11.0","Sigma","2","11","1",4.82013609878793,9.26193906797709e-42
"129","Connect.11.0","Connect","3","11","1",0.25762030820327,6.12055381360317e-11
"130","Tau1.11.0","Tau1","4","11","1",1513.45153413188,3.59710260275935e-16
"131","Tau2.11.0","Tau2","5","11","1",3914009.74219227,2.34082718429146e-06
"132","NPQ.11.0","NPQ","6","11","1",0.313540896813777,4.78868380113216e-100
"133","qP.11.0","qP","7","11","1",0.695675205897442,1.80168327204143e-77
"134","ABQ.11.0","ABQ","8","11","1",-0.0481794470886032,9.26193906797709e-42
"135","qm.11.0","qm","9","11","1",0.675912233280334,9.00841636020715e-78
"136","nTau1.11.0","nTau1","10","11","1",2.32080057531379,3.59710260275935e-16
"137","nTau2.11.0","nTau2","11","11","1",3.77519002576565,2.34082718429146e-06
"138","nCon.11.0","nCon","12","11","1",0.855276020628087,6.12055381360317e-11
"139","Fm.11.0","Fm","13","11","1",2388.92850746353,4.78868380113216e-100
"140","Fo.11.0","Fo","14","11","1",2113.95945428353,1.80168327204143e-77
"141","Quant.12.0","Quant","1","12","1",0.122025099252645,3.41224861949e-74
"142","Sigma.12.0","Sigma","2","12","1",4.97894638019013,1.05603283769679e-39
"143","Connect.12.0","Connect","3","12","1",0.240328764713981,1.59247529886732e-08
"144","Tau1.12.0","Tau1","4","12","1",1308.52269376354,1.6984237657371e-16
"145","Tau2.12.0","Tau2","5","12","1",3173001.01998518,4.14123859977003e-08
"146","NPQ.12.0","NPQ","6","12","1",0.305217924673853,6.37854292969378e-97
"147","qP.12.0","qP","7","12","1",0.697825822026946,6.82449723898001e-74
"148","ABQ.12.0","ABQ","8","12","1",-0.0827140887544275,1.05603283769679e-39
"149","qm.12.0","qm","9","12","1",0.6564174153282,3.41224861949e-74
"150","nTau1.12.0","nTau1","10","12","1",2.00655267249076,1.6984237657371e-16
"151","nTau2.12.0","nTau2","11","12","1",3.06046295012105,4.14123859977003e-08
"152","nCon.12.0","nCon","12","12","1",0.797869667032827,1.59247529886732e-08
