"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.393815730808743,7.17494256945079e-57
"2","Sigma.1.0","Sigma","2","1","1",4.40951212441772,2.98854543445653e-49
"3","Connect.1.0","Connect","3","1","1",0.31781027090526,3.85008502930882e-19
"4","Tau1.1.0","Tau1","4","1","1",641.373841798099,1.95380179500636e-26
"5","Tau2.1.0","Tau2","5","1","1",786722.387589949,9.85632210508877e-23
"6","NPQ.1.0","NPQ","6","1","1",0.870244535834084,1.06251180769898e-83
"7","qP.1.0","qP","7","1","1",1.3527582453466,1.43498851389016e-56
"8","ABQ.1.0","ABQ","8","1","1",0,2.98854543445653e-49
"9","qm.1.0","qm","9","1","1",0,7.17494256945079e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.95380179500636e-26
"11","nTau2.1.0","nTau2","11","1","1",1,9.85632210508877e-23
"12","nCon.1.0","nCon","12","1","1",1,3.85008502930882e-19
"13","Fm.1.0","Fm","13","1","1",1777.55480268259,1.06251180769898e-83
"14","Fo.1.0","Fo","14","1","1",1077.52575901155,1.43498851389016e-56
"15","Quant.3.0","Quant","1","3","1",0.0596983531662139,6.97758479060996e-82
"16","Sigma.3.0","Sigma","2","3","1",2.95649039549147,1.13915119943067e-34
"17","Connect.3.0","Connect","3","3","1",0.424902447405142,7.47588558695348e-15
"18","Tau1.3.0","Tau1","4","3","1",2629.2496877465,3.82425288873085e-06
"19","Tau2.3.0","Tau2","5","3","1",2998769.10397989,2.24750231755341e-14
"20","NPQ.3.0","NPQ","6","3","1",0.17276155221795,4.5861360393233e-95
"21","qP.3.0","qP","7","3","1",0.39672460924591,1.39551695812195e-81
"22","ABQ.3.0","ABQ","8","3","1",0.329519839820855,1.13915119943067e-34
"23","qm.3.0","qm","9","3","1",0.848410440477792,6.97758479060996e-82
"24","nTau1.3.0","nTau1","10","3","1",4.09940274516867,3.82425288873085e-06
"25","nTau2.3.0","nTau2","11","3","1",3.81172463283565,2.24750231755341e-14
"26","nCon.3.0","nCon","12","3","1",1.33696889718144,7.47588558695348e-15
"27","Fm.3.0","Fm","13","3","1",2834.72983111994,4.5861360393233e-95
"28","Fo.3.0","Fo","14","3","1",2665.50112853094,1.39551695812195e-81
"29","Quant.4.0","Quant","1","4","1",0.0564550455070492,1.03521007691068e-79
"30","Sigma.4.0","Sigma","2","4","1",2.99392960691128,1.40600165674019e-31
"31","Connect.4.0","Connect","3","4","1",0.482972749319861,1.5426236498143e-15
"32","Tau1.4.0","Tau1","4","4","1",2582.72132664822,1.46391315504967e-06
"33","Tau2.4.0","Tau2","5","4","1",3536821.55960334,7.49535564209403e-12
"34","NPQ.4.0","NPQ","6","4","1",0.194467089122416,7.72602443342628e-95
"35","qP.4.0","qP","7","4","1",0.420451193134008,2.07042015382135e-79
"36","ABQ.4.0","ABQ","8","4","1",0.321029283413836,1.40600165674019e-31
"37","qm.4.0","qm","9","4","1",0.856646037498013,1.03521007691068e-79
"38","nTau1.4.0","nTau1","10","4","1",4.02685790771812,1.46391315504967e-06
"39","nTau2.4.0","nTau2","11","4","1",4.49564117583849,7.49535564209403e-12
"40","nCon.4.0","nCon","12","4","1",1.51968892617645,1.5426236498143e-15
"41","Fm.4.0","Fm","13","4","1",2783.21787777782,7.72602443342628e-95
"42","Fo.4.0","Fo","14","4","1",2626.09118583184,2.07042015382135e-79
"43","Quant.5.0","Quant","1","5","1",0.0549259886310092,2.81927108629342e-79
"44","Sigma.5.0","Sigma","2","5","1",3.71929440987017,8.50709030444554e-28
"45","Connect.5.0","Connect","3","5","1",0.324612337015478,7.33942682409378e-06
"46","Tau1.5.0","Tau1","4","5","1",1934.48601677775,2.39550827772803e-10
"47","Tau2.5.0","Tau2","5","5","1",5476670.63582481,4.47879083052906e-08
"48","NPQ.5.0","NPQ","6","5","1",0.189822638488993,7.34674345658648e-96
"49","qP.5.0","qP","7","5","1",0.411707558713983,5.63854217258684e-79
"50","ABQ.5.0","ABQ","8","5","1",0.156529270148836,8.50709030444554e-28
"51","qm.5.0","qm","9","5","1",0.860528708393104,2.81927108629342e-79
"52","nTau1.5.0","nTau1","10","5","1",3.01615982864907,2.39550827772803e-10
