"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"79","qm.7.0","qm","9","7","1",0.873122237943352,1.68136950073143e-83
"80","nTau1.7.0","nTau1","10","7","1",2.01430332632961,1.77355740115333e-14
"81","nTau2.7.0","nTau2","11","7","1",7.37127176400923,3.85091976371624e-07
"82","nCon.7.0","nCon","12","7","1",0.869659814076977,7.26235498856767e-07
"83","Fm.7.0","Fm","13","7","1",3223.06862538813,1.14145885929419e-100
"84","Fo.7.0","Fo","14","7","1",3079.41381699194,3.36273900146286e-83
"85","Quant.8.0","Quant","1","8","1",0.0508504363954742,3.82283189830133e-86
"86","Sigma.8.0","Sigma","2","8","1",3.46402120519971,1.5212682774826e-34
"87","Connect.8.0","Connect","3","8","1",0.252330929519089,5.1636828037441e-07
"88","Tau1.8.0","Tau1","4","8","1",1746.17129135724,5.53216766821929e-09
"89","Tau2.8.0","Tau2","5","8","1",11482845.7017966,0.00329740478009652
"90","NPQ.8.0","NPQ","6","8","1",0.0822340563064993,1.22851425081159e-103
"91","qP.8.0","qP","7","8","1",0.307994341748445,7.64566379660266e-86
"92","ABQ.8.0","ABQ","8","8","1",0.149468719403884,1.5212682774826e-34
"93","qm.8.0","qm","9","8","1",0.855246331319538,3.82283189830133e-86
"94","nTau1.8.0","nTau1","10","8","1",2.46934074290204,5.53216766821929e-09
"95","nTau2.8.0","nTau2","11","8","1",8.5055299392211,0.00329740478009652
"96","nCon.8.0","nCon","12","8","1",0.725717659863394,5.1636828037441e-07
"97","Fm.8.0","Fm","13","8","1",3163.13239995992,1.22851425081159e-103
"98","Fo.8.0","Fo","14","8","1",3002.2857370453,7.64566379660266e-86
"99","Quant.9.0","Quant","1","9","1",0.0492489672466591,4.88632246641417e-88
"100","Sigma.9.0","Sigma","2","9","1",3.83988570664855,1.04048161124033e-35
"101","Connect.9.0","Connect","3","9","1",0.198043417966614,2.16053221455105e-05
"102","Tau1.9.0","Tau1","4","9","1",1667.45437977882,2.78371637877242e-21
"103","Tau2.9.0","Tau2","5","9","1",14596830.758989,0.000154595467286167
"104","NPQ.9.0","NPQ","6","9","1",0.107975510814327,3.70955118071958e-107
"105","qP.9.0","qP","7","9","1",0.355407412369008,9.77264493282834e-88
"106","ABQ.9.0","ABQ","8","9","1",0.0571816065917433,1.04048161124033e-35
"107","qm.9.0","qm","9","9","1",0.859805162098622,4.88632246641417e-88
"108","nTau1.9.0","nTau1","10","9","1",2.35802355547714,2.78371637877242e-21
"109","nTau2.9.0","nTau2","11","9","1",10.8121091463329,0.000154595467286167
"110","nCon.9.0","nCon","12","9","1",0.569583784722698,2.16053221455105e-05
"111","Fm.9.0","Fm","13","9","1",3089.64374612139,3.70955118071958e-107
"112","Fo.9.0","Fo","14","9","1",2937.48198246481,9.77264493282834e-88
"113","Quant.10.0","Quant","1","10","1",0.0867980920132322,7.4386908255274e-76
"114","Sigma.10.0","Sigma","2","10","1",4.52944853399708,1.25095646271678e-34
"115","Connect.10.0","Connect","3","10","1",0.292614261770124,1.63261421730958e-08
"116","Tau1.10.0","Tau1","4","10","1",1929.08352420935,8.8403796250292e-21
"117","Tau2.10.0","Tau2","5","10","1",6889602.42254489,7.30693025452512e-06
"118","NPQ.10.0","NPQ","6","10","1",0.141274090712463,1.83256479784848e-97
"119","qP.10.0","qP","7","10","1",0.500517010456615,1.48773816510548e-75
"120","ABQ.10.0","ABQ","8","10","1",-0.112128775722272,1.25095646271678e-34
"121","qm.10.0","qm","9","10","1",0.752915743816548,7.4386908255274e-76
"122","nTau1.10.0","nTau1","10","10","1",2.72800530301276,8.8403796250292e-21
"123","nTau2.10.0","nTau2","11","10","1",5.10324018941725,7.30693025452512e-06
"124","nCon.10.0","nCon","12","10","1",0.841574743529031,1.63261421730958e-08
"125","Fm.10.0","Fm","13","10","1",2999.49822369673,1.83256479784848e-97
"126","Fo.10.0","Fo","14","10","1",2739.14750088278,1.48773816510548e-75
"127","Quant.11.0","Quant","1","11","1",0.0975262306480309,1.73012982515247e-78
"128","Sigma.11.0","Sigma","2","11","1",4.22490126343735,8.94298221413012e-39
"129","Connect.11.0","Connect","3","11","1",0.211934761415577,4.16346980375085e-07
"130","Tau1.11.0","Tau1","4","11","1",1664.23133697942,1.72999566741635e-18
"131","Tau2.11.0","Tau2","5","11","1",4912165.50260067,7.47353231666228e-07
"132","NPQ.11.0","NPQ","6","11","1",0.130989723324681,2.00743940798589e-99
"133","qP.11.0","qP","7","11","1",0.506051070850877,3.46025965030495e-78
"134","ABQ.11.0","ABQ","8","11","1",-0.0373523916624967,8.94298221413012e-39
"135","qm.11.0","qm","9","11","1",0.722376430182694,1.73012982515247e-78
"136","nTau1.11.0","nTau1","10","11","1",2.35346570314038,1.72999566741635e-18
"137","nTau2.11.0","nTau2","11","11","1",3.63852061011687,7.47353231666228e-07
"138","nCon.11.0","nCon","12","11","1",0.609536054067379,4.16346980375085e-07
"139","Fm.11.0","Fm","13","11","1",3026.77339788737,2.00743940798589e-99
"140","Fo.11.0","Fo","14","11","1",2731.58359736568,3.46025965030495e-78
"141","Quant.12.0","Quant","1","12","1",0.104554016453482,1.2252157675262e-77
"142","Sigma.12.0","Sigma","2","12","1",4.52704914606617,3.45307404132221e-39
"143","Connect.12.0","Connect","3","12","1",0.239639102327508,1.33521110614763e-08
"144","Tau1.12.0","Tau1","4","12","1",1625.53259230495,1.7531185675245e-20
"145","Tau2.12.0","Tau2","5","12","1",4943791.8412629,4.80236887404115e-07
"146","NPQ.12.0","NPQ","6","12","1",0.129253498568998,2.11462257139309e-99
"147","qP.12.0","qP","7","12","1",0.518565359611134,2.45043153505241e-77
"148","ABQ.12.0","ABQ","8","12","1",-0.111539646970272,3.45307404132221e-39
"149","qm.12.0","qm","9","12","1",0.702370745863138,1.2252157675262e-77
"150","nTau1.12.0","nTau1","10","12","1",2.29874003710932,1.7531185675245e-20
"151","nTau2.12.0","nTau2","11","12","1",3.66194675180207,4.80236887404115e-07
"152","nCon.12.0","nCon","12","12","1",0.689215265383181,1.33521110614763e-08
"153","Fm.12.0","Fm","13","12","1",3031.42705529017,2.11462257139309e-99
"154","Fo.12.0","Fo","14","12","1",2714.47918107383,2.45043153505241e-77
"155","Quant.13.0","Quant","1","13","1",0.111739300398748,5.15283024019081e-76
"156","Sigma.13.0","Sigma","2","13","1",4.86862290212439,2.97874091161432e-39
"157","Connect.13.0","Connect","3","13","1",0.19912677136134,1.46813153306421e-06
"158","Tau1.13.0","Tau1","4","13","1",1657.73416410866,1.00727846182096e-19
"159","Tau2.13.0","Tau2","5","13","1",4535409.14534385,4.87751529415692e-08
"160","NPQ.13.0","NPQ","6","13","1",0.123129109163208,5.97430255307164e-99
"161","qP.13.0","qP","7","13","1",0.523758886352516,1.03056604803816e-75
"162","ABQ.13.0","ABQ","8","13","1",-0.195407252550207,2.97874091161432e-39
"163","qm.13.0","qm","9","13","1",0.681916718615485,5.15283024019081e-76
"164","nTau1.13.0","nTau1","10","13","1",2.34427775361742,1.00727846182096e-19
"165","nTau2.13.0","nTau2","11","13","1",3.35945106937242,4.87751529415692e-08
"166","nCon.13.0","nCon","12","13","1",0.57269956879215,1.46813153306421e-06
"167","Fm.13.0","Fm","13","13","1",3047.95733626176,5.97430255307164e-99
"168","Fo.13.0","Fo","14","13","1",2707.38071586264,1.03056604803816e-75
"169","Quant.14.0","Quant","1","14","1",0.111737451720247,1.27209561669796e-80
"170","Sigma.14.0","Sigma","2","14","1",4.46995832896866,6.55530387998667e-44
"171","Connect.14.0","Connect","3","14","1",0.273993858799204,2.07273051687627e-13
"172","Tau1.14.0","Tau1","4","14","1",1768.56925518273,2.9850117690164e-21
"173","Tau2.14.0","Tau2","5","14","1",5340626.65615443,9.25397566972308e-06
"174","NPQ.14.0","NPQ","6","14","1",0.13334272382627,4.9083698116619e-102
"175","qP.14.0","qP","7","14","1",0.5416059202657,2.54419123339593e-80
"176","ABQ.14.0","ABQ","8","14","1",-0.0975219712980391,6.55530387998667e-44
"177","qm.14.0","qm","9","14","1",0.681921981166099,1.27209561669796e-80
"178","nTau1.14.0","nTau1","10","14","1",2.50101472867083,2.9850117690164e-21
"179","nTau2.14.0","nTau2","11","14","1",3.95588873157256,9.25397566972308e-06
"180","nCon.14.0","nCon","12","14","1",0.788021438369317,2.07273051687627e-13
"181","Fm.14.0","Fm","13","14","1",3020.48933290535,4.9083698116619e-102
"182","Fo.14.0","Fo","14","14","1",2682.98755189831,2.54419123339593e-80
"183","Quant.15.0","Quant","1","15","1",0.12081820542697,9.88676299138173e-76
"184","Sigma.15.0","Sigma","2","15","1",4.3060940300395,3.94002959518726e-40
"185","Connect.15.0","Connect","3","15","1",0.200899681455739,4.29809329206669e-07
"186","Tau1.15.0","Tau1","4","15","1",1625.55794220057,6.18842376567234e-21
"187","Tau2.15.0","Tau2","5","15","1",4057248.99763702,1.02941841210659e-07
"188","NPQ.15.0","NPQ","6","15","1",0.117345035744736,3.48158977718182e-97
"189","qP.15.0","qP","7","15","1",0.533855730861735,1.97735259827635e-75
"190","ABQ.15.0","ABQ","8","15","1",-0.0572878896466336,3.94002959518726e-40
"191","qm.15.0","qm","9","15","1",0.656072204711696,9.88676299138173e-76
"192","nTau1.15.0","nTau1","10","15","1",2.29877588555696,6.18842376567234e-21
