"","uni","metric","metrix","stage","col","ASnormalized.t1_icra2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.33361859958738,1.54723070850351e-57
"2","Sigma.1.0","Sigma","2","1","1",5.43793770388182,5.37819982329344e-46
"3","Connect.1.0","Connect","3","1","1",0.291015334708434,1.58756097768136e-14
"4","Tau1.1.0","Tau1","4","1","1",711.695553905865,6.55525302288777e-28
"5","Tau2.1.0","Tau2","5","1","1",1260583.42441827,3.59033565893007e-23
"6","NPQ.1.0","NPQ","6","1","1",0.551017117463478,2.46958560896951e-85
"7","qP.1.0","qP","7","1","1",1.07186316190001,3.09446141700702e-57
"8","ABQ.1.0","ABQ","8","1","1",0,5.37819982329344e-46
"9","qm.1.0","qm","9","1","1",0,1.54723070850351e-57
"10","nTau1.1.0","nTau1","10","1","1",1,6.55525302288777e-28
"11","nTau2.1.0","nTau2","11","1","1",1,3.59033565893007e-23
"12","nCon.1.0","nCon","12","1","1",1,1.58756097768136e-14
"13","Fm.1.0","Fm","13","1","1",1935.11840128132,2.46958560896951e-85
"14","Fo.1.0","Fo","14","1","1",1289.52691021008,3.09446141700702e-57
"15","Quant.3.0","Quant","1","3","1",0.0404753691582838,1.74556905648392e-80
"16","Sigma.3.0","Sigma","2","3","1",3.16340817793276,1.312055233795e-27
"17","Connect.3.0","Connect","3","3","1",0.432131129460147,1.38456517875759e-10
"18","Tau1.3.0","Tau1","4","3","1",4341.284859054,8.23984277995705e-07
"19","Tau2.3.0","Tau2","5","3","1",5448009.69922477,8.94364765701141e-08
"20","NPQ.3.0","NPQ","6","3","1",0.0142209699041425,1.51776989166177e-95
"21","qP.3.0","qP","7","3","1",0.101348456622089,3.49113811296783e-80
"22","ABQ.3.0","ABQ","8","3","1",0.418270610993836,1.312055233795e-27
"23","qm.3.0","qm","9","3","1",0.878677719982208,1.74556905648392e-80
"24","nTau1.3.0","nTau1","10","3","1",6.09991847669772,8.23984277995705e-07
"25","nTau2.3.0","nTau2","11","3","1",4.32181606841206,8.94364765701141e-08
"26","nCon.3.0","nCon","12","3","1",1.48490844956021,1.38456517875759e-10
"27","Fm.3.0","Fm","13","3","1",2959.31740100932,1.51776989166177e-95
"28","Fo.3.0","Fo","14","3","1",2839.53793674694,3.49113811296783e-80
"29","Quant.4.0","Quant","1","4","1",0.0413904080898126,3.53199361986924e-83
"30","Sigma.4.0","Sigma","2","4","1",3.12850450017246,9.33974118135239e-29
"31","Connect.4.0","Connect","3","4","1",0.422314071062999,1.66551122428388e-10
"32","Tau1.4.0","Tau1","4","4","1",3102.6599506492,1.18959728358548e-06
"33","Tau2.4.0","Tau2","5","4","1",5429199.15097069,3.0893259206704e-07
"34","NPQ.4.0","NPQ","6","4","1",0.0728462074277921,2.8287641582304e-98
"35","qP.4.0","qP","7","4","1",0.200105637307567,7.06398723973847e-83
"36","ABQ.4.0","ABQ","8","4","1",0.424689161492378,9.33974118135239e-29
"37","qm.4.0","qm","9","4","1",0.875934950446395,3.53199361986924e-83
"38","nTau1.4.0","nTau1","10","4","1",4.35953257487903,1.18959728358548e-06
"39","nTau2.4.0","nTau2","11","4","1",4.3068939713182,3.0893259206704e-07
"40","nCon.4.0","nCon","12","4","1",1.451174631351,1.66551122428388e-10
"41","Fm.4.0","Fm","13","4","1",2797.60672492091,2.8287641582304e-98
"42","Fo.4.0","Fo","14","4","1",2681.81264090163,7.06398723973847e-83
"43","Quant.5.0","Quant","1","5","1",0.0517185610253738,1.23911291268345e-77
"44","Sigma.5.0","Sigma","2","5","1",4.50371612639121,1.48336251862779e-26
"45","Connect.5.0","Connect","3","5","1",0.162594726091178,0.0316536549463858
"46","Tau1.5.0","Tau1","4","5","1",1971.67465189206,5.31996141767308e-16
"47","Tau2.5.0","Tau2","5","5","1",7651995.50204604,2.85620747145333e-07
"48","NPQ.5.0","NPQ","6","5","1",0.159188104788345,8.18444302922986e-99
"49","qP.5.0","qP","7","5","1",0.341922638589037,2.4782258253669e-77
"50","ABQ.5.0","ABQ","8","5","1",0.171797035634249,1.48336251862779e-26
"51","qm.5.0","qm","9","5","1",0.844976985427853,1.23911291268345e-77
"52","nTau1.5.0","nTau1","10","5","1",2.77039057089971,5.31996141767308e-16
"53","nTau2.5.0","nTau2","11","5","1",6.07020158588653,2.85620747145333e-07
"54","nCon.5.0","nCon","12","5","1",0.558715320806309,0.0316536549463858
"55","Fm.5.0","Fm","13","5","1",2589.22753978217,8.18444302922986e-99
"56","Fo.5.0","Fo","14","5","1",2455.31641725737,2.4782258253669e-77
"57","Quant.6.0","Quant","1","6","1",0.0590768034665897,8.65331732334807e-79
"58","Sigma.6.0","Sigma","2","6","1",4.32219912898687,2.91304863597e-30
"59","Connect.6.0","Connect","3","6","1",0.124089332012149,0.0459211076504864
"60","Tau1.6.0","Tau1","4","6","1",1586.92530391826,1.48583523616369e-17
"61","Tau2.6.0","Tau2","5","6","1",8806030.37614367,9.22681812951448e-07
"62","NPQ.6.0","NPQ","6","6","1",0.244287178747833,7.4456545477539e-100
"63","qP.6.0","qP","7","6","1",0.458178658755222,1.73066346466961e-78
"64","ABQ.6.0","ABQ","8","6","1",0.205176784959948,2.91304863597e-30
"65","qm.6.0","qm","9","6","1",0.822921133475004,8.65331732334807e-79
"66","nTau1.6.0","nTau1","10","6","1",2.22978111245607,1.48583523616369e-17
"67","nTau2.6.0","nTau2","11","6","1",6.98567838158547,9.22681812951448e-07
"68","nCon.6.0","nCon","12","6","1",0.42640135144931,0.0459211076504864
"69","Fm.6.0","Fm","13","6","1",2412.14553679344,7.4456545477539e-100
"70","Fo.6.0","Fo","14","6","1",2269.64368898348,1.73066346466961e-78
"71","Quant.7.0","Quant","1","7","1",0.0672921649956945,7.26853214394397e-80
"72","Sigma.7.0","Sigma","2","7","1",4.22641749045926,6.17731107326828e-34
"73","Connect.7.0","Connect","3","7","1",0.289202328262381,3.13623549149114e-08
"74","Tau1.7.0","Tau1","4","7","1",1372.70057928335,2.85086959190009e-13
"75","Tau2.7.0","Tau2","5","7","1",8646478.90126305,0.00103920139177235
"76","NPQ.7.0","NPQ","6","7","1",0.301118609175452,3.67959920134661e-100
"77","qP.7.0","qP","7","7","1",0.532116713816138,1.45370642878879e-79
"78","ABQ.7.0","ABQ","8","7","1",0.22279038109571,6.17731107326828e-34
"79","qm.7.0","qm","9","7","1",0.798296122941222,7.26853214394397e-80
"80","nTau1.7.0","nTau1","10","7","1",1.92877498215327,2.85086959190009e-13
"81","nTau2.7.0","nTau2","11","7","1",6.85910883308118,0.00103920139177235
"82","nCon.7.0","nCon","12","7","1",0.993770065595103,3.13623549149114e-08
"83","Fm.7.0","Fm","13","7","1",2306.78567160602,3.67959920134661e-100
"84","Fo.7.0","Fo","14","7","1",2151.5570695826,1.45370642878879e-79
"85","Quant.8.0","Quant","1","8","1",0.0736590857609309,9.13002730807392e-79
"86","Sigma.8.0","Sigma","2","8","1",4.04920642644452,1.69534253213373e-33
"87","Connect.8.0","Connect","3","8","1",0.224391434999069,2.15194759369859e-05
"88","Tau1.8.0","Tau1","4","8","1",1777.0908874718,5.15090611569532e-18
"89","Tau2.8.0","Tau2","5","8","1",10558098.5478008,1.23391451389911e-05
"90","NPQ.8.0","NPQ","6","8","1",0.348845389329244,2.6732064792088e-98
"91","qP.8.0","qP","7","8","1",0.588654688751935,1.82600546161478e-78
"92","ABQ.8.0","ABQ","8","8","1",0.255378298365936,1.69534253213373e-33
"93","qm.8.0","qm","9","8","1",0.779211693076967,9.13002730807392e-79
"94","nTau1.8.0","nTau1","10","8","1",2.49698185933427,5.15090611569532e-18
"95","nTau2.8.0","nTau2","11","8","1",8.37556510999906,1.23391451389911e-05
"96","nCon.8.0","nCon","12","8","1",0.771063955182587,2.15194759369859e-05
"97","Fm.8.0","Fm","13","8","1",2225.16367587424,2.6732064792088e-98
"98","Fo.8.0","Fo","14","8","1",2061.26015384091,1.82600546161478e-78
"99","Quant.9.0","Quant","1","9","1",0.0813266204349368,1.0784082824351e-80
"100","Sigma.9.0","Sigma","2","9","1",4.62304467053555,7.13809064276483e-37
"101","Connect.9.0","Connect","3","9","1",0.244862259797362,1.39728390022195e-07
"102","Tau1.9.0","Tau1","4","9","1",1369.8179971092,3.13334909384943e-16
"103","Tau2.9.0","Tau2","5","9","1",7469528.17929459,0.000188686764943455
"104","NPQ.9.0","NPQ","6","9","1",0.386260595839978,1.18688870488321e-101
"105","qP.9.0","qP","7","9","1",0.633883163305025,2.15681656487019e-80
"106","ABQ.9.0","ABQ","8","9","1",0.149853322660273,7.13809064276483e-37
"107","qm.9.0","qm","9","9","1",0.75622875782249,1.0784082824351e-80
"108","nTau1.9.0","nTau1","10","9","1",1.92472467980372,3.13334909384943e-16
"109","nTau2.9.0","nTau2","11","9","1",5.9254532739407,0.000188686764943455
"110","nCon.9.0","nCon","12","9","1",0.841406725328367,1.39728390022195e-07
"111","Fm.9.0","Fm","13","9","1",2165.1064552457,1.18688870488321e-101
"112","Fo.9.0","Fo","14","9","1",1989.0256643587,2.15681656487019e-80
"113","Quant.10.0","Quant","1","10","1",0.120871492630486,6.23603904681849e-72
"114","Sigma.10.0","Sigma","2","10","1",5.44669186544066,5.02107745273753e-38
"115","Connect.10.0","Connect","3","10","1",0.376618143882245,1.48273923860465e-14
"116","Tau1.10.0","Tau1","4","10","1",1299.33321794772,2.54207143199898e-20
"117","Tau2.10.0","Tau2","5","10","1",3010948.27060371,1.22431251120189e-10
"118","NPQ.10.0","NPQ","6","10","1",0.414844060707167,6.80713790283002e-96
"119","qP.10.0","qP","7","10","1",0.711569206312814,1.2472078093637e-71
"120","ABQ.10.0","ABQ","8","10","1",-0.00160983115944657,5.02107745273753e-38
"121","qm.10.0","qm","9","10","1",0.63769558178117,6.23603904681849e-72
"122","nTau1.10.0","nTau1","10","10","1",1.82568685558992,2.54207143199898e-20
"123","nTau2.10.0","nTau2","11","10","1",2.38853550846363,1.22431251120189e-10
"124","nCon.10.0","nCon","12","10","1",1.2941522282995,1.48273923860465e-14
"125","Fm.10.0","Fm","13","10","1",2121.36577313384,6.80713790283002e-96
"126","Fo.10.0","Fo","14","10","1",1864.95312571993,1.2472078093637e-71
"127","Quant.11.0","Quant","1","11","1",0.137136729145177,3.3278298447276e-72
"128","Sigma.11.0","Sigma","2","11","1",5.06172649971772,1.56238527268928e-39
"129","Connect.11.0","Connect","3","11","1",0.203091635305208,9.65629729770802e-07
"130","Tau1.11.0","Tau1","4","11","1",1377.65004899767,1.34462366220323e-19
"131","Tau2.11.0","Tau2","5","11","1",3319918.7229229,1.62230521492856e-07
"132","NPQ.11.0","NPQ","6","11","1",0.357196326465817,1.21307446469881e-95
"133","qP.11.0","qP","7","11","1",0.684492104425382,6.6556596894552e-72
"134","ABQ.11.0","ABQ","8","11","1",0.0691826984144284,1.56238527268928e-39
"135","qm.11.0","qm","9","11","1",0.588941595837919,3.3278298447276e-72
"136","nTau1.11.0","nTau1","10","11","1",1.93572945824513,1.34462366220323e-19
"137","nTau2.11.0","nTau2","11","11","1",2.63363666268654,1.62230521492856e-07
"138","nCon.11.0","nCon","12","11","1",0.697872624164922,9.65629729770802e-07
"139","Fm.11.0","Fm","13","11","1",2211.47206647813,1.21307446469881e-95
"140","Fo.11.0","Fo","14","11","1",1908.19802068539,6.6556596894552e-72
"141","Quant.12.0","Quant","1","12","1",0.138614178399101,2.24187501133047e-70
"142","Sigma.12.0","Sigma","2","12","1",5.09307858663669,1.24411783705778e-38
"143","Connect.12.0","Connect","3","12","1",0.25719154800985,1.1666825455012e-08
"144","Tau1.12.0","Tau1","4","12","1",1433.71788420989,1.45894233495766e-19
"145","Tau2.12.0","Tau2","5","12","1",3058085.37480533,5.24985502581974e-08
"146","NPQ.12.0","NPQ","6","12","1",0.34372820584374,1.05242490504929e-93
"147","qP.12.0","qP","7","12","1",0.674583102540637,4.48375002266094e-70
"148","ABQ.12.0","ABQ","8","12","1",0.0634172614737675,1.24411783705778e-38
"149","qm.12.0","qm","9","12","1",0.584513038030434,2.24187501133047e-70
"150","nTau1.12.0","nTau1","10","12","1",2.01451010385198,1.45894233495766e-19
"151","nTau2.12.0","nTau2","11","12","1",2.4259285943067,5.24985502581974e-08
"152","nCon.12.0","nCon","12","12","1",0.88377318077595,1.1666825455012e-08
"153","Fm.12.0","Fm","13","12","1",2233.637540429,1.05242490504929e-93
"154","Fo.12.0","Fo","14","12","1",1924.02370792104,4.48375002266094e-70
"155","Quant.13.0","Quant","1","13","1",0.148568253772682,4.25748573187507e-72
"156","Sigma.13.0","Sigma","2","13","1",5.36759314208624,3.13151036972819e-41
"157","Connect.13.0","Connect","3","13","1",0.219896581473647,1.96223262110115e-08
"158","Tau1.13.0","Tau1","4","13","1",1554.87710670072,2.86541599730414e-19
"159","Tau2.13.0","Tau2","5","13","1",3339422.11740151,1.94959103037483e-06
"160","NPQ.13.0","NPQ","6","13","1",0.328298162321425,1.96744748953976e-96
"161","qP.13.0","qP","7","13","1",0.674671915296002,8.51497146375014e-72
"162","ABQ.13.0","ABQ","8","13","1",0.0129358896011927,3.13151036972819e-41
"163","qm.13.0","qm","9","13","1",0.554676346113701,4.25748573187507e-72
"164","nTau1.13.0","nTau1","10","13","1",2.18475034467671,2.86541599730414e-19
"165","nTau2.13.0","nTau2","11","13","1",2.64910838324134,1.94959103037483e-06
"166","nCon.13.0","nCon","12","13","1",0.755618537057369,1.96223262110115e-08
"167","Fm.13.0","Fm","13","13","1",2259.58436881402,1.96744748953976e-96
"168","Fo.13.0","Fo","14","13","1",1923.88186488727,8.51497146375014e-72
"169","Quant.14.0","Quant","1","14","1",0.157301802970129,1.97177859198886e-70
"170","Sigma.14.0","Sigma","2","14","1",5.24157011022865,9.63026749170161e-41
"171","Connect.14.0","Connect","3","14","1",0.255073496854457,6.28676499484997e-10
"172","Tau1.14.0","Tau1","4","14","1",1513.96891163718,1.91771179815802e-19
"173","Tau2.14.0","Tau2","5","14","1",3018216.75222381,4.32547440625969e-07
"174","NPQ.14.0","NPQ","6","14","1",0.311975263898243,1.64391098553109e-94
"175","qP.14.0","qP","7","14","1",0.67219480287349,3.94355718397772e-70
"176","ABQ.14.0","ABQ","8","14","1",0.0361106736314745,9.63026749170161e-41
"177","qm.14.0","qm","9","14","1",0.528498101830413,1.97177859198886e-70
"178","nTau1.14.0","nTau1","10","14","1",2.12727043653477,1.91771179815802e-19
"179","nTau2.14.0","nTau2","11","14","1",2.39430147482437,4.32547440625969e-07
"180","nCon.14.0","nCon","12","14","1",0.876495038002082,6.28676499484997e-10
"181","Fm.14.0","Fm","13","14","1",2287.69691570852,1.64391098553109e-94
"182","Fo.14.0","Fo","14","14","1",1927.83806621837,3.94355718397772e-70
"183","Quant.15.0","Quant","1","15","1",0.160143976780773,1.01633616333621e-73
"184","Sigma.15.0","Sigma","2","15","1",5.45519112814935,1.82593173439504e-44
"185","Connect.15.0","Connect","3","15","1",0.215840832257426,9.14645530396414e-10
"186","Tau1.15.0","Tau1","4","15","1",1446.85934123328,1.1690761412095e-18
"187","Tau2.15.0","Tau2","5","15","1",2694212.19021514,1.13494786333758e-07
"188","NPQ.15.0","NPQ","6","15","1",0.307818509142987,5.28882669653132e-98
