"","uni","metric","metrix","stage","col","ASnormalized.t4_icra3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.346199585956234,1.75719896088852e-59
"2","Sigma.1.0","Sigma","2","1","1",4.76151681980998,1.86746803165208e-48
"3","Connect.1.0","Connect","3","1","1",0.30090518962841,4.81853115155093e-17
"4","Tau1.1.0","Tau1","4","1","1",598.122151141936,2.67247944817026e-28
"5","Tau2.1.0","Tau2","5","1","1",1443285.90460258,1.79413631208938e-20
"6","NPQ.1.0","NPQ","6","1","1",0.716029321114065,1.3182485208629e-85
"7","qP.1.0","qP","7","1","1",1.06155538546603,3.51439792177703e-59
"8","ABQ.1.0","ABQ","8","1","1",0,1.86746803165208e-48
"9","qm.1.0","qm","9","1","1",0,1.75719896088852e-59
"10","nTau1.1.0","nTau1","10","1","1",1,2.67247944817026e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.79413631208938e-20
"12","nCon.1.0","nCon","12","1","1",1,4.81853115155093e-17
"13","Fm.1.0","Fm","13","1","1",2019.54202687133,1.3182485208629e-85
"14","Fo.1.0","Fo","14","1","1",1320.37741334726,3.51439792177703e-59
"15","Quant.3.0","Quant","1","3","1",0.0599998045123637,1.03873678642064e-81
"16","Sigma.3.0","Sigma","2","3","1",2.88355591151831,1.57440982454043e-34
"17","Connect.3.0","Connect","3","3","1",0.466831278398456,1.40228512515404e-16
"18","Tau1.3.0","Tau1","4","3","1",2495.95707036644,9.35243881282673e-08
"19","Tau2.3.0","Tau2","5","3","1",3722094.26109665,2.82368678138336e-13
"20","NPQ.3.0","NPQ","6","3","1",0.211925470473446,3.84660164275028e-94
"21","qP.3.0","qP","7","3","1",0.384789231500723,2.0774735728409e-81
"22","ABQ.3.0","ABQ","8","3","1",0.394403921976824,1.57440982454043e-34
"23","qm.3.0","qm","9","3","1",0.8266901320906,1.03873678642064e-81
"24","nTau1.3.0","nTau1","10","3","1",4.17298885453607,9.35243881282673e-08
"25","nTau2.3.0","nTau2","11","3","1",2.57890293893056,2.82368678138336e-13
"26","nCon.3.0","nCon","12","3","1",1.55142315416676,1.40228512515404e-16
"27","Fm.3.0","Fm","13","3","1",2859.57628399334,3.84660164275028e-94
"28","Fo.3.0","Fo","14","3","1",2688.00226596555,2.0774735728409e-81
"29","Quant.4.0","Quant","1","4","1",0.0631647757092035,5.95744250551637e-80
"30","Sigma.4.0","Sigma","2","4","1",3.07940726576542,5.65268695364791e-33
"31","Connect.4.0","Connect","3","4","1",0.434800769763611,5.43809862759058e-14
"32","Tau1.4.0","Tau1","4","4","1",1027.33734492751,1.1179898889674e-10
"33","Tau2.4.0","Tau2","5","4","1",4206008.13429028,3.63148583903854e-11
"34","NPQ.4.0","NPQ","6","4","1",0.408724938213148,4.83657374836202e-95
"35","qP.4.0","qP","7","4","1",0.574464973901511,1.19148850110327e-79
"36","ABQ.4.0","ABQ","8","4","1",0.353271786638714,5.65268695364791e-33
"37","qm.4.0","qm","9","4","1",0.817548089970308,5.95744250551637e-80
"38","nTau1.4.0","nTau1","10","4","1",1.71760457787111,1.1179898889674e-10
"39","nTau2.4.0","nTau2","11","4","1",2.91418915744794,3.63148583903854e-11
"40","nCon.4.0","nCon","12","4","1",1.44497597499249,5.43809862759058e-14
"41","Fm.4.0","Fm","13","4","1",2460.09227161773,4.83657374836202e-95
"42","Fo.4.0","Fo","14","4","1",2304.70109505705,1.19148850110327e-79
"43","Quant.5.0","Quant","1","5","1",0.0660618426113837,6.99957689539728e-81
"44","Sigma.5.0","Sigma","2","5","1",3.61026363286835,2.70319184276886e-33
"45","Connect.5.0","Connect","3","5","1",0.326191542042466,5.26779265335146e-09
"46","Tau1.5.0","Tau1","4","5","1",1144.61668872669,1.92552110097429e-15
"47","Tau2.5.0","Tau2","5","5","1",5325905.14147675,2.26424583428818e-10
"48","NPQ.5.0","NPQ","6","5","1",0.547126802058081,8.89793702062325e-98
"49","qP.5.0","qP","7","5","1",0.679700266383138,1.39991537907946e-80
"50","ABQ.5.0","ABQ","8","5","1",0.241782866785625,2.70319184276886e-33
"51","qm.5.0","qm","9","5","1",0.809179891336626,6.99957689539728e-81
"52","nTau1.5.0","nTau1","10","5","1",1.91368382953446,1.92552110097429e-15
"53","nTau2.5.0","nTau2","11","5","1",3.69012482176446,2.26424583428818e-10
"54","nCon.5.0","nCon","12","5","1",1.08403428483664,5.26779265335146e-09
"55","Fm.5.0","Fm","13","5","1",2240.01893621337,8.89793702062325e-98
"56","Fo.5.0","Fo","14","5","1",2092.03915780272,1.39991537907946e-80
"57","Quant.6.0","Quant","1","6","1",0.0652574720982814,8.0348601072172e-77
"58","Sigma.6.0","Sigma","2","6","1",3.59620278604615,5.44362526420047e-29
"59","Connect.6.0","Connect","3","6","1",0.200976663868246,0.00276899200770846
"60","Tau1.6.0","Tau1","4","6","1",1107.61146001566,2.60442430507658e-13
"61","Tau2.6.0","Tau2","5","6","1",6903496.85653381,9.11575483371427e-06
"62","NPQ.6.0","NPQ","6","6","1",0.642733944388858,2.44135428220649e-94
"63","qP.6.0","qP","7","6","1",0.739111581300174,1.60697202144344e-76
"64","ABQ.6.0","ABQ","8","6","1",0.244735885194317,5.44362526420047e-29
"65","qm.6.0","qm","9","6","1",0.811503321362923,8.0348601072172e-77
"66","nTau1.6.0","nTau1","10","6","1",1.85181481391553,2.60442430507658e-13
"67","nTau2.6.0","nTau2","11","6","1",4.78318040418661,9.11575483371427e-06
"68","nCon.6.0","nCon","12","6","1",0.667906938117063,0.00276899200770846
"69","Fm.6.0","Fm","13","6","1",2109.64979762601,2.44135428220649e-94
"70","Fo.6.0","Fo","14","6","1",1971.97938482029,1.60697202144344e-76
"71","Quant.7.0","Quant","1","7","1",0.0686019356593617,1.46524022658173e-79
"72","Sigma.7.0","Sigma","2","7","1",3.7207896280536,4.72119214418397e-34
"73","Connect.7.0","Connect","3","7","1",0.324005297417946,7.55696174001258e-10
"74","Tau1.7.0","Tau1","4","7","1",1039.85093223021,3.52763939854216e-12
"75","Tau2.7.0","Tau2","5","7","1",6757944.07662379,5.44397757084712e-05
"76","NPQ.7.0","NPQ","6","7","1",0.671642198900875,4.44526567070953e-98
"77","qP.7.0","qP","7","7","1",0.759418014637254,2.93048045316345e-79
"78","ABQ.7.0","ABQ","8","7","1",0.218570516736706,4.72119214418397e-34
"79","qm.7.0","qm","9","7","1",0.80184281425445,1.46524022658173e-79
"80","nTau1.7.0","nTau1","10","7","1",1.73852603560146,3.52763939854216e-12
