"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"79","qm.7.0","qm","9","7","1",0.883124024376195,4.3209485461815e-85
"80","nTau1.7.0","nTau1","10","7","1",3.08441032361786,1.05236087533275e-13
"81","nTau2.7.0","nTau2","11","7","1",15.8024872470475,6.0757223110503e-05
"82","nCon.7.0","nCon","12","7","1",1.37517402789146,6.25720316842296e-13
"83","Fm.7.0","Fm","13","7","1",2777.65833623522,7.40981578331255e-101
"84","Fo.7.0","Fo","14","7","1",2653.94235236729,8.641897092363e-85
"85","Quant.8.0","Quant","1","8","1",0.0509171962793438,8.57641524700915e-82
"86","Sigma.8.0","Sigma","2","8","1",3.41704019115203,3.03167899893382e-30
"87","Connect.8.0","Connect","3","8","1",0.453380425842862,2.32862835208704e-12
"88","Tau1.8.0","Tau1","4","8","1",1996.81917912684,8.7697017151243e-13
"89","Tau2.8.0","Tau2","5","8","1",10882582.5906332,2.92056744430003e-06
"90","NPQ.8.0","NPQ","6","8","1",0.193969568724032,2.03910047932804e-97
"91","qP.8.0","qP","7","8","1",0.44229800187217,1.71528304940183e-81
"92","ABQ.8.0","ABQ","8","8","1",0.17393475352613,3.03167899893382e-30
"93","qm.8.0","qm","9","8","1",0.866388837685688,8.57641524700915e-82
"94","nTau1.8.0","nTau1","10","8","1",3.3184042763768,8.7697017151243e-13
"95","nTau2.8.0","nTau2","11","8","1",10.5527694633881,2.92056744430003e-06
"96","nCon.8.0","nCon","12","8","1",1.40848979501928,2.32862835208704e-12
"97","Fm.8.0","Fm","13","8","1",2718.16613427352,2.03910047932804e-97
"98","Fo.8.0","Fo","14","8","1",2579.76473569485,1.71528304940183e-81
"99","Quant.9.0","Quant","1","9","1",0.054408808015767,4.03314075034978e-80
"100","Sigma.9.0","Sigma","2","9","1",3.78966448374709,5.24051851936912e-29
"101","Connect.9.0","Connect","3","9","1",0.313894962237079,3.11395806272441e-06
"102","Tau1.9.0","Tau1","4","9","1",1794.45159507246,1.24454720965533e-10
"103","Tau2.9.0","Tau2","5","9","1",8603659.23488184,0.000823279152162133
"104","NPQ.9.0","NPQ","6","9","1",0.210984327245442,1.66986358909148e-97
"105","qP.9.0","qP","7","9","1",0.472600398748806,8.06628150069957e-80
"106","ABQ.9.0","ABQ","8","9","1",0.0838532909487442,5.24051851936912e-29
"107","qm.9.0","qm","9","9","1",0.857226544068923,4.03314075034978e-80
"108","nTau1.9.0","nTau1","10","9","1",2.9821006874761,1.24454720965533e-10
"109","nTau2.9.0","nTau2","11","9","1",8.34291232720845,0.000823279152162133
"110","nCon.9.0","nCon","12","9","1",0.975158665478257,3.11395806272441e-06
"111","Fm.9.0","Fm","13","9","1",2679.97493777725,1.66986358909148e-97
"112","Fo.9.0","Fo","14","9","1",2534.16069590066,8.06628150069957e-80
"113","Quant.10.0","Quant","1","10","1",0.0922488526401398,1.12659786386629e-76
"114","Sigma.10.0","Sigma","2","10","1",4.72349839555006,1.22300463100327e-36
"115","Connect.10.0","Connect","3","10","1",0.281303272244556,3.32777894701398e-09
"116","Tau1.10.0","Tau1","4","10","1",1233.43943971346,2.14160052684619e-18
"117","Tau2.10.0","Tau2","5","10","1",3623466.67587826,6.23983922880264e-12
"118","NPQ.10.0","NPQ","6","10","1",0.258937950204702,1.21252091706596e-98
"119","qP.10.0","qP","7","10","1",0.601556997534795,2.25319572773257e-76
"120","ABQ.10.0","ABQ","8","10","1",-0.141899904028781,1.22300463100327e-36
"121","qm.10.0","qm","9","10","1",0.757930967844532,1.12659786386629e-76
"122","nTau1.10.0","nTau1","10","10","1",2.04978535572096,2.14160052684619e-18
"123","nTau2.10.0","nTau2","11","10","1",3.51365203712987,6.23983922880264e-12
"124","nCon.10.0","nCon","12","10","1",0.873908015603905,3.32777894701398e-09
"125","Fm.10.0","Fm","13","10","1",2577.89325242846,1.21252091706596e-98
"126","Fo.10.0","Fo","14","10","1",2340.08555766318,2.25319572773257e-76
"127","Quant.11.0","Quant","1","11","1",0.101760726325389,2.11545159187879e-76
"128","Sigma.11.0","Sigma","2","11","1",4.57273531224069,1.52285332145144e-37
"129","Connect.11.0","Connect","3","11","1",0.20845072260753,2.62939624703178e-06
"130","Tau1.11.0","Tau1","4","11","1",1801.59000544278,3.12720322197203e-15
"131","Tau2.11.0","Tau2","5","11","1",4227337.99422831,6.65681791908573e-06
"132","NPQ.11.0","NPQ","6","11","1",0.247267949378559,4.38296169237698e-98
"133","qP.11.0","qP","7","11","1",0.603454135658442,4.23090318375759e-76
"134","ABQ.11.0","ABQ","8","11","1",-0.10545311481758,1.52285332145144e-37
"135","qm.11.0","qm","9","11","1",0.732970981990232,2.11545159187879e-76
"136","nTau1.11.0","nTau1","10","11","1",2.99396362015776,3.12720322197203e-15
"137","nTau2.11.0","nTau2","11","11","1",4.09922212171486,6.65681791908573e-06
"138","nCon.11.0","nCon","12","11","1",0.647581366159071,2.62939624703178e-06
"139","Fm.11.0","Fm","13","11","1",2602.01318303402,4.38296169237698e-98
"140","Fo.11.0","Fo","14","11","1",2337.23043162024,4.23090318375759e-76
"141","Quant.12.0","Quant","1","12","1",0.105770374649416,2.61039082518381e-74
"142","Sigma.12.0","Sigma","2","12","1",4.90910520031913,9.87802382885139e-37
"143","Connect.12.0","Connect","3","12","1",0.220027999918449,2.05707901688714e-06
"144","Tau1.12.0","Tau1","4","12","1",1626.3725781416,3.79367202775681e-17
"145","Tau2.12.0","Tau2","5","12","1",3707907.0344655,6.55345615258866e-08
"146","NPQ.12.0","NPQ","6","12","1",0.246304876372956,4.64251727096797e-97
"147","qP.12.0","qP","7","12","1",0.609191905959961,5.22078165036761e-74
"148","ABQ.12.0","ABQ","8","12","1",-0.186770119874002,9.87802382885139e-37
"149","qm.12.0","qm","9","12","1",0.722449315201949,2.61039082518381e-74
"150","nTau1.12.0","nTau1","10","12","1",2.70277938768949,3.79367202775681e-17
"151","nTau2.12.0","nTau2","11","12","1",3.59553330291911,6.55345615258866e-08
"152","nCon.12.0","nCon","12","12","1",0.683547799681697,2.05707901688714e-06
