"","uni","metric","metrix","stage","col","ASnormalized.t1_aglo1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.374063799824347,3.32499537248756e-58
"2","Sigma.1.0","Sigma","2","1","1",4.31008164833321,4.77781984820182e-49
"3","Connect.1.0","Connect","3","1","1",0.322920959598013,2.54938724467259e-19
"4","Tau1.1.0","Tau1","4","1","1",594.470760418395,9.11896580502665e-31
"5","Tau2.1.0","Tau2","5","1","1",1075244.65049571,6.4907540244181e-29
"6","NPQ.1.0","NPQ","6","1","1",0.846965997855865,4.21086659144743e-84
"7","qP.1.0","qP","7","1","1",1.32344540876346,6.64999074497511e-58
"8","ABQ.1.0","ABQ","8","1","1",0,4.77781984820182e-49
"9","qm.1.0","qm","9","1","1",0,3.32499537248756e-58
"10","nTau1.1.0","nTau1","10","1","1",1,9.11896580502665e-31
"11","nTau2.1.0","nTau2","11","1","1",1,6.4907540244181e-29
"12","nCon.1.0","nCon","12","1","1",1,2.54938724467259e-19
"13","Fm.1.0","Fm","13","1","1",1727.27109437621,4.21086659144743e-84
"14","Fo.1.0","Fo","14","1","1",1081.16150548709,6.64999074497511e-58
"15","Quant.3.0","Quant","1","3","1",0.0461839512390218,1.55131068592566e-86
"16","Sigma.3.0","Sigma","2","3","1",2.67201764477704,1.77906474277224e-33
"17","Connect.3.0","Connect","3","3","1",0.525941706278083,5.22835809412724e-17
"18","Tau1.3.0","Tau1","4","3","1",5741.41674434459,0.000499376148916803
"19","Tau2.3.0","Tau2","5","3","1",4720344.30182344,2.43353089038761e-06
"20","NPQ.3.0","NPQ","6","3","1",0.101819493119526,4.48128516624453e-95
"21","qP.3.0","qP","7","3","1",0.268905720008028,3.10262136737004e-86
"22","ABQ.3.0","ABQ","8","3","1",0.380054054008384,1.77906474277224e-33
"23","qm.3.0","qm","9","3","1",0.876534561054267,1.55131068592566e-86
"24","nTau1.3.0","nTau1","10","3","1",9.65803051491334,0.000499376148916803
"25","nTau2.3.0","nTau2","11","3","1",4.39001886654099,2.43353089038761e-06
"26","nCon.3.0","nCon","12","3","1",1.62870105097173,5.22835809412724e-17
"27","Fm.3.0","Fm","13","3","1",2895.40255941549,4.48128516624453e-95
"28","Fo.3.0","Fo","14","3","1",2761.68142879411,3.10262136737004e-86
"29","Quant.4.0","Quant","1","4","1",0.0456943783925856,3.65622622356517e-81
"30","Sigma.4.0","Sigma","2","4","1",2.62243800891822,2.70258127787032e-29
"31","Connect.4.0","Connect","3","4","1",0.546692586554451,1.65839592684896e-16
"32","Tau1.4.0","Tau1","4","4","1",3064.77566561609,2.71831760857306e-06
"33","Tau2.4.0","Tau2","5","4","1",4512432.81755064,8.7213589825286e-10
"34","NPQ.4.0","NPQ","6","4","1",0.138598359591738,1.15262767375961e-93
"35","qP.4.0","qP","7","4","1",0.324023372509334,7.31245244712919e-81
"36","ABQ.4.0","ABQ","8","4","1",0.391557231883911,2.70258127787032e-29
"37","qm.4.0","qm","9","4","1",0.877843356095825,3.65622622356517e-81
"38","nTau1.4.0","nTau1","10","4","1",5.15546914949873,2.71831760857306e-06
"39","nTau2.4.0","nTau2","11","4","1",4.1966568403482,8.7213589825286e-10
"40","nCon.4.0","nCon","12","4","1",1.69296098721804,1.65839592684896e-16
"41","Fm.4.0","Fm","13","4","1",2801.87561620592,1.15262767375961e-93
"42","Fo.4.0","Fo","14","4","1",2673.84565159005,7.31245244712919e-81
"43","Quant.5.0","Quant","1","5","1",0.0521598626796582,9.17792969770677e-81
"44","Sigma.5.0","Sigma","2","5","1",3.43711096060169,4.59117115470619e-28
"45","Connect.5.0","Connect","3","5","1",0.454524027285446,6.03066725259401e-10
"46","Tau1.5.0","Tau1","4","5","1",2012.59972829335,4.26110138160528e-10
"47","Tau2.5.0","Tau2","5","5","1",5414895.28397063,4.35043676352125e-11
"48","NPQ.5.0","NPQ","6","5","1",0.157008418015903,7.1684370406785e-95
"49","qP.5.0","qP","7","5","1",0.361907828346053,1.83558593954135e-80
"50","ABQ.5.0","ABQ","8","5","1",0.202541566252953,4.59117115470619e-28
"51","qm.5.0","qm","9","5","1",0.860558913468367,9.17792969770677e-81
"52","nTau1.5.0","nTau1","10","5","1",3.38553190888121,4.26110138160528e-10
"53","nTau2.5.0","nTau2","11","5","1",5.03596579762033,4.35043676352125e-11
"54","nCon.5.0","nCon","12","5","1",1.40753956587785,6.03066725259401e-10
"55","Fm.5.0","Fm","13","5","1",2757.29279987685,7.1684370406785e-95
"56","Fo.5.0","Fo","14","5","1",2613.47278606767,1.83558593954135e-80
"57","Quant.6.0","Quant","1","6","1",0.0496519857079675,7.41750785942064e-84
"58","Sigma.6.0","Sigma","2","6","1",3.59252574946847,1.95967965779311e-31
"59","Connect.6.0","Connect","3","6","1",0.271391672108834,3.84007815071976e-06
"60","Tau1.6.0","Tau1","4","6","1",1507.56648259922,9.42685271865574e-12
"61","Tau2.6.0","Tau2","5","6","1",6205418.84752146,1.51783640855849e-09
"62","NPQ.6.0","NPQ","6","6","1",0.203884333887788,4.97660178549908e-101
"63","qP.6.0","qP","7","6","1",0.421593676361068,1.48350157188413e-83
"64","ABQ.6.0","ABQ","8","6","1",0.166483133594983,1.95967965779311e-31
"65","qm.6.0","qm","9","6","1",0.867263323178337,7.41750785942064e-84
"66","nTau1.6.0","nTau1","10","6","1",2.53598088077231,9.42685271865574e-12
"67","nTau2.6.0","nTau2","11","6","1",5.77116923544854,1.51783640855849e-09
"68","nCon.6.0","nCon","12","6","1",0.840427553685816,3.84007815071976e-06
"69","Fm.6.0","Fm","13","6","1",2649.93146815839,4.97660178549908e-101
"70","Fo.6.0","Fo","14","6","1",2518.3571087743,1.48350157188413e-83
"71","Quant.7.0","Quant","1","7","1",0.0545506135912521,1.66392230892497e-79
"72","Sigma.7.0","Sigma","2","7","1",3.42360043718672,6.16464368792042e-30
"73","Connect.7.0","Connect","3","7","1",0.346137881855344,2.59585472875904e-08
"74","Tau1.7.0","Tau1","4","7","1",1377.14752474848,6.06015495869887e-15
"75","Tau2.7.0","Tau2","5","7","1",8207938.37718617,6.93588507249821e-06
"76","NPQ.7.0","NPQ","6","7","1",0.251787601297282,1.42629211032636e-96
"77","qP.7.0","qP","7","7","1",0.489901987185185,3.32784461784995e-79
"78","ABQ.7.0","ABQ","8","7","1",0.205676199078342,6.16464368792042e-30
"79","qm.7.0","qm","9","7","1",0.854167621628001,1.66392230892497e-79
"80","nTau1.7.0","nTau1","10","7","1",2.31659421529703,6.06015495869887e-15
"81","nTau2.7.0","nTau2","11","7","1",7.63355425521265,6.93588507249821e-06
"82","nCon.7.0","nCon","12","7","1",1.07189660988941,2.59585472875904e-08
"83","Fm.7.0","Fm","13","7","1",2548.52418819774,1.42629211032636e-96
"84","Fo.7.0","Fo","14","7","1",2409.50062997941,3.32784461784995e-79
"85","Quant.8.0","Quant","1","8","1",0.0637991632528955,3.80881307622884e-81
"86","Sigma.8.0","Sigma","2","8","1",3.62029884535995,3.86376263669656e-33
"87","Connect.8.0","Connect","3","8","1",0.338681298031941,1.73192344131052e-09
"88","Tau1.8.0","Tau1","4","8","1",1633.52135184337,6.16236368870786e-16
"89","Tau2.8.0","Tau2","5","8","1",12613976.4352628,2.72843256449591e-05
"90","NPQ.8.0","NPQ","6","8","1",0.28965103932902,3.88364443193062e-98
"91","qP.8.0","qP","7","8","1",0.548649126227748,7.61762615245767e-81
"92","ABQ.8.0","ABQ","8","8","1",0.160039381908232,3.86376263669656e-33
"93","qm.8.0","qm","9","8","1",0.829443096918616,3.80881307622884e-81
"94","nTau1.8.0","nTau1","10","8","1",2.74785819691733,6.16236368870786e-16
"95","nTau2.8.0","nTau2","11","8","1",11.7312617453595,2.72843256449591e-05
"96","nCon.8.0","nCon","12","8","1",1.04880556051099,1.73192344131052e-09
"97","Fm.8.0","Fm","13","8","1",2473.70093389911,3.88364443193062e-98
"98","Fo.8.0","Fo","14","8","1",2315.88088417844,7.61762615245767e-81
"99","Quant.9.0","Quant","1","9","1",0.0664565351837639,4.1752270109659e-84
"100","Sigma.9.0","Sigma","2","9","1",3.45987994967063,5.66457169337202e-36
"101","Connect.9.0","Connect","3","9","1",0.282886243092747,1.46473578304302e-08
"102","Tau1.9.0","Tau1","4","9","1",1635.36265215601,1.78101403902338e-15
"103","Tau2.9.0","Tau2","5","9","1",9244648.06041126,0.000274333565948204
"104","NPQ.9.0","NPQ","6","9","1",0.315544530531612,4.02711678274607e-100
"105","qP.9.0","qP","7","9","1",0.581296476668438,8.35045402193179e-84
"106","ABQ.9.0","ABQ","8","9","1",0.197258838238335,5.66457169337202e-36
"107","qm.9.0","qm","9","9","1",0.822339036242025,4.1752270109659e-84
"108","nTau1.9.0","nTau1","10","9","1",2.75095557434149,1.78101403902338e-15
"109","nTau2.9.0","nTau2","11","9","1",8.59771593018322,0.000274333565948204
"110","nCon.9.0","nCon","12","9","1",0.876023171258058,1.46473578304302e-08
"111","Fm.9.0","Fm","13","9","1",2425.01177752074,4.02711678274607e-100
"112","Fo.9.0","Fo","14","9","1",2263.8538970069,8.35045402193179e-84
"113","Quant.10.0","Quant","1","10","1",0.108696883447525,3.39382066114835e-74
"114","Sigma.10.0","Sigma","2","10","1",4.6646025971022,2.75939124478884e-37
"115","Connect.10.0","Connect","3","10","1",0.312683574995655,6.08017601308816e-11
