"","uni","metric","metrix","stage","col","ASnormalized.t1_aglo8.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.353198312205411,2.43109687278304e-59
"2","Sigma.1.0","Sigma","2","1","1",4.89594777768547,6.38337407775201e-49
"3","Connect.1.0","Connect","3","1","1",0.321258277471469,6.75570633244681e-19
"4","Tau1.1.0","Tau1","4","1","1",733.26762737927,3.16245661467815e-27
"5","Tau2.1.0","Tau2","5","1","1",1188516.86407516,1.40040358824831e-23
"6","NPQ.1.0","NPQ","6","1","1",0.693778844759974,3.67180373632441e-86
"7","qP.1.0","qP","7","1","1",1.38549037561388,4.86219374556609e-59
"8","ABQ.1.0","ABQ","8","1","1",0,6.38337407775201e-49
"9","qm.1.0","qm","9","1","1",0,2.43109687278304e-59
"10","nTau1.1.0","nTau1","10","1","1",1,3.16245661467815e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.40040358824831e-23
"12","nCon.1.0","nCon","12","1","1",1,6.75570633244681e-19
"13","Fm.1.0","Fm","13","1","1",1952.77756807858,3.67180373632441e-86
"14","Fo.1.0","Fo","14","1","1",1263.05982692064,4.86219374556609e-59
"15","Quant.3.0","Quant","1","3","1",0.042809919058805,2.52868272936563e-80
"16","Sigma.3.0","Sigma","2","3","1",3.30743573998337,6.56872515083846e-26
"17","Connect.3.0","Connect","3","3","1",0.463750913018794,3.17069947318192e-09
"18","Tau1.3.0","Tau1","4","3","1",5724.29820286041,2.60821053618404e-05
"19","Tau2.3.0","Tau2","5","3","1",6334476.58512598,2.89666767768218e-05
"20","NPQ.3.0","NPQ","6","3","1",0.0728176466016452,2.67218380894022e-93
"21","qP.3.0","qP","7","3","1",0.241578613893251,5.05736545873099e-80
"22","ABQ.3.0","ABQ","8","3","1",0.324454448828508,6.56872515083846e-26
"23","qm.3.0","qm","9","3","1",0.878793534455205,2.52868272936563e-80
"24","nTau1.3.0","nTau1","10","3","1",7.80656064596673,2.60821053618404e-05
"25","nTau2.3.0","nTau2","11","3","1",5.32973218689256,2.89666767768218e-05
"26","nCon.3.0","nCon","12","3","1",1.44354541358076,3.17069947318192e-09
"27","Fm.3.0","Fm","13","3","1",3083.07133445344,2.67218380894022e-93
"28","Fo.3.0","Fo","14","3","1",2951.08530017297,5.05736545873099e-80
"29","Quant.4.0","Quant","1","4","1",0.0416743754092798,2.64975201675102e-78
"30","Sigma.4.0","Sigma","2","4","1",3.00575152081842,2.17899143039608e-24
"31","Connect.4.0","Connect","3","4","1",0.532207448119665,1.21964813757364e-11
