"","uni","metric","metrix","stage","col","ASnormalized.t1_aglo3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.357951976781157,3.39628880860172e-60
"2","Sigma.1.0","Sigma","2","1","1",4.53699935090701,8.98829962494988e-50
"3","Connect.1.0","Connect","3","1","1",0.302571139319955,1.87723143174931e-18
"4","Tau1.1.0","Tau1","4","1","1",673.815612609024,1.95996610363734e-27
"5","Tau2.1.0","Tau2","5","1","1",955159.484645893,2.21072674565069e-31
"6","NPQ.1.0","NPQ","6","1","1",0.707606368412428,4.35588103981503e-86
"7","qP.1.0","qP","7","1","1",1.46473342583615,6.79257761720343e-60
"8","ABQ.1.0","ABQ","8","1","1",0,8.98829962494988e-50
"9","qm.1.0","qm","9","1","1",0,3.39628880860172e-60
"10","nTau1.1.0","nTau1","10","1","1",1,1.95996610363734e-27
"11","nTau2.1.0","nTau2","11","1","1",1,2.21072674565069e-31
"12","nCon.1.0","nCon","12","1","1",1,1.87723143174931e-18
"13","Fm.1.0","Fm","13","1","1",1710.98370251627,4.35588103981503e-86
"14","Fo.1.0","Fo","14","1","1",1098.53370396023,6.79257761720343e-60
"15","Quant.3.0","Quant","1","3","1",0.036031453094691,2.80102099270035e-81
"16","Sigma.3.0","Sigma","2","3","1",3.03869867448884,2.78718104766709e-26
"17","Connect.3.0","Connect","3","3","1",0.453882261239949,2.05617260438122e-10
"18","Tau1.3.0","Tau1","4","3","1",6122.9709713271,1.61389845775986e-05
"19","Tau2.3.0","Tau2","5","3","1",8404480.64812668,1.38235373091728e-07
"20","NPQ.3.0","NPQ","6","3","1",0.0586597526158923,2.1204341062818e-95
"21","qP.3.0","qP","7","3","1",0.209953136684356,5.60204198540068e-81
"22","ABQ.3.0","ABQ","8","3","1",0.330240443194827,2.78718104766709e-26
"23","qm.3.0","qm","9","3","1",0.899339980131693,2.80102099270035e-81
"24","nTau1.3.0","nTau1","10","3","1",9.08701261405753,1.61389845775986e-05
"25","nTau2.3.0","nTau2","11","3","1",8.79903386107555,1.38235373091728e-07
"26","nCon.3.0","nCon","12","3","1",1.50008445042073,2.05617260438122e-10
"27","Fm.3.0","Fm","13","3","1",2759.79762095171,2.1204341062818e-95
"28","Fo.3.0","Fo","14","3","1",2660.35810242155,5.60204198540068e-81
"29","Quant.4.0","Quant","1","4","1",0.0356085522259044,2.4916750963757e-81
"30","Sigma.4.0","Sigma","2","4","1",2.90092017501871,1.38627294349752e-25
"31","Connect.4.0","Connect","3","4","1",0.484795410713057,2.28444850663263e-11
"32","Tau1.4.0","Tau1","4","4","1",4563.12900975169,8.42618671128591e-06
"33","Tau2.4.0","Tau2","5","4","1",6726112.9140593,1.74752844623129e-07
"34","NPQ.4.0","NPQ","6","4","1",0.0855583961156368,2.81961588852485e-96
"35","qP.4.0","qP","7","4","1",0.26199928307255,4.9833501927514e-81
"36","ABQ.4.0","ABQ","8","4","1",0.36060820144513,1.38627294349752e-25
"37","qm.4.0","qm","9","4","1",0.900521425957442,2.4916750963757e-81
"38","nTau1.4.0","nTau1","10","4","1",6.77207373109564,8.42618671128591e-06
"39","nTau2.4.0","nTau2","11","4","1",7.04187418141263,1.74752844623129e-07
"40","nCon.4.0","nCon","12","4","1",1.60225265305429,2.28444850663263e-11
"41","Fm.4.0","Fm","13","4","1",2691.41363294789,2.81961588852485e-96
"42","Fo.4.0","Fo","14","4","1",2595.57629003755,4.9833501927514e-81
"43","Quant.5.0","Quant","1","5","1",0.0354682643808618,2.21946046812609e-77
"44","Sigma.5.0","Sigma","2","5","1",4.00248509412512,9.91653773244767e-19
"45","Connect.5.0","Connect","3","5","1",0.325334300801989,0.00598640974339031
"46","Tau1.5.0","Tau1","4","5","1",3280.7836843995,1.81364844448719e-05
"47","Tau2.5.0","Tau2","5","5","1",7685621.97881955,3.50317398172023e-06
"48","NPQ.5.0","NPQ","6","5","1",0.0990338332571463,1.39769948944327e-94
"49","qP.5.0","qP","7","5","1",0.287267912714704,4.43892093625219e-77
"50","ABQ.5.0","ABQ","8","5","1",0.117812284164211,9.91653773244767e-19
"51","qm.5.0","qm","9","5","1",0.900913344019479,2.21946046812609e-77
"52","nTau1.5.0","nTau1","10","5","1",4.86896359034522,1.81364844448719e-05
"53","nTau2.5.0","nTau2","11","5","1",8.04642795508527,3.50317398172023e-06
"54","nCon.5.0","nCon","12","5","1",1.07523242809342,0.00598640974339031
"55","Fm.5.0","Fm","13","5","1",2658.41376148341,1.39769948944327e-94
"56","Fo.5.0","Fo","14","5","1",2564.1244393574,4.43892093625219e-77
"57","Quant.6.0","Quant","1","6","1",0.0343893104640917,2.16992898203523e-80
"58","Sigma.6.0","Sigma","2","6","1",3.63906240035081,3.90836801761477e-22
"59","Connect.6.0","Connect","3","6","1",0.155597507734663,0.113567219063342
"60","Tau1.6.0","Tau1","4","6","1",2990.59188203032,6.22368020547386e-08
"61","Tau2.6.0","Tau2","5","6","1",9835051.66056996,2.37273907220125e-05
"62","NPQ.6.0","NPQ","6","6","1",0.130886853864103,2.23446162926558e-98
"63","qP.6.0","qP","7","6","1",0.343052187745719,4.33985796407046e-80
"64","ABQ.6.0","ABQ","8","6","1",0.197914277941585,3.90836801761477e-22
"65","qm.6.0","qm","9","6","1",0.903927586115507,2.16992898203523e-80
"66","nTau1.6.0","nTau1","10","6","1",4.43829413576617,6.22368020547386e-08
"67","nTau2.6.0","nTau2","11","6","1",10.296763858463,2.37273907220125e-05
"68","nCon.6.0","nCon","12","6","1",0.514250989318998,0.113567219063342
"69","Fm.6.0","Fm","13","6","1",2583.53579465852,2.23446162926558e-98
"70","Fo.6.0","Fo","14","6","1",2494.68978012091,4.33985796407046e-80
"71","Quant.7.0","Quant","1","7","1",0.0381385901700693,2.51411391424498e-80
"72","Sigma.7.0","Sigma","2","7","1",3.75170329219649,1.22146308677027e-24
"73","Connect.7.0","Connect","3","7","1",0.372121571362698,1.98510371608942e-06
"74","Tau1.7.0","Tau1","4","7","1",1841.79510977517,7.67533920562627e-11
"75","Tau2.7.0","Tau2","5","7","1",10256326.8268193,7.85783138864325e-06
"76","NPQ.7.0","NPQ","6","7","1",0.164197240042913,2.61969637867162e-98
"77","qP.7.0","qP","7","7","1",0.407957905946862,5.02822782848995e-80
"78","ABQ.7.0","ABQ","8","7","1",0.17308709963856,1.22146308677027e-24
"79","qm.7.0","qm","9","7","1",0.893453332726288,2.51411391424498e-80
"80","nTau1.7.0","nTau1","10","7","1",2.73338147010829,7.67533920562627e-11
"81","nTau2.7.0","nTau2","11","7","1",10.737816031447,7.85783138864325e-06
"82","nCon.7.0","nCon","12","7","1",1.22986472602463,1.98510371608942e-06
"83","Fm.7.0","Fm","13","7","1",2509.61483688019,2.61969637867162e-98
"84","Fo.7.0","Fo","14","7","1",2413.90166513169,5.02822782848995e-80
"85","Quant.8.0","Quant","1","8","1",0.0471864505995086,4.89891522720526e-83
"86","Sigma.8.0","Sigma","2","8","1",3.54306599148425,9.5874429053658e-29
"87","Connect.8.0","Connect","3","8","1",0.382204639234011,4.17488085454809e-08
"88","Tau1.8.0","Tau1","4","8","1",2381.02074992206,8.09662638552337e-11
"89","Tau2.8.0","Tau2","5","8","1",13354923.4007172,0.00106329487219475
"90","NPQ.8.0","NPQ","6","8","1",0.191195496007015,2.88768752301446e-98
"91","qP.8.0","qP","7","8","1",0.469742054333789,9.79783045441052e-83
"92","ABQ.8.0","ABQ","8","8","1",0.219072845849992,9.5874429053658e-29
"93","qm.8.0","qm","9","8","1",0.868176588871425,4.89891522720526e-83
"94","nTau1.8.0","nTau1","10","8","1",3.53363843960622,8.09662638552337e-11
"95","nTau2.8.0","nTau2","11","8","1",13.9818780165998,0.00106329487219475
"96","nCon.8.0","nCon","12","8","1",1.26318934480346,4.17488085454809e-08
"97","Fm.8.0","Fm","13","8","1",2452.73481679573,2.88768752301446e-98
"98","Fo.8.0","Fo","14","8","1",2336.99896652931,9.79783045441052e-83
"99","Quant.9.0","Quant","1","9","1",0.049622549800356,2.60585658492814e-81
"100","Sigma.9.0","Sigma","2","9","1",3.88684909644761,3.34227823696028e-29
"101","Connect.9.0","Connect","3","9","1",0.27719471682575,2.04481769278806e-05
"102","Tau1.9.0","Tau1","4","9","1",2146.6378287401,2.18278725468353e-10
"103","Tau2.9.0","Tau2","5","9","1",8701296.31819459,0.000289366080535174
"104","NPQ.9.0","NPQ","6","9","1",0.208522252980568,9.38335705240423e-100
"105","qP.9.0","qP","7","9","1",0.501392528160639,5.21171316985628e-81
"106","ABQ.9.0","ABQ","8","9","1",0.143299613725849,3.34227823696028e-29
"107","qm.9.0","qm","9","9","1",0.861370929568315,2.60585658492814e-81
"108","nTau1.9.0","nTau1","10","9","1",3.18579413799613,2.18278725468353e-10
"109","nTau2.9.0","nTau2","11","9","1",9.10978371472742,0.000289366080535174
"110","nCon.9.0","nCon","12","9","1",0.916130723666376,2.04481769278806e-05
"111","Fm.9.0","Fm","13","9","1",2417.56960574035,9.38335705240423e-100
"112","Fo.9.0","Fo","14","9","1",2297.60363758367,5.21171316985628e-81
"113","Quant.10.0","Quant","1","10","1",0.0881501158236283,5.73883683272877e-74
"114","Sigma.10.0","Sigma","2","10","1",4.88806962609624,1.28028598149152e-33
"115","Connect.10.0","Connect","3","10","1",0.302821050190322,2.2023885632781e-08
"116","Tau1.10.0","Tau1","4","10","1",1694.62278694868,4.54173372420763e-18
"117","Tau2.10.0","Tau2","5","10","1",4118246.54821298,3.76518542092169e-10
"118","NPQ.10.0","NPQ","6","10","1",0.249652795175347,2.02297282729424e-96
"119","qP.10.0","qP","7","10","1",0.634516830739927,1.14776736654575e-73
"120","ABQ.10.0","ABQ","8","10","1",-0.077379397270366,1.28028598149152e-33
"121","qm.10.0","qm","9","10","1",0.753737591795669,5.73883683272877e-74
"122","nTau1.10.0","nTau1","10","10","1",2.51496515550756,4.54173372420763e-18
"123","nTau2.10.0","nTau2","11","10","1",4.31158001822046,3.76518542092169e-10
"124","nCon.10.0","nCon","12","10","1",1.0008259573961,2.2023885632781e-08
