"","uni","metric","metrix","stage","col","ASnormalized.t9_icra6.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.299846111109737,1.91770571297384e-60
"2","Sigma.1.0","Sigma","2","1","1",5.09566477398944,1.0828880788271e-45
"3","Connect.1.0","Connect","3","1","1",0.279435813466745,7.91363428025488e-14
"4","Tau1.1.0","Tau1","4","1","1",629.173143686044,3.0759761779245e-26
"5","Tau2.1.0","Tau2","5","1","1",1408039.36686654,1.00664194338919e-18
"6","NPQ.1.0","NPQ","6","1","1",0.480450822604375,1.42006225730959e-86
"7","qP.1.0","qP","7","1","1",1.08486791597504,3.83541142594768e-60
"8","ABQ.1.0","ABQ","8","1","1",0,1.0828880788271e-45
"9","qm.1.0","qm","9","1","1",0,1.91770571297384e-60
"10","nTau1.1.0","nTau1","10","1","1",1,3.0759761779245e-26
"11","nTau2.1.0","nTau2","11","1","1",1,1.00664194338919e-18
"12","nCon.1.0","nCon","12","1","1",1,7.91363428025488e-14
"13","Fm.1.0","Fm","13","1","1",1966.70603587184,1.42006225730959e-86
"14","Fo.1.0","Fo","14","1","1",1376.99687931962,3.83541142594768e-60
"15","Quant.3.0","Quant","1","3","1",0.0496433530332204,2.4584423786656e-80
"16","Sigma.3.0","Sigma","2","3","1",3.06507890253971,1.53409666602608e-30
"17","Connect.3.0","Connect","3","3","1",0.485312459751684,1.00906394568292e-14
"18","Tau1.3.0","Tau1","4","3","1",3452.90999634884,4.50304603358972e-07
"19","Tau2.3.0","Tau2","5","3","1",6416007.59692628,4.04770199112051e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0667801966164174,1.9592584148293e-94
"21","qP.3.0","qP","7","3","1",0.224634699159939,4.91688475733119e-80
"22","ABQ.3.0","ABQ","8","3","1",0.398492829005304,1.53409666602608e-30
"23","qm.3.0","qm","9","3","1",0.834437228985598,2.4584423786656e-80
"24","nTau1.3.0","nTau1","10","3","1",5.48801237147503,4.50304603358972e-07
"25","nTau2.3.0","nTau2","11","3","1",4.55669617476996,4.04770199112051e-06
"26","nCon.3.0","nCon","12","3","1",1.73675826920962,1.00906394568292e-14
"27","Fm.3.0","Fm","13","3","1",2729.34534955037,1.9592584148293e-94
"28","Fo.3.0","Fo","14","3","1",2593.85149481307,4.91688475733119e-80
"29","Quant.4.0","Quant","1","4","1",0.0387369645439031,1.38304323582084e-80
"30","Sigma.4.0","Sigma","2","4","1",2.9723509289276,9.20445897199621e-26
"31","Connect.4.0","Connect","3","4","1",0.482828918248565,4.58466588224678e-11
"32","Tau1.4.0","Tau1","4","4","1",1935.25822325456,2.54141328197383e-08
"33","Tau2.4.0","Tau2","5","4","1",9862757.71749581,0.000172666423392578
"34","NPQ.4.0","NPQ","6","4","1",0.116798436253536,2.77189112614122e-95
"35","qP.4.0","qP","7","4","1",0.286658884366692,2.76608647164167e-80
"36","ABQ.4.0","ABQ","8","4","1",0.416690253232549,9.20445897199621e-26
