"","uni","metric","metrix","stage","col","ASnormalized.t4_aglo3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.382874004313451,2.96688355043247e-57
"2","Sigma.1.0","Sigma","2","1","1",4.66979199407587,5.96965810488355e-49
"3","Connect.1.0","Connect","3","1","1",0.308485880244133,3.82268771287057e-18
"4","Tau1.1.0","Tau1","4","1","1",668.400475905968,9.0217969409864e-28
"5","Tau2.1.0","Tau2","5","1","1",852338.854547213,3.27218118860045e-25
"6","NPQ.1.0","NPQ","6","1","1",0.812309036205987,2.02828773336789e-84
"7","qP.1.0","qP","7","1","1",1.45580257076438,5.93376710086494e-57
"8","ABQ.1.0","ABQ","8","1","1",0,5.96965810488355e-49
"9","qm.1.0","qm","9","1","1",0,2.96688355043247e-57
"10","nTau1.1.0","nTau1","10","1","1",1,9.0217969409864e-28
"11","nTau2.1.0","nTau2","11","1","1",1,3.27218118860045e-25
"12","nCon.1.0","nCon","12","1","1",1,3.82268771287057e-18
"13","Fm.1.0","Fm","13","1","1",1895.68922145564,2.02828773336789e-84
"14","Fo.1.0","Fo","14","1","1",1169.87909830307,5.93376710086494e-57
"15","Quant.3.0","Quant","1","3","1",0.0468106931915576,4.64352352432509e-84
"16","Sigma.3.0","Sigma","2","3","1",3.02645149073879,4.82347884805708e-32
"17","Connect.3.0","Connect","3","3","1",0.503031552131871,6.02304955481523e-16
"18","Tau1.3.0","Tau1","4","3","1",4780.93556767726,3.70956108396497e-06
"19","Tau2.3.0","Tau2","5","3","1",4760353.30720368,3.66280140531582e-09
"20","NPQ.3.0","NPQ","6","3","1",0.0973222043302516,1.66852857262038e-96
"21","qP.3.0","qP","7","3","1",0.289954107944995,9.28704704864851e-84
"22","ABQ.3.0","ABQ","8","3","1",0.351908715724775,4.82347884805708e-32
"23","qm.3.0","qm","9","3","1",0.877738648578411,4.64352352432509e-84
"24","nTau1.3.0","nTau1","10","3","1",7.15280096292129,3.70956108396497e-06
"25","nTau2.3.0","nTau2","11","3","1",5.58504787363298,3.66280140531582e-09
"26","nCon.3.0","nCon","12","3","1",1.63064692534315,6.02304955481523e-16
"27","Fm.3.0","Fm","13","3","1",3130.87139978111,1.66852857262038e-96
"28","Fo.3.0","Fo","14","3","1",2984.31313926374,9.28704704864851e-84
"29","Quant.4.0","Quant","1","4","1",0.0402238735671598,9.32830428150505e-84
"30","Sigma.4.0","Sigma","2","4","1",2.90555140723808,3.90564626171241e-29
"31","Connect.4.0","Connect","3","4","1",0.451863558077805,4.5521580434135e-12
"32","Tau1.4.0","Tau1","4","4","1",2304.59346896848,7.76722456959285e-07
"33","Tau2.4.0","Tau2","5","4","1",4886365.93445012,8.537696664385e-10
"34","NPQ.4.0","NPQ","6","4","1",0.122791478826366,7.90751599569302e-98
"35","qP.4.0","qP","7","4","1",0.320501240663567,1.865660856301e-83
"36","ABQ.4.0","ABQ","8","4","1",0.377798537724146,3.90564626171241e-29
"37","qm.4.0","qm","9","4","1",0.894942270527645,9.32830428150505e-84
"38","nTau1.4.0","nTau1","10","4","1",3.44792314195284,7.76722456959285e-07
"39","nTau2.4.0","nTau2","11","4","1",5.73289121853526,8.537696664385e-10
"40","nCon.4.0","nCon","12","4","1",1.46477873710202,4.5521580434135e-12
"41","Fm.4.0","Fm","13","4","1",3059.8510682264,7.90751599569302e-98
"42","Fo.4.0","Fo","14","4","1",2936.77200572372,1.865660856301e-83
"43","Quant.5.0","Quant","1","5","1",0.0372330102621895,8.16855942948765e-81
"44","Sigma.5.0","Sigma","2","5","1",3.69114247016702,8.49024701487093e-24
"45","Connect.5.0","Connect","3","5","1",0.354421660615181,2.82854449594439e-05
"46","Tau1.5.0","Tau1","4","5","1",1855.14620486214,2.48797747671778e-11
"47","Tau2.5.0","Tau2","5","5","1",11791220.5287952,5.56094473716984e-07
"48","NPQ.5.0","NPQ","6","5","1",0.112674743668333,7.07059045145063e-98
"49","qP.5.0","qP","7","5","1",0.29741042173838,1.63371188589753e-80
"50","ABQ.5.0","ABQ","8","5","1",0.209570260335015,8.49024701487093e-24
"51","qm.5.0","qm","9","5","1",0.902753882889089,8.16855942948765e-81
"52","nTau1.5.0","nTau1","10","5","1",2.77550102331633,2.48797747671778e-11
"53","nTau2.5.0","nTau2","11","5","1",13.8339587194568,5.56094473716984e-07
"54","nCon.5.0","nCon","12","5","1",1.14890723794131,2.82854449594439e-05
"55","Fm.5.0","Fm","13","5","1",3087.67204920617,7.07059045145063e-98
"56","Fo.5.0","Fo","14","5","1",2972.7087241118,1.63371188589753e-80
"57","Quant.6.0","Quant","1","6","1",0.0352712418805358,1.11803312569476e-79
"58","Sigma.6.0","Sigma","2","6","1",3.90563488359653,3.33190768514719e-22
"59","Connect.6.0","Connect","3","6","1",0.23905383183085,0.0105786105757531
"60","Tau1.6.0","Tau1","4","6","1",1409.34900414021,1.3490412042577e-09
"61","Tau2.6.0","Tau2","5","6","1",16417908.2171614,0.000445576981409841
"62","NPQ.6.0","NPQ","6","6","1",0.134890537862723,1.90952871649038e-98
"63","qP.6.0","qP","7","6","1",0.330985036366477,2.23606625138952e-79
"64","ABQ.6.0","ABQ","8","6","1",0.163638361504914,3.33190768514719e-22
"65","qm.6.0","qm","9","6","1",0.907877679123757,1.11803312569476e-79
"66","nTau1.6.0","nTau1","10","6","1",2.10853979753671,1.3490412042577e-09
"67","nTau2.6.0","nTau2","11","6","1",19.2621844347141,0.000445576981409841
"68","nCon.6.0","nCon","12","6","1",0.774926332581785,0.0105786105757531
"69","Fm.6.0","Fm","13","6","1",3027.23002022061,1.90952871649038e-98
"70","Fo.6.0","Fo","14","6","1",2920.45585794939,2.23606625138952e-79
"71","Quant.7.0","Quant","1","7","1",0.0449859744464711,1.67576799631676e-83
"72","Sigma.7.0","Sigma","2","7","1",3.55396114353253,4.66564392967354e-30
"73","Connect.7.0","Connect","3","7","1",0.523369130165565,2.38841875873707e-15
"74","Tau1.7.0","Tau1","4","7","1",1487.26965827611,4.83130095282752e-13
"75","Tau2.7.0","Tau2","5","7","1",25809504.776903,0.010469059064181
"76","NPQ.7.0","NPQ","6","7","1",0.170488422075698,1.80562584403988e-99
"77","qP.7.0","qP","7","7","1",0.406376763084857,3.35153599263352e-83
"78","ABQ.7.0","ABQ","8","7","1",0.238946585192421,4.66564392967354e-30
"79","qm.7.0","qm","9","7","1",0.882504495108939,1.67576799631676e-83
"80","nTau1.7.0","nTau1","10","7","1",2.2251175932516,4.83130095282752e-13
"81","nTau2.7.0","nTau2","11","7","1",30.2808028042013,0.010469059064181
"82","nCon.7.0","nCon","12","7","1",1.69657402066952,2.38841875873707e-15
"83","Fm.7.0","Fm","13","7","1",2935.1633395825,1.80562584403988e-99
"84","Fo.7.0","Fo","14","7","1",2803.12215659182,3.35153599263352e-83
"85","Quant.8.0","Quant","1","8","1",0.0457701206967972,1.689681344012e-83
"86","Sigma.8.0","Sigma","2","8","1",3.74447224399056,1.13504837767845e-29
"87","Connect.8.0","Connect","3","8","1",0.315612668426404,8.85324817304495e-07
"88","Tau1.8.0","Tau1","4","8","1",1575.12688012707,2.68359980684417e-14
"89","Tau2.8.0","Tau2","5","8","1",13231803.6517821,4.24230192047672e-05
"90","NPQ.8.0","NPQ","6","8","1",0.204223783526376,6.19377560521427e-101
"91","qP.8.0","qP","7","8","1",0.45827116806853,3.37936268802399e-83
"92","ABQ.8.0","ABQ","8","8","1",0.19815009988864,1.13504837767845e-29
"93","qm.8.0","qm","9","8","1",0.880456442116331,1.689681344012e-83
"94","nTau1.8.0","nTau1","10","8","1",2.35656157783565,2.68359980684417e-14
"95","nTau2.8.0","nTau2","11","8","1",15.5241117792421,4.24230192047672e-05
"96","nCon.8.0","nCon","12","8","1",1.02310247774268,8.85324817304495e-07
"97","Fm.8.0","Fm","13","8","1",2852.93709763963,6.19377560521427e-101
"98","Fo.8.0","Fo","14","8","1",2722.35782234029,3.37936268802399e-83
"99","Quant.9.0","Quant","1","9","1",0.0556883383649165,1.73496803984255e-80
"100","Sigma.9.0","Sigma","2","9","1",4.24360010950778,3.24298190137906e-30
"101","Connect.9.0","Connect","3","9","1",0.319989694431721,4.54988945285213e-07
"102","Tau1.9.0","Tau1","4","9","1",1383.58760206695,2.94291965784853e-11
"103","Tau2.9.0","Tau2","5","9","1",11806570.7131989,0.00563715129465837
"104","NPQ.9.0","NPQ","6","9","1",0.228807115475351,1.04838785101924e-99
"105","qP.9.0","qP","7","9","1",0.511083581182433,3.4699360796851e-80
"106","ABQ.9.0","ABQ","8","9","1",0.0912657105731385,3.24298190137906e-30
"107","qm.9.0","qm","9","9","1",0.854551790569397,1.73496803984255e-80
"108","nTau1.9.0","nTau1","10","9","1",2.0699979307938,2.94291965784853e-11
"109","nTau2.9.0","nTau2","11","9","1",13.8519682051464,0.00563715129465837
"110","nCon.9.0","nCon","12","9","1",1.03729121792701,4.54988945285213e-07
"111","Fm.9.0","Fm","13","9","1",2795.86166340951,1.04838785101924e-99
"112","Fo.9.0","Fo","14","9","1",2640.16477307606,3.4699360796851e-80
"113","Quant.10.0","Quant","1","10","1",0.0900190586011923,1.38967309506147e-75
"114","Sigma.10.0","Sigma","2","10","1",4.74087988119467,8.52127597361765e-35
"115","Connect.10.0","Connect","3","10","1",0.221627462408378,9.56373620697997e-06
"116","Tau1.10.0","Tau1","4","10","1",1392.8977526771,5.17841616911666e-19
"117","Tau2.10.0","Tau2","5","10","1",4917478.04450307,7.91347795215764e-08
"118","NPQ.10.0","NPQ","6","10","1",0.266693480177943,9.79535978516548e-98
"119","qP.10.0","qP","7","10","1",0.621651743680517,2.77934619012295e-75
"120","ABQ.10.0","ABQ","8","10","1",-0.0152229236781831,8.52127597361765e-35
"121","qm.10.0","qm","9","10","1",0.76488594789137,1.38967309506147e-75
"122","nTau1.10.0","nTau1","10","10","1",2.08392693136421,5.17841616911666e-19
"123","nTau2.10.0","nTau2","11","10","1",5.76939326216142,7.91347795215764e-08
"124","nCon.10.0","nCon","12","10","1",0.71843632594459,9.56373620697997e-06
"125","Fm.10.0","Fm","13","10","1",2712.23840624784,9.79535978516548e-98
"126","Fo.10.0","Fo","14","10","1",2468.08525821541,2.77934619012295e-75
"127","Quant.11.0","Quant","1","11","1",0.101526455949177,8.83513742119575e-79
"128","Sigma.11.0","Sigma","2","11","1",4.6801249695362,1.26278635323686e-39
"129","Connect.11.0","Connect","3","11","1",0.183057790812284,3.96953840231867e-06
"130","Tau1.11.0","Tau1","4","11","1",1510.9436888176,1.41943567699026e-22
"131","Tau2.11.0","Tau2","5","11","1",5049962.55078017,8.43978779902519e-08
"132","NPQ.11.0","NPQ","6","11","1",0.252388489380924,7.76314230057202e-101
"133","qP.11.0","qP","7","11","1",0.623821230699203,1.76702748423915e-78
"134","ABQ.11.0","ABQ","8","11","1",-0.00221272713504983,1.26278635323686e-39
"135","qm.11.0","qm","9","11","1",0.734830636696716,8.83513742119575e-79
"136","nTau1.11.0","nTau1","10","11","1",2.26053652455831,1.41943567699026e-22
"137","nTau2.11.0","nTau2","11","11","1",5.92482968931746,8.43978779902519e-08
"138","nCon.11.0","nCon","12","11","1",0.593407356821043,3.96953840231867e-06
"139","Fm.11.0","Fm","13","11","1",2743.21804696609,7.76314230057202e-101
"140","Fo.11.0","Fo","14","11","1",2464.7088407618,1.76702748423915e-78
"141","Quant.12.0","Quant","1","12","1",0.105739977852472,4.65044645681826e-77
"142","Sigma.12.0","Sigma","2","12","1",5.00807918311173,9.68817252846866e-40
"143","Connect.12.0","Connect","3","12","1",0.260384661187736,7.21678238073519e-10
"144","Tau1.12.0","Tau1","4","12","1",1495.16623775795,8.31359269863741e-20
"145","Tau2.12.0","Tau2","5","12","1",4316090.94533522,1.07845444348811e-07
"146","NPQ.12.0","NPQ","6","12","1",0.247992620062392,7.75319953375636e-100
"147","qP.12.0","qP","7","12","1",0.625696005452612,9.30089291363653e-77
"148","ABQ.12.0","ABQ","8","12","1",-0.0724415968559238,9.68817252846866e-40
"149","qm.12.0","qm","9","12","1",0.723825653710599,4.65044645681826e-77
"150","nTau1.12.0","nTau1","10","12","1",2.23693173726629,8.31359269863741e-20
"151","nTau2.12.0","nTau2","11","12","1",5.06382047739458,1.07845444348811e-07
"152","nCon.12.0","nCon","12","12","1",0.844073190583861,7.21678238073519e-10
"153","Fm.12.0","Fm","13","12","1",2752.88062657822,7.75319953375636e-100
"154","Fo.12.0","Fo","14","12","1",2461.79109009334,9.30089291363653e-77
"155","Quant.13.0","Quant","1","13","1",0.116567885460603,5.68974395319304e-72
"156","Sigma.13.0","Sigma","2","13","1",5.31162795423846,1.34363520345801e-36
"157","Connect.13.0","Connect","3","13","1",0.257018804659687,7.02575485409954e-08
"158","Tau1.13.0","Tau1","4","13","1",1520.83469646808,1.19962396546811e-18
"159","Tau2.13.0","Tau2","5","13","1",4909205.06566685,2.35836190359304e-05
"160","NPQ.13.0","NPQ","6","13","1",0.235748309114943,7.91440970850129e-96
"161","qP.13.0","qP","7","13","1",0.629365449220467,1.13794879063861e-71
"162","ABQ.13.0","ABQ","8","13","1",-0.137444228988536,1.34363520345801e-36
"163","qm.13.0","qm","9","13","1",0.695545050989746,5.68974395319304e-72
"164","nTau1.13.0","nTau1","10","13","1",2.27533455060262,1.19962396546811e-18
"165","nTau2.13.0","nTau2","11","13","1",5.7596870534252,2.35836190359304e-05
"166","nCon.13.0","nCon","12","13","1",0.833162297270411,7.02575485409954e-08
"167","Fm.13.0","Fm","13","13","1",2780.15731888231,7.91440970850129e-96
"168","Fo.13.0","Fo","14","13","1",2456.08025897238,1.13794879063861e-71
"169","Quant.14.0","Quant","1","14","1",0.123379145579038,5.3048823100497e-76
"170","Sigma.14.0","Sigma","2","14","1",5.35045638832688,1.38658057596247e-41
"171","Connect.14.0","Connect","3","14","1",0.302287623825482,2.38951535677921e-13
"172","Tau1.14.0","Tau1","4","14","1",1501.14270243634,2.13317026888445e-19
"173","Tau2.14.0","Tau2","5","14","1",4259102.50343558,3.02024347154644e-06
"174","NPQ.14.0","NPQ","6","14","1",0.223662537776041,9.3405485789471e-100
"175","qP.14.0","qP","7","14","1",0.626066250413819,1.06097646200994e-75
"176","ABQ.14.0","ABQ","8","14","1",-0.145759039185152,1.38658057596247e-41
"177","qm.14.0","qm","9","14","1",0.677755229686394,5.3048823100497e-76
"178","nTau1.14.0","nTau1","10","14","1",2.24587318014945,2.13317026888445e-19
"179","nTau2.14.0","nTau2","11","14","1",4.99695922661901,3.02024347154644e-06
"180","nCon.14.0","nCon","12","14","1",0.979907487455355,2.38951535677921e-13
"181","Fm.14.0","Fm","13","14","1",2807.6161521839,9.3405485789471e-100
"182","Fo.14.0","Fo","14","14","1",2461.21487021354,1.06097646200994e-75
"183","Quant.15.0","Quant","1","15","1",0.129303193529731,7.44151456222501e-75
"184","Sigma.15.0","Sigma","2","15","1",5.15940767016322,2.82111705747612e-41
"185","Connect.15.0","Connect","3","15","1",0.255086633250911,2.58537401678882e-10
"186","Tau1.15.0","Tau1","4","15","1",1382.10268598273,5.98937089712983e-19
"187","Tau2.15.0","Tau2","5","15","1",3507859.15137986,1.60965728903513e-07
"188","NPQ.15.0","NPQ","6","15","1",0.21180308385196,3.54666125969536e-98
"189","qP.15.0","qP","7","15","1",0.621381006620307,1.488302912445e-74
"190","ABQ.15.0","ABQ","8","15","1",-0.104847427189152,2.82111705747612e-41
"191","qm.15.0","qm","9","15","1",0.662282651543319,7.44151456222501e-75
"192","nTau1.15.0","nTau1","10","15","1",2.06777633440399,5.98937089712983e-19
"193","nTau2.15.0","nTau2","11","15","1",4.11556874670853,1.60965728903513e-07
"194","nCon.15.0","nCon","12","15","1",0.826898894202345,2.58537401678882e-10
"195","Fm.15.0","Fm","13","15","1",2835.09321907458,3.54666125969536e-98
"196","Fo.15.0","Fo","14","15","1",2468.50661189375,1.488302912445e-74
"197","Quant.16.0","Quant","1","16","1",0.0458435151039493,8.45196108045773e-78
"198","Sigma.16.0","Sigma","2","16","1",3.52501537776587,2.1385920468841e-26
"199","Connect.16.0","Connect","3","16","1",0.416492286320127,3.01338066625627e-09
"200","Tau1.16.0","Tau1","4","16","1",1488.34556636856,2.49663727862972e-12
"201","Tau2.16.0","Tau2","5","16","1",6584628.44596054,1.84457759490612e-07
"202","NPQ.16.0","NPQ","6","16","1",0.185576993155129,8.21609568837544e-96
