"","uni","metric","metrix","stage","col","ASnormalized.t9_icra4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.332724668569021,4.82008209114692e-60
"2","Sigma.1.0","Sigma","2","1","1",5.16379261016146,2.75612306890158e-48
"3","Connect.1.0","Connect","3","1","1",0.308037768438398,3.48624491164316e-17
"4","Tau1.1.0","Tau1","4","1","1",622.368179097054,1.97508249856765e-26
"5","Tau2.1.0","Tau2","5","1","1",1339468.42232877,8.76939132400193e-22
"6","NPQ.1.0","NPQ","6","1","1",0.695755170550901,1.00713060475251e-86
"7","qP.1.0","qP","7","1","1",1.13265707326242,9.64016418229385e-60
"8","ABQ.1.0","ABQ","8","1","1",0,2.75612306890158e-48
"9","qm.1.0","qm","9","1","1",0,4.82008209114692e-60
"10","nTau1.1.0","nTau1","10","1","1",1,1.97508249856765e-26
"11","nTau2.1.0","nTau2","11","1","1",1,8.76939132400193e-22
"12","nCon.1.0","nCon","12","1","1",1,3.48624491164316e-17
"13","Fm.1.0","Fm","13","1","1",1912.57966896923,1.00713060475251e-86
"14","Fo.1.0","Fo","14","1","1",1276.21723249959,9.64016418229385e-60
"15","Quant.3.0","Quant","1","3","1",0.0477739320116238,6.74753859352368e-79
"16","Sigma.3.0","Sigma","2","3","1",2.85902003528115,3.05562567654337e-28
"17","Connect.3.0","Connect","3","3","1",0.541710609416662,5.14681621498107e-15
"18","Tau1.3.0","Tau1","4","3","1",3781.013998105,1.28002997411518e-07
"19","Tau2.3.0","Tau2","5","3","1",5082673.71234012,6.9361810441935e-09
"20","NPQ.3.0","NPQ","6","3","1",0.102298342091083,2.40876918998849e-91
"21","qP.3.0","qP","7","3","1",0.254253604169947,1.34950771870449e-78
"22","ABQ.3.0","ABQ","8","3","1",0.446333295869573,3.05562567654337e-28
"23","qm.3.0","qm","9","3","1",0.856416020437891,6.74753859352368e-79
"24","nTau1.3.0","nTau1","10","3","1",6.07520455751864,1.28002997411518e-07
"25","nTau2.3.0","nTau2","11","3","1",3.79454537905678,6.9361810441935e-09
"26","nCon.3.0","nCon","12","3","1",1.75858503378619,5.14681621498107e-15
"27","Fm.3.0","Fm","13","3","1",2942.27682189248,2.40876918998849e-91
"28","Fo.3.0","Fo","14","3","1",2801.71268904401,1.34950771870449e-78
"29","Quant.4.0","Quant","1","4","1",0.0495051192058701,6.90688081949795e-82
"30","Sigma.4.0","Sigma","2","4","1",2.78751648715659,4.56506657245035e-31
"31","Connect.4.0","Connect","3","4","1",0.499675016047297,1.09588471537415e-15
"32","Tau1.4.0","Tau1","4","4","1",1812.68044924357,7.65618731094344e-09
"33","Tau2.4.0","Tau2","5","4","1",4413746.16875888,1.36672718473562e-11
"34","NPQ.4.0","NPQ","6","4","1",0.198964452746881,2.32547201127111e-95
"35","qP.4.0","qP","7","4","1",0.387019380286832,1.38137616389957e-81
"36","ABQ.4.0","ABQ","8","4","1",0.460180394992774,4.56506657245035e-31
"37","qm.4.0","qm","9","4","1",0.851212958093004,6.90688081949795e-82
"38","nTau1.4.0","nTau1","10","4","1",2.91255322833737,7.65618731094344e-09
"39","nTau2.4.0","nTau2","11","4","1",3.29514760869483,1.36672718473562e-11
"40","nCon.4.0","nCon","12","4","1",1.62212256821755,1.09588471537415e-15
"41","Fm.4.0","Fm","13","4","1",2705.05673067673,2.32547201127111e-95
"42","Fo.4.0","Fo","14","4","1",2571.14257476594,1.38137616389957e-81
"43","Quant.5.0","Quant","1","5","1",0.0594696519354747,1.96611977591027e-80
"44","Sigma.5.0","Sigma","2","5","1",4.00571351804016,1.2160643456819e-30
"45","Connect.5.0","Connect","3","5","1",0.378616896594609,3.86117654009366e-09
"46","Tau1.5.0","Tau1","4","5","1",1869.64591953158,3.43145832391119e-13
"47","Tau2.5.0","Tau2","5","5","1",6106963.89790653,4.01736667299794e-08
"48","NPQ.5.0","NPQ","6","5","1",0.312703785369683,5.66716258175715e-98
"49","qP.5.0","qP","7","5","1",0.529473763118434,3.93223955182053e-80
"50","ABQ.5.0","ABQ","8","5","1",0.224269094355649,1.2160643456819e-30
"51","qm.5.0","qm","9","5","1",0.821264674509284,1.96611977591027e-80
"52","nTau1.5.0","nTau1","10","5","1",3.00408340645581,3.43145832391119e-13
"53","nTau2.5.0","nTau2","11","5","1",4.55924439583957,4.01736667299794e-08
"54","nCon.5.0","nCon","12","5","1",1.22912491709706,3.86117654009366e-09
"55","Fm.5.0","Fm","13","5","1",2470.67685710355,5.66716258175715e-98
"56","Fo.5.0","Fo","14","5","1",2323.74656436657,3.93223955182053e-80
"57","Quant.6.0","Quant","1","6","1",0.0578708630929466,1.18051522881792e-78
"58","Sigma.6.0","Sigma","2","6","1",3.70241043601847,4.3423800930874e-30
