"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"79","qm.7.0","qm","9","7","1",0.888369789917039,9.19809366789378e-82
"80","nTau1.7.0","nTau1","10","7","1",3.28161269911353,5.73037977815667e-10
"81","nTau2.7.0","nTau2","11","7","1",23.65386017265,0.0103127632178994
"82","nCon.7.0","nCon","12","7","1",1.64712470649684,3.94183756541768e-15
"83","Fm.7.0","Fm","13","7","1",2953.17294818083,2.70404729080636e-96
"84","Fo.7.0","Fo","14","7","1",2825.60852799859,1.83961873357875e-81
"85","Quant.8.0","Quant","1","8","1",0.0446871791767484,6.38040957686771e-82
"86","Sigma.8.0","Sigma","2","8","1",3.40212019577842,5.11035984309777e-27
"87","Connect.8.0","Connect","3","8","1",0.350360834737469,2.44991071269121e-06
"88","Tau1.8.0","Tau1","4","8","1",2368.88946709455,1.07879420839149e-12
"89","Tau2.8.0","Tau2","5","8","1",14659262.980283,0.000172290116009551
"90","NPQ.8.0","NPQ","6","8","1",0.187812684138701,4.98953065184681e-97
"91","qP.8.0","qP","7","8","1",0.421598078930803,1.27608191537354e-81
"92","ABQ.8.0","ABQ","8","8","1",0.207305881354048,5.11035984309777e-27
"93","qm.8.0","qm","9","8","1",0.88451541835405,6.38040957686771e-82
"94","nTau1.8.0","nTau1","10","8","1",2.93429416276316,1.07879420839149e-12
"95","nTau2.8.0","nTau2","11","8","1",16.9211042872219,0.000172290116009551
"96","nCon.8.0","nCon","12","8","1",1.04392537410675,2.44991071269121e-06
"97","Fm.8.0","Fm","13","8","1",2880.26780075324,4.98953065184681e-97
"98","Fo.8.0","Fo","14","8","1",2751.55675746396,1.27608191537354e-81
"99","Quant.9.0","Quant","1","9","1",0.0465597162178307,2.32000300090856e-82
"100","Sigma.9.0","Sigma","2","9","1",3.53555603716973,9.39979725269487e-29
"101","Connect.9.0","Connect","3","9","1",0.421133165964922,9.79607789897081e-10
"102","Tau1.9.0","Tau1","4","9","1",2290.69931336776,3.34570981729937e-09
"103","Tau2.9.0","Tau2","5","9","1",8334321.92140093,0.000644815198491107
"104","NPQ.9.0","NPQ","6","9","1",0.208333816763067,3.81809440331473e-98
"105","qP.9.0","qP","7","9","1",0.454355476350448,4.64000600181712e-82
"106","ABQ.9.0","ABQ","8","9","1",0.176215325876698,9.39979725269487e-29
"107","qm.9.0","qm","9","9","1",0.879676241641853,2.32000300090856e-82
"108","nTau1.9.0","nTau1","10","9","1",2.83744164395507,3.34570981729937e-09
"109","nTau2.9.0","nTau2","11","9","1",9.62026062190081,0.000644815198491107
"110","nCon.9.0","nCon","12","9","1",1.25479663889405,9.79607789897081e-10
"111","Fm.9.0","Fm","13","9","1",2831.35221408922,3.81809440331473e-98
"112","Fo.9.0","Fo","14","9","1",2699.52525848849,4.64000600181712e-82
"113","Quant.10.0","Quant","1","10","1",0.0848232596919333,1.43416402451209e-81
"114","Sigma.10.0","Sigma","2","10","1",4.58872994791903,1.0710293538997e-39
"115","Connect.10.0","Connect","3","10","1",0.265460318901807,2.46597528991328e-10
