"","uni","metric","metrix","stage","col","ASnormalized.t4_aglo6.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.368447511079938,3.8209463387516e-56
"2","Sigma.1.0","Sigma","2","1","1",5.29267476891869,2.17376107835207e-47
"3","Connect.1.0","Connect","3","1","1",0.29814568098274,8.18894679150721e-16
"4","Tau1.1.0","Tau1","4","1","1",737.013796074617,1.05931536130338e-27
"5","Tau2.1.0","Tau2","5","1","1",832686.291871795,1.42655101580584e-25
"6","NPQ.1.0","NPQ","6","1","1",0.733975946535594,2.20264616242808e-84
"7","qP.1.0","qP","7","1","1",1.30811660122545,7.64189267750321e-56
"8","ABQ.1.0","ABQ","8","1","1",0,2.17376107835207e-47
"9","qm.1.0","qm","9","1","1",0,3.8209463387516e-56
"10","nTau1.1.0","nTau1","10","1","1",1,1.05931536130338e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.42655101580584e-25
"12","nCon.1.0","nCon","12","1","1",1,8.18894679150721e-16
"13","Fm.1.0","Fm","13","1","1",1897.27828032086,2.20264616242808e-84
"14","Fo.1.0","Fo","14","1","1",1198.23082011061,7.64189267750321e-56
"15","Quant.3.0","Quant","1","3","1",0.0450316789786463,7.20417579338872e-82
"16","Sigma.3.0","Sigma","2","3","1",3.2236479686397,1.04192559188507e-27
"17","Connect.3.0","Connect","3","3","1",0.345919385437317,2.03421371024744e-06
"18","Tau1.3.0","Tau1","4","3","1",3241.1105203398,9.85591813439976e-05
"19","Tau2.3.0","Tau2","5","3","1",4197717.85029823,1.36002684942787e-10
"20","NPQ.3.0","NPQ","6","3","1",0.0724582828123275,1.10463637419245e-94
"21","qP.3.0","qP","7","3","1",0.225403904737799,1.44083515867763e-81
"22","ABQ.3.0","ABQ","8","3","1",0.390922716889649,1.04192559188507e-27
"23","qm.3.0","qm","9","3","1",0.877779934388331,7.20417579338872e-82
"24","nTau1.3.0","nTau1","10","3","1",4.39762530579776,9.85591813439976e-05
"25","nTau2.3.0","nTau2","11","3","1",5.0411756399426,1.36002684942787e-10
"26","nCon.3.0","nCon","12","3","1",1.16023611107532,2.03421371024744e-06
"27","Fm.3.0","Fm","13","3","1",3067.56444953158,1.10463637419245e-94
"28","Fo.3.0","Fo","14","3","1",2929.42687199397,1.44083515867763e-81
"29","Quant.4.0","Quant","1","4","1",0.0402058064970498,4.24731267500237e-84
"30","Sigma.4.0","Sigma","2","4","1",2.82419063888716,2.65178740708399e-29
"31","Connect.4.0","Connect","3","4","1",0.597912053728107,1.43212766953552e-18
"32","Tau1.4.0","Tau1","4","4","1",3131.47255868336,2.88063044684469e-05
"33","Tau2.4.0","Tau2","5","4","1",6194979.73779491,1.51058116663769e-06
"34","NPQ.4.0","NPQ","6","4","1",0.107310312535664,7.02147981621064e-97
"35","qP.4.0","qP","7","4","1",0.274101374826463,8.49462535000404e-84
"36","ABQ.4.0","ABQ","8","4","1",0.466396337921186,2.65178740708399e-29
"37","qm.4.0","qm","9","4","1",0.89087779049123,4.24731267500237e-84
"38","nTau1.4.0","nTau1","10","4","1",4.24886559161006,2.88063044684469e-05
"39","nTau2.4.0","nTau2","11","4","1",7.43975227917974,1.51058116663769e-06
"40","nCon.4.0","nCon","12","4","1",2.00543590555223,1.43212766953552e-18
"41","Fm.4.0","Fm","13","4","1",2971.01441639001,7.02147981621064e-97
"42","Fo.4.0","Fo","14","4","1",2851.56238566469,8.49462535000404e-84
"43","Quant.5.0","Quant","1","5","1",0.0390695090361234,2.41157995154205e-83
"44","Sigma.5.0","Sigma","2","5","1",3.67780112584462,9.38268743149326e-26
"45","Connect.5.0","Connect","3","5","1",0.434707621856939,5.63740861640828e-08
"46","Tau1.5.0","Tau1","4","5","1",2088.24700967303,6.80386887530627e-09
"47","Tau2.5.0","Tau2","5","5","1",12645109.4094439,4.12442241473344e-06
"48","NPQ.5.0","NPQ","6","5","1",0.114104682927457,1.17264068525533e-98
"49","qP.5.0","qP","7","5","1",0.282878980812097,4.8231599030841e-83
"50","ABQ.5.0","ABQ","8","5","1",0.305114845249408,9.38268743149326e-26
"51","qm.5.0","qm","9","5","1",0.89396180497567,2.41157995154205e-83
"52","nTau1.5.0","nTau1","10","5","1",2.83338930803625,6.80386887530627e-09
"53","nTau2.5.0","nTau2","11","5","1",15.1859223970398,4.12442241473344e-06
"54","nCon.5.0","nCon","12","5","1",1.45803762920216,5.63740861640828e-08
"55","Fm.5.0","Fm","13","5","1",2952.89567701691,1.17264068525533e-98
"56","Fo.5.0","Fo","14","5","1",2837.52749268097,4.8231599030841e-83
"57","Quant.6.0","Quant","1","6","1",0.0340741957028651,1.54938992605063e-81
"58","Sigma.6.0","Sigma","2","6","1",3.88948436831378,1.44812600862879e-22
"59","Connect.6.0","Connect","3","6","1",0.225608395875451,0.0168110894289557
"60","Tau1.6.0","Tau1","4","6","1",1503.6736455938,1.93676416493764e-07
"61","Tau2.6.0","Tau2","5","6","1",12290867.6043549,0.00168579475853001
"62","NPQ.6.0","NPQ","6","6","1",0.156640306832995,1.16720948190945e-99
"63","qP.6.0","qP","7","6","1",0.339255171907296,3.09877985210125e-81
"64","ABQ.6.0","ABQ","8","6","1",0.26511933225997,1.44812600862879e-22
"65","qm.6.0","qm","9","6","1",0.907519538935161,1.54938992605063e-81
"66","nTau1.6.0","nTau1","10","6","1",2.04022455699264,1.93676416493764e-07
"67","nTau2.6.0","nTau2","11","6","1",14.7605019133031,0.00168579475853001
"68","nCon.6.0","nCon","12","6","1",0.756705229241647,0.0168110894289557
"69","Fm.6.0","Fm","13","6","1",2844.30248758035,1.16720948190945e-99
"70","Fo.6.0","Fo","14","6","1",2747.38516798039,3.09877985210125e-81
"71","Quant.7.0","Quant","1","7","1",0.0405158537611736,2.44813264946681e-81
"72","Sigma.7.0","Sigma","2","7","1",3.86474767819463,2.56020358585541e-27
"73","Connect.7.0","Connect","3","7","1",0.463702997047232,1.9322157677974e-11
"74","Tau1.7.0","Tau1","4","7","1",1857.43589057435,1.7110135794032e-10
"75","Tau2.7.0","Tau2","5","7","1",19264297.8236616,0.0436899066485494
"76","NPQ.7.0","NPQ","6","7","1",0.208408827887017,6.79288354772692e-100
"77","qP.7.0","qP","7","7","1",0.423833373950639,4.89626529893362e-81
"78","ABQ.7.0","ABQ","8","7","1",0.26979309197489,2.56020358585541e-27
"79","qm.7.0","qm","9","7","1",0.890036294064195,2.44813264946681e-81
"80","nTau1.7.0","nTau1","10","7","1",2.52021861797862,1.7110135794032e-10
"81","nTau2.7.0","nTau2","11","7","1",23.1351206471255,0.0436899066485494
"82","nCon.7.0","nCon","12","7","1",1.55529000292336,1.9322157677974e-11
"83","Fm.7.0","Fm","13","7","1",2722.45189379598,6.79288354772692e-100
"84","Fo.7.0","Fo","14","7","1",2612.14943099511,4.89626529893362e-81
"85","Quant.8.0","Quant","1","8","1",0.0445276118812358,9.49484310877892e-84
"86","Sigma.8.0","Sigma","2","8","1",3.8028000905538,2.17130458182469e-28
"87","Connect.8.0","Connect","3","8","1",0.34738955085533,7.86743408525329e-07
"88","Tau1.8.0","Tau1","4","8","1",1728.69998210628,3.9555708841907e-14
"89","Tau2.8.0","Tau2","5","8","1",39413300.5139262,0.106942137070438
"90","NPQ.8.0","NPQ","6","8","1",0.259775019858522,3.17793166378166e-100
