Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_4978.jpg,208.216,1.664
scale,,2,IMG_4978.jpg,194.07,1.603
scale,,3,IMG_4978.jpg,173.492,2.044
scale,,4,IMG_4978.jpg,151.078,2.246
scale,,5,IMG_4978.jpg,121.375,2.025
scale,,6,IMG_4978.jpg,96.634,1.971
,1,7,IMG_4978.jpg,9.06,0.509
,2,8,IMG_4978.jpg,9.003,0.769
,3,9,IMG_4978.jpg,8.433,0.409
,4,10,IMG_4978.jpg,7.508,0.817
,5,11,IMG_4978.jpg,8.339,0.767
,6,12,IMG_4978.jpg,8.69,0.718
,7,13,IMG_4978.jpg,8.49,0.666
,8,14,IMG_4978.jpg,8.572,0.585
,9,15,IMG_4978.jpg,8.947,0.746
,10,16,IMG_4978.jpg,8.504,1.036
,11,17,IMG_4978.jpg,8.878,0.789
,12,18,IMG_4978.jpg,8.696,0.942
,13,19,IMG_4978.jpg,8.859,0.607
,14,20,IMG_4978.jpg,8.803,0.674
,15,21,IMG_4978.jpg,8.526,0.932
,16,22,IMG_4978.jpg,8.659,1.369
,17,23,IMG_4978.jpg,8.95,0.703
,18,24,IMG_4978.jpg,8.403,0.741
,19,25,IMG_4978.jpg,8.109,0.686
,20,26,IMG_4978.jpg,7.851,0.963
scale,,1,IMG_4981.jpg,206.567,1.55
scale,,2,IMG_4981.jpg,192.616,1.301
scale,,3,IMG_4981.jpg,170.961,2.123
scale,,4,IMG_4981.jpg,149.791,2.129
scale,,5,IMG_4981.jpg,118.235,2.474
scale,,6,IMG_4981.jpg,92.775,1.791
,1,7,IMG_4981.jpg,8.27,0.695
,2,8,IMG_4981.jpg,6.905,0.503
,3,9,IMG_4981.jpg,7.998,0.942
,4,10,IMG_4981.jpg,7.323,0.662
,5,11,IMG_4981.jpg,6.167,1.032
,6,12,IMG_4981.jpg,7.88,0.601
,7,13,IMG_4981.jpg,6.761,0.454
,8,14,IMG_4981.jpg,5.659,0.789
,9,15,IMG_4981.jpg,7.67,0.647
,10,16,IMG_4981.jpg,7.942,0.55
,11,17,IMG_4981.jpg,8.533,1.397
,12,18,IMG_4981.jpg,8.027,0.837
,13,19,IMG_4981.jpg,7.205,0.741
,14,20,IMG_4981.jpg,7.909,1.049
,15,21,IMG_4981.jpg,8.133,1.032
,16,22,IMG_4981.jpg,7.851,0.779
,17,23,IMG_4981.jpg,8.654,0.933
,18,24,IMG_4981.jpg,8.657,0.656
,19,25,IMG_4981.jpg,6.509,0.925
,20,26,IMG_4981.jpg,5.907,1.019
scale,,1,IMG_4983.jpg,199.139,1.617
scale,,2,IMG_4983.jpg,184.094,1.954
scale,,3,IMG_4983.jpg,161.513,1.923
scale,,4,IMG_4983.jpg,138.588,2.498
scale,,5,IMG_4983.jpg,109.237,1.789
scale,,6,IMG_4983.jpg,84.112,2.279
,1,7,IMG_4983.jpg,6.605,0.812
,2,8,IMG_4983.jpg,6.231,0.948
,3,9,IMG_4983.jpg,5.416,0.607
,4,10,IMG_4983.jpg,7.566,1.027
,5,11,IMG_4983.jpg,7.269,0.862
,6,12,IMG_4983.jpg,6.497,0.634
,7,13,IMG_4983.jpg,7.364,0.832
,8,14,IMG_4983.jpg,6.69,0.46
,9,15,IMG_4983.jpg,7.91,0.727
,10,16,IMG_4983.jpg,8.019,0.797
,11,17,IMG_4983.jpg,8.071,1.117
,12,18,IMG_4983.jpg,8.045,1.179
,13,19,IMG_4983.jpg,8.148,1.087
,14,20,IMG_4983.jpg,8.056,1.413
,15,21,IMG_4983.jpg,7.826,1.125
,16,22,IMG_4983.jpg,7.578,0.574
,17,23,IMG_4983.jpg,7.083,0.779
,18,24,IMG_4983.jpg,6.659,1.141
,19,25,IMG_4983.jpg,6.088,1.027
,20,26,IMG_4983.jpg,5.191,0.657
scale,,1,IMG_4984.jpg,205.047,1.909
scale,,2,IMG_4984.jpg,190.481,2.047
scale,,3,IMG_4984.jpg,169.824,2.44
scale,,4,IMG_4984.jpg,146.203,2.039
scale,,5,IMG_4984.jpg,117.57,1.948
scale,,6,IMG_4984.jpg,93.676,2.44
,1,7,IMG_4984.jpg,8.048,0.581
,2,8,IMG_4984.jpg,6.997,0.963
,3,9,IMG_4984.jpg,5.125,0.512
,4,10,IMG_4984.jpg,6.512,0.707
,5,11,IMG_4984.jpg,7.404,0.989
,6,12,IMG_4984.jpg,6.81,0.768
,7,13,IMG_4984.jpg,7.436,0.715
,8,14,IMG_4984.jpg,7.059,0.6
,9,15,IMG_4984.jpg,7.906,1.1
,10,16,IMG_4984.jpg,8.044,1.079
,11,17,IMG_4984.jpg,8.69,0.746
,12,18,IMG_4984.jpg,8.075,0.953
,13,19,IMG_4984.jpg,8.492,0.842
,14,20,IMG_4984.jpg,8.47,1.319
,15,21,IMG_4984.jpg,8.453,1.375
,16,22,IMG_4984.jpg,8.298,0.754
,17,23,IMG_4984.jpg,7.248,1.137
,18,24,IMG_4984.jpg,7.226,0.867
,19,25,IMG_4984.jpg,5.828,1.089
,20,26,IMG_4984.jpg,5.739,0.799
scale,,1,IMG_4985.jpg,208.436,1.618
scale,,2,IMG_4985.jpg,193.045,2.093
scale,,3,IMG_4985.jpg,170.162,2.074
scale,,4,IMG_4985.jpg,149.31,2.78
scale,,5,IMG_4985.jpg,117.742,2.339
scale,,6,IMG_4985.jpg,89.281,2.354
,1,7,IMG_4985.jpg,6.93,0.477
,2,8,IMG_4985.jpg,4.823,0.575
,3,9,IMG_4985.jpg,6.567,0.535
,4,10,IMG_4985.jpg,5.323,0.942
,5,11,IMG_4985.jpg,5.956,0.74
,6,12,IMG_4985.jpg,6.787,0.505
