Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_4766.jpg,171.388,1.832
scale,,2,IMG_4766.jpg,159.82,1.801
scale,,3,IMG_4766.jpg,146.025,1.751
scale,,4,IMG_4766.jpg,127.893,2.083
scale,,5,IMG_4766.jpg,108.467,2.257
scale,,6,IMG_4766.jpg,90.132,1.553
,1,7,IMG_4766.jpg,10.203,0.585
,2,8,IMG_4766.jpg,7.92,0.654
,3,9,IMG_4766.jpg,8.302,0.869
,4,10,IMG_4766.jpg,8.469,0.799
,5,11,IMG_4766.jpg,9.372,1.517
,6,12,IMG_4766.jpg,8.124,1.405
,7,13,IMG_4766.jpg,8.269,0.965
,8,14,IMG_4766.jpg,8.699,0.502
,9,15,IMG_4766.jpg,8.957,1.047
,10,16,IMG_4766.jpg,8.53,0.799
,11,17,IMG_4766.jpg,8.287,0.771
,12,18,IMG_4766.jpg,7.871,0.606
,13,19,IMG_4766.jpg,8.872,0.409
,14,20,IMG_4766.jpg,8.86,0.811
,15,21,IMG_4766.jpg,8.997,0.734
,16,22,IMG_4766.jpg,8.727,0.555
,17,23,IMG_4766.jpg,8.715,0.778
,18,24,IMG_4766.jpg,9.02,0.41
,19,25,IMG_4766.jpg,8.938,0.953
,20,26,IMG_4766.jpg,8.547,0.809
scale,,1,IMG_4767.jpg,174.442,2.312
scale,,2,IMG_4767.jpg,163.112,2.445
scale,,3,IMG_4767.jpg,148.646,2.133
scale,,4,IMG_4767.jpg,131.566,2.008
scale,,5,IMG_4767.jpg,111.419,2.397
scale,,6,IMG_4767.jpg,89.694,1.559
,1,7,IMG_4767.jpg,9.953,0.387
,2,8,IMG_4767.jpg,8.712,0.606
,3,9,IMG_4767.jpg,7.42,0.579
,4,10,IMG_4767.jpg,8.411,1.08
,5,11,IMG_4767.jpg,9.492,0.641
,6,12,IMG_4767.jpg,8.328,0.712
,7,13,IMG_4767.jpg,8.083,0.813
,8,14,IMG_4767.jpg,8.544,1.296
,9,15,IMG_4767.jpg,9.268,0.873
,10,16,IMG_4767.jpg,8.395,0.729
,11,17,IMG_4767.jpg,7.446,0.718
,12,18,IMG_4767.jpg,7.041,0.441
,13,19,IMG_4767.jpg,6.531,0.603
,14,20,IMG_4767.jpg,8.653,0.891
,15,21,IMG_4767.jpg,8.096,0.54
,16,22,IMG_4767.jpg,6.236,0.637
,17,23,IMG_4767.jpg,7.41,0.653
,18,24,IMG_4767.jpg,7.864,0.74
,19,25,IMG_4767.jpg,8.387,0.689
,20,26,IMG_4767.jpg,8.137,0.87
scale,,1,IMG_4768.jpg,173.212,1.395
scale,,2,IMG_4768.jpg,160.94,1.595
scale,,3,IMG_4768.jpg,147.526,1.679
scale,,4,IMG_4768.jpg,129.817,1.737
scale,,5,IMG_4768.jpg,108.929,1.701
scale,,6,IMG_4768.jpg,88.051,1.923
,1,7,IMG_4768.jpg,8.112,1.107
,2,8,IMG_4768.jpg,7.845,0.839
,3,9,IMG_4768.jpg,7.217,0.946
,4,10,IMG_4768.jpg,7.929,0.767
,5,11,IMG_4768.jpg,8.619,0.763
,6,12,IMG_4768.jpg,7.251,0.946
,7,13,IMG_4768.jpg,6.442,0.64
,8,14,IMG_4768.jpg,8.446,0.592
,9,15,IMG_4768.jpg,7.823,1.061
,10,16,IMG_4768.jpg,6.665,1.119
,11,17,IMG_4768.jpg,5.449,1.093
,12,18,IMG_4768.jpg,7.219,1.02
,13,19,IMG_4768.jpg,7.629,1.231
,14,20,IMG_4768.jpg,7.702,0.811
,15,21,IMG_4768.jpg,7.775,0.632
,16,22,IMG_4768.jpg,4.903,0.798
,17,23,IMG_4768.jpg,5.549,0.891
,18,24,IMG_4768.jpg,5.774,0.881
,19,25,IMG_4768.jpg,7.233,0.806
,20,26,IMG_4768.jpg,7.207,0.918
scale,,1,IMG_4769.jpg,170.219,1.996
scale,,2,IMG_4769.jpg,158.812,1.756
scale,,3,IMG_4769.jpg,145.759,1.555
scale,,4,IMG_4769.jpg,130.286,1.794
scale,,5,IMG_4769.jpg,110.396,2.303
scale,,6,IMG_4769.jpg,93.175,1.526
,1,7,IMG_4769.jpg,9.264,1.064
,2,8,IMG_4769.jpg,6.226,1.142
,3,9,IMG_4769.jpg,7.545,0.638
,4,10,IMG_4769.jpg,8.282,1.375
,5,11,IMG_4769.jpg,7.061,1.428
,6,12,IMG_4769.jpg,8.217,0.702
,7,13,IMG_4769.jpg,7.548,1.264
,8,14,IMG_4769.jpg,8.28,0.68
,9,15,IMG_4769.jpg,9.083,0.795
,10,16,IMG_4769.jpg,9.417,0.806
,11,17,IMG_4769.jpg,6.715,0.911
,12,18,IMG_4769.jpg,7.809,0.966
,13,19,IMG_4769.jpg,8.069,0.687
,14,20,IMG_4769.jpg,9.654,0.969
,15,21,IMG_4769.jpg,8.592,0.842
,16,22,IMG_4769.jpg,6.201,0.532
,17,23,IMG_4769.jpg,7.24,0.98
,18,24,IMG_4769.jpg,8.983,0.619
,19,25,IMG_4769.jpg,7.716,1.001
,20,26,IMG_4769.jpg,7.308,1.186
scale,,1,IMG_4771.jpg,167.763,1.573
scale,,2,IMG_4771.jpg,154.792,1.633
scale,,3,IMG_4771.jpg,141.009,1.556
scale,,4,IMG_4771.jpg,125.775,2.021
scale,,5,IMG_4771.jpg,104.02,1.526
scale,,6,IMG_4771.jpg,81.648,1.797
,1,7,IMG_4771.jpg,6.643,0.606
,2,8,IMG_4771.jpg,7.827,0.854
,3,9,IMG_4771.jpg,7.037,0.643
,4,10,IMG_4771.jpg,7.76,0.972
,5,11,IMG_4771.jpg,7.873,0.948
,6,12,IMG_4771.jpg,7.112,0.819
,7,13,IMG_4771.jpg,6.881,1.07
,8,14,IMG_4771.jpg,6.3,0.953
,9,15,IMG_4771.jpg,7.831,1.364
,10,16,IMG_4771.jpg,5.096,1.148
,11,17,IMG_4771.jpg,6.548,1.192
,12,18,IMG_4771.jpg,5.673,1.3
,13,19,IMG_4771.jpg,5.347,0.752
,14,20,IMG_4771.jpg,6.482,0.968
,15,21,IMG_4771.jpg,5.781,1.257
,16,22,IMG_4771.jpg,5.634,1.136
,17,23,IMG_4771.jpg,6.563,0.89
,18,24,IMG_4771.jpg,6.189,0.713
,19,25,IMG_4771.jpg,4.379,0.689
,20,26,IMG_4771.jpg,6.313,1.073
scale,,1,IMG_4772.jpg,162.748,1.727
scale,,2,IMG_4772.jpg,150.9,1.741
scale,,3,IMG_4772.jpg,136.144,1.717
scale,,4,IMG_4772.jpg,118.288,1.717
scale,,5,IMG_4772.jpg,99.352,1.686
scale,,6,IMG_4772.jpg,82.594,1.322
,1,7,IMG_4772.jpg,5.46,0.839
,2,8,IMG_4772.jpg,7.024,1.557
,3,9,IMG_4772.jpg,7.083,0.756
,4,10,IMG_4772.jpg,6.858,1.199
,5,11,IMG_4772.jpg,7.19,1.096
,6,12,IMG_4772.jpg,7.616,1.452
,7,13,IMG_4772.jpg,7.535,1.193
,8,14,IMG_4772.jpg,7.903,1.027
,9,15,IMG_4772.jpg,7.564,1.139
,10,16,IMG_4772.jpg,5.75,1.538
,11,17,IMG_4772.jpg,6.083,1.339
,12,18,IMG_4772.jpg,6.617,0.797
,13,19,IMG_4772.jpg,6.452,0.794
,14,20,IMG_4772.jpg,7.254,1.14
,15,21,IMG_4772.jpg,5.841,1.184
,16,22,IMG_4772.jpg,6.53,1.008
,17,23,IMG_4772.jpg,7.069,1.28
,18,24,IMG_4772.jpg,7.005,1.061
,19,25,IMG_4772.jpg,7.365,0.985
,20,26,IMG_4772.jpg,6.367,1.05
scale,,1,IMG_4775.jpg,168.304,1.556
scale,,2,IMG_4775.jpg,155.178,1.91
scale,,3,IMG_4775.jpg,139.567,1.805
scale,,4,IMG_4775.jpg,121.126,2.066
scale,,5,IMG_4775.jpg,100.316,2.007
scale,,6,IMG_4775.jpg,81.045,1.708
,1,7,IMG_4775.jpg,7.171,0.809
,2,8,IMG_4775.jpg,6.626,1.092
,3,9,IMG_4775.jpg,6.705,0.758
,4,10,IMG_4775.jpg,6.906,1.916
,5,11,IMG_4775.jpg,7.69,0.946
,6,12,IMG_4775.jpg,7.14,0.948
,7,13,IMG_4775.jpg,6.911,1.135
