Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_5101.jpg,198.197,1.798
scale,,2,IMG_5101.jpg,181.825,2.11
scale,,3,IMG_5101.jpg,159.479,2.754
scale,,4,IMG_5101.jpg,139.166,2.43
scale,,5,IMG_5101.jpg,107.755,1.888
scale,,6,IMG_5101.jpg,82.787,1.687
,1,1,IMG_5101.jpg,7.625,0.665
,2,2,IMG_5101.jpg,8.154,0.622
,3,3,IMG_5101.jpg,7.191,0.653
,4,4,IMG_5101.jpg,7.482,0.732
,5,5,IMG_5101.jpg,7.8,1.384
,6,6,IMG_5101.jpg,7.734,1.039
,7,7,IMG_5101.jpg,8.098,0.923
,8,8,IMG_5101.jpg,7.985,1.122
,9,9,IMG_5101.jpg,7.726,1.426
,10,10,IMG_5101.jpg,7.128,0.615
,11,11,IMG_5101.jpg,8.376,0.762
,12,12,IMG_5101.jpg,8.587,0.855
,13,13,IMG_5101.jpg,8.029,0.717
,14,14,IMG_5101.jpg,8.059,0.885
,15,15,IMG_5101.jpg,8.029,0.963
,16,16,IMG_5101.jpg,7.931,0.826
,17,17,IMG_5101.jpg,8.406,0.803
,18,18,IMG_5101.jpg,7.875,0.785
,19,19,IMG_5101.jpg,7.863,0.808
,20,20,IMG_5101.jpg,8.119,0.948
scale,,1,IMG_5103.jpg,200.266,1.837
scale,,2,IMG_5103.jpg,183.648,2.175
scale,,3,IMG_5103.jpg,162.443,2.184
scale,,4,IMG_5103.jpg,142.551,2.766
scale,,5,IMG_5103.jpg,108.948,2.979
scale,,6,IMG_5103.jpg,86.31,1.944
,1,7,IMG_5103.jpg,6.556,0.497
,2,8,IMG_5103.jpg,7.395,0.821
,3,9,IMG_5103.jpg,6.616,0.726
,4,10,IMG_5103.jpg,5.998,0.895
,5,11,IMG_5103.jpg,8.492,0.739
,6,12,IMG_5103.jpg,7.073,0.967
,7,13,IMG_5103.jpg,8.144,1.218
,8,14,IMG_5103.jpg,7.834,0.774
,9,15,IMG_5103.jpg,8.555,0.566
,10,16,IMG_5103.jpg,7.462,0.726
,11,17,IMG_5103.jpg,7.121,0.618
,12,18,IMG_5103.jpg,8.175,0.634
,13,19,IMG_5103.jpg,7.551,0.591
,14,20,IMG_5103.jpg,7.971,0.997
,15,21,IMG_5103.jpg,7.578,0.868
,16,22,IMG_5103.jpg,8.056,0.634
,17,23,IMG_5103.jpg,8.17,0.529
,18,24,IMG_5103.jpg,7.787,0.734
,19,25,IMG_5103.jpg,7.289,0.859
,20,26,IMG_5103.jpg,8.19,0.948
scale,,1,IMG_5104.jpg,204.026,1.926
scale,,2,IMG_5104.jpg,185.938,1.907
scale,,3,IMG_5104.jpg,164.656,2.332
scale,,4,IMG_5104.jpg,144.331,1.913
scale,,5,IMG_5104.jpg,111.176,1.925
scale,,6,IMG_5104.jpg,87.669,1.656
,1,7,IMG_5104.jpg,6.872,1.16
,2,8,IMG_5104.jpg,7.933,0.927
,3,9,IMG_5104.jpg,4.776,0.814
,4,10,IMG_5104.jpg,4.872,0.851
,5,11,IMG_5104.jpg,7.946,1.007
,6,12,IMG_5104.jpg,7.446,0.656
,7,13,IMG_5104.jpg,7.358,0.903
,8,14,IMG_5104.jpg,7.552,1.069
,9,15,IMG_5104.jpg,7.965,1.117
,10,16,IMG_5104.jpg,7.49,0.861
,11,17,IMG_5104.jpg,7.674,0.796
,12,18,IMG_5104.jpg,7.746,0.875
,13,19,IMG_5104.jpg,7.767,0.779
,14,20,IMG_5104.jpg,7.51,0.771
,15,21,IMG_5104.jpg,7.759,0.715
,16,22,IMG_5104.jpg,7.452,0.838
,17,23,IMG_5104.jpg,8.155,0.946
,18,24,IMG_5104.jpg,7.681,0.97
,19,25,IMG_5104.jpg,7.452,0.855
,20,26,IMG_5104.jpg,8.181,0.816
scale,,1,IMG_5105.jpg,204.345,1.849
scale,,2,IMG_5105.jpg,188.022,2.078
scale,,3,IMG_5105.jpg,166.206,2.087
scale,,4,IMG_5105.jpg,145.763,2.193
scale,,5,IMG_5105.jpg,113.395,2.05
scale,,6,IMG_5105.jpg,89.839,1.713
,1,7,IMG_5105.jpg,7.064,1.64
,2,8,IMG_5105.jpg,6.974,1.265
,3,9,IMG_5105.jpg,5.487,0.998
