Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_4893.jpg,143.703,1.412
scale,,2,IMG_4893.jpg,132.84,1.639
scale,,3,IMG_4893.jpg,122.082,1.716
scale,,4,IMG_4893.jpg,110.755,1.592
scale,,5,IMG_4893.jpg,92.982,1.538
scale,,6,IMG_4893.jpg,78.972,1.41
,1,7,IMG_4893.jpg,6.9,0.598
,2,8,IMG_4893.jpg,8.225,0.548
,3,9,IMG_4893.jpg,8.615,0.468
,4,10,IMG_4893.jpg,7.733,0.66
,5,11,IMG_4893.jpg,7.1,0.701
,6,12,IMG_4893.jpg,6.967,0.412
,7,13,IMG_4893.jpg,6.275,0.998
,8,14,IMG_4893.jpg,7.739,0.886
,9,15,IMG_4893.jpg,7.507,0.627
,10,16,IMG_4893.jpg,6.662,0.942
,11,17,IMG_4893.jpg,6.346,0.685
,12,18,IMG_4893.jpg,7.233,0.673
,13,19,IMG_4893.jpg,8.257,1.001
,14,20,IMG_4893.jpg,8.796,1.361
,15,21,IMG_4893.jpg,7.745,1.114
,16,22,IMG_4893.jpg,8.625,1.679
,17,23,IMG_4893.jpg,8.79,1.023
,18,24,IMG_4893.jpg,9.136,0.675
,19,25,IMG_4893.jpg,9.057,0.74
,20,26,IMG_4893.jpg,5.916,1.043
scale,,1,IMG_4894.jpg,141.066,1.65
scale,,2,IMG_4894.jpg,129.033,1.408
scale,,3,IMG_4894.jpg,119.403,1.796
scale,,4,IMG_4894.jpg,109.106,1.538
scale,,5,IMG_4894.jpg,92.171,2.252
scale,,6,IMG_4894.jpg,77.279,1.591
,1,7,IMG_4894.jpg,6.971,1.141
,2,8,IMG_4894.jpg,6.316,1.141
,3,9,IMG_4894.jpg,8.373,1.141
,4,10,IMG_4894.jpg,6.609,0.987
,5,11,IMG_4894.jpg,7.335,0.981
,6,12,IMG_4894.jpg,5.651,0.835
,7,13,IMG_4894.jpg,6.66,1.056
,8,14,IMG_4894.jpg,5.8,1.143
,9,15,IMG_4894.jpg,5.841,0.792
,10,16,IMG_4894.jpg,3.54,0.933
,11,17,IMG_4894.jpg,3.352,0.727
,12,18,IMG_4894.jpg,5.96,0.988
,13,19,IMG_4894.jpg,7.132,0.806
,14,20,IMG_4894.jpg,7.284,0.677
,15,21,IMG_4894.jpg,5.976,0.861
,16,22,IMG_4894.jpg,5.693,0.565
,17,23,IMG_4894.jpg,7.226,1.352
,18,24,IMG_4894.jpg,6.964,0.875
,19,25,IMG_4894.jpg,3.721,1.108
,20,26,IMG_4894.jpg,5.543,1.247
scale,,1,IMG_4895.jpg,150.338,1.8
scale,,2,IMG_4895.jpg,139.58,1.66
scale,,3,IMG_4895.jpg,129.294,1.841
scale,,4,IMG_4895.jpg,116.453,1.714
scale,,5,IMG_4895.jpg,97.199,2.12
scale,,6,IMG_4895.jpg,82.103,1.665
,1,7,IMG_4895.jpg,6.119,1.113
,2,8,IMG_4895.jpg,5.564,1.34
,3,9,IMG_4895.jpg,5.681,1.01
,4,10,IMG_4895.jpg,5.411,0.899
,5,11,IMG_4895.jpg,5.997,1.483
,6,12,IMG_4895.jpg,6.039,0.952
,7,13,IMG_4895.jpg,4.843,1.009
,8,14,IMG_4895.jpg,6.871,0.696
,9,15,IMG_4895.jpg,4.728,0.665
,10,16,IMG_4895.jpg,5.172,1.647
,11,17,IMG_4895.jpg,4.019,0.952
,12,18,IMG_4895.jpg,4.295,0.652
