Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_4936.jpg,155.548,1.634
scale,,2,IMG_4936.jpg,142.259,1.673
scale,,3,IMG_4936.jpg,128.32,1.805
scale,,4,IMG_4936.jpg,113.112,2.104
scale,,5,IMG_4936.jpg,92.271,2.55
scale,,6,IMG_4936.jpg,72.162,1.928
,1,7,IMG_4936.jpg,9.401,0.579
,2,8,IMG_4936.jpg,8.853,0.571
,3,9,IMG_4936.jpg,8.151,1.218
,4,10,IMG_4936.jpg,6.746,0.754
,5,11,IMG_4936.jpg,8.129,0.796
,6,12,IMG_4936.jpg,8.215,1.245
,7,13,IMG_4936.jpg,9.751,0.289
,8,14,IMG_4936.jpg,8.929,0.722
,9,15,IMG_4936.jpg,8.319,1.046
,10,16,IMG_4936.jpg,8.2,0.944
,11,17,IMG_4936.jpg,7.88,1.122
,12,18,IMG_4936.jpg,8.234,0.484
,13,19,IMG_4936.jpg,8.926,1.179
,14,20,IMG_4936.jpg,7.429,0.853
,15,21,IMG_4936.jpg,8.547,1.537
,16,22,IMG_4936.jpg,8.75,1.089
,17,23,IMG_4936.jpg,8.452,1.003
,18,24,IMG_4936.jpg,8.531,0.982
,19,25,IMG_4936.jpg,8.513,0.782
,20,26,IMG_4936.jpg,7.181,0.466
scale,,1,IMG_4937.jpg,140.199,1.397
scale,,2,IMG_4937.jpg,127.934,1.664
scale,,3,IMG_4937.jpg,116.506,1.777
scale,,4,IMG_4937.jpg,101.173,1.714
scale,,5,IMG_4937.jpg,80.669,2.067
scale,,6,IMG_4937.jpg,63.589,2.124
,1,7,IMG_4937.jpg,9.322,1.249
,2,8,IMG_4937.jpg,6.416,0.887
,3,9,IMG_4937.jpg,6.274,0.93
,4,10,IMG_4937.jpg,7.765,1.103
,5,11,IMG_4937.jpg,6.519,1.518
,6,12,IMG_4937.jpg,6.908,0.856
,7,13,IMG_4937.jpg,7.843,0.765
,8,14,IMG_4937.jpg,8.222,0.948
