"","uni","metric","metrix","stage","col","cclong2025.lpv13.005","pval"
"72","Sigma.7.0","Sigma","2","7","1",3.77103895616468,1.37513047397426e-22
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",1430.0215716906,2.43392343443056e-10
"75","Tau2.7.0","Tau2","5","7","1",2185408.6068438,8.81080531052215e-17
"76","NPQ.7.0","NPQ","6","7","1",0.258646505745989,4.42556950348208e-83
"77","qP.7.0","qP","7","7","1",0.432909164094671,3.10453437221772e-66
"78","ABQ.7.0","ABQ","8","7","1",0.283263284443795,1.37513047397426e-22
"79","qm.7.0","qm","9","7","1",0.686539706358872,1.55226718610886e-66
"80","nTau1.7.0","nTau1","10","7","1",2.2938636375141,2.43392343443056e-10
"81","nTau2.7.0","nTau2","11","7","1",1.87631095605251,8.81080531052215e-17
"82","nCon.7.0","nCon","12","7","1",0,1
"83","Fm.7.0","Fm","13","7","1",3168.09902420005,4.42556950348208e-83
"84","Fo.7.0","Fo","14","7","1",2801.81237004036,3.10453437221772e-66
"85","Quant.8.0","Quant","1","8","1",0.117099961397043,3.77133722389226e-66
"86","Sigma.8.0","Sigma","2","8","1",3.67538531069561,8.34719861123341e-22
"87","Connect.8.0","Connect","3","8","1",0,1
"88","Tau1.8.0","Tau1","4","8","1",1276.03472972735,9.2614359945692e-10
"89","Tau2.8.0","Tau2","5","8","1",2039593.29222001,1.45302071254062e-16
"90","NPQ.8.0","NPQ","6","8","1",0.310756929641825,1.12194205777592e-81
"91","qP.8.0","qP","7","8","1",0.475224956908928,7.54267444778452e-66
"92","ABQ.8.0","ABQ","8","8","1",0.30144354735845,8.34719861123341e-22
"93","qm.8.0","qm","9","8","1",0.682519584137675,3.77133722389226e-66
"94","nTau1.8.0","nTau1","10","8","1",2.04685700179074,9.2614359945692e-10
"95","nTau2.8.0","nTau2","11","8","1",1.75111932299493,1.45302071254062e-16
"96","nCon.8.0","nCon","12","8","1",0,1
"97","Fm.8.0","Fm","13","8","1",3042.14814851773,1.12194205777592e-81
"98","Fo.8.0","Fo","14","8","1",2685.91271776222,7.54267444778452e-66
"99","Quant.9.0","Quant","1","9","1",0.117928770396805,2.44132147371518e-67
"100","Sigma.9.0","Sigma","2","9","1",3.66969037442906,2.43443106748294e-24
"101","Connect.9.0","Connect","3","9","1",0,1
"102","Tau1.9.0","Tau1","4","9","1",1055.72872521028,1.5368578639408e-11
"103","Tau2.9.0","Tau2","5","9","1",2101185.2789735,2.13685337851614e-18
"104","NPQ.9.0","NPQ","6","9","1",0.3866390118354,4.24944762565153e-84
"105","qP.9.0","qP","7","9","1",0.529759767928748,4.88264294743036e-67
"106","ABQ.9.0","ABQ","8","9","1",0.302525946655418,2.43443106748294e-24
"107","qm.9.0","qm","9","9","1",0.68027252425161,2.44132147371518e-67
"108","nTau1.9.0","nTau1","10","9","1",1.69346937261652,1.5368578639408e-11
"109","nTau2.9.0","nTau2","11","9","1",1.80399992353284,2.13685337851614e-18
"110","nCon.9.0","nCon","12","9","1",0,1
"111","Fm.9.0","Fm","13","9","1",2875.67040349504,4.24944762565153e-84
"112","Fo.9.0","Fo","14","9","1",2536.54612874438,4.88264294743036e-67
"113","Quant.10.0","Quant","1","10","1",0.232286504560275,6.77261129569365e-62
"114","Sigma.10.0","Sigma","2","10","1",3.95712365824668,8.24041611233697e-37
"115","Connect.10.0","Connect","3","10","1",0.0929918351472461,0.0441504943705122
"116","Tau1.10.0","Tau1","4","10","1",889.412015979235,1.36529365992509e-17
"117","Tau2.10.0","Tau2","5","10","1",1171091.56956035,8.69082254968375e-17
"118","NPQ.10.0","NPQ","6","10","1",0.72217786999959,1.82045339706656e-84
"119","qP.10.0","qP","7","10","1",0.806871898023511,1.35452225913873e-61
"120","ABQ.10.0","ABQ","8","10","1",0.24789538192784,8.24041611233697e-37
"121","qm.10.0","qm","9","10","1",0.370226811459355,6.77261129569365e-62
"122","nTau1.10.0","nTau1","10","10","1",1.42668468966585,1.36529365992509e-17
"123","nTau2.10.0","nTau2","11","10","1",1.00545588391373,8.69082254968375e-17
"124","nCon.10.0","nCon","12","10","1",0.427229928034236,0.0441504943705122
"125","Fm.10.0","Fm","13","10","1",2315.39194419425,1.82045339706656e-84
"126","Fo.10.0","Fo","14","10","1",1777.55764279035,1.35452225913873e-61
"127","Quant.11.0","Quant","1","11","1",0.240213011169376,1.03487548837912e-61
"128","Sigma.11.0","Sigma","2","11","1",3.89487465944136,7.06790507614853e-38
"129","Connect.11.0","Connect","3","11","1",0.109181620485522,0.011880323842237
"130","Tau1.11.0","Tau1","4","11","1",856.940021485442,3.17562123033835e-17
"131","Tau2.11.0","Tau2","5","11","1",1085698.68383579,1.56097542977206e-16
"132","NPQ.11.0","NPQ","6","11","1",0.726227991161904,1.70699780108491e-84
"133","qP.11.0","qP","7","11","1",0.8150796754493,2.06975097675824e-61
"134","ABQ.11.0","ABQ","8","11","1",0.259726642084261,7.06790507614853e-38
"135","qm.11.0","qm","9","11","1",0.348736534395469,1.03487548837912e-61
"136","nTau1.11.0","nTau1","10","11","1",1.37459713456777,3.17562123033835e-17
"137","nTau2.11.0","nTau2","11","11","1",0.932140712301352,1.56097542977206e-16
"138","nCon.11.0","nCon","12","11","1",0.501610230498524,0.011880323842237
"139","Fm.11.0","Fm","13","11","1",2309.9595111899,1.70699780108491e-84
"140","Fo.11.0","Fo","14","11","1",1755.07718132763,2.06975097675824e-61
"141","Quant.12.0","Quant","1","12","1",0.247534642085219,5.26449008813331e-62
"142","Sigma.12.0","Sigma","2","12","1",3.83310688024617,1.47963267770127e-38
"143","Connect.12.0","Connect","3","12","1",0.128910203496294,0.00230472776220996
"144","Tau1.12.0","Tau1","4","12","1",816.630670347699,3.1374682410364e-16
"145","Tau2.12.0","Tau2","5","12","1",1032512.62592096,1.39962130786656e-15
"146","NPQ.12.0","NPQ","6","12","1",0.727826889611461,2.21820887783126e-84
"147","qP.12.0","qP","7","12","1",0.821841874678452,1.05289801762666e-61
"148","ABQ.12.0","ABQ","8","12","1",0.271466439976083,1.47963267770127e-38
"149","qm.12.0","qm","9","12","1",0.32888619114838,5.26449008813331e-62
"150","nTau1.12.0","nTau1","10","12","1",1.30993786182873,3.1374682410364e-16
"151","nTau2.12.0","nTau2","11","12","1",0.886477131192385,1.39962130786656e-15
