"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.002r","pval"
"79","qm.7.0","qm","9","7","1",0.849080393740437,4.60653206436848e-82
"80","nTau1.7.0","nTau1","10","7","1",3.43862045079263,1.08924186821329e-12
"81","nTau2.7.0","nTau2","11","7","1",8.38557357221135,8.59017188271343e-05
"82","nCon.7.0","nCon","12","7","1",1.09132368224863,4.75799598520834e-12
"83","Fm.7.0","Fm","13","7","1",2962.70040412415,6.35929703718774e-98
"84","Fo.7.0","Fo","14","7","1",2786.48567782672,9.21306412873695e-82
"85","Quant.8.0","Quant","1","8","1",0.0624144224292329,6.37392161773151e-79
"86","Sigma.8.0","Sigma","2","8","1",3.41138140832275,4.54435026854524e-31
"87","Connect.8.0","Connect","3","8","1",0.324081050913403,6.97046970659706e-08
"88","Tau1.8.0","Tau1","4","8","1",1479.00581391021,1.20873445522258e-16
"89","Tau2.8.0","Tau2","5","8","1",7748781.03912561,2.42610220113623e-07
"90","NPQ.8.0","NPQ","6","8","1",0.237343992104571,1.52370128932716e-95
"91","qP.8.0","qP","7","8","1",0.506822942647319,1.2747843235463e-78
"92","ABQ.8.0","ABQ","8","8","1",0.143044752055923,4.54435026854524e-31
"93","qm.8.0","qm","9","8","1",0.841628818562988,6.37392161773151e-79
"94","nTau1.8.0","nTau1","10","8","1",2.56804647461742,1.20873445522258e-16
"95","nTau2.8.0","nTau2","11","8","1",8.39411488609533,2.42610220113623e-07
"96","nCon.8.0","nCon","12","8","1",0.92108528529176,6.97046970659706e-08
"97","Fm.8.0","Fm","13","8","1",2904.54885736225,1.52370128932716e-95
"98","Fo.8.0","Fo","14","8","1",2723.26311801249,1.2747843235463e-78
"99","Quant.9.0","Quant","1","9","1",0.0689665908939132,1.72925373821387e-83
"100","Sigma.9.0","Sigma","2","9","1",3.41349890433241,3.21778444004506e-36
"101","Connect.9.0","Connect","3","9","1",0.2787818571451,1.44152649423223e-08
"102","Tau1.9.0","Tau1","4","9","1",1366.70227789364,4.38053448209436e-14
"103","Tau2.9.0","Tau2","5","9","1",7024501.98238955,2.09516835576709e-05
"104","NPQ.9.0","NPQ","6","9","1",0.2423566501565,1.63594295978698e-99
"105","qP.9.0","qP","7","9","1",0.524252597626532,3.45850747642775e-83
"106","ABQ.9.0","ABQ","8","9","1",0.142512826979016,3.21778444004506e-36
"107","qm.9.0","qm","9","9","1",0.825003259592186,1.72925373821387e-83
"108","nTau1.9.0","nTau1","10","9","1",2.37305014867876,4.38053448209436e-14
"109","nTau2.9.0","nTau2","11","9","1",7.60951643362424,2.09516835576709e-05
"110","nCon.9.0","nCon","12","9","1",0.792338415649223,1.44152649423223e-08
"111","Fm.9.0","Fm","13","9","1",2892.82958961796,1.63594295978698e-99
"112","Fo.9.0","Fo","14","9","1",2693.32099478497,3.45850747642775e-83
"113","Quant.10.0","Quant","1","10","1",0.106443294022224,8.0135355416721e-75
"114","Sigma.10.0","Sigma","2","10","1",4.36438926773508,2.4137916594758e-37
"115","Connect.10.0","Connect","3","10","1",0.321627515696778,1.59681611717436e-11
"116","Tau1.10.0","Tau1","4","10","1",1354.81788184077,9.26929026835705e-17
"117","Tau2.10.0","Tau2","5","10","1",3766127.67784602,4.82459429584082e-08
"118","NPQ.10.0","NPQ","6","10","1",0.287872600509625,9.11717851546356e-96
"119","qP.10.0","qP","7","10","1",0.640540680455417,1.60270710833442e-74
"120","ABQ.10.0","ABQ","8","10","1",-0.0963553585452805,2.4137916594758e-37
"121","qm.10.0","qm","9","10","1",0.729909377124166,8.0135355416721e-75
"122","nTau1.10.0","nTau1","10","10","1",2.35241488064972,9.26929026835705e-17
"123","nTau2.10.0","nTau2","11","10","1",4.0797782572406,4.82459429584082e-08
"124","nCon.10.0","nCon","12","10","1",0.914111982845939,1.59681611717436e-11
"125","Fm.10.0","Fm","13","10","1",2790.59130305996,9.11717851546356e-96
"126","Fo.10.0","Fo","14","10","1",2493.55157249249,1.60270710833442e-74
"127","Quant.11.0","Quant","1","11","1",0.122027607122953,3.00324859730696e-78
"128","Sigma.11.0","Sigma","2","11","1",4.40959287016947,1.10522255337793e-42
"129","Connect.11.0","Connect","3","11","1",0.258088066464707,8.03402572172066e-12
"130","Tau1.11.0","Tau1","4","11","1",1494.32567979363,1.80918608554444e-18
"131","Tau2.11.0","Tau2","5","11","1",3916970.73794173,5.33708891450604e-07
"132","NPQ.11.0","NPQ","6","11","1",0.267510431865934,1.54411917951482e-99
"133","qP.11.0","qP","7","11","1",0.642944770528011,6.00649719461393e-78
"134","ABQ.11.0","ABQ","8","11","1",-0.107710718645917,1.10522255337793e-42
"135","qm.11.0","qm","9","11","1",0.690365534826418,3.00324859730696e-78
"136","nTau1.11.0","nTau1","10","11","1",2.59464686198813,1.80918608554444e-18
"137","nTau2.11.0","nTau2","11","11","1",4.24318382642887,5.33708891450604e-07
"138","nCon.11.0","nCon","12","11","1",0.733523665330141,8.03402572172066e-12
"139","Fm.11.0","Fm","13","11","1",2835.42130153569,1.54411917951482e-99
"140","Fo.11.0","Fo","14","11","1",2489.42162492384,6.00649719461393e-78
"141","Quant.12.0","Quant","1","12","1",0.127354916321838,6.26695016075177e-76
"142","Sigma.12.0","Sigma","2","12","1",4.44115978007735,9.83820011828452e-42
"143","Connect.12.0","Connect","3","12","1",0.263683962331003,2.83270609698192e-11
"144","Tau1.12.0","Tau1","4","12","1",1612.48864689284,3.48532784719458e-17
"145","Tau2.12.0","Tau2","5","12","1",3649158.03897635,9.88692209728826e-07
"146","NPQ.12.0","NPQ","6","12","1",0.268842785728043,2.48276806332708e-97
"147","qP.12.0","qP","7","12","1",0.653250084500619,1.25339003215035e-75
"148","ABQ.12.0","ABQ","8","12","1",-0.115640476673249,9.83820011828452e-42
"149","qm.12.0","qm","9","12","1",0.676847949965894,6.26695016075177e-76
"150","nTau1.12.0","nTau1","10","12","1",2.7998171109726,3.48532784719458e-17
"151","nTau2.12.0","nTau2","11","12","1",3.95306715495246,9.88692209728826e-07
"152","nCon.12.0","nCon","12","12","1",0.749428011869204,2.83270609698192e-11
"153","Fm.12.0","Fm","13","12","1",2832.4439551187,2.48276806332708e-97
"154","Fo.12.0","Fo","14","12","1",2471.71829222827,1.25339003215035e-75
"155","Quant.13.0","Quant","1","13","1",0.135702144754426,8.55293489434492e-73
"156","Sigma.13.0","Sigma","2","13","1",4.73345817148154,5.64455937395112e-40
"157","Connect.13.0","Connect","3","13","1",0.288396807292302,2.0755017601673e-11
"158","Tau1.13.0","Tau1","4","13","1",1524.48089557157,5.65742704749333e-18
"159","Tau2.13.0","Tau2","5","13","1",3487684.22177293,8.75989269301284e-07
"160","NPQ.13.0","NPQ","6","13","1",0.254195834119821,3.37691924155342e-95
"161","qP.13.0","qP","7","13","1",0.650370699285223,1.71058697886898e-72
"162","ABQ.13.0","ABQ","8","13","1",-0.189067223934146,5.64455937395112e-40
"163","qm.13.0","qm","9","13","1",0.655667582077488,8.55293489434492e-73
"164","nTau1.13.0","nTau1","10","13","1",2.64700635567066,5.65742704749333e-18
"165","nTau2.13.0","nTau2","11","13","1",3.77814547812898,8.75989269301284e-07
"166","nCon.13.0","nCon","12","13","1",0.819665496558276,2.0755017601673e-11
"167","Fm.13.0","Fm","13","13","1",2865.52225789647,3.37691924155342e-95
"168","Fo.13.0","Fo","14","13","1",2476.66474165837,1.71058697886898e-72
"169","Quant.14.0","Quant","1","14","1",0.143952482618688,6.21619898854653e-70
"170","Sigma.14.0","Sigma","2","14","1",4.57701399725927,3.67753618696504e-38
"171","Connect.14.0","Connect","3","14","1",0.298655244165137,1.18653225583121e-10
"172","Tau1.14.0","Tau1","4","14","1",1572.80315913397,6.01777638241398e-17
"173","Tau2.14.0","Tau2","5","14","1",3296236.20332979,3.63727384736741e-06
"174","NPQ.14.0","NPQ","6","14","1",0.248118072298591,5.54389578839311e-92
"175","qP.14.0","qP","7","14","1",0.657179326130491,1.24323979770931e-69
"176","ABQ.14.0","ABQ","8","14","1",-0.149767702695337,3.67753618696504e-38
"177","qm.14.0","qm","9","14","1",0.634733065599359,6.21619898854653e-70
"178","nTau1.14.0","nTau1","10","14","1",2.73090989237067,6.01777638241398e-17
"179","nTau2.14.0","nTau2","11","14","1",3.57075328916239,3.63727384736741e-06
"180","nCon.14.0","nCon","12","14","1",0.848821459941608,1.18653225583121e-10
"181","Fm.14.0","Fm","13","14","1",2879.47603531823,5.54389578839311e-92
"182","Fo.14.0","Fo","14","14","1",2464.96831139315,1.24323979770931e-69
"183","Quant.15.0","Quant","1","15","1",0.14949464075291,9.47624603246068e-75
"184","Sigma.15.0","Sigma","2","15","1",4.62253211795108,1.18515686582825e-43
"185","Connect.15.0","Connect","3","15","1",0.247741703739712,2.26164222400286e-11
"186","Tau1.15.0","Tau1","4","15","1",1425.54751189047,1.17670884338452e-17
"187","Tau2.15.0","Tau2","5","15","1",2823255.20174657,8.10661263334735e-08
"188","NPQ.15.0","NPQ","6","15","1",0.24389920552528,8.40763892744332e-97
"189","qP.15.0","qP","7","15","1",0.661633838666337,1.89524920649214e-74
"190","ABQ.15.0","ABQ","8","15","1",-0.161202071279346,1.18515686582825e-43
"191","qm.15.0","qm","9","15","1",0.620670320207093,9.47624603246068e-75
"192","nTau1.15.0","nTau1","10","15","1",2.4752250652966,1.17670884338452e-17
"193","nTau2.15.0","nTau2","11","15","1",3.05838149207804,8.10661263334735e-08
"194","nCon.15.0","nCon","12","15","1",0.704117803940145,2.26164222400286e-11
"195","Fm.15.0","Fm","13","15","1",2889.24220103004,8.40763892744332e-97
"196","Fo.15.0","Fo","14","15","1",2457.3159761389,1.89524920649214e-74
"197","Quant.16.0","Quant","1","16","1",0.0595330529468619,1.14355530948105e-78
"198","Sigma.16.0","Sigma","2","16","1",3.43405767252342,2.81041601340274e-31
"199","Connect.16.0","Connect","3","16","1",0.43299574809522,6.30961783429246e-13
"200","Tau1.16.0","Tau1","4","16","1",1375.04497297413,8.8769150843255e-14
"201","Tau2.16.0","Tau2","5","16","1",6904229.9223575,2.52939181187478e-07
"202","NPQ.16.0","NPQ","6","16","1",0.180315879968393,6.22873316662198e-96
"203","qP.16.0","qP","7","16","1",0.425123269883457,2.28711061896209e-78
"204","ABQ.16.0","ABQ","8","16","1",0.137348366549711,2.81041601340274e-31
"205","qm.16.0","qm","9","16","1",0.848940043618335,1.14355530948105e-78
"206","nTau1.16.0","nTau1","10","16","1",2.38753584473807,8.8769150843255e-14
"207","nTau2.16.0","nTau2","11","16","1",7.47922787799223,2.52939181187478e-07
"208","nCon.16.0","nCon","12","16","1",1.23063662944914,6.30961783429246e-13
"209","Fm.16.0","Fm","13","16","1",3044.8849663258,6.22873316662198e-96
"210","Fo.16.0","Fo","14","16","1",2863.61366840843,2.28711061896209e-78
"211","Quant.17.0","Quant","1","17","1",0.0569897198124268,2.50080501622599e-79
"212","Sigma.17.0","Sigma","2","17","1",3.04366727632189,1.01605896927314e-30
"213","Connect.17.0","Connect","3","17","1",0.398224357620187,7.55324561139297e-11
"214","Tau1.17.0","Tau1","4","17","1",2234.59124833423,2.69750232049096e-13
"215","Tau2.17.0","Tau2","5","17","1",10232095.1472398,1.05942158265509e-05
"216","NPQ.17.0","NPQ","6","17","1",0.214965730187547,1.69143710196248e-94
"217","qP.17.0","qP","7","17","1",0.468283736862171,5.00161003245197e-79
"218","ABQ.17.0","ABQ","8","17","1",0.235416292333581,1.01605896927314e-30
"219","qm.17.0","qm","9","17","1",0.855393530771005,2.50080501622599e-79
"220","nTau1.17.0","nTau1","10","17","1",3.87999433370994,2.69750232049096e-13
"221","nTau2.17.0","nTau2","11","17","1",11.0842443163269,1.05942158265509e-05
"222","nCon.17.0","nCon","12","17","1",1.13181130157076,7.55324561139297e-11
"223","Fm.17.0","Fm","13","17","1",2958.04728407986,1.69143710196248e-94
"224","Fo.17.0","Fo","14","17","1",2789.46899816823,5.00161003245197e-79
"225","Quant.18.0","Quant","1","18","1",0.0609127571384019,9.23085079737584e-81
"226","Sigma.18.0","Sigma","2","18","1",3.32987277887905,8.6854504188271e-33
"227","Connect.18.0","Connect","3","18","1",0.424565137289356,3.75317161267598e-13
"228","Tau1.18.0","Tau1","4","18","1",1858.70804666038,1.18952648134229e-15
"229","Tau2.18.0","Tau2","5","18","1",8432430.99925359,1.93680448411141e-05
"230","NPQ.18.0","NPQ","6","18","1",0.23306473817023,9.14212413967828e-97
"231","qP.18.0","qP","7","18","1",0.498773698398674,1.84617015947517e-80
"232","ABQ.18.0","ABQ","8","18","1",0.163520107753206,8.6854504188271e-33
"233","qm.18.0","qm","9","18","1",0.845439163944322,9.23085079737584e-81
"234","nTau1.18.0","nTau1","10","18","1",3.22733595884228,1.18952648134229e-15
"235","nTau2.18.0","nTau2","11","18","1",9.13470057024525,1.93680448411141e-05
"236","nCon.18.0","nCon","12","18","1",1.20667561248311,3.75317161267598e-13
"237","Fm.18.0","Fm","13","18","1",2914.62886511901,9.14212413967828e-97
"238","Fo.18.0","Fo","14","18","1",2737.09078490944,1.84617015947517e-80
"239","Quant.19.0","Quant","1","19","1",0.0570738800084538,5.42136143934588e-81
"240","Sigma.19.0","Sigma","2","19","1",3.11488272066509,4.05650529968943e-31
"241","Connect.19.0","Connect","3","19","1",0.348687253012895,1.32173467993284e-08
"242","Tau1.19.0","Tau1","4","19","1",1204.60671578923,2.23038685652149e-15
"243","Tau2.19.0","Tau2","5","19","1",7285968.275611,8.35907394578087e-08
"244","NPQ.19.0","NPQ","6","19","1",0.259841052247165,1.39755598250179e-95
"245","qP.19.0","qP","7","19","1",0.526262329440256,1.08427228786918e-80
"246","ABQ.19.0","ABQ","8","19","1",0.217526633729096,4.05650529968943e-31
"247","qm.19.0","qm","9","19","1",0.855179981575867,5.42136143934588e-81
"248","nTau1.19.0","nTau1","10","19","1",2.09159828899145,2.23038685652149e-15
"249","nTau2.19.0","nTau2","11","19","1",7.89275815810456,8.35907394578087e-08
"250","nCon.19.0","nCon","12","19","1",0.991019675521855,1.32173467993284e-08
"251","Fm.19.0","Fm","13","19","1",2852.68214749863,1.39755598250179e-95
"252","Fo.19.0","Fo","14","19","1",2689.86850891003,1.08427228786918e-80
"253","Quant.20.0","Quant","1","20","1",0.065962555268914,1.91732109422257e-78
"254","Sigma.20.0","Sigma","2","20","1",3.24267319998648,8.17705808828021e-31
"255","Connect.20.0","Connect","3","20","1",0.52284609568403,4.98054593138047e-15
"256","Tau1.20.0","Tau1","4","20","1",1429.62265020954,1.12548106320545e-10
"257","Tau2.20.0","Tau2","5","20","1",8074272.34815773,0.000130867755674773
"258","NPQ.20.0","NPQ","6","20","1",0.283037559229197,3.14108909611593e-92
"259","qP.20.0","qP","7","20","1",0.569064555935047,3.83464218844511e-78
"260","ABQ.20.0","ABQ","8","20","1",0.185425057040961,8.17705808828021e-31
"261","qm.20.0","qm","9","20","1",0.832625739341148,1.91732109422257e-78
"262","nTau1.20.0","nTau1","10","20","1",2.48230086208891,1.12548106320545e-10
"263","nTau2.20.0","nTau2","11","20","1",8.74671375663322,0.000130867755674773
"264","nCon.20.0","nCon","12","20","1",1.48600433085948,4.98054593138047e-15
"265","Fm.20.0","Fm","13","20","1",2801.10745985525,3.14108909611593e-92
"266","Fo.20.0","Fo","14","20","1",2616.33925422038,3.83464218844511e-78
"267","Quant.21.0","Quant","1","21","1",0.0607133191109547,3.37553661642116e-89
"268","Sigma.21.0","Sigma","2","21","1",3.32792903351394,1.85256282058493e-40
"269","Connect.21.0","Connect","3","21","1",0.361456248846417,5.01754428352024e-16
"270","Tau1.21.0","Tau1","4","21","1",1154.95148947197,3.71002855873675e-14
"271","Tau2.21.0","Tau2","5","21","1",5758712.02073276,1.01503104165396e-08
