"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo4.002r","pval"
"79","qm.7.0","qm","9","7","1",0.898365146158258,2.39007878027886e-81
"80","nTau1.7.0","nTau1","10","7","1",3.2549276051755,1.17851008353692e-09
"81","nTau2.7.0","nTau2","11","7","1",19.8089638180696,0.00344282043172633
"82","nCon.7.0","nCon","12","7","1",1.10063880485623,1.20272295421184e-06
"83","Fm.7.0","Fm","13","7","1",3262.81395060167,2.56657137812618e-99
"84","Fo.7.0","Fo","14","7","1",3136.04096758189,4.78015756055773e-81
"85","Quant.8.0","Quant","1","8","1",0.0416141899337049,7.73608722117091e-83
"86","Sigma.8.0","Sigma","2","8","1",3.43388559881991,8.6492109922105e-28
"87","Connect.8.0","Connect","3","8","1",0.350052309112509,4.35103392219347e-07
"88","Tau1.8.0","Tau1","4","8","1",2269.37351792674,1.28444403257077e-11
"89","Tau2.8.0","Tau2","5","8","1",10175965.2846457,2.289905757675e-05
"90","NPQ.8.0","NPQ","6","8","1",0.11246941935228,4.52839262208889e-99
"91","qP.8.0","qP","7","8","1",0.364530895115092,1.54721744423418e-82
"92","ABQ.8.0","ABQ","8","8","1",0.270858230408629,8.6492109922105e-28
"93","qm.8.0","qm","9","8","1",0.891144666437681,7.73608722117091e-83
"94","nTau1.8.0","nTau1","10","8","1",2.78241595771646,1.28444403257077e-11
"95","nTau2.8.0","nTau2","11","8","1",11.5271888200205,2.289905757675e-05
"96","nCon.8.0","nCon","12","8","1",1.11196524593918,4.35103392219347e-07
"97","Fm.8.0","Fm","13","8","1",3227.56490420431,4.52839262208889e-99
"98","Fo.8.0","Fo","14","8","1",3093.25240525739,1.54721744423418e-82
"99","Quant.9.0","Quant","1","9","1",0.0460279825138274,3.41176116705697e-87
"100","Sigma.9.0","Sigma","2","9","1",3.65244448467124,7.79503332030561e-33
"101","Connect.9.0","Connect","3","9","1",0.371278020608174,1.88811589557504e-10
"102","Tau1.9.0","Tau1","4","9","1",2383.73768328865,1.46326557363391e-12
"103","Tau2.9.0","Tau2","5","9","1",13382930.0312436,0.00111640551349487
"104","NPQ.9.0","NPQ","6","9","1",0.116963996177864,1.98473736416405e-103
"105","qP.9.0","qP","7","9","1",0.384054659229534,6.82352233411394e-87
"106","ABQ.9.0","ABQ","8","9","1",0.224450041142125,7.79503332030561e-33
"107","qm.9.0","qm","9","9","1",0.879598968579582,3.41176116705697e-87
"108","nTau1.9.0","nTau1","10","9","1",2.92263469041085,1.46326557363391e-12
"109","nTau2.9.0","nTau2","11","9","1",15.1599928969923,0.00111640551349487
"110","nCon.9.0","nCon","12","9","1",1.17939017898233,1.88811589557504e-10
"111","Fm.9.0","Fm","13","9","1",3214.57743238682,1.98473736416405e-103
"112","Fo.9.0","Fo","14","9","1",3066.61691853958,6.82352233411394e-87
"113","Quant.10.0","Quant","1","10","1",0.0814014082681619,2.22032334829155e-75
"114","Sigma.10.0","Sigma","2","10","1",5.08087771610574,4.09734709155466e-33
"115","Connect.10.0","Connect","3","10","1",0.276417348637455,4.00750230611855e-07
"116","Tau1.10.0","Tau1","4","10","1",2289.71542910672,1.49593968913615e-15
"117","Tau2.10.0","Tau2","5","10","1",4334424.57253882,5.64108702624656e-08
"118","NPQ.10.0","NPQ","6","10","1",0.159571905219648,3.00758071080686e-98
"119","qP.10.0","qP","7","10","1",0.546936926216448,4.44064669658311e-75
"120","ABQ.10.0","ABQ","8","10","1",-0.07885952003522,4.09734709155466e-33
"121","qm.10.0","qm","9","10","1",0.787068366257049,2.22032334829155e-75
"122","nTau1.10.0","nTau1","10","10","1",2.80735661108644,1.49593968913615e-15
"123","nTau2.10.0","nTau2","11","10","1",4.90997454061495,5.64108702624656e-08
"124","nCon.10.0","nCon","12","10","1",0.878058727390695,4.00750230611855e-07
"125","Fm.10.0","Fm","13","10","1",3096.45933877799,3.00758071080686e-98
"126","Fo.10.0","Fo","14","10","1",2844.40318795636,4.44064669658311e-75
"127","Quant.11.0","Quant","1","11","1",0.0873363391676752,3.63934723934228e-78
"128","Sigma.11.0","Sigma","2","11","1",5.06065366614778,7.45732066460872e-37
"129","Connect.11.0","Connect","3","11","1",0.197521171473811,1.27909891821086e-05
"130","Tau1.11.0","Tau1","4","11","1",2109.72986777579,2.05246373216371e-18
"131","Tau2.11.0","Tau2","5","11","1",4386152.78097221,5.72339863324648e-08
"132","NPQ.11.0","NPQ","6","11","1",0.14039554094766,3.68853199742925e-101
"133","qP.11.0","qP","7","11","1",0.525574519248121,7.27869447868456e-78
"134","ABQ.11.0","ABQ","8","11","1",-0.0745652012088378,7.45732066460872e-37
"135","qm.11.0","qm","9","11","1",0.771543640586189,3.63934723934228e-78
"136","nTau1.11.0","nTau1","10","11","1",2.58668130398087,2.05246373216371e-18
"137","nTau2.11.0","nTau2","11","11","1",4.96857151979614,5.72339863324648e-08
"138","nCon.11.0","nCon","12","11","1",0.627439592022458,1.27909891821086e-05
"139","Fm.11.0","Fm","13","11","1",3148.52796768937,3.68853199742925e-101
"140","Fo.11.0","Fo","14","11","1",2873.54706122434,7.27869447868456e-78
"141","Quant.12.0","Quant","1","12","1",0.0935922468676973,6.50192658562835e-74
"142","Sigma.12.0","Sigma","2","12","1",5.10854704814366,1.61723029697772e-34
"143","Connect.12.0","Connect","3","12","1",0.266479942537299,2.79246447988094e-07
"144","Tau1.12.0","Tau1","4","12","1",2247.5239823662,5.59856841503034e-17
"145","Tau2.12.0","Tau2","5","12","1",4300413.74140495,6.13320318840875e-07
"146","NPQ.12.0","NPQ","6","12","1",0.135938761366775,5.31154968555692e-97
"147","qP.12.0","qP","7","12","1",0.531805011784444,1.30038531712567e-73
"148","ABQ.12.0","ABQ","8","12","1",-0.0847347494640829,1.61723029697772e-34
"149","qm.12.0","qm","9","12","1",0.755179296584639,6.50192658562835e-74
"150","nTau1.12.0","nTau1","10","12","1",2.75562684788853,5.59856841503034e-17
"151","nTau2.12.0","nTau2","11","12","1",4.87144755458075,6.13320318840875e-07
"152","nCon.12.0","nCon","12","12","1",0.846491873150616,2.79246447988094e-07
"153","Fm.12.0","Fm","13","12","1",3160.88100610437,5.31154968555692e-97
"154","Fo.12.0","Fo","14","12","1",2865.04705066163,1.30038531712567e-73
"155","Quant.13.0","Quant","1","13","1",0.102793751268098,2.07686351737121e-72
"156","Sigma.13.0","Sigma","2","13","1",5.44470826731183,2.09056423956254e-34
"157","Connect.13.0","Connect","3","13","1",0.214232951756217,2.7901301399176e-05
"158","Tau1.13.0","Tau1","4","13","1",2203.61832638687,6.79487771836813e-20
"159","Tau2.13.0","Tau2","5","13","1",4614738.26031679,6.80475895108819e-07
"160","NPQ.13.0","NPQ","6","13","1",0.128385345063989,1.3773114479401e-96
"161","qP.13.0","qP","7","13","1",0.539208966252565,4.15372703474241e-72
"162","ABQ.13.0","ABQ","8","13","1",-0.156114292887577,2.09056423956254e-34
"163","qm.13.0","qm","9","13","1",0.731109794513915,2.07686351737121e-72
"164","nTau1.13.0","nTau1","10","13","1",2.701795340265,6.79487771836813e-20
"165","nTau2.13.0","nTau2","11","13","1",5.22750990138592,6.80475895108819e-07
