"","uni","metric","metrix","stage","col","ASnormalized.icra9.002r","pval"
"61","Tau2.6.0","Tau2","5","6","1",5368602.94951898,0.00000000341577811062852
"62","NPQ.6.0","NPQ","6","6","1",0.286638586878996,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063547706880523
"63","qP.6.0","qP","7","6","1",0.583338283620512,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000341269148949623
"64","ABQ.6.0","ABQ","8","6","1",0.26971516426476,0.0000000000000000000000000000000000000343344172688485
"65","qm.6.0","qm","9","6","1",0.759114096109027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000170634574474812
"66","nTau1.6.0","nTau1","10","6","1",1.37397178349169,0.00000000000000433503654333517
"67","nTau2.6.0","nTau2","11","6","1",2.98590637368123,0.00000000341577811062852
"68","nCon.6.0","nCon","12","6","1",1.08579053821388,0.0000000000111238571060738
"69","Fm.6.0","Fm","13","6","1",2032.88160967818,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063547706880523
"70","Fo.6.0","Fo","14","6","1",1875.80586994371,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000341269148949623
"71","Quant.7.0","Quant","1","7","1",0.0784406261000824,0.00000000000000000000000000000000000000000000000000000000000000000000000000000160444654393453
"72","Sigma.7.0","Sigma","2","7","1",3.44421641530838,0.000000000000000000000000000000000132567436636717
"73","Connect.7.0","Connect","3","7","1",0.339002759830651,0.000000000154665012953952
"74","Tau1.7.0","Tau1","4","7","1",1157.61124179251,0.00000000000000129327248002143
"75","Tau2.7.0","Tau2","5","7","1",5471394.4512771,0.000000199666677371355
"76","NPQ.7.0","NPQ","6","7","1",0.320860719086616,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260871940239888
"77","qP.7.0","qP","7","7","1",0.623492802853384,0.00000000000000000000000000000000000000000000000000000000000000000000000000000320889308786907
"78","ABQ.7.0","ABQ","8","7","1",0.2954136017084,0.000000000000000000000000000000000132567436636717
"79","qm.7.0","qm","9","7","1",0.755456900932012,0.00000000000000000000000000000000000000000000000000000000000000000000000000000160444654393453
"80","nTau1.7.0","nTau1","10","7","1",1.442170551915,0.00000000000000129327248002143
"81","nTau2.7.0","nTau2","11","7","1",3.04307688957631,0.000000199666677371355
"82","nCon.7.0","nCon","12","7","1",1.1853635385214,0.000000000154665012953952
"83","Fm.7.0","Fm","13","7","1",1980.21175417899,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260871940239888
"84","Fo.7.0","Fo","14","7","1",1824.88270437045,0.00000000000000000000000000000000000000000000000000000000000000000000000000000320889308786907
"85","Quant.8.0","Quant","1","8","1",0.0788301408294062,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000163432900542782
"86","Sigma.8.0","Sigma","2","8","1",3.43295506044812,0.000000000000000000000000000000000000152483147277341
"87","Connect.8.0","Connect","3","8","1",0.345322564752482,0.000000000000737294399011596
"88","Tau1.8.0","Tau1","4","8","1",1334.83260676529,0.000000000000000466204926375211
"89","Tau2.8.0","Tau2","5","8","1",5557790.10078045,0.000000318735553799155
"90","NPQ.8.0","NPQ","6","8","1",0.326890324086549,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393240551344619
"91","qP.8.0","qP","7","8","1",0.630637197598551,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000326865801085564
"92","ABQ.8.0","ABQ","8","8","1",0.297717347032186,0.000000000000000000000000000000000000152483147277341
"93","qm.8.0","qm","9","8","1",0.754242566679759,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000163432900542782
"94","nTau1.8.0","nTau1","10","8","1",1.66295575553669,0.000000000000000466204926375211
"95","nTau2.8.0","nTau2","11","8","1",3.09112837018235,0.000000318735553799155
"96","nCon.8.0","nCon","12","8","1",1.20746148937185,0.000000000000737294399011596
"97","Fm.8.0","Fm","13","8","1",1971.21335056025,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393240551344619
"98","Fo.8.0","Fo","14","8","1",1815.82232453078,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000326865801085564
"99","Quant.9.0","Quant","1","9","1",0.0833590467300119,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000750609236871097
"100","Sigma.9.0","Sigma","2","9","1",3.49636678015413,0.00000000000000000000000000000000000222913991067505
"101","Connect.9.0","Connect","3","9","1",0.272508825641837,0.000000017678450528964
"102","Tau1.9.0","Tau1","4","9","1",1586.58471467943,0.000000000000240373467842711
"103","Tau2.9.0","Tau2","5","9","1",7482530.40612788,0.00106608283444465
"104","NPQ.9.0","NPQ","6","9","1",0.329084186636548,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000888754063527509
"105","qP.9.0","qP","7","9","1",0.640028610749572,0.000000000000000000000000000000000000000000000000000000000000000000000000000000150121847374219
"106","ABQ.9.0","ABQ","8","9","1",0.284745155447898,0.00000000000000000000000000000000000222913991067505
"107","qm.9.0","qm","9","9","1",0.740123445767742,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000750609236871097
"108","nTau1.9.0","nTau1","10","9","1",1.97659254767263,0.000000000000240373467842711
"109","nTau2.9.0","nTau2","11","9","1",4.16162928065348,0.00106608283444465
"110","nCon.9.0","nCon","12","9","1",0.952859575545886,0.000000017678450528964
"111","Fm.9.0","Fm","13","9","1",1967.95955280137,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000888754063527509
"112","Fo.9.0","Fo","14","9","1",1803.91232047662,0.000000000000000000000000000000000000000000000000000000000000000000000000000000150121847374219
"113","Quant.10.0","Quant","1","10","1",0.118244904100959,0.0000000000000000000000000000000000000000000000000000000000000000000000000559395402768288
"114","Sigma.10.0","Sigma","2","10","1",4.76571464114644,0.0000000000000000000000000000000000000768117301492856
"115","Connect.10.0","Connect","3","10","1",0.178982590853422,0.0000392432779915574
"116","Tau1.10.0","Tau1","4","10","1",1247.46495763199,0.000000000000000000014452419156488
"117","Tau2.10.0","Tau2","5","10","1",3754137.52778114,0.0000000152669462671327
"118","NPQ.10.0","NPQ","6","10","1",0.35459333861715,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180200827854889
"119","qP.10.0","qP","7","10","1",0.719931797085053,0.000000000000000000000000000000000000000000000000000000000000000000000000111879080553658
"120","ABQ.10.0","ABQ","8","10","1",0.0250735408592884,0.0000000000000000000000000000000000000768117301492856
"121","qm.10.0","qm","9","10","1",0.631364807555824,0.0000000000000000000000000000000000000000000000000000000000000000000000000559395402768288
"122","nTau1.10.0","nTau1","10","10","1",1.55411174450672,0.000000000000000000014452419156488
"123","nTau2.10.0","nTau2","11","10","1",2.08797396217985,0.0000000152669462671327
"124","nCon.10.0","nCon","12","10","1",0.625833952896797,0.0000392432779915574
"125","Fm.10.0","Fm","13","10","1",1930.89973721469,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180200827854889
"126","Fo.10.0","Fo","14","10","1",1702.58068295917,0.000000000000000000000000000000000000000000000000000000000000000000000000111879080553658
"127","Quant.11.0","Quant","1","11","1",0.129383534809586,0.00000000000000000000000000000000000000000000000000000000000000000000000000030163152378106
"128","Sigma.11.0","Sigma","2","11","1",4.29795354511925,0.0000000000000000000000000000000000000000163634287651864
"129","Connect.11.0","Connect","3","11","1",0.181613563280533,0.000000838453386639308
"130","Tau1.11.0","Tau1","4","11","1",1259.76089272426,0.00000000000000000000843215646826193
"131","Tau2.11.0","Tau2","5","11","1",3478805.86650955,0.00000000728366556416882
"132","NPQ.11.0","NPQ","6","11","1",0.315281216328174,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177827110223612
"133","qP.11.0","qP","7","11","1",0.697271288078791,0.00000000000000000000000000000000000000000000000000000000000000000000000000060326304756212
"134","ABQ.11.0","ABQ","8","11","1",0.120763841981445,0.0000000000000000000000000000000000000000163634287651864
"135","qm.11.0","qm","9","11","1",0.596639494815637,0.00000000000000000000000000000000000000000000000000000000000000000000000000030163152378106
"136","nTau1.11.0","nTau1","10","11","1",1.5694302165966,0.00000000000000000000843215646826193
"137","nTau2.11.0","nTau2","11","11","1",1.93484016368564,0.00000000728366556416882
"138","nCon.11.0","nCon","12","11","1",0.635033461442126,0.000000838453386639308
"139","Fm.11.0","Fm","13","11","1",1988.61193264089,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177827110223612
"140","Fo.11.0","Fo","14","11","1",1731.31829143129,0.00000000000000000000000000000000000000000000000000000000000000000000000000060326304756212
"141","Quant.12.0","Quant","1","12","1",0.131549064745201,0.0000000000000000000000000000000000000000000000000000000000000000000000000183250237071819
"142","Sigma.12.0","Sigma","2","12","1",4.68603804946012,0.0000000000000000000000000000000000000000789888641548004
"143","Connect.12.0","Connect","3","12","1",0.213030356685508,0.0000000582657157142174
"144","Tau1.12.0","Tau1","4","12","1",1363.99979051649,0.00000000000000000134283406990315
"145","Tau2.12.0","Tau2","5","12","1",3267694.53561039,0.0000000793495707560373
"146","NPQ.12.0","NPQ","6","12","1",0.302683765644151,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000848051044605772
"147","qP.12.0","qP","7","12","1",0.687497860298745,0.0000000000000000000000000000000000000000000000000000000000000000000000000366500474143638
"148","ABQ.12.0","ABQ","8","12","1",0.0413730516899371,0.0000000000000000000000000000000000000000789888641548004
"149","qm.12.0","qm","9","12","1",0.589888332466368,0.0000000000000000000000000000000000000000000000000000000000000000000000000183250237071819
"150","nTau1.12.0","nTau1","10","12","1",1.69929269834587,0.00000000000000000134283406990315
"151","nTau2.12.0","nTau2","11","12","1",1.81742439008208,0.0000000793495707560373
"152","nCon.12.0","nCon","12","12","1",0.744886022577972,0.0000000582657157142174
"153","Fm.12.0","Fm","13","12","1",2007.8425712746,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000848051044605772
"154","Fo.12.0","Fo","14","12","1",1743.71275886782,0.0000000000000000000000000000000000000000000000000000000000000000000000000366500474143638
"155","Quant.13.0","Quant","1","13","1",0.141364803270166,0.000000000000000000000000000000000000000000000000000000000000000000000000481653861556545
"156","Sigma.13.0","Sigma","2","13","1",4.81215213984613,0.0000000000000000000000000000000000000000945058286202708
"157","Connect.13.0","Connect","3","13","1",0.239186788586365,0.00000000244519213749517
"158","Tau1.13.0","Tau1","4","13","1",1608.03520921406,0.0000000000000000000737683648529618
"159","Tau2.13.0","Tau2","5","13","1",3559951.01635807,0.000000450735271209451
"160","NPQ.13.0","NPQ","6","13","1",0.274991003935218,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000684847284931879
"161","qP.13.0","qP","7","13","1",0.673511789574085,0.000000000000000000000000000000000000000000000000000000000000000000000000963307723113089
"162","ABQ.13.0","ABQ","8","13","1",0.0155737806789878,0.0000000000000000000000000000000000000000945058286202708
"163","qm.13.0","qm","9","13","1",0.559287211110281,0.000000000000000000000000000000000000000000000000000000000000000000000000481653861556545
"164","nTau1.13.0","nTau1","10","13","1",2.00331591595467,0.0000000000000000000737683648529618
"165","nTau2.13.0","nTau2","11","13","1",1.97997142453773,0.000000450735271209451
"166","nCon.13.0","nCon","12","13","1",0.836345102995435,0.00000000244519213749517
"167","Fm.13.0","Fm","13","13","1",2051.45284436966,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000684847284931879
"168","Fo.13.0","Fo","14","13","1",1761.44961660732,0.000000000000000000000000000000000000000000000000000000000000000000000000963307723113089
"169","Quant.14.0","Quant","1","14","1",0.142477115230558,0.00000000000000000000000000000000000000000000000000000000000000000000000135374408755414
"170","Sigma.14.0","Sigma","2","14","1",4.66949487040124,0.000000000000000000000000000000000000000217820783753027
"171","Connect.14.0","Connect","3","14","1",0.268067082575807,0.000000000128416428452842
"172","Tau1.14.0","Tau1","4","14","1",1453.23861893919,0.00000000000000000135535682317693
"173","Tau2.14.0","Tau2","5","14","1",2860155.18248407,0.0000000307841352786976
"174","NPQ.14.0","NPQ","6","14","1",0.258902962155161,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000612830147080374
"175","qP.14.0","qP","7","14","1",0.657584023678897,0.00000000000000000000000000000000000000000000000000000000000000000000000270748817510828
"176","ABQ.14.0","ABQ","8","14","1",0.0447573044615051,0.000000000000000000000000000000000000000217820783753027
"177","qm.14.0","qm","9","14","1",0.555819515511098,0.00000000000000000000000000000000000000000000000000000000000000000000000135374408755414
"178","nTau1.14.0","nTau1","10","14","1",1.81046785438472,0.00000000000000000135535682317693
