"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1448","NPQ.27.3","NPQ","6","27","4",1.05813543782344,1.05964109138669e-98
"1449","qP.27.3","qP","7","27","4",0.959769590248198,5.12281194625567e-75
"1450","ABQ.27.3","ABQ","8","27","4",0.116703057159702,3.03102078234656e-56
"1451","qm.27.3","qm","9","27","4",0.0453624954786696,2.56140597312783e-75
"1452","nTau1.27.3","nTau1","10","27","4",1.71910964754838,5.05529583225624e-21
"1453","nTau2.27.3","nTau2","11","27","4",0.638344789613994,8.7587300969795e-13
"1454","nCon.27.3","nCon","12","27","4",1.0421893973758,8.63958025918739e-24
"1455","Fm.27.3","Fm","13","27","4",1296.08793511905,1.05964109138669e-98
"1456","Fo.27.3","Fo","14","27","4",898.110717357864,5.12281194625567e-75
"1457","MTQuant.2.0","MTQuant","15","2","1",0.661458173650581,NA
"1458","PQpool.2.0","PQpool","16","2","1",0.568183545989643,NA
"1459","MTTau1.2.0","MTTau1","17","2","1",17000,NA
"1460","MTTau2.2.0","MTTau2","18","2","1",5e+06,NA
"1461","MTQuant.2.1","MTQuant","15","2","2",0.617286010092606,NA
"1462","PQpool.2.1","PQpool","16","2","2",0.588398230307487,NA
"1463","MTTau1.2.1","MTTau1","17","2","2",21207.6014733794,NA
"1464","MTTau2.2.1","MTTau2","18","2","2",1670000,NA
"1465","MTQuant.2.2","MTQuant","15","2","3",0.627118166461342,NA
"1466","PQpool.2.2","PQpool","16","2","3",0.582046459951236,NA
"1467","MTTau1.2.2","MTTau1","17","2","3",21004.7981345662,NA
"1468","MTTau2.2.2","MTTau2","18","2","3",1753292.14215663,NA
"1469","MTQuant.2.3","MTQuant","15","2","4",0.614908071644635,NA
"1470","PQpool.2.3","PQpool","16","2","4",0.582877881786126,NA
"1471","MTTau1.2.3","MTTau1","17","2","4",22049.4221622047,NA
"1472","MTTau2.2.3","MTTau2","18","2","4",5e+06,NA
"1473","Ratio12","Ratio12","Ratio12","Ratio12","Ratio12",1.02910896683838,NA
"1474","Ratio32","Ratio32","Ratio32","Ratio32","Ratio32",1.11150914480394,NA
