"","uni","metric","metrix","stage","col","ASnormalized.icra4.002r","pval"
"1073","qm.26.2","qm","9","26","3",0.35755768575465,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000248828822951078
"1074","nTau1.26.2","nTau1","10","26","3",2.06727660458207,0.0000000000000000033175854883063
"1075","nTau2.26.2","nTau2","11","26","3",1.03945356163106,0.000000000258538032074651
"1076","nCon.26.2","nCon","12","26","3",0.763993048644243,0.0000000000000278883231829832
"1077","Fm.26.2","Fm","13","26","3",1885.30525159576,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134199058479027
"1078","Fo.26.2","Fo","14","26","3",1520.13053844012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000497657645902156
"1079","Quant.27.2","Quant","1","27","3",0.198398654798836,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000562761115853963
"1080","Sigma.27.2","Sigma","2","27","3",4.33362054023739,0.0000000000000000000000000000000000000000000000000001881246681077
"1081","Connect.27.2","Connect","3","27","3",0.209266157756235,0.00000000000759739823937799
"1082","Tau1.27.2","Tau1","4","27","3",1428.65984108195,0.0000000000000000225671426824518
"1083","Tau2.27.2","Tau2","5","27","3",1621396.22383276,0.0000000000123378396919047
"1084","NPQ.27.2","NPQ","6","27","3",0.449326046376113,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261541829985113
"1085","qP.27.2","qP","7","27","3",0.939379342083627,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000112552223170793
"1086","ABQ.27.2","ABQ","8","27","3",-0.0632011832082302,0.0000000000000000000000000000000000000000000000000001881246681077
"1087","qm.27.2","qm","9","27","3",0.341957654722112,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000562761115853963
"1088","nTau1.27.2","nTau1","10","27","3",1.95384715957746,0.0000000000000000225671426824518
"1089","nTau2.27.2","nTau2","11","27","3",0.891308230343408,0.0000000000123378396919047
"1090","nCon.27.2","nCon","12","27","3",0.659406444304341,0.00000000000759739823937799
"1091","Fm.27.2","Fm","13","27","3",1898.54680402208,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261541829985113
"1092","Fo.27.2","Fo","14","27","3",1521.87767203147,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000112552223170793
"1093","Quant.1.3","Quant","1","1","4",0.300969987929567,0.00000000000000000000000000000000000000000000000000000000000000000000000000800179602623732
"1094","Sigma.1.3","Sigma","2","1","4",3.74554944179191,0.00000000000000000000000000000000000000000000000000000000707330619821634
"1095","Connect.1.3","Connect","3","1","4",0.370271031689802,0.00000000000000000000000000373218541297224
"1096","Tau1.1.3","Tau1","4","1","4",542.977256086205,0.0000000000000000000000000037360766452902
"1097","Tau2.1.3","Tau2","5","1","4",1570196.6748965,0.00000000000000159670812605252
"1098","NPQ.1.3","NPQ","6","1","4",0.718304855838773,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208140111136659
"1099","qP.1.3","qP","7","1","4",1.20626426324906,0.0000000000000000000000000000000000000000000000000000000000000000000000000160035920524746
"1100","ABQ.1.3","ABQ","8","1","4",0,0.00000000000000000000000000000000000000000000000000000000707330619821634
"1101","qm.1.3","qm","9","1","4",0,0.00000000000000000000000000000000000000000000000000000000000000000000000000800179602623732
"1102","nTau1.1.3","nTau1","10","1","4",1,0.0000000000000000000000000037360766452902
"1103","nTau2.1.3","nTau2","11","1","4",1,0.00000000000000159670812605252
"1104","nCon.1.3","nCon","12","1","4",1,0.00000000000000000000000000373218541297224
"1105","Fm.1.3","Fm","13","1","4",1417.70809621161,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208140111136659
"1106","Fo.1.3","Fo","14","1","4",991.020507607153,0.0000000000000000000000000000000000000000000000000000000000000000000000000160035920524746
"1107","Quant.3.3","Quant","1","3","4",0.0411208184144628,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015325714167785
"1108","Sigma.3.3","Sigma","2","3","4",2.52664930455097,0.0000000000000000000000000000369556674451755
"1109","Connect.3.3","Connect","3","3","4",0.414302647624453,0.00000000287903602623885
"1110","Tau1.3.3","Tau1","4","3","4",1791.19267780968,0.0000000001986749602301
"1111","Tau2.3.3","Tau2","5","3","4",5997238.93134515,0.0000000217581513306532
"1112","NPQ.3.3","NPQ","6","3","4",0.123139472148955,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201227631837541
"1113","qP.3.3","qP","7","3","4",0.297406372198409,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003065142833557
"1114","ABQ.3.3","ABQ","8","3","4",0.32542625753134,0.0000000000000000000000000000369556674451755
"1115","qm.3.3","qm","9","3","4",0.863372362482581,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015325714167785
"1116","nTau1.3.3","nTau1","10","3","4",3.29883555477194,0.0000000001986749602301
"1117","nTau2.3.3","nTau2","11","3","4",3.81941894746432,0.0000000217581513306532
"1118","nCon.3.3","nCon","12","3","4",1.11891725834912,0.00000000287903602623885
"1119","Fm.3.3","Fm","13","3","4",2168.9690072252,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201227631837541
"1120","Fo.3.3","Fo","14","3","4",2079.77922653249,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003065142833557
"1121","Quant.4.3","Quant","1","4","4",0.059868295586008,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000546197627590161
"1122","Sigma.4.3","Sigma","2","4","4",2.81668732681172,0.000000000000000000000000000000000000000180880811341071
"1123","Connect.4.3","Connect","3","4","4",0.505562691447158,0.0000000000000000000167182194861699
"1124","Tau1.4.3","Tau1","4","4","4",1234.57236522801,0.000000000185073833129126
"1125","Tau2.4.3","Tau2","5","4","4",4878444.30344247,0.0000000257472852772273
"1126","NPQ.4.3","NPQ","6","4","4",0.165312479779633,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000476667667726449
"1127","qP.4.3","qP","7","4","4",0.392952707958405,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109239525518032
"1128","ABQ.4.3","ABQ","8","4","4",0.247990883424521,0.000000000000000000000000000000000000000180880811341071
"1129","qm.4.3","qm","9","4","4",0.801082174346173,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000546197627590161
"1130","nTau1.4.3","nTau1","10","4","4",2.27370916809084,0.000000000185073833129126
"1131","nTau2.4.3","nTau2","11","4","4",3.10690016189471,0.0000000257472852772273
"1132","nCon.4.3","nCon","12","4","4",1.36538548300667,0.0000000000000000000167182194861699
"1133","Fm.4.3","Fm","13","4","4",2090.47336929149,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000476667667726449
"1134","Fo.4.3","Fo","14","4","4",1965.32029170407,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109239525518032
"1135","Quant.5.3","Quant","1","5","4",0.0639730701324869,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579240870452681
"1136","Sigma.5.3","Sigma","2","5","4",2.65703499819735,0.000000000000000000000000000000000000106846661181219
"1137","Connect.5.3","Connect","3","5","4",0.479094079798785,0.0000000000000000284498243734528
"1138","Tau1.5.3","Tau1","4","5","4",1399.43692975687,0.000000000000724665216860885
"1139","Tau2.5.3","Tau2","5","5","4",5894533.04001429,0.0000000115019219902969
"1140","NPQ.5.3","NPQ","6","5","4",0.222813430622223,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493018101215845
"1141","qP.5.3","qP","7","5","4",0.476924769084786,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115848174090536
"1142","ABQ.5.3","ABQ","8","5","4",0.290615425189476,0.000000000000000000000000000000000000106846661181219
"1143","qm.5.3","qm","9","5","4",0.78744368974272,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579240870452681
"1144","nTau1.5.3","nTau1","10","5","4",2.5773398684211,0.000000000000724665216860885
"1145","nTau2.5.3","nTau2","11","5","4",3.75400937618394,0.0000000115019219902969
"1146","nCon.5.3","nCon","12","5","4",1.29390105840132,0.0000000000000000284498243734528
"1147","Fm.5.3","Fm","13","5","4",1992.17202303934,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493018101215845
"1148","Fo.5.3","Fo","14","5","4",1864.72666249347,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115848174090536
"1149","Quant.6.3","Quant","1","6","4",0.0579170428102254,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000499679329193589
"1150","Sigma.6.3","Sigma","2","6","4",2.86911460327296,0.000000000000000000000000000000000000293268696384024
"1151","Connect.6.3","Connect","3","6","4",0.341492731423549,0.000000000274395490767852
"1152","Tau1.6.3","Tau1","4","6","4",1076.77686531613,0.00000000000000026036117199675
"1153","Tau2.6.3","Tau2","5","6","4",7919279.15289535,0.00000159748586226573
"1154","NPQ.6.3","NPQ","6","6","4",0.29288419901235,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362172937514464
"1155","qP.6.3","qP","7","6","4",0.55176337263848,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000999358658387179
"1156","ABQ.6.3","ABQ","8","6","4",0.233993664251207,0.000000000000000000000000000000000000293268696384024
"1157","qm.6.3","qm","9","6","4",0.807565388135048,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000499679329193589
"1158","nTau1.6.3","nTau1","10","6","4",1.98309754827959,0.00000000000000026036117199675
"1159","nTau2.6.3","nTau2","11","6","4",5.04349504715221,0.00000159748586226573
"1160","nCon.6.3","nCon","12","6","4",0.922277743049686,0.000000000274395490767852
"1161","Fm.6.3","Fm","13","6","4",1884.20177750125,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362172937514464
"1162","Fo.6.3","Fo","14","6","4",1775.07438249061,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000999358658387179
"1163","Quant.7.3","Quant","1","7","4",0.0644810270308608,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000286759954927578
"1164","Sigma.7.3","Sigma","2","7","4",3.52918807607383,0.0000000000000000000000000000108232637665464
"1165","Connect.7.3","Connect","3","7","4",0.135402475036249,0.0783454700669143
