"","uni","metric","metrix","stage","col","ASnormalized.t11_icra3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.367629365081277,0.0000000000000000000000000000000000000000000000000000000221262086183636
"2","Sigma.1.0","Sigma","2","1","1",4.88335720766761,0.0000000000000000000000000000000000000000000000406578801201115
"3","Connect.1.0","Connect","3","1","1",0.293529972500214,0.00000000000000124005325781039
"4","Tau1.1.0","Tau1","4","1","1",657.205165091795,0.00000000000000000000000000000109381361314681
"5","Tau2.1.0","Tau2","5","1","1",1113649.9030972,0.0000000000000000000000000204418424624504
"6","NPQ.1.0","NPQ","6","1","1",0.714657924014072,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000915885854609346
"7","qP.1.0","qP","7","1","1",1.16895736996948,0.0000000000000000000000000000000000000000000000000000000442524172367273
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000406578801201115
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000221262086183636
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000109381361314681
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000204418424624504
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000124005325781039
"13","Fm.1.0","Fm","13","1","1",1961.35171208316,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000915885854609346
"14","Fo.1.0","Fo","14","1","1",1240.30122746895,0.0000000000000000000000000000000000000000000000000000000442524172367273
"15","Quant.3.0","Quant","1","3","1",0.0491931597711838,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000857169281324589
"16","Sigma.3.0","Sigma","2","3","1",2.98193147778005,0.000000000000000000000000000000506000289032223
"17","Connect.3.0","Connect","3","3","1",0.420577135857628,0.0000000000336966729459442
"18","Tau1.3.0","Tau1","4","3","1",4588.35897800658,0.0000173227674992465
"19","Tau2.3.0","Tau2","5","3","1",5407302.8075122,0.000000349576311503437
"20","NPQ.3.0","NPQ","6","3","1",0.0709030806045241,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111710265574548
"21","qP.3.0","qP","7","3","1",0.207688691637351,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000171433856264806
"22","ABQ.3.0","ABQ","8","3","1",0.389368553031924,0.000000000000000000000000000000506000289032223
"23","qm.3.0","qm","9","3","1",0.866188165463039,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000857169281324589
"24","nTau1.3.0","nTau1","10","3","1",6.98162342860726,0.0000173227674992465
"25","nTau2.3.0","nTau2","11","3","1",4.85547818257227,0.000000349576311503437
"26","nCon.3.0","nCon","12","3","1",1.43282518059488,0.0000000000336966729459442
"27","Fm.3.0","Fm","13","3","1",3140.38433151534,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111710265574548
"28","Fo.3.0","Fo","14","3","1",2985.89890335219,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000171433856264806
"29","Quant.4.0","Quant","1","4","1",0.0437987387991598,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000211308371365277
"30","Sigma.4.0","Sigma","2","4","1",3.05138177878028,0.0000000000000000000000000000242343964734211
"31","Connect.4.0","Connect","3","4","1",0.445579555259798,0.0000000000187656071795131
"32","Tau1.4.0","Tau1","4","4","1",2405.76420543517,0.000000879520437967681
"33","Tau2.4.0","Tau2","5","4","1",5237350.76765004,0.0000000199843430019389
"34","NPQ.4.0","NPQ","6","4","1",0.0946905439980743,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000216312356503348
"35","qP.4.0","qP","7","4","1",0.234292510444338,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000422616742730552
