"","uni","metric","metrix","stage","col","ASnormalized.aabr3.005r","pval"
"61","Tau2.6.0","Tau2","5","6","1",9239354.3271871,0.000393509739102224
"62","NPQ.6.0","NPQ","6","6","1",0.033249454635811,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377174477491017
"63","qP.6.0","qP","7","6","1",0.163747877648675,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000390624959987206
"64","ABQ.6.0","ABQ","8","6","1",0.272322332641195,0.0000000000000000000000000508070444948273
"65","qm.6.0","qm","9","6","1",0.901018732956107,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000195312479993603
"66","nTau1.6.0","nTau1","10","6","1",4.13200736688416,0.00000120974444774308
"67","nTau2.6.0","nTau2","11","6","1",8.6152531197453,0.000393509739102224
"68","nCon.6.0","nCon","12","6","1",1.22189978813214,0.0000000111371631706864
"69","Fm.6.0","Fm","13","6","1",3240.94011646341,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000377174477491017
"70","Fo.6.0","Fo","14","6","1",3120.55190588316,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000390624959987206
"71","Quant.7.0","Quant","1","7","1",0.0407234471509386,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000575095915289873
"72","Sigma.7.0","Sigma","2","7","1",3.65107941467321,0.0000000000000000000000000325848019089248
"73","Connect.7.0","Connect","3","7","1",0.304296889568673,0.0000316071387780998
"74","Tau1.7.0","Tau1","4","7","1",1674.2797303122,0.000000136594291008346
"75","Tau2.7.0","Tau2","5","7","1",6674256.09380546,0.00000175730957061007
"76","NPQ.7.0","NPQ","6","7","1",0.0552066539039275,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320779119768062
"77","qP.7.0","qP","7","7","1",0.218500861304113,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000115019183057975
"78","ABQ.7.0","ABQ","8","7","1",0.17214128943396,0.0000000000000000000000000325848019089248
"79","qm.7.0","qm","9","7","1",0.891486295701747,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000575095915289873
"80","nTau1.7.0","nTau1","10","7","1",2.39391324231768,0.000000136594291008346
"81","nTau2.7.0","nTau2","11","7","1",6.2234225031223,0.00000175730957061007
"82","nCon.7.0","nCon","12","7","1",0.908950587020775,0.0000316071387780998
"83","Fm.7.0","Fm","13","7","1",3173.50122410053,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000320779119768062
"84","Fo.7.0","Fo","14","7","1",3044.26531471743,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000115019183057975
"85","Quant.8.0","Quant","1","8","1",0.045674333928579,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000292744064291557
"86","Sigma.8.0","Sigma","2","8","1",3.64033628365428,0.000000000000000000000000000242784098669183
"87","Connect.8.0","Connect","3","8","1",0.183114477947725,0.00949479998978583
"88","Tau1.8.0","Tau1","4","8","1",2575.10837349846,0.000000000356813936471928
"89","Tau2.8.0","Tau2","5","8","1",11246915.6576208,0.00000227334612160771
"90","NPQ.8.0","NPQ","6","8","1",0.0785561049329153,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125119090648178
"91","qP.8.0","qP","7","8","1",0.276835034236868,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000585488128583114
"92","ABQ.8.0","ABQ","8","8","1",0.174577225107402,0.000000000000000000000000000242784098669183
"93","qm.8.0","qm","9","8","1",0.878293918793875,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000292744064291557
"94","nTau1.8.0","nTau1","10","8","1",3.68193314660247,0.000000000356813936471928
"95","nTau2.8.0","nTau2","11","8","1",10.4872074146689,0.00000227334612160771
"96","nCon.8.0","nCon","12","8","1",0.54697244016694,0.00949479998978583
"97","Fm.8.0","Fm","13","8","1",3104.79871425087,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125119090648178
"98","Fo.8.0","Fo","14","8","1",2962.98910099515,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000585488128583114
"99","Quant.9.0","Quant","1","9","1",0.0400311562200098,0.00000000000000000000000000000000000000000000000000000000000000000000000000000272822357258834
"100","Sigma.9.0","Sigma","2","9","1",3.75621332892573,0.00000000000000000000000169351350367993
"101","Connect.9.0","Connect","3","9","1",0.329899676173074,0.0000187109023910764
"102","Tau1.9.0","Tau1","4","9","1",1679.81743496894,0.0000000000000354980695783495
"103","Tau2.9.0","Tau2","5","9","1",14884309.9719682,0.00247329885897205
"104","NPQ.9.0","NPQ","6","9","1",0.100509675921286,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103878916647914
"105","qP.9.0","qP","7","9","1",0.306933596126163,0.00000000000000000000000000000000000000000000000000000000000000000000000000000545644714517668
"106","ABQ.9.0","ABQ","8","9","1",0.14830285241173,0.00000000000000000000000169351350367993
"107","qm.9.0","qm","9","9","1",0.893331008235259,0.00000000000000000000000000000000000000000000000000000000000000000000000000000272822357258834
"108","nTau1.9.0","nTau1","10","9","1",2.40183114532386,0.0000000000000354980695783495
"109","nTau2.9.0","nTau2","11","9","1",13.8789025055493,0.00247329885897205
"110","nCon.9.0","nCon","12","9","1",0.985427438119793,0.0000187109023910764
"111","Fm.9.0","Fm","13","9","1",3042.8624855477,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103878916647914
"112","Fo.9.0","Fo","14","9","1",2921.05318203273,0.00000000000000000000000000000000000000000000000000000000000000000000000000000545644714517668
"113","Quant.10.0","Quant","1","10","1",0.0783786046616263,0.000000000000000000000000000000000000000000000000000000000000000000000000014226159106933
"114","Sigma.10.0","Sigma","2","10","1",4.75826568538553,0.000000000000000000000000000000289748550359152
"115","Connect.10.0","Connect","3","10","1",0.190080970263811,0.00134605223549554
"116","Tau1.10.0","Tau1","4","10","1",1750.35169401169,0.0000000000000000143744482904031
"117","Tau2.10.0","Tau2","5","10","1",5450648.93396859,0.000000627804733116434
"118","NPQ.10.0","NPQ","6","10","1",0.159249769924403,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000468690098159824
"119","qP.10.0","qP","7","10","1",0.492671059179587,0.0000000000000000000000000000000000000000000000000000000000000000000000000284523182138661
"120","ABQ.10.0","ABQ","8","10","1",-0.0789060569328859,0.000000000000000000000000000000289748550359152
"121","qm.10.0","qm","9","10","1",0.791148507196907,0.000000000000000000000000000000000000000000000000000000000000000000000000014226159106933
"122","nTau1.10.0","nTau1","10","10","1",2.50268221202585,0.0000000000000000143744482904031
"123","nTau2.10.0","nTau2","11","10","1",5.0824677320613,0.000000627804733116434
"124","nCon.10.0","nCon","12","10","1",0.567781713929671,0.00134605223549554
"125","Fm.10.0","Fm","13","10","1",2888.67825961399,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000468690098159824
"126","Fo.10.0","Fo","14","10","1",2662.26768830907,0.0000000000000000000000000000000000000000000000000000000000000000000000000284523182138661
"127","Quant.11.0","Quant","1","11","1",0.0952154697820792,0.0000000000000000000000000000000000000000000000000000000000000000000000000000115920372125137
"128","Sigma.11.0","Sigma","2","11","1",4.50272341485603,0.0000000000000000000000000000000000000853311287313766
"129","Connect.11.0","Connect","3","11","1",0.208842114329212,0.00000177825294470815
"130","Tau1.11.0","Tau1","4","11","1",1622.21231722111,0.000000000000000114567494032307
"131","Tau2.11.0","Tau2","5","11","1",4472449.6742851,0.00000057811070832744
"132","NPQ.11.0","NPQ","6","11","1",0.144294158777713,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018277267050142
"133","qP.11.0","qP","7","11","1",0.503061485140167,0.0000000000000000000000000000000000000000000000000000000000000000000000000000231840744250275
"134","ABQ.11.0","ABQ","8","11","1",-0.0209634951454134,0.0000000000000000000000000000000000000853311287313766
"135","qm.11.0","qm","9","11","1",0.746284166606617,0.0000000000000000000000000000000000000000000000000000000000000000000000000000115920372125137
"136","nTau1.11.0","nTau1","10","11","1",2.31946638171528,0.000000000000000114567494032307
"137","nTau2.11.0","nTau2","11","11","1",4.17034401374877,0.00000057811070832744
"138","nCon.11.0","nCon","12","11","1",0.623822224023611,0.00000177825294470815
"139","Fm.11.0","Fm","13","11","1",2926.43249304014,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018277267050142
"140","Fo.11.0","Fo","14","11","1",2647.79084842979,0.0000000000000000000000000000000000000000000000000000000000000000000000000000231840744250275
