"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"53","nTau2.5.0","nTau2","11","5","1",5.44327576288573,0.0000000000254476540290995
"54","nCon.5.0","nCon","12","5","1",1.08131791950192,0.0000000126275986982599
"55","Fm.5.0","Fm","13","5","1",2933.47826105592,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000246677775994294
"56","Fo.5.0","Fo","14","5","1",2788.94478461135,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000110100148042094
"57","Quant.6.0","Quant","1","6","1",0.0478150806289387,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000120517602525846
"58","Sigma.6.0","Sigma","2","6","1",3.32880990958836,0.000000000000000000000000000155184316707602
"59","Connect.6.0","Connect","3","6","1",0.301425096871048,0.00000490290598771354
"60","Tau1.6.0","Tau1","4","6","1",1916.47782340475,0.00000000282646324394479
"61","Tau2.6.0","Tau2","5","6","1",7665188.51136836,0.00000307229644553694
"62","NPQ.6.0","NPQ","6","6","1",0.231412480873422,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000310837338995021
"63","qP.6.0","qP","7","6","1",0.449873864894733,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000241035205051693
"64","ABQ.6.0","ABQ","8","6","1",0.195363451692247,0.000000000000000000000000000155184316707602
"65","qm.6.0","qm","9","6","1",0.873824400327712,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000120517602525846
"66","nTau1.6.0","nTau1","10","6","1",3.19674645932746,0.00000000282646324394479
"67","nTau2.6.0","nTau2","11","6","1",7.61811407219208,0.00000307229644553694
"68","nCon.6.0","nCon","12","6","1",0.92926840622229,0.00000490290598771354
"69","Fm.6.0","Fm","13","6","1",2819.99501609768,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000310837338995021
"70","Fo.6.0","Fo","14","6","1",2685.15672702976,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000241035205051693
"71","Quant.7.0","Quant","1","7","1",0.050599742861125,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000012272262864193
"72","Sigma.7.0","Sigma","2","7","1",3.1872724569775,0.000000000000000000000000000000000375234231740553
"73","Connect.7.0","Connect","3","7","1",0.435485175656537,0.00000000000000852096348090303
"74","Tau1.7.0","Tau1","4","7","1",1302.86437943039,0.0000000000314136938824642
"75","Tau2.7.0","Tau2","5","7","1",7454210.73552063,0.00000486706459851055
"76","NPQ.7.0","NPQ","6","7","1",0.271405617736885,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128777343225638
"77","qP.7.0","qP","7","7","1",0.502475634082897,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000245445257283859
"78","ABQ.7.0","ABQ","8","7","1",0.229575740894173,0.000000000000000000000000000000000375234231740553
"79","qm.7.0","qm","9","7","1",0.866476165787284,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000012272262864193
"80","nTau1.7.0","nTau1","10","7","1",2.17321955989489,0.0000000000314136938824642
"81","nTau2.7.0","nTau2","11","7","1",7.40843198013111,0.00000486706459851055
"82","nCon.7.0","nCon","12","7","1",1.34256443579716,0.00000000000000852096348090303
"83","Fm.7.0","Fm","13","7","1",2731.28969258823,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128777343225638
"84","Fo.7.0","Fo","14","7","1",2593.08713646403,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000245445257283859
"85","Quant.8.0","Quant","1","8","1",0.054700504047395,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000419822206839419
"86","Sigma.8.0","Sigma","2","8","1",3.26197504994393,0.000000000000000000000000000000000926140619918625
"87","Connect.8.0","Connect","3","8","1",0.387738825204131,0.0000000000116732051862079
"88","Tau1.8.0","Tau1","4","8","1",1517.0256189857,0.000000000000932659763633043
"89","Tau2.8.0","Tau2","5","8","1",8265867.04806073,0.0000235236152501658
"90","NPQ.8.0","NPQ","6","8","1",0.314262101077893,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155852395677261
"91","qP.8.0","qP","7","8","1",0.556975893442423,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000839644413678837
"92","ABQ.8.0","ABQ","8","8","1",0.211518706041865,0.000000000000000000000000000000000926140619918625
"93","qm.8.0","qm","9","8","1",0.855654977262982,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000419822206839419
"94","nTau1.8.0","nTau1","10","8","1",2.53044737433281,0.000000000000932659763633043
"95","nTau2.8.0","nTau2","11","8","1",8.2151036447842,0.0000235236152501658
"96","nCon.8.0","nCon","12","8","1",1.19536642392485,0.0000000000116732051862079
"97","Fm.8.0","Fm","13","8","1",2642.22566866647,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155852395677261
"98","Fo.8.0","Fo","14","8","1",2497.69459278344,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000839644413678837
"99","Quant.9.0","Quant","1","9","1",0.0593942128523832,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000644415768338815
"100","Sigma.9.0","Sigma","2","9","1",3.54664369111802,0.0000000000000000000000000000000335307780512796
"101","Connect.9.0","Connect","3","9","1",0.319549533803016,0.000000112781547070165
"102","Tau1.9.0","Tau1","4","9","1",1449.47563212249,0.000000000000283251601573405
"103","Tau2.9.0","Tau2","5","9","1",10038586.7710115,0.000441732915430256
"104","NPQ.9.0","NPQ","6","9","1",0.339432855450137,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197111465557819
"105","qP.9.0","qP","7","9","1",0.590744530936599,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000128883153667763
"106","ABQ.9.0","ABQ","8","9","1",0.142708891403304,0.0000000000000000000000000000000335307780512796
"107","qm.9.0","qm","9","9","1",0.843269104116549,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000644415768338815
"108","nTau1.9.0","nTau1","10","9","1",2.41777183032418,0.000000000000283251601573405
"109","nTau2.9.0","nTau2","11","9","1",9.97693651392163,0.000441732915430256
"110","nCon.9.0","nCon","12","9","1",0.985144531987133,0.000000112781547070165
"111","Fm.9.0","Fm","13","9","1",2592.57270321066,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197111465557819
"112","Fo.9.0","Fo","14","9","1",2438.58888824088,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000128883153667763
"113","Quant.10.0","Quant","1","10","1",0.0975877265563372,0.00000000000000000000000000000000000000000000000000000000000000000000000000145494243754298
"114","Sigma.10.0","Sigma","2","10","1",4.1003976093022,0.0000000000000000000000000000000000263121890907629
"115","Connect.10.0","Connect","3","10","1",0.212366456206996,0.0000154719782890965
"116","Tau1.10.0","Tau1","4","10","1",1249.35164328773,0.00000000000000000162996123694224
"117","Tau2.10.0","Tau2","5","10","1",4231610.07631664,0.00000000481353288661775
"118","NPQ.10.0","NPQ","6","10","1",0.401593811400385,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164692793247107
"119","qP.10.0","qP","7","10","1",0.706597952684173,0.00000000000000000000000000000000000000000000000000000000000000000000000000290988487508596
"120","ABQ.10.0","ABQ","8","10","1",0.00885605707468018,0.0000000000000000000000000000000000263121890907629
"121","qm.10.0","qm","9","10","1",0.7424831296541,0.00000000000000000000000000000000000000000000000000000000000000000000000000145494243754298
"122","nTau1.10.0","nTau1","10","10","1",2.08395860017813,0.00000000000000000162996123694224
"123","nTau2.10.0","nTau2","11","10","1",4.20562236957468,0.00000000481353288661775
"124","nCon.10.0","nCon","12","10","1",0.654708052989286,0.0000154719782890965
"125","Fm.10.0","Fm","13","10","1",2477.59160362869,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164692793247107
"126","Fo.10.0","Fo","14","10","1",2235.8090716955,0.00000000000000000000000000000000000000000000000000000000000000000000000000290988487508596
"127","Quant.11.0","Quant","1","11","1",0.109942048745931,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000528139646154255
"128","Sigma.11.0","Sigma","2","11","1",4.0700535512384,0.0000000000000000000000000000000000000000282543302620685
"129","Connect.11.0","Connect","3","11","1",0.194615569907035,0.000000224262921106268
"130","Tau1.11.0","Tau1","4","11","1",1493.6248887067,0.000000000000000000879022967277542
"131","Tau2.11.0","Tau2","5","11","1",4243927.28105043,0.0000000918477984976641
"132","NPQ.11.0","NPQ","6","11","1",0.378745949753035,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100483507248264
"133","qP.11.0","qP","7","11","1",0.70320743696343,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105627929230851
"134","ABQ.11.0","ABQ","8","11","1",0.0161907919514814,0.0000000000000000000000000000000000000000282543302620685
"135","qm.11.0","qm","9","11","1",0.709882243274475,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000528139646154255
"136","nTau1.11.0","nTau1","10","11","1",2.4914142059071,0.000000000000000000879022967277542
"137","nTau2.11.0","nTau2","11","11","1",4.21786393031038,0.0000000918477984976641
"138","nCon.11.0","nCon","12","11","1",0.599983552633382,0.000000224262921106268
"139","Fm.11.0","Fm","13","11","1",2518.64896462292,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100483507248264
"140","Fo.11.0","Fo","14","11","1",2241.74353738046,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105627929230851
"141","Quant.12.0","Quant","1","12","1",0.115367824896834,0.000000000000000000000000000000000000000000000000000000000000000000000000000548972252880519
"142","Sigma.12.0","Sigma","2","12","1",4.25100710759157,0.00000000000000000000000000000000000000171052108714991
"143","Connect.12.0","Connect","3","12","1",0.229719492951656,0.0000000282779811746593
"144","Tau1.12.0","Tau1","4","12","1",1299.89213981825,0.00000000000000000532984697169423
"145","Tau2.12.0","Tau2","5","12","1",3700639.48015973,0.0000000155266949911412
"146","NPQ.12.0","NPQ","6","12","1",0.374322770931489,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000742636129602878
"147","qP.12.0","qP","7","12","1",0.70691802055795,0.00000000000000000000000000000000000000000000000000000000000000000000000000109794450576104
"148","ABQ.12.0","ABQ","8","12","1",-0.0275491177888232,0.00000000000000000000000000000000000000171052108714991
"149","qm.12.0","qm","9","12","1",0.69556457298044,0.000000000000000000000000000000000000000000000000000000000000000000000000000548972252880519
"150","nTau1.12.0","nTau1","10","12","1",2.16826176892003,0.00000000000000000532984697169423
"151","nTau2.12.0","nTau2","11","12","1",3.67791263816964,0.0000000155266949911412
"152","nCon.12.0","nCon","12","12","1",0.70820601638457,0.0000000282779811746593
"153","Fm.12.0","Fm","13","12","1",2526.75509150582,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000742636129602878
"154","Fo.12.0","Fo","14","12","1",2235.24885255179,0.00000000000000000000000000000000000000000000000000000000000000000000000000109794450576104
"155","Quant.13.0","Quant","1","13","1",0.118988998096757,0.000000000000000000000000000000000000000000000000000000000000000000000000068613191528563
"156","Sigma.13.0","Sigma","2","13","1",4.5529596584568,0.0000000000000000000000000000000000000295302618000311
"157","Connect.13.0","Connect","3","13","1",0.247903916531507,0.0000000193993986881915
"158","Tau1.13.0","Tau1","4","13","1",1351.83860296271,0.00000000000000000000812446172401399
"159","Tau2.13.0","Tau2","5","13","1",3642030.61623607,0.00000000133563723464386
"160","NPQ.13.0","NPQ","6","13","1",0.36098380804716,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104515322188697
"161","qP.13.0","qP","7","13","1",0.699680394945585,0.000000000000000000000000000000000000000000000000000000000000000000000000137226383057126
"162","ABQ.13.0","ABQ","8","13","1",-0.100536781512452,0.0000000000000000000000000000000000000295302618000311
"163","qm.13.0","qm","9","13","1",0.686008932918612,0.000000000000000000000000000000000000000000000000000000000000000000000000068613191528563
"164","nTau1.13.0","nTau1","10","13","1",2.25491013505486,0.00000000000000000000812446172401399
"165","nTau2.13.0","nTau2","11","13","1",3.61966371052098,0.00000000133563723464386
"166","nCon.13.0","nCon","12","13","1",0.76426707597626,0.0000000193993986881915
"167","Fm.13.0","Fm","13","13","1",2551.51974497495,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104515322188697
"168","Fo.13.0","Fo","14","13","1",2247.91696689629,0.000000000000000000000000000000000000000000000000000000000000000000000000137226383057126
"169","Quant.14.0","Quant","1","14","1",0.127868506095906,0.0000000000000000000000000000000000000000000000000000000000000000000000000113573421058829
"170","Sigma.14.0","Sigma","2","14","1",4.45724964080677,0.000000000000000000000000000000000000000426793169890745
"171","Connect.14.0","Connect","3","14","1",0.260807108079277,0.000000000407277017743323
"172","Tau1.14.0","Tau1","4","14","1",1389.43707403261,0.000000000000000000650507468931593
"173","Tau2.14.0","Tau2","5","14","1",3763995.05047893,0.000000257005979913999
"174","NPQ.14.0","NPQ","6","14","1",0.347586503963594,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386336026819956
"175","qP.14.0","qP","7","14","1",0.69998511743331,0.0000000000000000000000000000000000000000000000000000000000000000000000000227146842117658
"176","ABQ.14.0","ABQ","8","14","1",-0.0774018533152703,0.000000000000000000000000000000000000000426793169890745
"177","qm.14.0","qm","9","14","1",0.66257747088089,0.0000000000000000000000000000000000000000000000000000000000000000000000000113573421058829
"178","nTau1.14.0","nTau1","10","14","1",2.31762559035572,0.000000000000000000650507468931593
"179","nTau2.14.0","nTau2","11","14","1",3.74087912113149,0.000000257005979913999
"180","nCon.14.0","nCon","12","14","1",0.804046538168512,0.000000000407277017743323
"181","Fm.14.0","Fm","13","14","1",2576.88619514205,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386336026819956
"182","Fo.14.0","Fo","14","14","1",2247.38360699008,0.0000000000000000000000000000000000000000000000000000000000000000000000000227146842117658
"183","Quant.15.0","Quant","1","15","1",0.132795916795553,0.000000000000000000000000000000000000000000000000000000000000000000000000000120941023478146
"184","Sigma.15.0","Sigma","2","15","1",4.51379733896666,0.000000000000000000000000000000000000000000581989292968572
"185","Connect.15.0","Connect","3","15","1",0.253799502920358,0.0000000000148641186281247
"186","Tau1.15.0","Tau1","4","15","1",1327.93962187455,0.00000000000000000104868120096659
"187","Tau2.15.0","Tau2","5","15","1",3337451.06543937,0.0000000537680906630678
"188","NPQ.15.0","NPQ","6","15","1",0.345224201197768,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257856500525546
"189","qP.15.0","qP","7","15","1",0.704997430520893,0.000000000000000000000000000000000000000000000000000000000000000000000000000241882046956291
"190","ABQ.15.0","ABQ","8","15","1",-0.0910705054455878,0.000000000000000000000000000000000000000000581989292968572
"191","qm.15.0","qm","9","15","1",0.649574899481203,0.000000000000000000000000000000000000000000000000000000000000000000000000000120941023478146
"192","nTau1.15.0","nTau1","10","15","1",2.21504586830357,0.00000000000000000104868120096659
"193","nTau2.15.0","nTau2","11","15","1",3.31695468274104,0.0000000537680906630678
"194","nCon.15.0","nCon","12","15","1",0.782442676562224,0.0000000000148641186281247
"195","Fm.15.0","Fm","13","15","1",2581.41137791871,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257856500525546
"196","Fo.15.0","Fo","14","15","1",2238.61048736153,0.000000000000000000000000000000000000000000000000000000000000000000000000000241882046956291
"197","Quant.16.0","Quant","1","16","1",0.0499352997874377,0.000000000000000000000000000000000000000000000000000000000000000000000000000000309539810422388
"198","Sigma.16.0","Sigma","2","16","1",3.10724695318055,0.0000000000000000000000000000409849532699319
"199","Connect.16.0","Connect","3","16","1",0.438425818215413,0.00000000000792457772997995
"200","Tau1.16.0","Tau1","4","16","1",1473.98359832263,0.00000000000416742309370227
"201","Tau2.16.0","Tau2","5","16","1",7227934.49010824,0.00000040986595914583
"202","NPQ.16.0","NPQ","6","16","1",0.281817898033888,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300933918860699
"203","qP.16.0","qP","7","16","1",0.51348151949475,0.000000000000000000000000000000000000000000000000000000000000000000000000000000619079620844777
"204","ABQ.16.0","ABQ","8","16","1",0.24891942434281,0.0000000000000000000000000000409849532699319
"205","qm.16.0","qm","9","16","1",0.868229514357816,0.000000000000000000000000000000000000000000000000000000000000000000000000000000309539810422388
"206","nTau1.16.0","nTau1","10","16","1",2.45865190376872,0.00000000000416742309370227
"207","nTau2.16.0","nTau2","11","16","1",7.18354537142967,0.00000040986595914583
"208","nCon.16.0","nCon","12","16","1",1.35163019127779,0.00000000000792457772997995
"209","Fm.16.0","Fm","13","16","1",2709.10326977797,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300933918860699
"210","Fo.16.0","Fo","14","16","1",2573.82338584648,0.000000000000000000000000000000000000000000000000000000000000000000000000000000619079620844777
"211","Quant.17.0","Quant","1","17","1",0.0486533756505644,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000342023610756506
"212","Sigma.17.0","Sigma","2","17","1",3.24216486179407,0.000000000000000000000000000000531682444182617
"213","Connect.17.0","Connect","3","17","1",0.310139212202383,0.000000211902804201121
"214","Tau1.17.0","Tau1","4","17","1",2013.28205654569,0.0000000000602978198624493
"215","Tau2.17.0","Tau2","5","17","1",13781003.9400417,0.0144097185582293
"216","NPQ.17.0","NPQ","6","17","1",0.334511004626061,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000465723694237481
"217","qP.17.0","qP","7","17","1",0.569638063336919,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000684047221513012
"218","ABQ.17.0","ABQ","8","17","1",0.216307204588542,0.000000000000000000000000000000531682444182617
"219","qm.17.0","qm","9","17","1",0.871612287001442,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000342023610756506
