"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo12.005r","pval"
"628","nCon.20.1","nCon","12","20","2",1.10741644281435,0.00000129660118552782
"629","Fm.20.1","Fm","13","20","2",2764.50604034316,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000386362185194669
"630","Fo.20.1","Fo","14","20","2",2650.35807427433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000688262499809724
"631","Quant.21.1","Quant","1","21","2",0.0434794673862047,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000772591481826926
"632","Sigma.21.1","Sigma","2","21","2",3.37879154788924,0.000000000000000000000000042785944911118
"633","Connect.21.1","Connect","3","21","2",0.24600162955886,0.000978416483729822
"634","Tau1.21.1","Tau1","4","21","2",1377.16830824362,0.00000000052745796529255
"635","Tau2.21.1","Tau2","5","21","2",10199809.2331014,0.000249669212992654
"636","NPQ.21.1","NPQ","6","21","2",0.376866307296772,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000545996834670987
"637","qP.21.1","qP","7","21","2",0.635583051058236,0.000000000000000000000000000000000000000000000000000000000000000000000000000000154518296365385
"638","ABQ.21.1","ABQ","8","21","2",0.265555723082115,0.000000000000000000000000042785944911118
"639","qm.21.1","qm","9","21","2",0.879986450557537,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000772591481826926
"640","nTau1.21.1","nTau1","10","21","2",2.02991744692606,0.00000000052745796529255
"641","nTau2.21.1","nTau2","11","21","2",13.8123040001588,0.000249669212992654
"642","nCon.21.1","nCon","12","21","2",0.760438379244499,0.000978416483729822
"643","Fm.21.1","Fm","13","21","2",2697.36912508105,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000545996834670987
"644","Fo.21.1","Fo","14","21","2",2580.08895217853,0.000000000000000000000000000000000000000000000000000000000000000000000000000000154518296365385
"645","Quant.22.1","Quant","1","22","2",0.045005350766166,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000001010033823274
"646","Sigma.22.1","Sigma","2","22","2",3.66037734589882,0.000000000000000000000000000147170997169284
"647","Connect.22.1","Connect","3","22","2",0.322363406252574,0.00000205557277487926
"648","Tau1.22.1","Tau1","4","22","2",1513.74843801036,0.000000000000367391199756294
"649","Tau2.22.1","Tau2","5","22","2",10524567.4053634,0.00000379915305078175
"650","NPQ.22.1","NPQ","6","22","2",0.416004695727124,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768386290644369
"651","qP.22.1","qP","7","22","2",0.677802380967264,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000202006764654799
"652","ABQ.22.1","ABQ","8","22","2",0.204347721677386,0.000000000000000000000000000147170997169284
"653","qm.22.1","qm","9","22","2",0.875774653783721,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000001010033823274
"654","nTau1.22.1","nTau1","10","22","2",2.23123371789841,0.000000000000367391199756294
"655","nTau2.22.1","nTau2","11","22","2",14.2520826763386,0.00000379915305078175
"656","nCon.22.1","nCon","12","22","2",0.996487326600372,0.00000205557277487926
"657","Fm.22.1","Fm","13","22","2",2622.81380695532,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768386290644369
"658","Fo.22.1","Fo","14","22","2",2504.77315157895,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000202006764654799
