"","Name","TG6 Camera #","Date","CBASS / Sophie","Species","Size (cm)","PM (% dead)","Bleaching (%)","Colony Depth (ft)","Colony Photo","Tag #","Bag_number","Notes","Site","Tank_color","Temperature","SampleID_clean","Project","Country","SITE","Latitude","Longitude","Genotype","Condition","Pam_value","Timepoint","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Color_mean","Color_SD"
"23","KT",1,2026-02-10,"CBASS","aglo",38,1,0,35,TRUE,NA,"11",NA,11,"7-grey",32,"11_AGLO_3","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,3,"wild",0.669,420,29,44,8.8392,13.4112,6.252,0.565
"24","KT",1,2026-02-10,"CBASS","aglo",38,1,0,35,TRUE,NA,"11",NA,11,"8-purple",36,"11_AGLO_3","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,3,"wild",0.619,420,29,44,8.8392,13.4112,5.45,0.565
"25","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"1-green",29,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.65,420,29,44,8.8392,13.4112,6.556,0.6
"26","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"2-blue",37,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.587,420,29,44,8.8392,13.4112,5.604,0.588
"27","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"3-red",34,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.612,420,29,44,8.8392,13.4112,6.124,0.654
"28","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"4-yellow",35,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.669,420,29,44,8.8392,13.4112,5.179,0.642
"29","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"5-orange",38,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.312,420,29,44,8.8392,13.4112,5.113,0.681
"30","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"6-brown",39,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.145,420,29,44,8.8392,13.4112,5.897,0.672
"31","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"7-grey",32,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.666,420,29,44,8.8392,13.4112,6.37,0.631
"32","KT",1,2026-02-10,"CBASS","aglo",40,1,0,33,TRUE,NA,"12","A LITTLE FUNKY; A LITTLE TAPPERING",11,"8-purple",36,"11_AGLO_4","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,4,"wild",0.617,420,29,44,8.8392,13.4112,4.692,0.583
"33","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"1-green",29,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.669,420,29,44,8.8392,13.4112,6.493,0.458
"34","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"2-blue",37,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.386,420,29,44,8.8392,13.4112,4.407,0.767
"35","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"3-red",34,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.573,420,29,44,8.8392,13.4112,5.58,0.745
"36","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"4-yellow",35,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.642,420,29,44,8.8392,13.4112,5.286,0.751
"37","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"5-orange",38,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.269,420,29,44,8.8392,13.4112,5.91,0.806
"38","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"6-brown",39,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.025,420,29,44,8.8392,13.4112,5.666,0.567
"39","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"7-grey",32,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.653,420,29,44,8.8392,13.4112,6.273,0.495
"40","KT",1,2026-02-10,"CBASS","aglo",50,5,0,35,TRUE,NA,"13",NA,11,"8-purple",36,"11_AGLO_5","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,5,"wild",0.639,420,29,44,8.8392,13.4112,4.56,0.852
"41","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"1-green",29,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.666,420,29,44,8.8392,13.4112,7.213,0.404
