Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,3-red,37,0.369,420,1_AGLO_4,30,41,9.144,12.4968,7
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,4-yellow,29,0.653,420,1_AGLO_4,30,41,9.144,12.4968,7
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,5-orange,35,0.643,420,1_AGLO_4,30,41,9.144,12.4968,7
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,6-brown,38,0.336,420,1_AGLO_4,30,41,9.144,12.4968,7
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,7-grey,36,0.572,420,1_AGLO_4,30,41,9.144,12.4968,7
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,1-green,39,0.09,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,2-blue,34,0.634,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,3-red,37,0.521,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,4-yellow,29,0.651,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,5-orange,35,0.633,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,6-brown,38,0.471,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,5,wild,7-grey,36,0.624,420,1_AGLO_5,30,41,9.144,12.4968,39
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,1-green,39,0.046,420,1_AGLO_6,30,41,9.144,12.4968,36
