Name,TG6 Camera #,Date,Site,CBASS / Sophie,Species,Size (cm),PM (% dead),Bleaching (%),Colony Depth (ft),Colony Photo,Tag #,Bag #,Notes,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,14,,,43,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,19,,,45,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,16,,,41,,
CSC,1,20260224,ESA-TUT-006S,Sophie,PVER,,,,18,,,42,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,17,,,26,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,17,,,27,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,13,,,29,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,15,,,36,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,11,,,38,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,11,,,39,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,11,,,40,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,12,,,12,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,11,,,13,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,19,,,14,,
SW,2,20260224,ESA-TUT-006S,Sophie,PVER,,,,21,,,15,,
