Name,TG6 Camera #,Date,Site,CBASS / Sophie,Species,Size (cm),PM (% dead),Bleaching (%),Colony Depth (ft),Colony Photo,Tag #,Bag #,Notes,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,105,5,0,36,TRUE,,7,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,225,20,0,33,TRUE,,6,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,105,3,0,36,TRUE,,7,,
ES,4,20260216,ESA-TUT-009,CBASS,AGLO,74,50,0,40,TRUE,,8,,
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,67,1,0,30,TRUE,,16,"thick, chunky, funky polyps at the base",
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,45,1,0,39,TRUE,,17,sort of corymbose but otherwise classic,
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,38,1,0,28,TRUE,,18,,
KT,2,20260216,ESA-TUT-009,CBASS,ICRA,82,7,0,42,TRUE,,19,,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,35,3,0,36,TRUE,21,21,in spiral,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,70,3,10,30,TRUE,24,22,pale and in sprial,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,27,0,20,27,TRUE,23,23,pale and in sprial,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,39,0,10,30,TRUE,,24,in spiral,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,53,0,0,31,TRUE,,25,,
ES,4,20260216,ESA-TUT-009,CBASS,AGLO,74,50,0,40,TRUE,,8,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,47,0,0,39,TRUE,,31,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,70,0,0,32,TRUE,,32,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,80,0,0,38,TRUE,,33,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,125,20,0,34,TRUE,,34,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,36,0,0,47,TRUE,,35,,
ES,4,20260216,ESA-TUT-009,CBASS,ICRA,53,5,0,33,TRUE,,9,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,64,30,0,27,TRUE,31,36,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,50,4,0,28,TRUE,,37,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,62,5,0,31,TRUE,,38,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,31,20,0,28,TRUE,,39,,
BH,3,20260217,ESA-TUT-010,CBASS,AABR,140,1,0,30,TRUE,,31,,
BH,3,20260217,ESA-TUT-010,CBASS,AABR,94,2,0,40,TRUE,,32,, 
CSC,1,20260217,ESA-TUT-010,CBASS,AGLO,73,15,0,30,TRUE,,21,in sprial,
CSC,1,20260217,ESA-TUT-010,CBASS,AGLO,42,0,0,29,TRUE,,22,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,56,8,0,38,TRUE,,11,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,29,0,0,35,TRUE,,12,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,21,25,0,41,TRUE,,13,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,61,6,0,37,TRUE,,14,,
BH,3,20260217,ESA-TUT-010,CBASS,AHYA,81,0,0,29,TRUE,,33,,
BH,3,20260217,ESA-TUT-010,CBASS,AHYA,142,0,0,29,TRUE,,35,,
CSC,1,20260217,ESA-TUT-010,CBASS,ICRA,42,0,0,32,TRUE,,23,,
CSC,1,20260217,ESA-TUT-010,CBASS,ICRA,32,10,0,31,TRUE,,24,,
KT,2,20260217,ESA-TUT-010,CBASS,ICRA,40,3,0,32,TRUE,,36,,
KT,2,20260217,ESA-TUT-010,CBASS,ICRA,50,65,0,40,TRUE,,37,gross sponges in septa,
KT,2,20260217,ESA-TUT-010,CBASS,ICRA,70,15,0,35,TRUE,,38,,
KT,2,20260217,ESA-TUT-010,CBASS,ICRA,45,10,0,38,TRUE,,39,,
BH,3,20260217,ESA-TUT-010,CBASS,ICRA,58,3,0,32,TRUE,,2,,
BH,3,20260217,ESA-TUT-010,CBASS,ICRA,45,35,0,33,TRUE,,3,,
BH,3,20260217,ESA-TUT-010,CBASS,ICRA,67,75,0,38,TRUE,,5,,
BH,3,20260217,ESA-TUT-010,CBASS,ICRA,56,40,0,34,TRUE,,6,,
BH,3,20260219,ESA-TUT-003,CBASS,AABR,73,0,0,40,TRUE,,26,,
BH,3,20260219,ESA-TUT-003,CBASS,AABR,127,0,0,36,TRUE,,27,,
ES,4,20260219,ESA-TUT-003,CBASS,AGLO,46,15,0,31,TRUE,,12,,
ES,4,20260219,ESA-TUT-003,CBASS,AGLO,27,0,0,37,TRUE,,14,,
ES,4,20260219,ESA-TUT-003,CBASS,AGLO,45,5,0,31,TRUE,,15,,
ES,4,20260219,ESA-TUT-003,CBASS,AGLO,36,6,0,36,TRUE,,16,,
BH,3,20260219,ESA-TUT-003,CBASS,AGLO,39,25,0,31,TRUE,,36,,
BH,3,20260219,ESA-TUT-003,CBASS,AGLO,81,35,0,30,TRUE,,38,,
BH,3,20260219,ESA-TUT-003,CBASS,AGLO,44,5,0,30,TRUE,,39,,
BH,3,20260219,ESA-TUT-003,CBASS,AGLO,48,1,0,40,TRUE,,40,,
BH,3,20260219,ESA-TUT-003,CBASS,AHYA,60,20,0,31,TRUE,,29,,
BH,3,20260219,ESA-TUT-003,CBASS,AHYA,72,0,0,36,TRUE,,32,,
CSC,1,20260219,ESA-TUT-003,CBASS,ICRA,49,70,0,38,TRUE,,33,,
CSC,1,20260219,ESA-TUT-003,CBASS,ICRA,50,65,0,33,TRUE,,34,,
CSC,1,20260219,ESA-TUT-003,CBASS,ICRA,32,3,0,37,TRUE,,35,,
CSC,1,20260219,ESA-TUT-003,CBASS,ICRA,18,2,0,31,TRUE,,66,,
KT,2,20260219,ESA-TUT-003,CBASS,ICRA,40,5,0,37,TRUE,,61,,
KT,2,20260219,ESA-TUT-003,CBASS,ICRA,43,30,0,39,TRUE,,62,,
KT,2,20260219,ESA-TUT-003,CBASS,ICRA,47,50,0,34,TRUE,,63,,
KT,2,20260219,ESA-TUT-003,CBASS,ICRA,82,70,0,33,TRUE,,64,,
KT,2,20260220,ESA-TUT-004,CBASS,AABR,160,1,0,39,TRUE,,6,,
KT,2,20260220,ESA-TUT-004,CBASS,AABR,205,45,0,38,TRUE,,7,,
BH,3,20260220,ESA-TUT-004,CBASS,AGLO,52,10,0,39,TRUE,,24,,
BH,3,20260220,ESA-TUT-004,CBASS,AGLO,45,0,0,36,TRUE,,25,,
BH,3,20260220,ESA-TUT-004,CBASS,AGLO,35,10,0,39,TRUE,,21,,
BH,3,20260220,ESA-TUT-004,CBASS,AGLO,30,0,0,38,TRUE,,22,,
ES,4,20260220,ESA-TUT-004,CBASS,AGLO,51,0,0,38,TRUE,10,33,Tagged colony by the pin,
ES,4,20260220,ESA-TUT-004,CBASS,AGLO,32,2,0,38,TRUE,,34,in spiral,
ES,4,20260220,ESA-TUT-004,CBASS,AGLO,35,4,0,38,TRUE,,35,in spiral,
ES,4,20260220,ESA-TUT-004,CBASS,AGLO,48,15,0,39,TRUE,,26,,
ES,4,20260220,ESA-TUT-004,CBASS,AGLO,47,10,0,40,TRUE,,27,,
KT,2,20260220,ESA-TUT-004,CBASS,AHYA,45,10,0,37,TRUE,,10,,
KT,2,20260220,ESA-TUT-004,CBASS,AHYA,27,5,0,38,TRUE,,16,,
KT,2,20260220,ESA-TUT-004,CBASS,ICRA,43,50,0,38,TRUE,,41,,
KT,2,20260220,ESA-TUT-004,CBASS,ICRA,25,3,0,39,TRUE,,42,,
KT,2,20260220,ESA-TUT-004,CBASS,ICRA,55,35,0,40,TRUE,,43,,
KT,2,20260220,ESA-TUT-004,CBASS,ICRA,90,60,0,38,TRUE,,44,,
CSC,1,20260220,ESA-TUT-004,CBASS,ICRA,38,40,0,40,TRUE,,61,,
CSC,1,20260220,ESA-TUT-004,CBASS,ICRA,30,5,0,37,TRUE,,62,,
CSC,1,20260220,ESA-TUT-004,CBASS,ICRA,60,75,0,40,TRUE,,64,,
CSC,1,20260220,ESA-TUT-004,CBASS,ICRA,38,25,0,39,TRUE,,63,,
BH,3,20260223,ESA-TUT-005,CBASS,AABR,420,50,0,39,TRUE,,33,,
BH,3,20260223,ESA-TUT-005,CBASS,AABR,145,10,0,39,TRUE,,34,,
BH,3,20260223,ESA-TUT-005,CBASS,AHYA,115,15,0,38,TRUE,,35,,
BH,3,20260223,ESA-TUT-005,CBASS,AHYA,54,0,0,39,TRUE,,26,,
CSC,1,20260223,ESA-TUT-005,CBASS,ICRA,45,3,0,34,TRUE,,41,some predation,
CSC,1,20260223,ESA-TUT-005,CBASS,ICRA,64,60,0,35,TRUE,,42,,
CSC,1,20260223,ESA-TUT-005,CBASS,ICRA,125,70,0,31,TRUE,,43,,
CSC,1,20260223,ESA-TUT-005,CBASS,ICRA,34,30,0,31,TRUE,,44,,
ES,4,20260223,ESA-TUT-005,CBASS,ICRA,98,35,0,38,TRUE,,16,,
ES,4,20260223,ESA-TUT-005,CBASS,ICRA,67,65,0,37,TRUE,,17,,
ES,4,20260223,ESA-TUT-005,CBASS,ICRA,107,55,0,35,TRUE,,18,,
ES,4,20260223,ESA-TUT-005,CBASS,ICRA,64,10,0,34,TRUE,,19,,
BH,3,20260223,ESA-TUT-005,CBASS,ICRA,36,30,0,37,TRUE,,21,,
BH,3,20260223,ESA-TUT-005,CBASS,ICRA,70,10,0,34,TRUE,,22,,
BH,3,20260223,ESA-TUT-005,CBASS,ICRA,75,50,0,34,TRUE,,23,,
BH,3,20260223,ESA-TUT-005,CBASS,ICRA,65,70,0,32,TRUE,,24,,
KT,2,20260223,ESA-TUT-005,CBASS,ICRA,38,50,0,37,TRUE,,36,,
KT,2,20260223,ESA-TUT-005,CBASS,ICRA,67,75,0,33,TRUE,,37,,
KT,2,20260223,ESA-TUT-005,CBASS,ICRA,30,1,0,34,TRUE,,38,,
KT,2,20260223,ESA-TUT-005,CBASS,ICRA,52,25,0,32,TRUE,,39,,
ES,1,20260211,ESA-TUT-006,Sophie,AABR,,45,,25,TRUE,,29,,
ES,1,20260211,ESA-TUT-006,Sophie,AABR,,5,,34,TRUE,,34,,
ES,1,20260211,ESA-TUT-006,Sophie,AABR,,30,,29,TRUE,,35,,
ES,1,20260211,ESA-TUT-006,Sophie,AABR,,30,,21,TRUE,,36,,
ES,1,20260211,ESA-TUT-006,Sophie,AABR,,40,,22,TRUE,,37,,
BH,1,20260211,OCC-TUT-022,Sophie,AABR,,,,35,TRUE,,23,,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,22,TRUE,39,1,IN SPIRAL ; TAG 39,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,22,TRUE,,2,,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,28,TRUE,,3,,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,27,TRUE,,7,IN SPIRAL,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,21,TRUE,,8,,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,21,TRUE,,9,BB,
CSC,1,20260211,ESA-TUT-002,Sophie,AGLO,,,,,TRUE,,10,,
BH,1,20260211,OCC-TUT-022,Sophie,AGLO,,,,44,TRUE,4,16,,
BH,1,20260211,OCC-TUT-022,Sophie,AGLO,,,,43,TRUE,3,17,,
BH,1,20260211,OCC-TUT-022,Sophie,AGLO,,,,43,TRUE,,18,,
BH,1,20260211,OCC-TUT-022,Sophie,AGLO,,,,41,TRUE,,19,,
BH,1,20260211,OCC-TUT-022,Sophie,AGLO,,,,37,TRUE,,20,,
CSC,1,20260211,ESA-TUT-002,Sophie,AHYA,,,,22,TRUE,,5,Unsure if AHYA,
CSC,1,20260211,ESA-TUT-002,Sophie,AHYA,,,,22,TRUE,,6,Unsure if AHYA,
BH,1,20260211,OCC-TUT-022,Sophie,AHYA,,,,36,TRUE,,21,,
BH,1,20260211,OCC-TUT-022,Sophie,AHYA,,,,44,TRUE,,22,,
BH,1,20260211,OCC-TUT-022,Sophie,AHYA,,,,29,TRUE,,24,,
BH,1,20260211,OCC-TUT-022,Sophie,AHYA,,,,32,TRUE,,25,,
BH,3,20260211,ESA-TUT-006,Sophie,ICRA,,,,28,TRUE,,11,IN SPIRAL,
BH,3,20260211,ESA-TUT-006,Sophie,ICRA,,,,27,TRUE,,12,IN SPIRAL,
BH,3,20260211,ESA-TUT-006,Sophie,ICRA,,,,32,TRUE,,13,IN SPIRAL,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,,,24,TRUE,,26,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,,,24,TRUE,,27,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,50,,25,TRUE,,28,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,5,,33,TRUE,,30,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,5,,30,TRUE,,31,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,45,,37,TRUE,,32,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,0,,40,TRUE,,33,,
ES,1,20260211,ESA-TUT-006,Sophie,ICRA,,55,,32,TRUE,,38,,
KT,2,20260213,OCC-TUT-002,Sophie,AGLO,,,,,TRUE,1,11,,
KT,2,20260213,OCC-TUT-002,Sophie,AGLO,,,,,TRUE,2,12,,
KT,2,20260213,OCC-TUT-002,Sophie,AGLO,,,,,TRUE,,13,no tag and funky,
CSC,1,20260214,ESA-TUT-008,Sophie,AGLO,,,,,,27,16,BB,
CSC,1,20260214,ESA-TUT-008,Sophie,AGLO,,,,,,17,17,,
CSC,1,20260214,ESA-TUT-008,Sophie,AGLO,,,,,,19,18,,
SW,3,20260218,ESA-TUT-006D,Sophie,AGLO,,,,51,,,35,Brown ,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,64,,,2,Brown ,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,5,Brown ,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,71,Yellow,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,58,,,72,Brown ,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,58,,,73,Yellow,
ES,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,55,,,74,Brown ,
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,41,Green;polyps a bit funky,
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,42,Brown ,
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,43,Brown; collected 2,
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,54,,,44,"Green, some funky polyps",
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,45,,
KT,4,20260218,ESA-TUT-006D,Sophie,AGLO,,,,53,,,19,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,21,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,22,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,55,,,23,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,24,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,60,,,25,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,60,,,31,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,60,,,32,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,60,,,16,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,57,,,26,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,51,,,27,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,29,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,52,,,20,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,50,,,17,,
BH,2,20260218,ESA-TUT-006D,Sophie,AGLO,,,,51,,,18,,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,54,,,61,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,62,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,56,,,63,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,57,,,64,Brown ,
