"","uni","metric","metrix","stage","col","ASnormalized.ahya1.002r","pval"
"54","nCon.5.0","nCon","12","5","1",1.61463321097796,0.0000000578533108957261
"55","Fm.5.0","Fm","13","5","1",2391.75553897758,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299934543263258
"56","Fo.5.0","Fo","14","5","1",2312.7898570931,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000958343301778412
"57","Quant.6.0","Quant","1","6","1",0.0324731632192277,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000089519649402238
"58","Sigma.6.0","Sigma","2","6","1",3.76751012637418,0.00000000000000000000000917181888656037
"59","Connect.6.0","Connect","3","6","1",0.207855368743889,0.0191913015691776
"60","Tau1.6.0","Tau1","4","6","1",2977.31091554965,0.0000000534537137244892
"61","Tau2.6.0","Tau2","5","6","1",8987283.24621937,0.0000187005358137847
"62","NPQ.6.0","NPQ","6","6","1",0.208970459878889,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175116132591406
"63","qP.6.0","qP","7","6","1",0.411552437445964,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000179039298804476
"64","ABQ.6.0","ABQ","8","6","1",0.220421270129773,0.00000000000000000000000917181888656037
"65","qm.6.0","qm","9","6","1",0.917393385969859,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000089519649402238
"66","nTau1.6.0","nTau1","10","6","1",2.51454388064733,0.0000000534537137244892
"67","nTau2.6.0","nTau2","11","6","1",16.5522191732903,0.0000187005358137847
"68","nCon.6.0","nCon","12","6","1",0.701714199963709,0.0191913015691776
"69","Fm.6.0","Fm","13","6","1",2309.33779535877,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175116132591406
"70","Fo.6.0","Fo","14","6","1",2234.34629220175,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000179039298804476
"71","Quant.7.0","Quant","1","7","1",0.0379726689961263,0.00000000000000000000000000000000000000000000000000000000000000000000000000000204039243054865
"72","Sigma.7.0","Sigma","2","7","1",3.76936076185191,0.0000000000000000000000074340383781687
"73","Connect.7.0","Connect","3","7","1",0.373463555491012,0.00000188262646602048
"74","Tau1.7.0","Tau1","4","7","1",2114.34456494248,0.00000000309585769284299
"75","Tau2.7.0","Tau2","5","7","1",9426898.64368522,0.000113898574002834
"76","NPQ.7.0","NPQ","6","7","1",0.2403737900424,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017375960192304
"77","qP.7.0","qP","7","7","1",0.4624430407465,0.00000000000000000000000000000000000000000000000000000000000000000000000000000408078486109729
