"","Project","Country","Date","Site","Latitude","Longitude","Species","Bag_number","Genotype","Cookie_no","Sophie","Condition","Tank_color","Temperature","Pam_value","comments","Timepoint","GroupingProperty"
"41","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","6-brown",38,0.336,NA,420,"1_AGLO_4"
"42","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","7-grey",36,0.572,NA,420,"1_AGLO_4"
"43","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","1-green",39,0.09,NA,420,"1_AGLO_5"
"44","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","2-blue",34,0.634,NA,420,"1_AGLO_5"
"45","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","3-red",37,0.521,NA,420,"1_AGLO_5"
"46","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","4-yellow",29,0.651,NA,420,"1_AGLO_5"
"47","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","5-orange",35,0.633,NA,420,"1_AGLO_5"
"48","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","6-brown",38,0.471,NA,420,"1_AGLO_5"
"49","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","7-grey",36,0.624,NA,420,"1_AGLO_5"
"50","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","1-green",39,0.046,NA,420,"1_AGLO_6"
"51","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","2-blue",34,0.64,NA,420,"1_AGLO_6"
"52","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","3-red",37,0.553,NA,420,"1_AGLO_6"
"53","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","4-yellow",29,0.658,NA,420,"1_AGLO_6"
"54","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","5-orange",35,0.607,NA,420,"1_AGLO_6"
"55","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","6-brown",38,0.56,NA,420,"1_AGLO_6"
"56","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",36,6,15,"AGLO6","wild","7-grey",36,0.64,NA,420,"1_AGLO_6"
"57","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","1-green",39,0.084,NA,420,"1_AGLO_7"
"58","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","2-blue",34,0.621,NA,420,"1_AGLO_7"
"59","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","3-red",37,0.533,NA,420,"1_AGLO_7"
"60","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","4-yellow",29,0.61,NA,420,"1_AGLO_7"
"61","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","5-orange",35,0.562,NA,420,"1_AGLO_7"
"62","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","6-brown",38,0.408,NA,420,"1_AGLO_7"
"63","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",24,7,16,"AGLO7","wild","7-grey",36,0.521,"PAM side on right",420,"1_AGLO_7"
"64","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","1-green",39,0.151,NA,420,"1_AGLO_8"
"65","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","2-blue",34,0.616,NA,420,"1_AGLO_8"
"66","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","3-red",37,0.515,NA,420,"1_AGLO_8"
"67","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","4-yellow",29,0.65,NA,420,"1_AGLO_8"
"68","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","5-orange",35,0.609,NA,420,"1_AGLO_8"
"69","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","6-brown",38,0.463,NA,420,"1_AGLO_8"
"70","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",6,8,17,"AGLO8","wild","7-grey",36,0.58,NA,420,"1_AGLO_8"
"71","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","1-green",39,0.074,NA,420,"1_AGLO_9"
"72","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","2-blue",34,0.633,NA,420,"1_AGLO_9"
"73","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","3-red",37,0.524,NA,420,"1_AGLO_9"
"74","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","4-yellow",29,0.642,NA,420,"1_AGLO_9"
"75","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","5-orange",35,0.638,NA,420,"1_AGLO_9"
"76","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","6-brown",38,0.478,NA,420,"1_AGLO_9"
"77","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",9,9,18,"AGLO9","wild","7-grey",36,0.622,NA,420,"1_AGLO_9"
"78","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","1-green",39,0.168,NA,420,"1_AHYA_1"
"79","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","2-blue",34,0.659,NA,420,"1_AHYA_1"
"80","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","3-red",37,0.434,NA,420,"1_AHYA_1"
"81","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","4-yellow",29,0.651,NA,420,"1_AHYA_1"
"82","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","5-orange",35,0.626,NA,420,"1_AHYA_1"
"83","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","6-brown",38,0.569,NA,420,"1_AHYA_1"
"84","ESA","TUT",20260214,1,-14.28361,-170.60696,"AHYA",5,1,1,"AHYA1","wild","7-grey",36,0.597,NA,420,"1_AHYA_1"
"85","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","1-green",39,0.153,NA,420,"1_ICRA_1"
"86","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","2-blue",34,0.631,NA,420,"1_ICRA_1"
"87","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","3-red",37,0.607,"frag was flipped over, maybe redo",420,"1_ICRA_1"
"88","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","4-yellow",29,0.606,NA,420,"1_ICRA_1"
"89","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","5-orange",35,0.654,NA,420,"1_ICRA_1"
"90","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","6-brown",38,0.562,NA,420,"1_ICRA_1"
"91","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",31,1,2,"ICRA1","wild","7-grey",36,0.637,NA,420,"1_ICRA_1"
"92","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","1-green",39,0.215,NA,420,"1_ICRA_2"
"93","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","2-blue",34,0.591,NA,420,"1_ICRA_2"
"94","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","3-red",37,0.509,NA,420,"1_ICRA_2"
"95","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","4-yellow",29,0.65,NA,420,"1_ICRA_2"
"96","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","5-orange",35,0.634,NA,420,"1_ICRA_2"
"97","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","6-brown",38,0.558,NA,420,"1_ICRA_2"
"98","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",26,2,3,"ICRA2","wild","7-grey",36,0.579,NA,420,"1_ICRA_2"
"99","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","1-green",39,0.146,NA,420,"1_ICRA_3"
"100","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","2-blue",34,0.628,NA,420,"1_ICRA_3"
"101","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","3-red",37,0.509,NA,420,"1_ICRA_3"
"102","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","4-yellow",29,0.589,NA,420,"1_ICRA_3"
"103","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","5-orange",35,0.624,NA,420,"1_ICRA_3"
"104","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","6-brown",38,0.546,NA,420,"1_ICRA_3"
"105","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",12,3,4,"ICRA3","wild","7-grey",36,0.635,NA,420,"1_ICRA_3"
"106","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","1-green",39,0.033,NA,420,"1_ICRA_4"
"107","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","2-blue",34,0.607,NA,420,"1_ICRA_4"
"108","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","3-red",37,0.381,NA,420,"1_ICRA_4"
"109","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","4-yellow",29,0.565,NA,420,"1_ICRA_4"
"110","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","5-orange",35,0.575,NA,420,"1_ICRA_4"
"111","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","6-brown",38,0.435,NA,420,"1_ICRA_4"
"112","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",29,4,5,"ICRA4","wild","7-grey",36,0.532,NA,420,"1_ICRA_4"
"113","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","1-green",39,0.146,NA,420,"1_ICRA_5"
"114","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","2-blue",34,0.627,NA,420,"1_ICRA_5"
"115","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","3-red",37,0.527,NA,420,"1_ICRA_5"
"116","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","4-yellow",29,0.637,NA,420,"1_ICRA_5"
"117","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","5-orange",35,0.646,NA,420,"1_ICRA_5"
"118","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","6-brown",38,0.544,NA,420,"1_ICRA_5"
"119","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",11,5,6,"ICRA5","wild","7-grey",36,0.605,NA,420,"1_ICRA_5"
"120","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","1-green",39,0.031,NA,420,"1_ICRA_6"
"121","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","2-blue",34,0.591,NA,420,"1_ICRA_6"
"122","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","3-red",37,0.453,NA,420,"1_ICRA_6"
"123","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","4-yellow",29,0.569,NA,420,"1_ICRA_6"
"124","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","5-orange",35,0.579,NA,420,"1_ICRA_6"
"125","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","6-brown",38,0.47,NA,420,"1_ICRA_6"
"126","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",13,6,7,"ICRA6","wild","7-grey",36,0.587,NA,420,"1_ICRA_6"
"127","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","1-green",39,0.008,NA,420,"1_ICRA_7"
"128","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","2-blue",34,0.596,NA,420,"1_ICRA_7"
"129","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","3-red",37,0.412,NA,420,"1_ICRA_7"
"130","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","4-yellow",29,0.588,NA,420,"1_ICRA_7"
"131","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","5-orange",35,0.614,NA,420,"1_ICRA_7"
"132","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","6-brown",38,0.342,NA,420,"1_ICRA_7"
"133","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",27,7,8,"ICRA7","wild","7-grey",36,0.568,NA,420,"1_ICRA_7"
"134","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","1-green",39,0.083,NA,420,"1_ICRA_8"
"135","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","2-blue",34,0.607,NA,420,"1_ICRA_8"
"136","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","3-red",37,0.394,NA,420,"1_ICRA_8"
"137","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","4-yellow",29,0.606,NA,420,"1_ICRA_8"
"138","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","5-orange",35,0.611,NA,420,"1_ICRA_8"
"139","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","6-brown",38,0.425,NA,420,"1_ICRA_8"
"140","ESA","TUT",20260214,1,-14.28361,-170.60696,"ICRA",25,8,9,"ICRA8","wild","7-grey",36,0.57,NA,420,"1_ICRA_8"
"141","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",15,1,1,"AGLO1","wild","1-green",35,0.627,NA,420,"3_AGLO_1"
"142","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",14,2,2,"AGLO2","wild","1-green",35,0.632,NA,420,"3_AGLO_2"
"143","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",38,3,3,"AGLO3","wild","1-green",35,0.624,NA,420,"3_AGLO_3"
"144","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",40,4,4,"AGLO4","wild","1-green",35,0.607,NA,420,"3_AGLO_4"
"145","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",36,5,5,"AGLO5","wild","1-green",35,0.626,NA,420,"3_AGLO_5"
"146","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",16,6,6,"AGLO6","wild","1-green",35,0.585,NA,420,"3_AGLO_6"
"147","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",12,7,7,"AGLO7","wild","1-green",35,0.59,NA,420,"3_AGLO_7"
"148","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",39,8,8,"AGLO8","wild","1-green",35,0.599,NA,420,"3_AGLO_8"
"149","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",33,1,9,"ICRA1","wild","1-green",35,0.574,NA,420,"3_ICRA_1"
"150","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",61,2,10,"ICRA2","wild","1-green",35,0.57,NA,420,"3_ICRA_2"
"151","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",35,3,11,"ICRA3","wild","1-green",35,0.574,NA,420,"3_ICRA_3"
"152","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",34,4,12,"ICRA4","wild","1-green",35,0.594,NA,420,"3_ICRA_4"
"153","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",63,5,13,"ICRA5","wild","1-green",35,0.593,NA,420,"3_ICRA_5"
"154","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",64,6,14,"ICRA6","wild","1-green",35,0.58,NA,420,"3_ICRA_6"
"155","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",62,7,15,"ICRA7","wild","1-green",35,0.585,NA,420,"3_ICRA_7"
"156","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",66,8,16,"ICRA8","wild","1-green",35,0.587,NA,420,"3_ICRA_8"
"157","ESA","TUT",2192026,3,-14.3292,-170.83196,"AHYA",32,1,17,"AHYA1","wild","1-green",35,0.633,NA,420,"3_AHYA_1"
"158","ESA","TUT",2192026,3,-14.3292,-170.83196,"AHYA",29,2,18,"AHYA2","wild","1-green",35,0.657,NA,420,"3_AHYA_2"
"159","ESA","TUT",2192026,3,-14.3292,-170.83196,"AABR",26,1,19,"AABR1","wild","1-green",35,0.611,NA,420,"3_AABR_1"
"160","ESA","TUT",2192026,3,-14.3292,-170.83196,"AABR",27,2,20,"AABR2","wild","1-green",35,0.59,NA,420,"3_AABR_2"
"161","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",15,1,1,"AGLO1","wild","2-blue",38,0.283,NA,420,"3_AGLO_1"
"162","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",14,2,2,"AGLO2","wild","2-blue",38,0.292,NA,420,"3_AGLO_2"
"163","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",38,3,3,"AGLO3","wild","2-blue",38,0.353,NA,420,"3_AGLO_3"
"164","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",40,4,4,"AGLO4","wild","2-blue",38,0.358,NA,420,"3_AGLO_4"
"165","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",36,5,5,"AGLO5","wild","2-blue",38,0.434,NA,420,"3_AGLO_5"
"166","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",16,6,6,"AGLO6","wild","2-blue",38,0.201,NA,420,"3_AGLO_6"
"167","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",12,7,7,"AGLO7","wild","2-blue",38,0.333,NA,420,"3_AGLO_7"
"168","ESA","TUT",2192026,3,-14.3292,-170.83196,"AGLO",39,8,8,"AGLO8","wild","2-blue",38,0.264,NA,420,"3_AGLO_8"
"169","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",33,1,9,"ICRA1","wild","2-blue",38,0.314,NA,420,"3_ICRA_1"
"170","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",61,2,10,"ICRA2","wild","2-blue",38,0.267,NA,420,"3_ICRA_2"
"171","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",35,3,11,"ICRA3","wild","2-blue",38,0.322,NA,420,"3_ICRA_3"
"172","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",34,4,12,"ICRA4","wild","2-blue",38,0.383,NA,420,"3_ICRA_4"
"173","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",63,5,13,"ICRA5","wild","2-blue",38,0.355,NA,420,"3_ICRA_5"
"174","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",64,6,14,"ICRA6","wild","2-blue",38,0.34,NA,420,"3_ICRA_6"
"175","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",62,7,15,"ICRA7","wild","2-blue",38,0.278,NA,420,"3_ICRA_7"
"176","ESA","TUT",2192026,3,-14.3292,-170.83196,"ICRA",66,8,16,"ICRA8","wild","2-blue",38,0.38,NA,420,"3_ICRA_8"
"177","ESA","TUT",2192026,3,-14.3292,-170.83196,"AHYA",32,1,17,"AHYA1","wild","2-blue",38,0.41,NA,420,"3_AHYA_1"
"178","ESA","TUT",2192026,3,-14.3292,-170.83196,"AHYA",29,2,18,"AHYA2","wild","2-blue",38,0.329,NA,420,"3_AHYA_2"
