"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","Rel_Temperature","X","site","species","genotype","K_2","K_3","K_4","K_5","K_6","K_7","K_8","K_9","K_10","K_11","K_12","K_13","K_14","K_15","ED50"
"16",16,"IMG_4708.jpg",6.556,0.6,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,12,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",4,"wild",0.65,420,"11_AGLO_4",29,44,8.8392,13.4112,3.444,0,48,11,"aglo",4,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.06
"17",17,"IMG_4708.jpg",6.493,0.458,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,13,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",5,"wild",0.669,420,"11_AGLO_5",29,44,8.8392,13.4112,3.507,0,49,11,"aglo",5,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.53
"18",18,"IMG_4708.jpg",6.582,0.24,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,33,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",6,"wild",0.656,420,"11_AGLO_6",29,44,8.8392,13.4112,3.418,0,50,11,"aglo",6,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.49
"19",19,"IMG_4708.jpg",7.213,0.404,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,14,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",7,"wild",0.666,420,"11_AGLO_7",29,44,8.8392,13.4112,2.787,0,51,11,"aglo",7,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.18
"20",20,"IMG_4708.jpg",6.937,0.492,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,32,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",8,"wild",0.688,420,"11_AGLO_8",29,44,8.8392,13.4112,3.063,0,52,11,"aglo",8,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,38.01
"21",1,"IMG_4709.jpg",6.161,0.593,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,18,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",1,"wild",0.49,420,"11_AHYA_1",29,44,8.8392,13.4112,3.839,8,54,11,"ahya",1,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,38.04
"22",2,"IMG_4709.jpg",4.509,0.428,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,16,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",2,"wild",0.509,420,"11_AHYA_2",29,44,8.8392,13.4112,5.491,8,55,11,"ahya",2,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,37.7
"23",3,"IMG_4709.jpg",6.353,0.639,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,17,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",1,"wild",0.634,420,"11_AABR_1",29,44,8.8392,13.4112,3.647,8,42,11,"aabr",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.74
"24",4,"IMG_4709.jpg",6.31,0.636,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,21,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",2,"wild",0.551,420,"11_AABR_2",29,44,8.8392,13.4112,3.69,8,43,11,"aabr",2,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.88
"25",5,"IMG_4709.jpg",6.784,0.978,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,10,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",1,"wild",0.343,420,"11_ICRA_1",29,44,8.8392,13.4112,3.216,8,56,11,"icra",1,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
