"","uni","metric","metrix","stage","col","ASnormalized.t1_icra4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.299006927543699,0.0000000000000000000000000000000000000000000000000000000000000378857032045918
"2","Sigma.1.0","Sigma","2","1","1",4.97547571619161,0.0000000000000000000000000000000000000000000000444562458576661
"3","Connect.1.0","Connect","3","1","1",0.274626923904565,0.0000000000000119461524688329
"4","Tau1.1.0","Tau1","4","1","1",761.22156173092,0.000000000000000000000000000605624268639454
"5","Tau2.1.0","Tau2","5","1","1",1891781.64674863,0.00000000000000000381429631804002
"6","NPQ.1.0","NPQ","6","1","1",0.561736992018311,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000705993069888758
"7","qP.1.0","qP","7","1","1",1.43722956110291,0.0000000000000000000000000000000000000000000000000000000000000757714064091837
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000444562458576661
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000378857032045918
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000605624268639454
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000381429631804002
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000119461524688329
"13","Fm.1.0","Fm","13","1","1",1871.15674458462,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000705993069888758
"14","Fo.1.0","Fo","14","1","1",1311.6679154337,0.0000000000000000000000000000000000000000000000000000000000000757714064091837
"15","Quant.3.0","Quant","1","3","1",0.0404962309582404,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000130160813750985
"16","Sigma.3.0","Sigma","2","3","1",3.16955972372165,0.0000000000000000000000000311239823911957
"17","Connect.3.0","Connect","3","3","1",0.564958909832903,0.000000000000615776699696807
"18","Tau1.3.0","Tau1","4","3","1",4046.90200022697,0.00000174008943294899
"19","Tau2.3.0","Tau2","5","3","1",7234735.48048732,0.0000153242019010436
"20","NPQ.3.0","NPQ","6","3","1",0.0360787650899857,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000359273001663972
"21","qP.3.0","qP","7","3","1",0.192732202938431,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000260321627501611
"22","ABQ.3.0","ABQ","8","3","1",0.362963482384809,0.0000000000000000000000000311239823911957
