"","uni","metric","metrix","stage","col","ASnormalized.t5_icra1.002r","pval"
"61","Tau2.6.0","Tau2","5","6","1",10679098.2010116,0.0000564488693883904
"62","NPQ.6.0","NPQ","6","6","1",0.355449690192286,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145281964264816
"63","qP.6.0","qP","7","6","1",0.646109067833262,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000617643919084958
"64","ABQ.6.0","ABQ","8","6","1",0.297592636282138,0.000000000000000000000000000025236958132222
"65","qm.6.0","qm","9","6","1",0.81630855524732,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000308821959542479
"66","nTau1.6.0","nTau1","10","6","1",1.51839317876469,0.000000000000118759485722813
"67","nTau2.6.0","nTau2","11","6","1",5.25947115422272,0.0000564488693883904
"68","nCon.6.0","nCon","12","6","1",0.485957070081299,0.0354380201160755
"69","Fm.6.0","Fm","13","6","1",2099.07617925614,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145281964264816
"70","Fo.6.0","Fo","14","6","1",1988.76516758091,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000617643919084958
"71","Quant.7.0","Quant","1","7","1",0.0609758297180619,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000107643716255079
"72","Sigma.7.0","Sigma","2","7","1",3.7938115091496,0.0000000000000000000000000000000888618664322839
"73","Connect.7.0","Connect","3","7","1",0.201254601469699,0.00046704222565819
"74","Tau1.7.0","Tau1","4","7","1",1183.03327488125,0.000000000000818397549269511
"75","Tau2.7.0","Tau2","5","7","1",16112436.7526689,0.0443225782341619
"76","NPQ.7.0","NPQ","6","7","1",0.373583944198341,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435146575607021
"77","qP.7.0","qP","7","7","1",0.679080735753973,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000215287432510157
"78","ABQ.7.0","ABQ","8","7","1",0.29615979547624,0.0000000000000000000000000000000888618664322839
"79","qm.7.0","qm","9","7","1",0.786864407224639,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000107643716255079
"80","nTau1.7.0","nTau1","10","7","1",1.7279964296568,0.000000000000818397549269511
"81","nTau2.7.0","nTau2","11","7","1",7.93539817031297,0.0443225782341619
"82","nCon.7.0","nCon","12","7","1",0.698680630348015,0.00046704222565819
"83","Fm.7.0","Fm","13","7","1",2071.36387177507,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435146575607021
"84","Fo.7.0","Fo","14","7","1",1945.06074104557,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000215287432510157
"85","Quant.8.0","Quant","1","8","1",0.0652246780018838,0.0000000000000000000000000000000000000000000000000000000000000000000000000000423152223547361
"86","Sigma.8.0","Sigma","2","8","1",4.12970196435989,0.00000000000000000000000000000656820106176281
"87","Connect.8.0","Connect","3","8","1",0.214629352804183,0.000621290031291937
"88","Tau1.8.0","Tau1","4","8","1",1229.80361615123,0.0000000000000000148547363079568
"89","Tau2.8.0","Tau2","5","8","1",10854767.3984697,0.000274339013155403
"90","NPQ.8.0","NPQ","6","8","1",0.379294201362049,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000577684965774435
"91","qP.8.0","qP","7","8","1",0.691767881975761,0.0000000000000000000000000000000000000000000000000000000000000000000000000000846304447094722
"92","ABQ.8.0","ABQ","8","8","1",0.233844309816864,0.00000000000000000000000000000656820106176281
"93","qm.8.0","qm","9","8","1",0.772012935719091,0.0000000000000000000000000000000000000000000000000000000000000000000000000000423152223547361
"94","nTau1.8.0","nTau1","10","8","1",1.79631148422401,0.0000000000000000148547363079568
"95","nTau2.8.0","nTau2","11","8","1",5.34598848549223,0.000274339013155403
"96","nCon.8.0","nCon","12","8","1",0.745112759724852,0.000621290031291937
"97","Fm.8.0","Fm","13","8","1",2062.7884566274,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000577684965774435
"98","Fo.8.0","Fo","14","8","1",1928.24374375788,0.0000000000000000000000000000000000000000000000000000000000000000000000000000846304447094722
"99","Quant.9.0","Quant","1","9","1",0.0754109189270564,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000403632683052968
"100","Sigma.9.0","Sigma","2","9","1",4.10743711390804,0.00000000000000000000000000000000000150721326338005
"101","Connect.9.0","Connect","3","9","1",0.328737901501955,0.000000000020723839673495
"102","Tau1.9.0","Tau1","4","9","1",1331.39369968065,0.00000000000000056501374623024
"103","Tau2.9.0","Tau2","5","9","1",11522117.5655473,0.00108424917178339
"104","NPQ.9.0","NPQ","6","9","1",0.388350634246517,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196848759828641
"105","qP.9.0","qP","7","9","1",0.717005806585128,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000807265366105936
"106","ABQ.9.0","ABQ","8","9","1",0.237974957019006,0.00000000000000000000000000000000000150721326338005
"107","qm.9.0","qm","9","9","1",0.736407835997157,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000403632683052968
"108","nTau1.9.0","nTau1","10","9","1",1.94469894327075,0.00000000000000056501374623024
"109","nTau2.9.0","nTau2","11","9","1",5.67465939828315,0.00108424917178339
"110","nCon.9.0","nCon","12","9","1",1.14125492069929,0.000000000020723839673495
"111","Fm.9.0","Fm","13","9","1",2049.33255813066,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196848759828641
"112","Fo.9.0","Fo","14","9","1",1894.7905067349,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000807265366105936
"113","Quant.10.0","Quant","1","10","1",0.106060947461176,0.000000000000000000000000000000000000000000000000000000000000000000000000000198667428264538
"114","Sigma.10.0","Sigma","2","10","1",4.60781048530623,0.00000000000000000000000000000000000000847306702151369
"115","Connect.10.0","Connect","3","10","1",0.288022345514485,0.000000000078613359519393
"116","Tau1.10.0","Tau1","4","10","1",1044.78471350549,0.0000000000000000305317368671741
"117","Tau2.10.0","Tau2","5","10","1",3741553.25382833,0.00000000996200234788709
"118","NPQ.10.0","NPQ","6","10","1",0.374203734003777,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000388555711191575
"119","qP.10.0","qP","7","10","1",0.750164692351119,0.000000000000000000000000000000000000000000000000000000000000000000000000000397334856529076
"120","ABQ.10.0","ABQ","8","10","1",0.145144067763233,0.00000000000000000000000000000000000000847306702151369
"121","qm.10.0","qm","9","10","1",0.629273385668123,0.000000000000000000000000000000000000000000000000000000000000000000000000000198667428264538
"122","nTau1.10.0","nTau1","10","10","1",1.52606379975129,0.0000000000000000305317368671741
"123","nTau2.10.0","nTau2","11","10","1",1.84272033462846,0.00000000996200234788709
"124","nCon.10.0","nCon","12","10","1",0.999905753452656,0.000000000078613359519393
"125","Fm.10.0","Fm","13","10","1",2070.42965061171,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000388555711191575
"126","Fo.10.0","Fo","14","10","1",1850.83792021612,0.000000000000000000000000000000000000000000000000000000000000000000000000000397334856529076
"127","Quant.11.0","Quant","1","11","1",0.115155529353999,0.00000000000000000000000000000000000000000000000000000000000000000000000000202383787394304
"128","Sigma.11.0","Sigma","2","11","1",4.72213954983372,0.0000000000000000000000000000000000000028315246804075
"129","Connect.11.0","Connect","3","11","1",0.228107883328743,0.0000000562702695985724
"130","Tau1.11.0","Tau1","4","11","1",1292.39386769077,0.0000000000000000158286972226239
"131","Tau2.11.0","Tau2","5","11","1",5260879.72675138,0.0000751896693023851
"132","NPQ.11.0","NPQ","6","11","1",0.323948205042626,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117859955051179
"133","qP.11.0","qP","7","11","1",0.711906944478545,0.00000000000000000000000000000000000000000000000000000000000000000000000000404767574788608
"134","ABQ.11.0","ABQ","8","11","1",0.123933369243823,0.0000000000000000000000000000000000000028315246804075
"135","qm.11.0","qm","9","11","1",0.597484083058654,0.00000000000000000000000000000000000000000000000000000000000000000000000000202383787394304
"136","nTau1.11.0","nTau1","10","11","1",1.88773387570537,0.0000000000000000158286972226239
"137","nTau2.11.0","nTau2","11","11","1",2.5909907978993,0.0000751896693023851
"138","nCon.11.0","nCon","12","11","1",0.79190517159665,0.0000000562702695985724
"139","Fm.11.0","Fm","13","11","1",2149.02074418473,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117859955051179
"140","Fo.11.0","Fo","14","11","1",1901.54912279541,0.00000000000000000000000000000000000000000000000000000000000000000000000000404767574788608
"141","Quant.12.0","Quant","1","12","1",0.118143713937382,0.0000000000000000000000000000000000000000000000000000000000000000000000000552609945552647
"142","Sigma.12.0","Sigma","2","12","1",4.90526943066427,0.0000000000000000000000000000000000000076611560512829
"143","Connect.12.0","Connect","3","12","1",0.246053937481934,0.0000000189859470664872
"144","Tau1.12.0","Tau1","4","12","1",1112.48572185152,0.00000000000000000134396061521475
"145","Tau2.12.0","Tau2","5","12","1",3748727.70283292,0.0000000624969879688451
"146","NPQ.12.0","NPQ","6","12","1",0.309117317015467,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127523496389673
