"","uni","metric","metrix","stage","col","ASnormalized.t10_icra7.002r","pval"
"62","NPQ.6.0","NPQ","6","6","1",0.227421862822946,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166570865393672
"63","qP.6.0","qP","7","6","1",0.520166171077425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000319088221013602
"64","ABQ.6.0","ABQ","8","6","1",0.290845215580885,0.000000000000000000000000000000170339889152536
"65","qm.6.0","qm","9","6","1",0.819306487970557,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000159544110506801
"66","nTau1.6.0","nTau1","10","6","1",2.43669255418987,0.000000000109402846265951
"67","nTau2.6.0","nTau2","11","6","1",6.35259645439963,0.00000972804148337324
"68","nCon.6.0","nCon","12","6","1",1.22603820789147,0.000000108018315042053
"69","Fm.6.0","Fm","13","6","1",2209.17684694643,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166570865393672
"70","Fo.6.0","Fo","14","6","1",2084.65622194739,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000319088221013602
"71","Quant.7.0","Quant","1","7","1",0.0543252801663868,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129084968544837
"72","Sigma.7.0","Sigma","2","7","1",3.5672900494368,0.0000000000000000000000000000000775409902290763
"73","Connect.7.0","Connect","3","7","1",0.311732010067558,0.0000000424167310605585
"74","Tau1.7.0","Tau1","4","7","1",1576.91266367438,0.000000000000803213719920592
"75","Tau2.7.0","Tau2","5","7","1",8665350.79269243,0.000371523842199858
"76","NPQ.7.0","NPQ","6","7","1",0.259544109678783,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222466180043454
"77","qP.7.0","qP","7","7","1",0.560633437190964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000258169937089675
"78","ABQ.7.0","ABQ","8","7","1",0.289735344259128,0.0000000000000000000000000000000775409902290763
"79","qm.7.0","qm","9","7","1",0.825845891279191,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129084968544837
"80","nTau1.7.0","nTau1","10","7","1",2.21091603957043,0.000000000000803213719920592
"81","nTau2.7.0","nTau2","11","7","1",5.24785321339511,0.000371523842199858
"82","nCon.7.0","nCon","12","7","1",1.21600476617301,0.0000000424167310605585
"83","Fm.7.0","Fm","13","7","1",2152.83604595304,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222466180043454
"84","Fo.7.0","Fo","14","7","1",2035.88262460435,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000258169937089675
"85","Quant.8.0","Quant","1","8","1",0.062929190273045,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000168489824346969
"86","Sigma.8.0","Sigma","2","8","1",3.69204282878711,0.000000000000000000000000000000524656285933287
