"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"54","nCon.5.0","nCon","12","5","1",1.06535318770322,0.00000095980108584906
"55","Fm.5.0","Fm","13","5","1",2910.44273475851,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000942045222703351
"56","Fo.5.0","Fo","14","5","1",2757.48014965762,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000123451208015521
"57","Quant.6.0","Quant","1","6","1",0.0558201136165357,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000126331840354218
"58","Sigma.6.0","Sigma","2","6","1",3.50138387706067,0.00000000000000000000000000000319533056131709
"59","Connect.6.0","Connect","3","6","1",0.340130333401605,0.000000174791657006851
"60","Tau1.6.0","Tau1","4","6","1",2044.76438296327,0.000000000203694094646734
"61","Tau2.6.0","Tau2","5","6","1",6202421.30615887,0.000000296918183367574
"62","NPQ.6.0","NPQ","6","6","1",0.175452496537514,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000453497777652842
"63","qP.6.0","qP","7","6","1",0.431484427963117,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000252663680708436
"64","ABQ.6.0","ABQ","8","6","1",0.17425779919967,0.00000000000000000000000000000319533056131709
"65","qm.6.0","qm","9","6","1",0.860428142456535,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000126331840354218
"66","nTau1.6.0","nTau1","10","6","1",2.58726459496835,0.000000000203694094646734
"67","nTau2.6.0","nTau2","11","6","1",6.70920921727168,0.000000296918183367574
"68","nCon.6.0","nCon","12","6","1",1.0449048157667,0.000000174791657006851
"69","Fm.6.0","Fm","13","6","1",2854.17193744051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000453497777652842
"70","Fo.6.0","Fo","14","6","1",2694.85173561146,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000252663680708436
"71","Quant.7.0","Quant","1","7","1",0.0565977755236477,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000456830255434191
"72","Sigma.7.0","Sigma","2","7","1",3.56293283457257,0.0000000000000000000000000000000132837954572709
"73","Connect.7.0","Connect","3","7","1",0.336163249508742,0.00000000233158996739305
"74","Tau1.7.0","Tau1","4","7","1",1959.44282178388,0.00000000000316557568205945
"75","Tau2.7.0","Tau2","5","7","1",9554718.04931099,0.000464273855270506
"76","NPQ.7.0","NPQ","6","7","1",0.192276870902479,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233037868988054
"77","qP.7.0","qP","7","7","1",0.457772336726383,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000913660510868382
"78","ABQ.7.0","ABQ","8","7","1",0.159742517980203,0.0000000000000000000000000000000132837954572709
"79","qm.7.0","qm","9","7","1",0.858483687135966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000456830255434191
"80","nTau1.7.0","nTau1","10","7","1",2.47930621293367,0.00000000000316557568205945
"81","nTau2.7.0","nTau2","11","7","1",10.3354156772961,0.000464273855270506
"82","nCon.7.0","nCon","12","7","1",1.03271764909225,0.00000000233158996739305
"83","Fm.7.0","Fm","13","7","1",2813.89634512685,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233037868988054
"84","Fo.7.0","Fo","14","7","1",2654.63607143855,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000913660510868382
"85","Quant.8.0","Quant","1","8","1",0.0576295811618732,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000174705458034881
"86","Sigma.8.0","Sigma","2","8","1",3.59719541273913,0.0000000000000000000000000000000170641509700632
"87","Connect.8.0","Connect","3","8","1",0.321492715341947,0.00000000925578091613058
"88","Tau1.8.0","Tau1","4","8","1",1907.76139799582,0.0000000000000638978041185453
"89","Tau2.8.0","Tau2","5","8","1",9793899.25735332,0.000354840398567333
"90","NPQ.8.0","NPQ","6","8","1",0.203630983106745,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000378754255405904
"91","qP.8.0","qP","7","8","1",0.476021435485534,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000349410916069762
"92","ABQ.8.0","ABQ","8","8","1",0.151662268086525,0.0000000000000000000000000000000170641509700632
"93","qm.8.0","qm","9","8","1",0.855903774265486,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000174705458034881
"94","nTau1.8.0","nTau1","10","8","1",2.41391309522363,0.0000000000000638978041185453
"95","nTau2.8.0","nTau2","11","8","1",10.5941399216492,0.000354840398567333
"96","nCon.8.0","nCon","12","8","1",0.987648714347595,0.00000000925578091613058
"97","Fm.8.0","Fm","13","8","1",2787.35225039835,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000378754255405904
"98","Fo.8.0","Fo","14","8","1",2626.71830765729,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000349410916069762
"99","Quant.9.0","Quant","1","9","1",0.0636278953993545,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000849404606481055
"100","Sigma.9.0","Sigma","2","9","1",3.56108347493298,0.00000000000000000000000000000000000000147416974261377
"101","Connect.9.0","Connect","3","9","1",0.424974569496195,0.00000000000000000330208018717851
"102","Tau1.9.0","Tau1","4","9","1",1560.49992255271,0.00000000000141479344081163
"103","Tau2.9.0","Tau2","5","9","1",8405612.49651086,0.000172570970774386
"104","NPQ.9.0","NPQ","6","9","1",0.210160768756164,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723974287161958
"105","qP.9.0","qP","7","9","1",0.496156174906475,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000169880921296211
"106","ABQ.9.0","ABQ","8","9","1",0.160178658190043,0.00000000000000000000000000000000000000147416974261377
"107","qm.9.0","qm","9","9","1",0.840905670427756,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000849404606481055
"108","nTau1.9.0","nTau1","10","9","1",1.97451903686842,0.00000000000141479344081163
"109","nTau2.9.0","nTau2","11","9","1",9.09241892072145,0.000172570970774386
"110","nCon.9.0","nCon","12","9","1",1.30555240340954,0.00000000000000000330208018717851
"111","Fm.9.0","Fm","13","9","1",2772.31225472634,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723974287161958
"112","Fo.9.0","Fo","14","9","1",2595.91586056827,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000169880921296211
"113","Quant.10.0","Quant","1","10","1",0.0950393514800118,0.000000000000000000000000000000000000000000000000000000000000000000000000857173905096859
"114","Sigma.10.0","Sigma","2","10","1",4.48542944732771,0.00000000000000000000000000000000209631424589186
"115","Connect.10.0","Connect","3","10","1",0.261383949686494,0.00000130110089419508
"116","Tau1.10.0","Tau1","4","10","1",1569.40816352224,0.0000000000000000143830066943497
"117","Tau2.10.0","Tau2","5","10","1",4097480.83203085,0.0000000650762369362151
"118","NPQ.10.0","NPQ","6","10","1",0.254469353867623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291571950660955
"119","qP.10.0","qP","7","10","1",0.611003852978902,0.00000000000000000000000000000000000000000000000000000000000000000000000171434781019372
"120","ABQ.10.0","ABQ","8","10","1",-0.0578127144631309,0.00000000000000000000000000000000209631424589186
"121","qm.10.0","qm","9","10","1",0.762364890245188,0.000000000000000000000000000000000000000000000000000000000000000000000000857173905096859
"122","nTau1.10.0","nTau1","10","10","1",1.9857907396895,0.0000000000000000143830066943497
"123","nTau2.10.0","nTau2","11","10","1",4.43227810702856,0.0000000650762369362151
"124","nCon.10.0","nCon","12","10","1",0.802990268642268,0.00000130110089419508
