"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"492","Sigma.11.1","Sigma","2","11","2",4.3265006933335,0.0000000000000000000000000000000000263530620540708
"493","Connect.11.1","Connect","3","11","2",0.299581889962046,0.00000000289919255235368
"494","Tau1.11.1","Tau1","4","11","2",1494.02317122694,0.0000000000000000711838175157861
"495","Tau2.11.1","Tau2","5","11","2",5538232.49622057,0.0000105315340538564
"496","NPQ.11.1","NPQ","6","11","2",0.323864297030815,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222587260886342
"497","qP.11.1","qP","7","11","2",0.658252200319309,0.000000000000000000000000000000000000000000000000000000000000000000000000000795836346865527
"498","ABQ.11.1","ABQ","8","11","2",0.0192822414951299,0.0000000000000000000000000000000000263530620540708
"499","qm.11.1","qm","9","11","2",0.739939188211365,0.000000000000000000000000000000000000000000000000000000000000000000000000000397918173432764
"500","nTau1.11.1","nTau1","10","11","2",2.11980921423833,0.0000000000000000711838175157861
"501","nTau2.11.1","nTau2","11","11","2",5.04723801429153,0.0000105315340538564
"502","nCon.11.1","nCon","12","11","2",0.908265645640469,0.00000000289919255235368
"503","Fm.11.1","Fm","13","11","2",2675.03855731918,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222587260886342
"504","Fo.11.1","Fo","14","11","2",2446.28297879204,0.000000000000000000000000000000000000000000000000000000000000000000000000000795836346865527
"505","Quant.12.1","Quant","1","12","2",0.0916400465460348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000785323974553449
"506","Sigma.12.1","Sigma","2","12","2",4.46496112576526,0.0000000000000000000000000000000000000168133944319551
"507","Connect.12.1","Connect","3","12","2",0.222572601016427,0.000000180701242373318
"508","Tau1.12.1","Tau1","4","12","2",1487.876296152,0.000000000000000000498927295166491
"509","Tau2.12.1","Tau2","5","12","2",4673589.70191411,0.000000114685316496042
"510","NPQ.12.1","NPQ","6","12","2",0.316385448231648,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144924391311625
"511","qP.12.1","qP","7","12","2",0.659802986673585,0.0000000000000000000000000000000000000000000000000000000000000000000000000000015706479491069
"512","ABQ.12.1","ABQ","8","12","2",-0.0121035398928928,0.0000000000000000000000000000000000000168133944319551
"513","qm.12.1","qm","9","12","2",0.721311808404043,0.000000000000000000000000000000000000000000000000000000000000000000000000000000785323974553449
"514","nTau1.12.1","nTau1","10","12","2",2.11108766113688,0.000000000000000000498927295166491
"515","nTau2.12.1","nTau2","11","12","2",4.2592505140945,0.000000114685316496042
"516","nCon.12.1","nCon","12","12","2",0.674790612976219,0.000000180701242373318
"517","Fm.12.1","Fm","13","12","2",2690.23639236743,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144924391311625
