"","uni","metric","metrix","stage","col","ASnormalized.ahya4.002r","pval"
"952","Fo.17.2","Fo","14","17","3",2211.65010395742,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034656481686969
"953","Quant.18.2","Quant","1","18","3",0.0435376319655392,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756025865717946
"954","Sigma.18.2","Sigma","2","18","3",3.20620039459954,0.000000000000000000000000126480285591973
"955","Connect.18.2","Connect","3","18","3",0.28178265341838,0.00124953866826205
"956","Tau1.18.2","Tau1","4","18","3",1746.98923006609,0.000000000593895126385398
"957","Tau2.18.2","Tau2","5","18","3",14713782.6501509,0.000241603692653619
"958","NPQ.18.2","NPQ","6","18","3",0.375550075446505,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000429412035292166
"959","qP.18.2","qP","7","18","3",0.604378516930253,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151205173143589
"960","ABQ.18.2","ABQ","8","18","3",0.1240672037994,0.000000000000000000000000126480285591973
"961","qm.18.2","qm","9","18","3",0.881520309860499,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756025865717946
"962","nTau1.18.2","nTau1","10","18","3",2.50576341659664,0.000000000593895126385398
"963","nTau2.18.2","nTau2","11","18","3",12.5432431631688,0.000241603692653619
"964","nCon.18.2","nCon","12","18","3",0.777925040810174,0.00124953866826205
"965","Fm.18.2","Fm","13","18","3",2274.68087627761,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000429412035292166
"966","Fo.18.2","Fo","14","18","3",2175.64665744719,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151205173143589
"967","Quant.19.2","Quant","1","19","3",0.0399150704473359,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000411624873680675
"968","Sigma.19.2","Sigma","2","19","3",2.73937784394297,0.000000000000000000000000000446615010766255
