"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.005r","pval"
"473","nTau2.9.1","nTau2","11","9","2",12.1978235597028,0.0000956582173278838
"474","nCon.9.1","nCon","12","9","2",0.811284298309661,0.0000000163955725440439
"475","Fm.9.1","Fm","13","9","2",2726.77340957792,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119034082613091
"476","Fo.9.1","Fo","14","9","2",2592.25220096162,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000235154027030199
"477","Quant.10.1","Quant","1","10","2",0.0898514851148276,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000203393465782335
"478","Sigma.10.1","Sigma","2","10","2",4.69256355442672,0.0000000000000000000000000000000000000000334342334625273
"479","Connect.10.1","Connect","3","10","2",0.166253459575611,0.00000472113151030269
"480","Tau1.10.1","Tau1","4","10","2",1505.54240703127,0.0000000000000000190075730001452
"481","Tau2.10.1","Tau2","5","10","2",4793471.06050825,0.000000119186551306481
"482","NPQ.10.1","NPQ","6","10","2",0.331025629241756,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016640262877391
"483","qP.10.1","qP","7","10","2",0.651513272573513,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000040678693156467
"484","ABQ.10.1","ABQ","8","10","2",-0.0416047307949243,0.0000000000000000000000000000000000000000334342334625273
"485","qm.10.1","qm","9","10","2",0.750843452537213,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000203393465782335
"486","nTau1.10.1","nTau1","10","10","2",2.16248589911228,0.0000000000000000190075730001452
"487","nTau2.10.1","nTau2","11","10","2",5.514997967876,0.000000119186551306481
"488","nCon.10.1","nCon","12","10","2",0.489576876532284,0.00000472113151030269
"489","Fm.10.1","Fm","13","10","2",2650.46899124884,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016640262877391
"490","Fo.10.1","Fo","14","10","2",2412.32041613433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000040678693156467
"491","Quant.11.1","Quant","1","11","2",0.0937742060886924,0.000000000000000000000000000000000000000000000000000000000000000000000000000001943630051909
"492","Sigma.11.1","Sigma","2","11","2",4.30566155559664,0.0000000000000000000000000000000000000161185282374585
"493","Connect.11.1","Connect","3","11","2",0.283162577862736,0.000000000157584146330433
"494","Tau1.11.1","Tau1","4","11","2",1642.78687355132,0.00000000000000000011012893503422
"495","Tau2.11.1","Tau2","5","11","2",5160812.98685765,0.00000023391444876141
"496","NPQ.11.1","NPQ","6","11","2",0.325790685770708,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033838099381748
"497","qP.11.1","qP","7","11","2",0.65204647460071,0.00000000000000000000000000000000000000000000000000000000000000000000000000000388726010381799
"498","ABQ.11.1","ABQ","8","11","2",0.0442756089514083,0.0000000000000000000000000000000000000161185282374585
"499","qm.11.1","qm","9","11","2",0.73996581803558,0.000000000000000000000000000000000000000000000000000000000000000000000000000001943630051909
"500","nTau1.11.1","nTau1","10","11","2",2.3596169943207,0.00000000000000000011012893503422
"501","nTau2.11.1","nTau2","11","11","2",5.93763324652058,0.00000023391444876141
"502","nCon.11.1","nCon","12","11","2",0.833846410022043,0.000000000157584146330433
"503","Fm.11.1","Fm","13","11","2",2660.93448590789,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033838099381748
"504","Fo.11.1","Fo","14","11","2",2411.40746703785,0.00000000000000000000000000000000000000000000000000000000000000000000000000000388726010381799
"505","Quant.12.1","Quant","1","12","2",0.104771341134629,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000117268549053831
"506","Sigma.12.1","Sigma","2","12","2",4.59536393179983,0.000000000000000000000000000000000000000000169528151898777
"507","Connect.12.1","Connect","3","12","2",0.259451048692542,0.00000000000135896718846513
"508","Tau1.12.1","Tau1","4","12","2",1570.62743333386,0.00000000000000000420317827143891
"509","Tau2.12.1","Tau2","5","12","2",4180820.27125075,0.000000343382136625849
"510","NPQ.12.1","NPQ","6","12","2",0.313543737360082,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023942135375801
"511","qP.12.1","qP","7","12","2",0.656165444625131,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000234537098107663
"512","ABQ.12.1","ABQ","8","12","2",-0.020029405157802,0.000000000000000000000000000000000000000000169528151898777
"513","qm.12.1","qm","9","12","2",0.709470960921911,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000117268549053831
"514","nTau1.12.1","nTau1","10","12","2",2.25597077935569,0.00000000000000000420317827143891
"515","nTau2.12.1","nTau2","11","12","2",4.810129238072,0.000000343382136625849
"516","nCon.12.1","nCon","12","12","2",0.764021599046196,0.00000000000135896718846513
"517","Fm.12.1","Fm","13","12","2",2685.74395851705,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023942135375801
"518","Fo.12.1","Fo","14","12","2",2404.35496203899,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000234537098107663
"519","Quant.13.1","Quant","1","13","2",0.106669750306147,0.00000000000000000000000000000000000000000000000000000000000000000000000000293028101153582
"520","Sigma.13.1","Sigma","2","13","2",4.34918131269426,0.000000000000000000000000000000000000044758856966901
"521","Connect.13.1","Connect","3","13","2",0.276185370932599,0.00000000114544435104418
"522","Tau1.13.1","Tau1","4","13","2",1593.71029502438,0.000000000000000000708351948697618
"523","Tau2.13.1","Tau2","5","13","2",3991631.03405588,0.000000152097332974618
"524","NPQ.13.1","NPQ","6","13","2",0.31049467960351,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028180490831496
"525","qP.13.1","qP","7","13","2",0.655883012747937,0.00000000000000000000000000000000000000000000000000000000000000000000000000586056202307164
"526","ABQ.13.1","ABQ","8","13","2",0.0346155618683652,0.000000000000000000000000000000000000044758856966901
"527","qm.13.1","qm","9","13","2",0.70420670653321,0.00000000000000000000000000000000000000000000000000000000000000000000000000293028101153582
"528","nTau1.13.1","nTau1","10","13","2",2.28912584870729,0.000000000000000000708351948697618
"529","nTau2.13.1","nTau2","11","13","2",4.59246269841772,0.000000152097332974618
"530","nCon.13.1","nCon","12","13","2",0.81330019591922,0.00000000114544435104418
"531","Fm.13.1","Fm","13","13","2",2691.99273508695,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028180490831496
"532","Fo.13.1","Fo","14","13","2",2404.83854220926,0.00000000000000000000000000000000000000000000000000000000000000000000000000586056202307164
"533","Quant.14.1","Quant","1","14","2",0.114752206280589,0.000000000000000000000000000000000000000000000000000000000000000000000000242237687719157
"534","Sigma.14.1","Sigma","2","14","2",4.60030871430217,0.000000000000000000000000000000000000126302529890923
"535","Connect.14.1","Connect","3","14","2",0.218089764453435,0.00000151918170513847
"536","Tau1.14.1","Tau1","4","14","2",1624.87326703777,0.00000000000000000303233091236216
"537","Tau2.14.1","Tau2","5","14","2",4317616.25110729,0.00000564990210497287
"538","NPQ.14.1","NPQ","6","14","2",0.304034005376697,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327938548194653
"539","qP.14.1","qP","7","14","2",0.661694968077939,0.000000000000000000000000000000000000000000000000000000000000000000000000484475375438313
"540","ABQ.14.1","ABQ","8","14","2",-0.021126994734896,0.000000000000000000000000000000000000126302529890923
"541","qm.14.1","qm","9","14","2",0.68179420190918,0.000000000000000000000000000000000000000000000000000000000000000000000000242237687719157
"542","nTau1.14.1","nTau1","10","14","2",2.33388678485806,0.00000000000000000303233091236216
"543","nTau2.14.1","nTau2","11","14","2",4.9675161381699,0.00000564990210497287
"544","nCon.14.1","nCon","12","14","2",0.64222245935409,0.00000151918170513847
"545","Fm.14.1","Fm","13","14","2",2705.32987814505,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327938548194653
"546","Fo.14.1","Fo","14","14","2",2394.88730591111,0.000000000000000000000000000000000000000000000000000000000000000000000000484475375438313
"547","Quant.15.1","Quant","1","15","2",0.118847456198918,0.0000000000000000000000000000000000000000000000000000000000000000000000000000427032348327008
"548","Sigma.15.1","Sigma","2","15","2",4.46726347882857,0.0000000000000000000000000000000000000000128770425931193
"549","Connect.15.1","Connect","3","15","2",0.251698644413933,0.000000000150673340672638
"550","Tau1.15.1","Tau1","4","15","2",1706.24501373262,0.000000000000000000125207452467809
"551","Tau2.15.1","Tau2","5","15","2",4042417.4503939,0.000000869052900981991
"552","NPQ.15.1","NPQ","6","15","2",0.298707201915806,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016487754476576
"553","qP.15.1","qP","7","15","2",0.662455115994028,0.0000000000000000000000000000000000000000000000000000000000000000000000000000854064696654016
"554","ABQ.15.1","ABQ","8","15","2",0.00840495407553454,0.0000000000000000000000000000000000000000128770425931193
"555","qm.15.1","qm","9","15","2",0.670438147756663,0.0000000000000000000000000000000000000000000000000000000000000000000000000000427032348327008
