"","uni","metric","metrix","stage","col","ASnormalized.aabr5.005r","pval"
"62","NPQ.6.0","NPQ","6","6","1",0.0262967238802257,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134379620700527
"63","qP.6.0","qP","7","6","1",0.141153953224363,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000194491260047752
"64","ABQ.6.0","ABQ","8","6","1",0.268431103089365,0.000000000000000000000000000140690110621865
"65","qm.6.0","qm","9","6","1",0.912318748675721,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000972456300238761
"66","nTau1.6.0","nTau1","10","6","1",4.59936689797151,0.00000128379594646482
"67","nTau2.6.0","nTau2","11","6","1",17.7594984006704,0.0181286388600907
"68","nCon.6.0","nCon","12","6","1",1.19913821355554,0.00000000469232806107673
"69","Fm.6.0","Fm","13","6","1",3518.71997667526,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134379620700527
"70","Fo.6.0","Fo","14","6","1",3407.15587624819,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000194491260047752
"71","Quant.7.0","Quant","1","7","1",0.0330724663656675,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000161001044557967
"72","Sigma.7.0","Sigma","2","7","1",3.82797226460346,0.00000000000000000000000491214136435738
"73","Connect.7.0","Connect","3","7","1",0.197721234602282,0.0193532864180941
"74","Tau1.7.0","Tau1","4","7","1",1524.99336083467,0.000000147691760795915
"75","Tau2.7.0","Tau2","5","7","1",7611845.51875522,0.00000390566743728012
"76","NPQ.7.0","NPQ","6","7","1",0.0427682749078924,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000962843413490983
"77","qP.7.0","qP","7","7","1",0.181649114287711,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000322002089115935
"78","ABQ.7.0","ABQ","8","7","1",0.120342884843589,0.00000000000000000000000491214136435738
"79","qm.7.0","qm","9","7","1",0.90853950211104,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000161001044557967
"80","nTau1.7.0","nTau1","10","7","1",1.86572431095083,0.000000147691760795915
"81","nTau2.7.0","nTau2","11","7","1",7.66100631014937,0.00000390566743728012
"82","nCon.7.0","nCon","12","7","1",0.635243506413405,0.0193532864180941
"83","Fm.7.0","Fm","13","7","1",3463.13833208313,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000962843413490983
